User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Kordula Schulz-Asche,@K_SA,2021-05-29T06:35:21.000Z,"Ich schwärme auch für 
@ABaerbock
 und uns. Endlich Aufbruch in eine zukunftsorientierte Politik - für #Europa für #Klimaschutz und bei anderen zentralen Themen. Und dazu gehört angesichts des demografischen Wandels natürlich auch #PflegeStärkenSüddeutsche Zeitung
@SZ
 · 17h
Fast alle Grünen in Europa schwärmen für Annalena Baerbock. Ihr Sieg wäre ein Schub für die EU-Klimapolitik. https://sz.de/1.5307521?utm_source=Twitter&utm_medium=twitterbot&utm_campaign=1.5307521…",,2,42
Jörg Sauskat,@waschbaerpower,2021-05-28T18:01:38.000Z,"""Steuerzahlerinnen und Steuerzahler müssen darauf vertrauen können, dass ihr Geld nicht verschwendet wird.""
Nach Berichten zu möglichen Betrügereien durch Testzentren fordern 
@MariaKlSchmeink
 und 
@K_SA
 Spahn auf, die Testverordnung unverzüglich zu ändern.Investigativ-Recherchen zu Corona-Testzentren
Die Investigativ-Recherchen von WDR, NDR und SZ zum Thema Testzentren zeigen, dass Spahns Testverordnung dringend nachgebessert werden muss.
gruene-bundestag.de",2,7,22
Jürgen Frömmrich,@JFroemmrich,2021-05-28T07:10:10.000Z,"„In Frankfurt hat die FDP den eigenen, fertig verhandelten Koalitionsvertrag abgelehnt. Das zeigt erneut: Die nötige Wende in der Umweltpolitik ist mit dieser Partei nicht zu machen.“ Klare Einordnung von Thomas Kaspar (FR)

https://fr.de/meinung/kommentare/regieren-nur-ohne-die-fdp-90681643.html…",,10,23
Janosch Dahmen,@janoschdahmen,2021-05-27T15:58:24.000Z,"Der Schutz und die Gesundheit von Kindern und Jugendlichen muss höchste Priorität haben. Aber es hilft niemandem, wenn wir die Impfdebatte nicht ehrlich & transparent führen. Das vermisse ich bei der Bundesregierung. Folgende Fakten sind zum #Impfgipfel aus meiner Sicht wichtig:",8,92,455
Kordula Schulz-Asche,@K_SA,2021-05-27T17:51:28.000Z,Die #FDP ist nicht regierungsfähig - nirgendwo. Ideologie ist keine Haltung.,9,4,36
Die Grünen Hessen,@gruenehessen,2021-05-27T07:22:29.000Z,"Der Countdown läuft! Morgen erscheint der neue Newsletter der Landtagsfraktion. Außerdem gibt es jetzt auch Themen-Newsletter. Wer also immer auf dem Laufenden sein will, sollte sich jetzt noch schnell anmelden: https://gruenlink.de/1rmj #HLT /F",2,5,10
GRÜNE Sachsen-Anhalt,@GRUENE_LSA,2021-05-27T09:29:47.000Z,"Morgen in #Magdeburg: 
@ABaerbock
 ! 
Wir freuen uns darauf!
Unter https://gruene-lsa.de/annalena-in-magdeburg/… gibt es alle Infos zum Termin und den Teilnahmemöglichkeiten!
#verlässlichregieren #Baerbock #ltwlsa #SachsenAnhaltGRÜNE Sachsen-Anhalt
@GRUENE_LSA
 · May 25
Wahlkampfkundgebung mit @ABaerbock in Magdeburg!
Gemeinsam mit @Connylue, @claudiadalbert und @StriegSe wird die Veranstaltung ist als öffentliches Gespräch im Town-Hall-Format geplant und parallel mit einem Livestream begleitet.
Weitere Infos unter:
https://gruene-lsa.de/annalena-in-magdeburg/…",2,7,36
Kordula Schulz-Asche,@K_SA,2021-05-26T07:38:44.000Z,"Heute! Ich freue mich auch auf euch! #PflegeStärkenCareSlam
@SlamCare
 · May 26
Heute!
Wir freuen uns auf Euch!
@K_SA 
@DeikePaul",,1,5
Kordula Schulz-Asche,@K_SA,2021-05-25T11:22:40.000Z,"#Corona #COVID19Ilona Kickbusch
@IlonaKickbusch
 · May 25
5 System failures #pandemic 

- the lack of foresight and undervaluing preparedness

- the nationalists closing of the mind 

- the charity model 

- the lack of recognition of the multi sectoral nature of pandemic origins and response,

- the geopolitical decoupling",,,1
Sabine Brase,@Coconbra,2021-05-24T16:07:41.000Z,"Die höchste Exposition mit dem Coronavirus (direkt am infizierten Patienten arbeitend) ausgesetzt - das haben Pflegende in der Pandemie geleistet.

Mind. 115.000 Pflegende sind nach Schätzung der WHO weltweit in Zusammenhang mit einer Coronavirus-Infektion ums Leben gekommen. ",2,31,45
