User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Oliver Kaczmarek,@KaczmarekOliver,2021-05-23T18:32:22.000Z,"Das #Regime in #Belarus beweist seine Unberechenbarkeit und Skrupellosigkeit einmal mehr. Die Reaktion der #EU muss eindeutig sein: sofortige Freilassung aller Passagiere und harte #Sanktionen, insbesondere gegen die Verantwortlichen. #Entführung #Lukaschenko #Protasewitsch",,3,16
Oliver Kaczmarek,@KaczmarekOliver,2021-05-20T12:53:32.000Z,Die Entfristung der #Wissenschaftsschranke im #Urheberrecht schafft Verlässlichkeit für #Wissenschaft und #Forschung. Ein echter Meilenstein und die richtige Schlussfolgerung aus der #Digitalisierung von #Lernen und #Lehre.,,,2
FES Bildung,@FESBildung,2021-05-12T06:28:54.000Z,"#Bafög, Du musst Dich ändern! Am 20.5. diskutieren wir mit 
@KaczmarekOliver
 @spdbt
 und Katja Urbatsch 
@arbeiterkind
, wieso sich das Bafög im Jubiläumsjahr  ändern muss. 
@jusohsgn
 @jusos
 @fzs_ev
 @GEWStudis
 @verdi_Jugend
 
 #BAföG50 Anmeldungen bis Dienstag:Happy Birthday Bafög! Aber: Du musst Dich ändern!
Perspektiven und Bausteine für eine grundlegende Bafög-Reform. Online-Konferenz der Friedrich-Ebert-Stiftung am 20. Mai 2021. Eine Veranstaltung der Reihe: ""Eine Stunde für die Wissenschaft"".
fes.de",2,3,10
Oliver Kaczmarek,@KaczmarekOliver,2021-05-09T15:54:09.000Z,"Für eine #Politik des #Fortschritt|s und #ausRespekt vor deiner Zukunft. Für eine Gesellschaft, in der jede und jeder zählt und das Recht auf ein gutes Leben hat. Ich habe Lust auf #Wahlkampf für die #SPD und Olaf #Scholz. #spdbpt21",1,1,6
Oliver Kaczmarek,@KaczmarekOliver,2021-05-09T13:26:20.000Z,"In wenigen Minuten haben wir in der 
@spdde
 unser #Zukunftsprogramm. Und sofort danach kommt die Rede von 
@OlafScholz
. Also jetzt bitte die Rückenlehne aufrecht stellen und auf http://spd.de oder bei 
@phoenix_de
 dabei sein!  #ausRespekt #spdbpt21",,1,15
Oliver Kaczmarek,@KaczmarekOliver,2021-05-09T09:32:15.000Z,"Jetzt auf keinen Fall verpassen: die 
@spd
 startet heute als erste Partei mit einem Programm für die #Bundestagswahl. Die anderen lamentieren noch, wir haben einen Plan: Aus Respekt vor deiner Zukunft! #ausRespektAus Respekt vor Deiner Zukunft: Sei live dabei! Sonntag, 9. Mai ab 11 Uhr
Aufbruch und Mut – darum geht es auf dem Parteitag. Wir beschließen das Zukunftsprogramm. Und Kanzlerkandidat Olaf Scholz stellt seinen Plan für die Zukunft vor.
parteitag.spd.de",,1,11
SPD Parteivorstand,@spdde,2021-04-25T07:56:05.000Z,"„Ich will, dass wir als Regierung klare  Öffnungsschritte für den Sommer festlegen. Damit sich Restaurants auf ihre Öffnung einstellen und die Bürger ihren Sommer planen können. Auch ab wann wieder Konzerte, Theater und Fußball im Stadion möglich sind.“Corona in Deutschland: Olaf Scholz will Fahrplan aus Lockdown
Millionen von Menschen haben schon einen Impfschutz oder sind von einer Covid-Erkrankung genesen. Für sie sind Lockerungen der Beschränkungen in Vorbereitung. SPD-Kanzlerkandidat Scholz schaut noch...
spiegel.de",930,368,441
SPD-Fraktion im Bundestag,@spdbt,2021-04-21T13:47:34.000Z,"""Der Laptop ist kein Klassenkamerad, das Smartphone kein Sportplatz"", sagen 
@SoenkeRix
 und 
@KaczmarekOliver
. Es braucht neben mehr Lernhilfen deshalb auch Angebote, die die sozialen und emotionalen Stärken der Kinder und Jugendlichen fördern. #AufholPaketNicht nur an Lernen und Leistung denken
Corona hat Folgen für die gesamte Entwicklung von Kindern und Jugendlichen. Es muss mehr geben als Aufbauprogramme für die Schulen. Ein Gastbeitrag.
fr.de",10,11,37
Oliver Kaczmarek,@KaczmarekOliver,2021-04-20T21:27:17.000Z,"#schalke-Fan zu sein, war immer herausfordernd. Jetzt steigen wir nicht nur ab, Schalke muss komplett neu werden, nicht nur die Mannschaft. Ich hoffe wirklich, 
@s04
 schafft das!",3,1,19
Oliver Kaczmarek,@KaczmarekOliver,2021-04-15T07:41:38.000Z,"Jetzt #Kinder und #Jugendliche in und nach der #Corona-#Pandemie mit einem kräftigen #Aufholpaket unterstützen! Klare Kante von 
@OlafScholz
!SPD-Fraktion im Bundestag
@spdbt
 · Apr 15
""Die Kinder und Jugendlichen sind von dieser Pandemie ganz besonders herausgefordert"", sagt Vizekanzler @OlafScholz. Sie brauchen unsere Unterstützung: ""Es muss ein #AufholPaket geben!""",4,1,10
