User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Karl Lauterbach,@Karl_Lauterbach,2021-01-12T11:47:47.000Z,"Karl Lauterbach - ""Das wird ein super Sommer""Karl Lauterbach über 2021: ""Das wird ein super Sommer""
Der SPD-Gesundheitspolitiker gilt in der Corona-Krise als beharrlicher Mahner. Ein Gespräch über Anfeindungen, Öffentlichkeit und Corona.
sueddeutsche.de",3K,570,4K
Karl Lauterbach,@Karl_Lauterbach,2021-05-29T10:29:15.000Z,"Danke an 
@Die_Insider
 für die Unterstützung. Ich habe den Schutz den ich brauche. Aber wie stark eingeschränkt jüdisches Leben in Deutschland sein muss wird einem klar, wenn man solche Anfeindungen lesen muss. #WirGegenHass müssen zusammenhaltenDieInsider
@Die_Insider
 · 3h
Hildmann ist Antisemit. 
 
Die Behörden müssen @Karl_Lauterbach vor einem weiteren Fall #Lübcke schützen.
 
#TeamLauterbach #Solidarität
#WirGegenHass #DieInsider 

https://rtl.de/cms/karl-lauterbach-reagiert-auf-hassattacke-von-attila-hildmann-4768458.html…",24,45,462
Karl Lauterbach,@Karl_Lauterbach,2021-05-28T20:59:45.000Z,"Liebe Frau 
@Alice_Weidel
. Jeder Platz auf der SPD Liste ist mehr Wert als Spitzenplätze auf der Liste einer Partei, die Hass und Hetze in den Bundestag getragen hat.Alice Weidel
@Alice_Weidel
 · May 18
Lieber @Karl_Lauterbach, lieber @helgelindh, ich gratuliere Ihnen herzlich zum 23. bzw. 27. Platz auf der Landesliste der #SPD in #NRW. https://nrwspd.de/btw21/?fbclid=IwAR1zX1yV1KzCnqrQQm1lKZVCoO47NMxqKy0TzdCur31CS8EloVufHEYsRAs…",890,1.5K,25.4K
Karl Lauterbach,@Karl_Lauterbach,2021-05-28T11:55:44.000Z,"Seit Monaten werde ich von Antisemiten und Nazis beschimpft und bedroht. Meine Solidarität gilt denen, die das seit Jahren ertragen. Ich hoffe, daß es uns bald gelingt, mit demokratischen Mitteln Kanäle, im wahrsten Sinne des Wortes, wie den von „Attila“ Hildmann trocken zu legenDieInsider
@Die_Insider
 · 23h
Der Antisemit Attila Hildmann hetzt auf seinem Telegram-Kanal über das Video von @carolinkebekus und @Karl_Lauterbach, und die Abonnenten stimmen ein!  

Gibt es wirklich keine Handhabe, ihn strafrechtlich zu belangen?! 

Stattdessen lacht er uns alle aus. 

#DieInsider",581,729,9.4K
Karl Lauterbach,@Karl_Lauterbach,2021-05-28T07:41:59.000Z,"Hier zeigt sich die Wirkung der Impfung extrem klar. In Bolton UK erreicht durch die indische Variante die Inzidenz das Niveau der 2. Welle. Weil die meisten Älteren geimpft sind liegt Sterberate aber 75% niedriger. Auch noch hoch, aber durch gezielte Impfkampagnen reduzierbar.John Burn-Murdoch
@jburnmurdoch
 · May 27
Since April 1 there have 3,387 cases in Bolton. In the same length of time during last autumn’s wave, there were 3,386

But while last year 3,386 cases became an estimated 35 deaths, this year we can use age-specific-CFRs to estimate they will result in 9 deaths. A 75% reduction.
Show this thread",113,125,1.1K
Karl Lauterbach,@Karl_Lauterbach,2021-05-25T17:55:51.000Z,"In den USA kann man in 9 Staaten das Wachstum der Varianten gut vergleichen. Es zeigt sich dort auch, dass indische Variante wahrscheinlich die ansteckendste ist, vor der brasilianischen und der britischen. Da aber die Impfungen wirken rechne ich nicht mit Welle im Sommer.Trevor Bedford
@trvrb
 · May 25
Looking across these nine states, the current ranking of logistic growth rate seems to be B.1.617 > P.1 > B.1.1.7 > B.1.526 > B.1.351. 6/10
Show this thread",133,102,945
Karl Lauterbach,@Karl_Lauterbach,2021-05-25T17:02:40.000Z,"So sehe ich es auch. In Laborstudien wurden schon Varianten gezüchtet, die komplett gegen Impfungen resistent sind. Damit wir diese nicht auch im Patienten bekommen muss jetzt global geimpft werden, um die Fallzahlen zu senken.Eric Topol
@EricTopol
 · May 25
The complete list of variants that are resistant to vaccines.
To keep it like this, we need to achieve global containment",149,173,1.6K
Karl Lauterbach,@Karl_Lauterbach,2021-05-25T16:58:45.000Z,"(2) Die Viruslast bei B117 ist deutlich höher, darin könnte höhere Ansteckung liegen. Die Studie ist wertvoll, weil sie zeigt, dass im Innenraum symptomlose Superspreader grösstes Risiko darstellen dürften. Langfristig würden bessere und schnellere Antigentests helfen.",66,133,1.8K
Karl Lauterbach,@Karl_Lauterbach,2021-05-25T16:58:44.000Z,"(1) Wichtige Studie, 25.000 Pat., von 
@c_drosten
 zeigt: Kinder und Erwachsene ungefähr gleich ansteckend. Höchste Viruslast und wahrscheinlich Ansteckungsrisiko  schon 1-3 Tage vor Symptombeginn. 9% Infizierter „Virussuperspreader“ 30% davon SymptomlosePressemitteilung
charite.de",183,601,2.9K
Karl Lauterbach,@Karl_Lauterbach,2021-05-25T15:34:21.000Z,"Sehr gute Nachricht Wirkung des Moderna Impfstoff bei Kindern >12 Lj. Wenn sich Daten bestätigen läge Schutz vor Infektion sehr hoch, könnte 90 % erreichen. Da keine schweren Nebenwirkungen spricht mE alles für schnelles aber freiwilliges Impfen der KinderCorona: Moderna-Impfstoff offenbar bis zu 100 Prozent wirksam bei 12- bis 17-Jährigen
Das US-Unternehmen Moderna will im Juni die Zulassung seines Coronaimpfstoffs für ältere Kinder und Jugendliche beantragen. Nach Informationen des SPIEGEL zeigt eine Studie eine hohe Wirksamkeit und...
spiegel.de",422,354,3.2K
Karl Lauterbach,@Karl_Lauterbach,2021-05-25T12:03:56.000Z,"Danke auch an 
@UNICEFgermany
 für den Einsatz in Indien. Viele Kinder verlieren ihre Eltern durch Covid und brauchen unsere Hilfe. Hoffentlich spenden noch einige Follower!UNICEF Deutschland
@UNICEFgermany
 · May 25
Replying to @Karl_Lauterbach
UNICEF sagt Danke für die Unterstützung gegen Covid-19 in Indien. Wir sind vor Ort im Einsatz, um das Gesundheitssystem zu stärken und den Kindern und ihren Familien in dieser schweren Krise zu helfen.",103,80,1.2K
