User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
KatjaSuding,@KatjaSuding,2021-05-28T17:28:02.000Z,"Der gestrige #Impfgipfel verfehlt das eigentlich relevante. Es gibt keinen Grund mehr ihnen ein altersgerechtes Leben zu verwehren. #Präsenzunterricht muss sofort und flächendeckend stattfinden - und zwar unabhängig von der Impfung der #Kinder! #fdp #fdpbt
https://watson.de/amp/!504264958",15,22,131
KatjaSuding,@KatjaSuding,2021-05-28T09:08:54.000Z,"Kein Mädchen und keine Frau soll durch Tabuisierung von #Menstruation daran gehindert werden, ihr Potenzial in dieser Welt voll auszuschöpfen. Wir 
@fdpbt
 fordern Zugänge und Aufklärung über Menstruationshygieneprodukte weltweit. #MHDay2021 #ItsTimeforAction",16,14,82
Christian Lindner,@c_lindner,2021-05-25T16:07:06.000Z,"Laut einer Umfrage sind 65 Prozent der Befragten für eine sofortige Rückkehr zum #Präsenzunterricht. Das hat nun höchste Priorität, denn wir dürfen Kinder, Jugendliche und ihre Familien nicht im Stich lassen. ",552,182,1.5K
KatjaSuding,@KatjaSuding,2021-05-25T09:53:47.000Z,"65% sind für eine sofortige Rückkehr zum Präsenzunterricht. Richtig so. Es gibt längst keinen Grund mehr, Kindern ihr Recht auf Bildung auch nur einen Tag länger zu verwehren. #twlz #SchulenöffnenGroße Mehrheit für Rückkehr zum Präsenzunterricht
Berlin (dpa) - Knapp zwei Drittel der Bundesbürger sind unter Einhaltung von Test- und Hygienekonzepten für eine sofortige Rückkehr der Schulen zum Präsenzunterricht. 65,2 Prozent sind einer Umfrage...
faz.net",95,48,249
KatjaSuding,@KatjaSuding,2021-05-23T09:22:16.000Z,"Das #Grundgesetz ist seit 72 Jahren die Grundlage für unsere Bundesrepublik. Und auch wenn kleine Anpassungen immer wieder nötig sind - wie ausbalanciert & kraftvoll es ist, wird in Zeiten wie diesen besonders deutlich. Darum setze ich mich jeden Tag für unsere #Grundrechte ein.",16,10,85
Fraktion der Freien Demokraten,@fdpbt,2021-05-23T06:50:15.000Z,"Heute ist #TagdesGrundgesetzes. Für uns Anlass, euch das härteste Grundgesetz aller Zeiten vorzustellen. Denn für uns steht fest: Unsere Werte sind nicht verhandelbar!  #HärtestesGG #Grundgesetz #GG72",65,157,480
Fraktion der Freien Demokraten,@fdpbt,2021-05-21T14:30:19.000Z,"""Scheinheilig, dass die Koalition ausgerechnet in der #IDAHOBIT2021 -Woche jegliche Beratung zum Gesetz für sexuelle Identität blockiert. Wer am Montag die #Regenbogenflagge hisst, darf der Community am Mittwoch nicht in den Rücken fallen!"" 
@JBrandenburgFDP
 #Artikel3Grundgesetz",8,17,75
KatjaSuding,@KatjaSuding,2021-05-21T07:27:15.000Z,Dann können Bund und Länder in zentralen Fragen zusammenarbeiten. Etwa bei der Einführung bundesweiter Abschlussprüfungen und der dauerhaften  Finanzierung digitaler Endgeräte. Unser Konzept für eine Bildungsnation findet Ihr hier  https://t1p.de/7eq8,,4,10
Bettina Stark-Watzinger,@starkwatzinger,2021-05-19T15:20:06.000Z,"Der Rücktritt von Franziska #Giffey ist konsequent. Die Tatsache, dass das #BMFJSF nun durch Justizministerin Lambrecht betreut wird nicht. Die Themen von Familien, jungen Menschen und Senioren sind gerade in der Coronapandemie wichtig.Frankfurter Allgemeine gesamt
@FAZ_NET
 · May 19
Giffey tritt zurück: Flucht nach vorn (von Heike Schmoll und Markus Wehner, Berlin) http://faz.net/aktuell/politik/inland/giffey-tritt-zurueck-flucht-nach-vorn-17349105.html…",4,7,50
Fraktion der Freien Demokraten,@fdpbt,2021-05-19T12:18:45.000Z,"""Der #Rücktritt von Franziska #Giffey ist richtig. Die Bundeskanzlerin muss das Amt schnell und kompetent nachbesetzen, damit das 
@BMFSFJ
 angesichts der immensen sozialen und psychischen Folgen der monatelangen Isolation für Kinder handlungsfähig ist."" 
@KatjaSuding",14,15,66
