User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Katrin Helling-Plahr,@KatrinHelling,2021-05-21T09:01:39.000Z,"Rede verpasst? Wir fordern ein starkes Recht für moderne Familien!  
#vielzutun #Wechselmodell #Sorgerecht 
Die ganze Rede in der Mediathek: https://dbtg.tv/fvid/75232552:18
1.7K views",9,39,54
Katrin Helling-Plahr,@KatrinHelling,2021-05-28T17:08:34.000Z,"K1 und K2 spielen „Arbeit“. K1: „Mama, ich muss den Termin am Bildschirm durchführen. Mit Video.“ K2 tippt sogleich am imaginären Computer. Hoffe auf baldigen Feierabend.",2,1,11
Katrin Helling-Plahr,@KatrinHelling,2021-05-28T09:48:45.000Z,"Für alle Juristen und Nicht-Juristen: Heute diskutiere ich auf der Fachschaftentagung 
@BundesFSJura
 über eine Reform des Jurastudiums. Die deutsche Juristenausbildung seit 100 Jahren quasi unverändert geblieben - kein akzeptabler Zustand. Start 12 Uhr!10. Bundesfachschaftentagung - 28.05.2021 - Vorprogramm
youtube.com",1,3,8
Katrin Helling-Plahr,@KatrinHelling,2021-05-27T07:46:46.000Z,"Der #Impfgipfel wirft seine Schatten voraus: es deutet alles auf erneutes Chaos hin - leere Worte, kein konkreter Fahrplan. Ich erwarte eine klare Kommunikation, die Menschen nicht verunsichert, sondern aufklärt und Eltern und Kinder zu einer mündigen Entscheidung befähigt.",5,5,46
Katrin Helling-Plahr,@KatrinHelling,2021-05-26T19:22:40.000Z,"Heute war ich zusammen mit vielen anderen Hagener Bürgern an der Synagoge, um meine #Solidarität mit der Jüdischen Gemeinde in #Hagen und den #Juden in ganz Deutschland und Israel auszudrücken. Antisemitismus und Judenfeindlichkeit haben in dieser Stadt keinen Platz!",,4,13
Katrin Helling-Plahr,@KatrinHelling,2021-05-26T13:29:21.000Z,"Hagen zeigt Solidarität mit #Israel. 18.30 Uhr an der Synagoge in der Potthofstraße. Ich bin dabei.Solidaritäts-Kundgebung für jüdische Mitbürger in Hagen
Mit einer Kundgebung vor der Synagoge in Hagen soll Solidarität mit Israel und den Juden bekundet werden. Alle Hagener sind dazu eingeladen.
wp.de",,3,13
Bundesfachschaft Jura,@BundesFSJura,2021-05-25T19:05:15.000Z," Podiumsdiskussion zur #Reform der juristischen Ausbildung mit Mitgliedern aus dem 
@Bundestag
 - 28. Mai 2021 ab 12:00 Uhr | Live auf YouTube

 Anmeldung: http://bundesfachschaft.de/podiumsdiskussion…

Mit 
@PatrickSensburg
 @SteffenSonja
 @KatjaKeul
 @KatrinHelling
 @FrStraetmanns
 @AvonKrause
 @KiraKock",1,10,10
Katrin Helling-Plahr,@KatrinHelling,2021-05-19T13:45:43.000Z,"Dass die Bundesregierung in Coronazeiten für das Familienministerium nicht mehr zu bieten hat als eine rein kommissarische Leitung durch #Lambrecht zeigt, wie unwichtig ihr die Belange der Familien sind. #GiffeyFranziska Giffeys Rücktritt: Justizministerin Christine Lambrecht übernimmt Familienressort
Nach dem Rücktritt von Franziska Giffey wird es vorerst keine neue Familienministerin geben. Ihre Aufgaben übernimmt stattdessen Justizministerin Christine Lambrecht bis zur Bundestagswahl.
spiegel.de",11,27,76
Katrin Helling-Plahr,@KatrinHelling,2021-05-19T09:14:34.000Z,"Den Schritt von Frau #Giffey respektiere ich. Wer auch immer ihre Nachfolge antritt, muss die dringend notwendigen Reformen im #Familienrecht endlich angehen! Es bleibt zu befürchten, dass erst eine neue Bundesregierung mit 
@fdp
-Beteiligung den notwendigen Willen dazu aufbringt.",14,21,121
Katrin Helling-Plahr,@KatrinHelling,2021-05-19T07:33:52.000Z,"Eine #Vaterschaft kann heutzutage schon vor Geburt mittels nichtinvasiver Diagnostik risikolos geklärt werden. Dafür, dass das auch rechtlich möglich wird, streite ich heute im Gesundheitsausschuss. 
Anmeldung zur öffentl. Anhörung um 15.30 -->Deutscher Bundestag - Öffentliche Anhörungen
bundestag.de",2,9,34
Marco Buschmann,@MarcoBuschmann,2021-05-17T18:23:47.000Z,"Insa veröffentlicht den höchsten Wert für die 
@fdp
 seit Bestehen des Instituts. Das ist ziemlich gut, denke ich. Wahlrecht.de
@Wahlrecht_de
 · May 17
Sonntagsfrage zur Bundestagswahl • INSA/BILD: CDU/CSU 25,5 % | GRÜNE 23 % | SPD 16 % | FDP 12,5 % | AfD 11 % | DIE LINKE 6,5 % | Sonstige 5,5 %
➤ Übersicht: https://wahlrecht.de/umfragen/
➤ Verlauf: https://wahlrecht.de/umfragen/insa.htm… #btw21",60,63,931
Katrin Helling-Plahr,@KatrinHelling,2021-05-17T13:43:56.000Z,"Wenn die Stadt Hagen „Missverständnisse“ vermeiden möchte, sollte sie die israelische Fahne schnellstmöglich wieder aufhängen und klar machen, dass sie nicht vor antisemitischer Stimmungsmache einknickt. #IsraelUnderFire #WeStandWithIsraelHeftige Kritik am Einholen der Israel-Flagge in Hagen
Kritik, aber auch Verständnis gab es für die Entscheidung von Hagens Oberbürgermeister Schulz, die Israel-Flagge vor dem Rathaus einzuholen.
wp.de",1,8,16
Katrin Helling-Plahr,@KatrinHelling,2021-05-15T08:32:51.000Z,"Herzlichen Glückwunsch zur Wahl als stellvertretender Bundesvorsitzender der 
@fdp
, lieber 
@johannesvogel
 #bpt21Johannes Vogel
@johannesvogel
 · May 14
Es ist mir eine Ehre, Euer neuer stellvertretender Bundesvorsitzender zu sein, liebe @fdp! So viel zu tun, so viele Chancen – ich freue mich darauf!  #bpt21",2,1,26
FDP,@fdp,2021-05-14T09:24:18.000Z,"Mein persönliches Ziel ist es, dass die Freien Demokraten wieder drittstärkste Kraft in Deutschland werden, so #Kubicki. #Bundestagswahl #bpt21 #VielZuTun",28,43,365
Katrin Helling-Plahr,@KatrinHelling,2021-05-14T12:36:41.000Z,Gleich beim #LiberalenStartInsWochenende zur #Sterbehilfe Einwahllink: https://gotomeet.me/angelafreimuth/lsiw-mit-katrin-helling-plahr-mdb…,,2,6
Katrin Helling-Plahr,@KatrinHelling,2021-05-14T12:12:52.000Z,"Gerade noch #vielzutun mit der besten 
@fdp
 beim #Bundesparteitag. In knapp zwei Stunden geht es dann weiter mit #AngelaFreimuth zur #Sterbehilfe.",1,,13
FDP,@fdp,2021-05-14T10:43:01.000Z,"Unser Wahlziel ist es, so stark zweistellig zu werden, dass sowohl Schwarz-Grün als auch Grün-Rot-Rot keine Mehrheit stellt,  so 
@c_lindner
 #bpt21 #VielZuTun",372,289,1.9K
Katrin Helling-Plahr,@KatrinHelling,2021-05-13T13:22:12.000Z,"Freue mich auf die morgige Diskussion! #Suizidhilfe #LiberalerStartInsWochenendePeter Hanke
@HankeSiegen
 · May 12
Als Liberaler bin ich eh für Selbstbestimmung in allen Lebenslagen. Das gilt für mich auch am Lebensende! Diskutieren Sie mit der tollen Kollegin, @KatrinHelling, über ein, aus meiner Sicht, extrem wichtiges Thema. Selbstbestimmung am Lebensende darf nicht wieder zum Tabu werden.",1,1,6
