User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Roger Beckamp, MdL",@RogerBeckamp,2021-05-28T10:18:56.000Z,"„Das würde doch gut passen, finde ich. Auch an der repräsentativ höchsten Stelle weiterhin Inkompetenz, moralische Überhöhung, linkes Geschwätz, Aktivität gegen den gesunden Menschenverstand. Deutschland ist bereit!“Frank-Walter Steinmeier: Bundespräsident bereit für zweite Amtszeit - WELT
Frank-Walter Steinmeier will weitere fünf Jahre Staatsoberhaupt bleiben: „Ich möchte mich für eine zweite Amtszeit als Bundespräsident zur Wahl stellen“, sagte der 65-Jährige am Freitag. Seine erste...
welt.de",13,40,140
Sven W. Tritschler,@twittschler,2021-05-27T20:33:03.000Z,"Was macht 
@georgrestle
 eigentlich hauptberuflich? 
@WDR
 @Monitor #Monitor",4,4,21
Kay Gottschalk MdB,@KayGottschalk1,2021-05-27T14:47:51.000Z,"Danke für die schöne Zeit 
@FPOE_TV
  @FPOeDonaustadt
  und die Gastfreundschaft! Danke 
@hafi1980
 ! Auf gute Zusamnenarbeit!
@AlternativeNRW
 @AfD
 @AfDimBundestag
 @AfD_Hessen
 @AfDBerlin",4,23,109
"Jörg Schneider, MdB",@Schneider_AfD,2021-05-26T19:57:16.000Z,"Trefft die Bundestagsfraktion in #Gelsenkirchen!
 
29.05.2021, 12 bis 14 Uhr! Mit 
@KayGottschalk1
, Martin E. 
@Renner_AfD
 & mir (""Impfen muss freiwillig bleiben!"")

#AfD #LandesgruppeNRW #NRWLandesgruppe #AfDLandesgruppe #Bundestag https://facebook.com/JoergSchneiderMdB/posts/5436512533086280… https://twitter.com/Renner_AfD/status/1397231519308173317…AfD-Fraktion im Deutschen Bundestag  and 9 others
Martin E. Renner, MdB
@Renner_AfD
 · May 25
Demokratie zurück auf die Marktplätze. Dafür ist Politik da – und da gehört sie hin. Wir sehen uns auf dem Heinrich-König-Platz in #Gelsenkirchen am 29. Mai 2021, 12-14 Uhr.
Eine Veranstaltung der Bundestags-Fraktion
der „Alternative für Deutschland“. ",,68,100
Kay Gottschalk MdB,@KayGottschalk1,2021-05-26T11:51:33.000Z,"Danke fpr die herzliche Begrüßung durch @FPÖClub und 
@hafi1980
 @FPOE_TV",13,50,181
AfD NRW,@AlternativeNRW,2021-05-16T15:39:11.000Z,"Listenplatz 11
Jochen Haug
@Jochen_Haug
#BTW21 #btw #nrw #bundestagswahl2021",6,13,60
Kay Gottschalk MdB,@KayGottschalk1,2021-05-17T08:48:40.000Z,"#afdnrw ⁦
@AlternativeNRW
⁩ ⁦
@AfD
⁩ Ein Superteam für Berlin! Auf in den Wahlkampf! https://facebook.com/100001776277194/posts/3929598597109311/?d=n…",2,16,33
AfD NRW,@AlternativeNRW,2021-05-15T16:10:50.000Z,"Listenplatz 2:
Kay Gottschalk
@KayGottschalk1
#BTW21 #btw #nrw #bundestag",5,24,79
"Berengar Elsner von Gronow, MdB",@ElsnervonGronow,2021-05-13T19:41:43.000Z,"Hier noch einmal einige der Parteifreunde, die sich, wie ich, an den kommenden Wochenenden, um einen Platz auf der Landesliste bewerben werden! Gemeinsam für #Deutschlandabernormal! #AfD #NRW #AfDNRW #Aufstellungsversammlung #Bundestag 
@AlternativeNRW
  https://facebook.com/ElsnervonGronow/photos/a.911575852212619/3963759656994208/…AfD SO and 8 others",,31,70
"Jürgen Braun, MdB",@JuergenBraunAfD,2021-05-13T10:40:00.000Z,"Vielen Dank, liebe Nicole!
Ich freue mich auch auf vier weitere gemeinsame Jahre im #Bundestag. Du bist eine Säule der 
@AfDimBundestag
!
@Nicole_Hoechst
 
#DeutschlandAberNormal:
Für #Grundrechte und Wohlstand! Für #Freiheit und #Grundgesetz! Gegen den grünen Verbotsstaat! #AfD",1,24,55
