User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Thomas L. Kemmerich,@KemmerichThL,2021-05-28T12:34:41.000Z,"Bei öffentlichen Aufträgen soll die sogenannte Preisgleitklausel gelten. Das bedeutet, dass Handwerksfirmen bei öffentlichen Aufträgen das Material entsprechend der tatsächlichen Beschaffungskosten abrechnen können. Ich unterstütze das #Handwerk bei dessen Forderung.",1,1,8
Thomas L. Kemmerich,@KemmerichThL,2021-05-28T12:34:00.000Z,"Betriebe müssen notgedrungen einen Baustopp verhängen und es drohen Vertragsstrafen. Die Unplanbarkeit der Materialkosten hält die Firmen davon ab, sich an öffentlichen Ausschreibungen zu beteiligen. Beides gefährdet #Arbeitsplätze.
Der Thüringer Handwerkstag hat eine Lösung:",1,1,5
Thomas L. Kemmerich,@KemmerichThL,2021-05-28T12:32:56.000Z,"Wir müssen dem #Handwerk aus der Zwickmühle helfen. Die weltweite Nachfrage nach Roh- und Baustoffen steigt, die #Konjunktur zieht wieder an. Die Preise für Materialien ziehen teils extrem an und durch Lieferengpässe geraten immer mehr Projekte ins Stocken. Das hat Konsequenzen.",3,3,12
Thomas L. Kemmerich,@KemmerichThL,2021-05-27T10:54:49.000Z,"Zusage von 
@HeikeWernerTH
 auf Antrag 
@FDPFraktionTH
, bei neuer Verordnung doch auf Terminvereinbarung bei #Außengastronomie zu verzichten, um #Warteschlangen zu vermeiden. Richtig und wichtig! 
@DEHOGA_BV
 #Gastronomie",1,4,15
Thomas L. Kemmerich,@KemmerichThL,2021-05-21T11:00:02.000Z,"Schleswig-Holstein ermöglicht Tourismus, NRW öffnet Hotels für private Gäste, Sachsen will die Testpflicht im Einzelhandel lockern. Wann krempelt endlich auch Herr Ramelow die Ärmel hoch? 
Wir fordern die Landesregierung auf, die Corona-Verordnung bürgerfreundlich anzupassen.",2,2,11
Thomas L. Kemmerich,@KemmerichThL,2021-05-21T10:59:24.000Z,"Es braucht bürgerfreundliche Lösungen, die machbar sind. Warum braucht es eine Anmeldepflicht in Biergärten? Vertraut die Landesregierung nicht auf Kontaktnachverfolgung und #Hygienekonzepte? 
Die Regelungen müssen an die Lebenswirklichkeit angepasst werden.",4,2,17
Thomas L. Kemmerich,@KemmerichThL,2021-05-21T10:58:28.000Z,"Der #Einzelhandel und die Außengastronomie darf in einigen Städten wieder öffnen. In #Thüringen wird es ihnen jedoch mit teils absurden Auflagen erschwert.
Unsinnige Vorschriften aus der Corona-Verordnung müssen gestrichen werden.",2,3,22
Thomas L. Kemmerich,@KemmerichThL,2021-05-17T14:11:48.000Z,"Heute schon an morgen denken: Wir wollen #Hochschul-#Wissenschaftlern ein #FoundingSabbatical ermöglichen. Viele Forscher haben zukunftsträchtige Geschäftsideen, allzu häufig fehlt ihnen angesichts ihrer Lehrverpflichtung aber der Spielraum, ihre Vision am Markt zu erproben.",,2,11
Thomas L. Kemmerich,@KemmerichThL,2021-05-17T14:05:27.000Z,"Angesichts des unter 100 fallenden #Inzidenzwert lässt 
@landnrw
 zu, dass Hotels und Pensionen wieder private Gäste empfangen. Was im bevölkerungsreichsten Bundesland erlaubt ist, muss auch in #Thüringen möglich sein. Erfurt, Weimar, Jena liegen unter 75. 
@DEHOGA_BV",2,3,22
Thomas L. Kemmerich,@KemmerichThL,2021-05-07T08:17:09.000Z,"Fördergelder und Absichtserklärungen zur #Infrastrukturförderung werden verpuffen, wenn wir es nicht schaffen, die Weichen für einen ausgeglichenen Wettbewerb auf dem #Energiemarkt zu stellen.Thomas L. Kemmerich
@KemmerichThL
 · May 7
Debatte im @ThuerLandtag zu Wasserstoff. Für #Klimaschutz und #Wirtschaft ist das Potential enorm. Wir brauchen einen ökologischen Ordnungsrahmen, der mit den Mitteln der #sozialen #Marktwirtschaft marktreife Lösungen ermöglicht. Deutschland kann #Weltmarktführer werden.",,1,5
Thomas L. Kemmerich,@KemmerichThL,2021-05-07T08:10:38.000Z,"Debatte im 
@ThuerLandtag
 zu Wasserstoff. Für #Klimaschutz und #Wirtschaft ist das Potential enorm. Wir brauchen einen ökologischen Ordnungsrahmen, der mit den Mitteln der #sozialen #Marktwirtschaft marktreife Lösungen ermöglicht. Deutschland kann #Weltmarktführer werden.",,4,10
Thomas L. Kemmerich,@KemmerichThL,2021-05-07T04:17:07.000Z,"Im #plenumTH: unsere Anträge zur #Digitalisierung des #Gesundheitswesen|s.
– Erhöhung der Versorgungssicherheit durch #Telemedizin.
– Die Stärkung der digitalen Gesundheitskompetenz von Patienten.
– Ein Kompetenzzentrum, das Aktivitäten bündelt und Modellprojekte initiiert",,1,11
Thomas L. Kemmerich,@KemmerichThL,2021-05-06T04:00:00.000Z,"Der 
@ThuerLandtag
 berät heute im #plenumTH Anträge der FDP-Fraktion:
– #Schüler|n den Zugang zu #Nachhilfe-Angeboten erleichtern
– Aufarbeitung des in der #DDR begangenen Unrechts
– Anspruch auf Kurzarbeitergeld für Chefs von pandemiebedingt geschlossenen Kleinbetrieben",,2,10
Dr. Georg Kofler,@georg_kofler,2021-04-29T19:19:23.000Z,"Komische Überschrift: ich spende doch nicht aus Angst, sondern aus Überzeugung! Lest das Wahlprogramm der FDP. Eine intellektuelle Freude für alle, denen Freiheit, Marktwirtschaft, Unternehmertum, Eigenverantwortung und Leistungsbereitschaft am Herzen liegen! #FDP 
@c_lindner",68,226,1.8K
Thomas L. Kemmerich,@KemmerichThL,2021-04-27T11:16:14.000Z,"Grenzwerte wie #Inzidenz165  für #Schulschließungen sind nicht wissenschaftlich begründet. Sie wurden politisch festgesetzt. Für eine realistische Einschätzung der #Pandemie stehen uns andere, wissenschaftlich fundierte Parameter zur Verfügung.",2,5,36
Thomas L. Kemmerich,@KemmerichThL,2021-04-27T10:06:40.000Z,"""Das Wegräumen der Tische und Stühle auf der #Buga21 war die falsche Entscheidung. Wir sollten überall Außengastronomie erlauben - auf der Buga, in ganz Erfurt, überall in Thüringen.""
#kommtzuTisch: Hygienekonzepte   frische Luft 
https://bit.ly/3aE4g3m",,2,11
Thomas L. Kemmerich,@KemmerichThL,2021-04-25T18:19:32.000Z,"Leider keine Fake sondern tatsächlich so auf #BUGA in EF. 
Was denken sich die Verantwortlichen nur? Schlag ins Gesicht derjenigen, die seit Monaten #Gastronomie oder Laden schließen mussten. Gebt endlich eine schnelle und nachvollziehbare #Perspektive.
@bodoramelow
 @ob_bausewein",3,6,28
