User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Elvan Korkmaz-Emre,@KorkmazGT,2021-05-27T15:43:21.000Z,"Das zeigt noch einmal eindrücklich, wie gravierend die Sicherheitslücken der #LucaApp sind! Die #CWA funktionert auch längst für die #gastronomie.Marcus Mengs
@mame82
 · May 26
#LucaApp Sicherheitslücke (Video): 
Luca-Nutzer greift Gesundheitsamt mittels manipulierter Kontakdaten an und stiehlt Daten weiterer Nutzer.

Volles Video - einschl. Fortführung des Angriffs bis zur Infektion des Gesundheitsamtes mit Ransomware - im nächsten Tweet verlinkt
Show this thread",1,1,11
Elvan Korkmaz-Emre,@KorkmazGT,2021-05-25T17:01:28.000Z,"Aus dem heutigen Gespräch mit dem #IT -Mittelstand wieder die Bestätigung: In der kommenden Legislatur braucht es wohl einen Innenminister, der die #Digitalisierung als Chance und nicht als Problem versteht. 
@spd_netzpolitik
 (3/3)",,,4
Elvan Korkmaz-Emre,@KorkmazGT,2021-05-25T16:59:51.000Z,"Aus dem heutigen Gespräch mit dem IT-Mittelstand wieder die Bestätigung: Eine kluge #Digitalstrategie kann Abhängigkeiten vermeiden und die #Wirtschaft fördern. Wir brauchen eigenes Know-How in den Behörden und Veränderungen in der Ausschreibungspraxis. 
@spd_netzpolitik
 (2/3)",,,7
Elvan Korkmaz-Emre,@KorkmazGT,2021-05-25T16:58:10.000Z,"Heute wieder ein interessantes Gespräch mit dem #IT -Mittelstand und wieder die Bestätigung: Wir brauchen uns nicht verstecken. Deutschland muss die Verwaltungsdigitalisierung nicht den großen Tech-Konzernen überlassen. 
@spd_netzpolitik
 #Digitalisierung  (1/3)",,,1
Elvan Korkmaz-Emre,@KorkmazGT,2021-05-21T13:42:24.000Z,"Und Kommunen müssen endlich die Möglichkeit haben, Überholverbote auf #Landstraßen auszusprechen! #VisionZero 
@spdde
 @spdbt
 @DVR_info
 @staedtetag
  (3/3)",,1,12
Elvan Korkmaz-Emre,@KorkmazGT,2021-05-21T13:40:10.000Z,"Kommunen brauchen endlich die Möglichkeit auch außerhalb von Gefahrenzonen auf einzelnen Straßen #Tempo30 festzulegen! #VisionZero 
@spdde
 @spdbt
 @DVR_info
 @staedtetag
 (2/3)",3,11,46
Elvan Korkmaz-Emre,@KorkmazGT,2021-05-21T13:38:09.000Z,"Wir brauchen nicht nur eine #Verkehrswende, sondern eine Verkehrssicherheitswende! Und zwar mit dem Ziel, die Zahl der im Straßenverkehr Getöteten und Schwerverletzten zu halbieren!  #VisionZero 
@spdde
 @spdbt
 @DVR_info
 @staedtetag
 (1/3)",5,7,19
Elvan Korkmaz-Emre,@KorkmazGT,2021-05-13T09:53:02.000Z,"Die #Digitalisierung der öffentlichen Hand entscheidet sich in den Kommunen, hier brauchen wir mehr Experimentierräume, garantierten Wissenstransfer und dann eben auch mal die Bereitschaft zur Veränderung! 
@Digitaler_Staat
 @spdbt
 @spd_netzpolitik",,3,12
Elvan Korkmaz-Emre,@KorkmazGT,2021-05-12T14:42:21.000Z,"Wichtig ist vor allem, dass wir die #Digitalisierung in den Kommunen schaffen - hier fallen mehr als 2/3 aller Verwaltungsleistungen an. Unser Föderalismus ist da Chance und kein Hindernis! 
@spdbt
 @spd_netzpolitik
 #BTW21Digitaler Staat
@Digitaler_Staat
 · May 12
Zeit für das erste Panel des Tages: @EChProll diskutiert mit Prof. Dr. Gisela Färber (FÖV), @PlateTobias (Bundeskanzleramt), Elvan @KorkmazGT (@spdbt), @eGovGoebel (@Digital_BBL) und @MatOberndoerfer (@KPMG_DE) den Einstieg in den Paradigmenwechsel. #Digistaat",1,1,6
Elvan Korkmaz-Emre,@KorkmazGT,2021-05-10T12:01:04.000Z,"Digitale Souveränität heißt für mich: frei sein von der Abhängigkeit zu anderen Staaten oder privaten Unternehmen und frei sein für die gemeinwohlorientierte Gestaltung von digitaler Infrastruktur und Plattformen! 
@spd_netzpolitik
 @spdde
 #Digitalisierung #BTW21Dataport
@Datareport
 · May 10
„Digitale Souveränität ist das Schlüsselthema des digitalen Zeitalters“: @BizerJohann diskutiert heute auf dem Kongress #digistaat, wie der Staat die Kontrolle über seine IT und Daten behält. U.a. mit @annachristmann, @anncathrin87, @KorkmazGT und @fred_blachetta. #Dataport",1,2,9
