User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
MdB Sören Pellmann,@LINKEPELLI,2021-05-29T09:39:21.000Z,"Heute mit der #Gerechtigkeitstour von 
@LINKE_LTSachsen
 & 
@Linksfraktion
 in #Leipzig 

11–13 Uhr Lößnig/Silbersee
14–16 Uhr Mariannenpark
17–19 Uhr Auensee/Parkeisenbahn

#machtdasLandgerecht #istdasgerecht",,,4
LINKE LandesgruppeSN,@linke_lg_sn,2021-05-28T19:43:57.000Z,"17,5 Prozent weniger Lohn im #Osten. Wir kämpfen für eine #Lohnangleichung Ost-West! #istdasgerecht #wirmachendaslandgerecht http://istdasgerecht.orgKerstin Köditz and 2 others",,8,19
MdB Sören Pellmann,@LINKEPELLI,2021-05-27T16:00:23.000Z,"Lesung „Kein Örtchen. Nirgends.“MdB Sören Pellmann
@LINKEPELLI
Lesung „Kein Örtchen. Nirgends.“
pscp.tv",1,1,9
MdB Sören Pellmann,@LINKEPELLI,2021-05-27T09:22:44.000Z,"Das (Wohn-)#Kapital ist hartnäckig. 
@dieLinke
 auch. 

Was soll an die #Connewitz|er Spitze: Luxuswohnungen und Spekulationsobjekte oder Grünflächen? #leipzig",3,7,30
MdB Sören Pellmann,@LINKEPELLI,2021-05-26T07:29:34.000Z,"Mit unserer #Gerechtigkeitstour von 
@Linksfraktion
 & 
@LINKE_LTSachsen
 heute in Leipzig. 

9–11 Uhr Kleiner Willy-Brandt-Platz
12–14 Uhr Leuschnerplatz
15–17 Uhr Augustusplatz
#istdasgerecht #machtdaslandgerecht 
http://istdasgerecht.org",18,18,38
MdB Sören Pellmann,@LINKEPELLI,2021-05-25T18:09:58.000Z,"Heute mit 
@Marikat5
 und 
@Bedam99
 in Mittelsachsen auf unserer #Sporttour unterwegs gewesen. Spannende Gespräche geführt und einige Hausaufgaben für den #Sportausschuss im #Bundestag mitgenommen. #Sport #Vereine",,3,13
DBSV,@DBSV,2021-05-20T09:46:30.000Z,"„Mutlos und unambitioniert“ – die #GroKo lässt bei der #Barrierefreiheit nur wenig Fortschritt zu. Heute wird das #Barrierefreiheitsstärkungsgesetz (#BFSG) im Bundestag verabschiedet - und es hat enttäuschende Schwächen.
 https://dbsv.org/pressemitteilung/10-global-accessibility-awareness-day-am-20-mai-2021.html…
#Barrierefreiheitsrecht #GAADHeiko Kunert and 8 others",1,26,31
MdB Sören Pellmann,@LINKEPELLI,2021-05-20T09:09:11.000Z,"Heute ist der #WelttagderBiene 

Der Tag soll auf den #Bienenschutz aufmerksam zu machen. Vielleicht ist heute daher ein guter Tag, um einfach mal ein paar #Blumen zu pflanzen? Samen bekommt man zum Beispiel in Leipzig beim 
@Oekoloewe
.

#biene #worldbeeday 
@Linksfraktion",3,4,17
Adam Bednarsky,@Bedam99,2021-05-19T17:51:26.000Z,"Guter #SRLE-Antrag für den #Sport in #Leipzig. Hoffe auf Zustimmung und danke an 
@monikalazar
 & 
@LINKEPELLI
!
Via 
@LVZAusbau der Leipziger Sportstätten: Finanzielle Förderung vom Bund notwendig
Aktuell stellt die Stadt Leipzig jährlich 2,5 Millionen Euro zur Unterhaltung und zum Ausbau von Sport- und Trainingsflächen zur Verfügung. Damit aber alle Anlagen modernisiert werden können, wäre...
sportbuzzer.de",,3,9
linksfraktion,@Linksfraktion,2021-05-19T12:15:53.000Z,".
@GregorGysi
: Was wir im Nahen Osten brauchen, sind zwei Staaten mit einer politischen, ökonomischen, sozialen, kulturellen und moralischen Perspektive, einmal für die Israelis und einmal für die Palästinenser. Damit es endlich im Interesse aller Menschen dort #Frieden gibt.",13,49,125
DIE LINKE. Leipzig,@DIELINKELeipzig,2021-05-19T08:35:58.000Z,"#Unterstützung: Am 6. Juni ist Landtagswahl in Sachsen-Anhalt. Wir helfen den GenossInnen von 
@dielinkelsa
  beim Wahlkampf und fahren ins Nachbarbundesland. Macht mit und meldet euch im Liebknecht-Haus.
#wählengehen #besserdielinke #ltwlsaDIE LINKE. Leipzig and 2 others",1,4,22
MdB Sören Pellmann,@LINKEPELLI,2021-05-18T18:22:29.000Z,"Gespräch mit 
@DietmarBartsch
 bei der 
@LIZ_deL-IZ.de
@LIZ_de
 · May 18
Keine Zeit für Spekulationen: Im Gespräch mit Dietmar #Bartsch, Spitzenkandidat der Linkspartei zur #Bundestagswahl + #Video 

https://l-iz.de/politik/leipzig/2021/05/keine-zeit-fuer-spekulationen-im-gespraech-mit-dietmar-bartsch-spitzenkandidat-der-linkspartei-zur-bundestagswahl-video-390853… via @LIZ_de 

@DietmarBartsch @LINKE_LTSachsen @DIELINKELeipzig @LINKEPELLI @dieLinke #btw21",,4,6
DIE LINKE. Fraktion im Leipziger Stadtrat,@LinksfraktionLe,2021-05-18T08:30:00.000Z,"In den vergangenen Tagen kam es in mehreren Regionen Deutschlands zu verbalen und tätlichen Angriffen auf jüdische Mitbürgerinnen und Mitbürger. 
@LINKEPELLI
 : ""Es steht außerfrage: Wir stehen solidarisch an der Seite von Jüdinnen und Juden - gegen jede Form des Antisemitismus.""",,3,11
MdB Sören Pellmann,@LINKEPELLI,2021-05-17T08:56:52.000Z,"Seit 10:30 im Ausschuss für Arbeit und Soziales des #Bundestag|es für 
@Linksfraktion
 es geht ums #Barrierfreiheitsgesetz - Donnerstag dann auch im Plenum, viel Zeit bleibt nicht mehr für Verbesserungen. Live unter http://bundestag.de",1,4,10
