User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
BM der Justiz und für Verbraucherschutz,@BMJV_Bund,2021-05-28T10:25:26.000Z,Bundesministerin Christine Lambrecht begrüßt die Einigung zur #Frauenquote für Unternehmensvorstände. #FüPoG2,16,8,23
Olaf Scholz,@OlafScholz,2021-05-28T10:33:15.000Z,"Das ist eine gute Nachricht: Bundespräsident Steinmeier steht für eine zweite Amtszeit zur Verfügung. Er ist ein Präsident, der wichtige gesellschaftliche Themen anspricht, der Brücken baut und Wege aufzeigt. Und der viel Respekt und breite Unterstützung in unserem Land genießt.Süddeutsche Zeitung
@SZ
 · May 28
Bundespräsident: Steinmeier will für zweite Amtszeit kandidieren https://sz.de/1.5306489?utm_source=Twitter&utm_medium=twitterbot&utm_campaign=1.5306489…",21,21,200
BMAS,@BMAS_Bund,2021-05-27T14:30:44.000Z,"Die Produkte, die wir täglich nutzen, werden in der ganzen Welt produziert. Damit #Menschenrechte dabei nicht missachtet werden, nimmt das #Lieferkettengesetz deut. Unternehmen ab 2023 in die Verantwortung, diese entlang ihrer Lieferketten zu achten.
 http://wirtschaft-menschenrechte.de",16,15,53
Christian Lange,@LangeMdB,2021-05-27T08:58:32.000Z,"Im Gespräch mit den Vorsitzenden unserer israelischen Schwesterparteien 
@MeravMichaeli
 & 
@NitzanHorowitz
 erörtern wir die aktuelle Situation in  im Rahmen des Gesprächskreises Israel der 
@spdbt
 ",,,12
Christian Lange,@LangeMdB,2021-05-23T09:27:29.000Z,"Ermutige am heutigen #TagdesGrundgesetzes für das 
@BMJV_Bund
 die TeilnehmerInnen des Festaktes des Bündnisses für Demokratie & Toleranz #BfDT : gut, dass ihr den demokratischen Rechtsstaat verteidigt! Ihr zeigt Gesicht und habt Mut für unsere Grundrechte einzustehen ",3,1,8
Christian Lange,@LangeMdB,2021-05-23T06:01:18.000Z,Allen einen wunderschönen Sonntag des Grundgesetzes  #TagdesGrundgesetzes,,1,10
Stuttgarter Zeitung,@StZ_NEWS,2021-05-19T11:50:21.000Z,"Justizministerin Christine Lambrecht soll Giffeys Amt übernehmen #FranziskaGiffey #ChristineLambrechtNach Rücktritt der Bundesfamilienministerin: Justizministerin Christine Lambrecht soll Giffeys Amt...
Franziska Giffey hat angesichts anhaltender Diskussionen um ihre Doktorarbeit am Mittwoch um ihre Entlassung aus dem Bundeskabinett gebeten. Jetzt soll Justizministerin Christine Lambrecht das Amt...
stuttgarter-zeitung.de",,4,2
Christian Lange,@LangeMdB,2021-05-19T11:14:30.000Z,"Interessant...Grünen-Chefin Annalena Baerbock meldet Nebeneinkünfte bis zu 37.000 Euro an
Grünen-Chefin und Kanzlerkandidatin Annalena Baerbock hat dem Bundestag Nebeneinkünfte aus den Jahren 2018 bis 2020 nachgemeldet. Dabei soll es sich um eine Summer bis zu 37.000 Euro handeln. Das...
focus.de",12,4,39
AJC Berlin,@AJCBerlin,2021-05-18T12:56:10.000Z,"Angesichts des massiven Raketenbeschusses auf  & der antisemitischen Ausschreitungen in  in den vergangenen Tagen rufen wir mit einem breiten zivilgesellschaftlichen Bündnis für Donnerstag, 20.05.21, 19 Uhr zu einer Solidaritätskundgebung in Berlin auf dem Pariser Platz auf.",10,35,126
Christian Lange,@LangeMdB,2021-05-17T08:59:08.000Z,"#internationaldayagainsthomophobia 
@spdbt",5,1,22
