User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Es geht LOS,@esgeht_los,2021-05-28T12:06:38.000Z,"Gestern waren wir mit 
@LieblingXhain
 und 
@ThomasHeilmann
 zur Raumbesichtigung im #Bundestag und sind schon jetzt ganz hin und weg von diesen tollen Räumen! #Wahlkreisrat coming soonAnthony Molina and Paul Naudascher",,3,8
Kim Manuel Künstner,@kmk2108,2021-05-28T08:41:04.000Z,"Hört auf Menschenleben zu gefährden und haltet den Radstreifen frei. Kontrollfrage: ist es so dringend genau an dieser Stell zu halten, dass ihr den motorisierten Verkehr hierfür blockieren würdet? Wenn nein, dann runter vom Radstreifen.Canan Bayram
@LieblingXhain
 · 12h
Es macht fassungslos: Wieder wurde eine Radfahrerin vom Fahrer eines LKW getötet. Fahrer eines Transporters hatte den Radstreifen zugeparkt & blockiert. Somit wurde die Radfahrerin zum Ausweichen gezwungen und vom LKW überfahren #Friedrichshain #stopkillingcyclists #visionzero",3,3,20
Canan Bayram,@LieblingXhain,2021-05-28T08:05:38.000Z,Es macht fassungslos: Wieder wurde eine Radfahrerin vom Fahrer eines LKW getötet. Fahrer eines Transporters hatte den Radstreifen zugeparkt & blockiert. Somit wurde die Radfahrerin zum Ausweichen gezwungen und vom LKW überfahren #Friedrichshain #stopkillingcyclists #visionzero,6,24,77
Canan Bayram,@LieblingXhain,2021-05-27T13:00:19.000Z,"Geht’s noch? Habe ich das richtig gehört, dass Frank Thelen dümmlichen Höhlenvergleich bemüht, um Wahlprogramm von Bündnis 90/Die #Grünen zu diskreditieren. Wer keine echten Argumente gegen Annalena #Baerbock vorbringen kann, begnügt sich mit dumpfem dissen #maischberger",9,3,38
AWO Berlin - Arbeiterwohlfahrt Landesverband,@AWOBerlin,2021-05-27T11:55:23.000Z,"Wir diskutieren heute u. a. mit 
@LieblingXhain
 & 
@NiemaMovassat
 über eine Reform der #Ersatzfreiheitsstrafen. Jährlich werden in D ca. 50.000 Menschen mit Ersatzfreiheitsstrafe inhaftiert. Wir fordern: Geldstrafen müssen sozial gerecht & Ersatzfreiheitsstrafen verkürzt werden.",,3,8
Canan Bayram,@LieblingXhain,2021-05-27T10:36:03.000Z,"#Mietenwahnsinn Vermieter haben Freiheiten, wen sie mit Treppenhausreinigung oder Winterdienst betrauen, und entscheiden,ob bspw ein Spielplatz 1 x im Monat oder in der Woche kontrolliert wird. #Vonovia bestellt, Vonovia kassiert - der Mieter muss zahlen. https://spiegel.de/consent-a-?targetUrl=https%3A%2F%2Fwww.spiegel.de%2Fwirtschaft%2Funternehmen%2Fvonovia-wie-der-wohnungskonzern-seine-mieter-schroepft-a-1238110.html…",3,1,8
Canan Bayram,@LieblingXhain,2021-05-26T14:40:43.000Z,"Bahnbrechende Gerichtsentscheidung gegen #shell in Niederlande. Weltweit nimmt Zahl der Klagen für mehr #Klimaschutz weiter zu: Aktuell laufen rund 1.700 Verfahren, mehrere davon gegen Energiekonzerne. Und es könnten nun noch mehr werden #ClimateJusticeKlimaschutz: Umweltverbände haben den Ölkonzern Shell verklagt – mit Erfolg
Sieben Umweltschutzverbände haben Shell vor einem Gericht in Den Haag verklagt. Die Entscheidung ist ein Signal für den Klimaschutz: Der Konzern ist verantwortlich. Er muss seinen CO₂-Ausstoß um 45...
spiegel.de",,7,20
Canan Bayram,@LieblingXhain,2021-05-22T09:10:46.000Z,"Morgen geht’s wieder auf die Straße gegen den #Mietenwahnsinn und damit es endlich heißt: Die Häuser denen,die drin wohnen - Denn die Häuser sind unser Zuhause und nicht Euer Renditeobjekt 
@f_schmidt_BB
 @kaddinsky
 @jul_schwarze
 @VasiFranco
 @BurkertEulitz
 @DrTurgutAltug
 @XhainWK4#Mietenwahnsinn-Bündnis
@MietenwahnsinnB
 · May 5
Aufruf an alle Mieter:innen Berlins: 

Kommt zur Mietendemo am 23.05. um 13:00 Uhr am Potsdamer Platz um — mit Maske und Abstand — ein Zeichen gegen den #Mietenwahnsinn zu setzen: JETZT ERST RECHT! 

 https://facebook.com/events/186108386667843…  (Thread 1/6)
Show this thread",6,4,28
Marcus Mittermeier,@MMittermeier,2021-05-21T21:58:02.000Z,"Bundestagswahl: bitte gerne RT:
Wenn am Sonntag #BTW21 wäre, wen würden Sie wählen:CDU/CSU
5.5%
SPD
10.7%
Grün
74.2%
FDP
9.6%
43,331 votes
·
Final results",1.2K,1.6K,2K
Canan Bayram,@LieblingXhain,2021-05-21T10:29:57.000Z,"Dazu fällt mir nur ein Zitat ein „When they go low, we go high“ |
Wer meint, dass #baerbockverhindern politische Auseinandersetzung ersetzen kann, ist im politischen Anspruch krass tief gesunken #CDU #CSU",2,6,87
Canan Bayram,@LieblingXhain,2021-05-21T08:04:37.000Z,"Mit unserem Entwurf haben wir einen ausgewogenen und verfassungskonformen Gesetzentwurf eingebracht, bei dem ich mich insbesondere an den Regelungen in anderen europäischen Ländern orientiert habe. Hierzu hatte der wissenschaftliche Parlamentsdienst ein Gutachten erstellt",,2,2
