User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Gerhard Eggert,@ZDFWATCH,2021-05-27T14:46:35.000Z,"Replying to 
@spdbt
 and 
@KatjaMastTja, auf die 
@cducsubt
 ist wie immer Verlass! Auch auf den letzten Metern. Was wäre dieses Land ohne Kanzlerin Merkel, die 
@CDU
 und die 
@CSU
 ? Danke! 
@rbrinkhaus
 @MGrosseBroemer
 cc: 
@schneidercar",,1,2
Lüneburger Heide,@LueneburgerHeid,2021-05-26T14:45:34.000Z,"Sonnenaufgang im Tiefental im Heidesommer. Bald ist es wieder soweit.Lüneburger Heide buchen:
lueneburger-heide.de",,3,14
Polizei LK Harburg,@Polizei_WL,2021-05-26T09:28:47.000Z,"In #Egestorf haben Ubk. am Wochenende einen Aufsitzrasenmäher aus einem Schuppen auf dem Friedhofsgelände gestohlen. Dazu suchen wir Zeugen. 
Das und mehr in der PM:POL-WL: Aufsitzrasenmäher gestohlen ++ Seevetal/Meckelfeld - Feuer in Einfamilienhaus ++ Buchholz -...
Egestorf (ots) - Aufsitzrasenmäher gestohlen In der Zeit zwischen dem 21. und 25. Mai 2021 haben Diebe einen Aufsitzrasenmäher aus dem Geräteschuppen des Friedhofs gestohlen....
presseportal.de",,2,1
James Felton,@JimMFelton,2021-04-19T07:49:18.000Z,"Everybody under 40 waiting on their vaccinesFrom 
Zahradeen A. G.",320,10.5K,42.5K
GreenWatch,@Watch_Greens,2021-05-25T07:30:14.000Z,"#Frankfurt: Sarah Sorge sieht in den Nominierungen der #Gruenen für den neuen Magistrat der Stadt eine Frauenbenachteiligung. Von 5 Kandidaten sind 3 Männer. Sie hat daher einen Antrag eingebracht, dass die Partei nun 3 Frauen für den Magistrat aufstellt.Frankfurt: Grüne Basis streitet für Frauenstatut
Der Vorschlag für die Besetzung der Posten im Frankfurter Magistrat stößt auf Kritik - denn eigentlich soll der paritätisch erfolgen.
fr.de",20,29,138
Olaf Gersemann,@OlafGersemann,2021-05-23T13:51:00.000Z,"Meine tägliche Lieblingsgrafik... 

Die #Corona-Inzidenz in der besonders vulnerablen Altersgruppe 80+ sinkt von 27 auf nur noch 25.

In der Altersgruppe 60-79 fällt sie von 37 auf 35.

 in beiden Gruppen das niedrigste Niveau seit Beginn der 2. Welle im Herbst 
@welt",10,11,108
M. Grosse-Brömer,@MGrosseBroemer,2021-05-19T16:18:27.000Z,"Allensbach-Umfrage: Aufwind für 
@ArminLaschet
! Union wieder vor den Grünen, Verluste für SPD und Linke https://faz.net/-gpg-abuf8?GEPC=s3… # via 
@faznetAllensbach-Umfrage: Union wieder vor den Grünen, Verluste für SPD und Linke
Aufwind für Armin Laschet: Laut einer Allensbach-Umfrage im Auftrag der F.A.Z. zieht die Union bei der Sonntagsfrage wieder an den Grünen vorbei. Auch die SPD verliert an Zustimmung.
faz.net",31,35,219
Andreas Hallaschka,@Hallaschka_HH,2021-05-17T10:24:21.000Z,"Ich spotte oft über die #Gendersprache.
Aber bei Nicole Diekmann vom ZDF sieht man, dass geschlechtergerechte Sprache eine organische und leicht verständliche Sache ist. From 
Max #IStandWithIsrael",450,510,1.9K
Diana Kinnert,@DianaKinnert,2021-05-18T17:48:07.000Z,"Jemand, der sein Regieren nicht absolut setzt, sondern abwägt, wagt, und auch bereit ist, sich zu entschuldigen. Ich freue mich, in diesem Sommer für 
@ArminLaschet
 als meinen Kanzlerkandidaten streiten zu dürfen. 
@cdu",76,70,431
Paul Ziemiak,@PaulZiemiak,2021-05-18T07:12:09.000Z,".
@ArminLaschet
 ist ein Politiker, der seine Politik aus grundsätzlichen Überzeugungen ableitet. Jemand, der das Individuum und die Gemeinschaft im Blick hat. Jemand, der abwägt und und entscheidet. Politik aus Überzeugung. #P7Spezial",307,108,449
Lars Zimmermann,@larszimmerm,2021-05-17T17:01:20.000Z,"So isses.From 
CDU Deutschlands",5,17,122
M. Grosse-Brömer,@MGrosseBroemer,2021-05-17T12:48:58.000Z,"Sind schwierige Fragen zu Wahlaussagen der Grünen überhaupt erlaubt? Thomas Jarzombek
@tj_tweets
 · May 16
Ich würde gerne von @ABaerbock wissen: um wieviel sollen Flüge in Europa und nach Übersee verteuert werden? 
Inlandsflüge verursachen kaum mehr als 5-7% am Klimaeffekt des deutschen Flugverkehrs. Damit lässt sich also kein großer Effekt erzielen. 
https://zeit.de/politik/deutschland/2021-05/gruene-annalena-baerbock-kurzstreckenfluege-solar-kimaschutz…",12,9,72
Georg Meck,@MeckGeorg,2021-05-15T12:59:35.000Z,"Noch mehr Arbeit für 
@Die_Gruenen
 - und 
@FridayForFuture
 -Aktivistin 
@Luisamneubauer
:  Grünen-Wähler fahren laut Umfrage am häufigsten SUV. Und worauf stehen die Anhänger der Union? Die Antwort morgen in der #FAS 
@faznet",64,148,642
Ulf Poschardt,@ulfposh,2021-05-14T20:10:13.000Z,"„Und etwas Nachsicht mit mir als Auslöser. Das nächste Mal speichere ich solche Videos offline. Großes Ehrenwort.“

Unser 
@_donalphonso
 über das Völkerrecht Video: wie er es fand und warum er es eigentlich gar nicht bringen wollte.

https://welt.de/kultur/deus-ex-machina/plus231149793/Don-Alphonso-Kuehemelker-Habeck-und-die-andere-Welt-des-Medienlieblings-Baerbock.html?cid=socialmedia.twitter.shared.web… via 
@weltDon Alphonso: Kühemelker Habeck und die andere Welt des Medienlieblings Baerbock - WELT
Millionen Steuergelder werden in Berlin verpulvert, um Kandidaten anderer Parteien bei Wählern unbeliebt zu machen. Das geht auch billiger – ohne Absicht, ohne Lüge, nur mit dem tiefen Fall auf...
welt.de",43,37,270
M. Grosse-Brömer,@MGrosseBroemer,2021-05-16T16:20:57.000Z,Was für ein spannendes Finale im Handballpokal der Frauen. Die Füchse aus Buchholz-Rosengarten machen ein tolles Spiel. #DHB-Pokal #final4,1,,8
