User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Mariana Harder-Kühnel, MdB",@M_HarderKuehnel,2021-05-28T12:56:25.000Z,"+++ #GroKo beschließt #Frauenquote: Union biedert sich Grünen schamlos an! +++
Zum wiederholten Male wird deutlich: Wer Schwarz wählt, der bekommt Grün. Wer dagegen einem sozialistischen Staat einen freiheitlichen vorzieht, der sollte Blau wählen!
 https://facebook.com/M.Harder.Kuehnel/posts/866759717243329…",21,73,303
"Mariana Harder-Kühnel, MdB",@M_HarderKuehnel,2021-05-25T09:52:15.000Z,"++ Gratulation an unser neues Spitzenduo! ++
Mit 71 % der abgegebenen Stimmen können 
@Alice_Weidel
 & 
@Tino_Chrupalla
 nun gestärkt in den #Bundestagswahlkampf gehen.
Als hessische Spitzenkandidatin freue ich mich schon jetzt auf gemeinsame erfolgreiche Veranstaltungen in Hessen!",14,95,370
Tino Chrupalla,@Tino_Chrupalla,2021-05-23T08:34:58.000Z,"Diese Hausdurchsuchung ist ein Politskandal, der seinesgleichen sucht. Mitten im Wahlkampfjahr wird die Schikane der Opposition auf eine neue Stufe gehoben. Was auch kommt, wir lassen uns nicht einschüchtern!Hausdurchsuchung bei AfD-Landeschef Höcke - Ermittlungen wegen Volksverhetzung | MDR.DE
Das Haus von AfD-Landeschef Björn Höcke ist von der Polizei durchsucht worden. Hintergrund sind Ermittlungen wegen Volksverhetzung. Dabei geht es um einen Post, der sich gegen Carola Rackete gerich...
mdr.de",465,827,2.6K
Dr. Gunnar Beck,@gunnar_beck,2021-05-18T16:21:03.000Z,"So gut wie niemand der 6000 illegalen #Migranten hat einen Asylgrund aufgrund der Genfer Fluechtlingskonvention.D.h. Sie muessten sofort zurueck.ZDFheute
@ZDFheute
 · May 18
Mindestens 6.000 Menschen sind binnen 24 Stunden in #Ceuta angekommen. Die meisten sind geschwommen, andere kamen mit Schlauchbooten. Die spanische Exklave grenzt an #Marokko.",4,27,125
"Mariana Harder-Kühnel, MdB",@M_HarderKuehnel,2021-05-18T16:22:08.000Z,"+++ #Ceuta: Illegale Migration in die EU - Deutsche Grenzen zügig sichern! +++
Wir können nicht länger darauf vertrauen, dass die EU ihre Außengrenzen sichert, der  Staat muss sich selbst darum bemühen, illegale Einreisen in unser Land zu stoppen.
 https://facebook.com/M.Harder.Kuehnel/posts/861094611143173…",13,62,258
"Mariana Harder-Kühnel, MdB",@M_HarderKuehnel,2021-04-18T12:27:22.000Z,"+++ Bundesregierung missbraucht UN-Resolution für Gender-Irrsinn! +++
Das ist ein Affront gegenüber jeder Frau, die Gewalt, Freiheitsentzug und Terror schutzlos ausgeliefert ist.
Eine derartige Politik muss endlich beendet werden!
 https://facebook.com/M.Harder.Kuehnel/posts/844393636146604…",6,126,362
"Mariana Harder-Kühnel, MdB",@M_HarderKuehnel,2021-04-14T14:36:01.000Z,"+++ ""#Demokratieleben""? Islamisten und Linksextremisten staatlich gefördert! +++
Hunderte Mio. € fließen jedes Jahr vom Bund an zweifelhafte Vereine, darunter Islamisten und Linksextremisten, die eigentlich von  Sicherheitsbehörden beobachtet werden.
 https://facebook.com/M.Harder.Kuehnel/posts/842224463030188…",31,170,546
"Mariana Harder-Kühnel, MdB",@M_HarderKuehnel,2021-04-12T16:28:04.000Z,"+++ Gericht stellt fest: Corona-Maßnahmen an Schulen gefährden Kindeswohl! +++
Das Familiengericht Weimar untersagte in einer brisanten Entscheidung die Maskenpflicht und die umstrittenen PCR-Tests an zwei Schulen.
 https://facebook.com/M.Harder.Kuehnel/posts/841034553149179…",43,108,476
"Mariana Harder-Kühnel, MdB",@M_HarderKuehnel,2021-04-08T19:07:29.000Z,"+++ Super, 
@Tino_Chrupalla
! +++Tino Chrupalla
@Tino_Chrupalla
 · Apr 8
Aufbruch für Deutschland! Veränderung ist möglich: Tino Chrupalla",6,34,174
"Mariana Harder-Kühnel, MdB",@M_HarderKuehnel,2021-04-03T13:00:02.000Z,"+++ IHNEN UND IHRER FAMILIE FROHE OSTERN! +++
Und danke vor allem denen, die trotz der Feiertage beispielsweise in Krankenhäusern, in Pflegestellen, im Rettungsdienst, bei der Polizei oder als Dienstleister für uns im Einsatz sind!
Herzliche Grüße
Mariana Harder-Kühnel",14,96,443
