User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Manuel Sarrazin,@ManuelSarrazin,2021-05-29T08:27:41.000Z,"Jetzt gilt es! Ich freue mich über Eure Unterstützung gleich auf Platz 4 bei der #LMVHH 
@GRUENE_Hamburg
 #Bigday #harburg #Gruene #allesistdrin 
@GRUENE_Harburg",8,6,117
Janosch Dahmen,@janoschdahmen,2021-05-27T15:58:24.000Z,"Der Schutz und die Gesundheit von Kindern und Jugendlichen muss höchste Priorität haben. Aber es hilft niemandem, wenn wir die Impfdebatte nicht ehrlich & transparent führen. Das vermisse ich bei der Bundesregierung. Folgende Fakten sind zum #Impfgipfel aus meiner Sicht wichtig:",8,92,455
Sven Giegold,@sven_giegold,2021-05-27T14:04:59.000Z,"CumEx, Wirecard, Dieselgate usw. haben großen Schaden angerichtet, führten aber nur zu kleinen Strafen für die Unternehmen. Wie wir den Rechtsstaat schlagkräftiger bei Wirtschaftskriminalität machen können, diskutieren wir in diesem #Webinar. Anmeldung: https://eu01web.zoom.us/webinar/register/2916221072095/WN_IVJqFd0tS9uTjRupyU92GA…Lena Gumnior and Manuela Rottmann",7,24,66
Manuela Rottmann,@ManuelaRottman,2021-05-26T20:25:58.000Z,"Distel heißt er, ich bitte um Entschuldigung.",,,2
Manuela Rottmann,@ManuelaRottman,2021-05-26T19:48:41.000Z,"Weil ich viele Gespräche mit #Whistleblowern geführt habe, fürchte ich auch in diesem Fall: Herr Ditzel wird negative Folgen zu tragen haben. Man wird ihm vlt Geltungssucht oder andere unlautere Motive unterstellen. Das ist immer so. Umso anständiger finde ich, was er getan hat.",4,1,9
Manuela Rottmann,@ManuelaRottman,2021-05-26T19:38:17.000Z,"Wer mithelfen will, diese Blockade aufzuheben: Schreibt an Abgeordnete von 
@cducsubt
! Fragt nach! Konfrontiert sie mit diesem Beispiel!",,2,6
Manuela Rottmann,@ManuelaRottman,2021-05-26T19:29:16.000Z,"@cducsubt
 wollen nur einen Schutz auf dem europarechtl vorgeschriebenen Minimum mittragen: Nur  Aufdeckung von Verstößen gegen Europarecht sollen geschützt werden. Dann wären Mitarbeiter*innen von Imago, die nicht mehr geschwiegen haben, nicht vom Schutz erfasst.",1,,7
Manuela Rottmann,@ManuelaRottman,2021-05-26T19:07:49.000Z,"Um es klar zu stellen: 
@cducsubt
 blockieren im #Bundestag die Verabschiedung des #Hinweisgeberschutzes. Die Belastung für die Wirtschaft sei zu groß. Und auch in anderen Fraktionen wird vertreten, dass man damit ""Denunziantentum"" fördere.",2,5,17
Manuela Rottmann,@ManuelaRottman,2021-05-26T18:53:49.000Z,"Seit heute kenne ich den Namen #ikkehueftgold. Ein hochanständiger Mann, ein Vorbild. Was dieser krasse Fall auch zeigt: Wir müssen Hinweisgeber in Deutschland dringend besser schützen! #WhistleblowerschutzJetztInfoluencer
@infoluencer
 · May 24
Ikke Hüftgold hat die Dreharbeiten zu der @sat1 Sendung ""Plötzlich arm, plötzlich reich"" abgebrochen & erhebt schwere Vorwürfe gegen die Produktionsfirma Imago TV.

Es wurde wohl mit stark traumatisierten Kindern gedreht, die sich in psychologischer Behandlung befinden.

1/2
Show this thread",3,5,41
Gunter Erfurt,@GunterErfurt,2021-05-26T04:28:03.000Z,"Heute wiedereröffnen wir Europas größte Solarmodulproduktion in 
@StadtFreiberg
. Am 8.9.2018 wurde hier das letzte Solarmodul gefertigt. Wir sind froh, heute wieder zu starten. Vielen Dank an das gesamte #meyerburger Team und alle Partner und Lieferanten für diese große Leistung.",20,95,459
