User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Marc Jongen MdB,@Marc_Jongen,2021-05-28T09:17:55.000Z,"Sollte #Gendern in amtlichen Dokumenten verpflichtend sein? Für meine Antwort auf ⁦⁦⁦
@PluraPolit
⁩ Link unten anklicken (Tonspur, 1 Minute). #AfD #Gender 
https://plurapolit.de/2021-gendern/",4,12,30
Marc Jongen MdB,@Marc_Jongen,2021-05-25T15:31:02.000Z,"#gender -Lobbyisten und Staats- #feminismus haben die akademische Welt im Würgegriff. Das zeigt exemplarisch dieses „Expertengespräch“ zum Thema ""Gleichstellung in Wissenschaft und Forschung"" vom 19. Mai 2021 im Bildungsausschuss im #Bundestag. #AfD

https://youtube.com/watch?v=mwgz__ogWAc…",1,3,6
Marc Jongen MdB,@Marc_Jongen,2021-05-23T11:50:00.000Z,"Wie kombiniert man #PoliticalCorrectness mit Infantilität? Der deutsche Beitrag zum #Eurovision #SongContest hat’s vorgemacht. Der Stinkefinger entstellte das Friedenszeichen zur Kenntlichkeit. Vorletzter Platz für #Jendrik noch sehr schmeichelhaft.Twitterreaktionen zum ESC 2021: Ein Mittelfinger wird zum Gesprächsthema
Wieder einmal reicht es für Deutschland beim ESC nur für den vorletzten Platz. Der Hamburger Songwriter Jendrik konnte mit seinem Song „I don’t feel Hate“ nicht überzeugen. Bei Twitter wird vor allem...
stuttgarter-zeitung.de",1,3,15
Marc Jongen MdB,@Marc_Jongen,2021-05-20T10:53:26.000Z,"#DieGruenen: Rückwärts immer, vorwärts nimmer! Meine Rede im Deutschen #Bundestag zum TOP ""Filmförderung"". Grüne und GroKo wollen ""Geschlechtergerechtigkeit"" und ""Diversität"" statt wirklicher Reform. Die #AfD fordert Wirtschaftlichkeit und Kunstfreiheit.
https://youtube.com/watch?v=TtUc753NdPM…",2,2,9
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-05-04T09:51:22.000Z,"Erste als „Raubgut“ klassifizierte Bronzen, Metalltafeln & Skulpturen aus dem 16. bis 18. Jh. sollen bereits ab Anfang 2022 an #Nigeria übergeben werden. ""Die Rückgabe der #BeninBronzen ist fatales Signal, das neue Begehrlichkeiten weckt!"" #AfD #BeninJongen: Die Rückgabe der Benin-Bronzen ist ein fatales Signal, das neue Begehrlichkeiten weckt
Berlin, 4. Mai 2021. Ende vergangener Woche verständigten sich Regierungsvertreter und Museumsfachleute in einem von Kulturstaatsministerin Grütters einberufenen Spitzengespräch über den Umgang mit...
afdbundestag.de",22,31,94
Marc Jongen MdB,@Marc_Jongen,2021-01-27T10:58:54.000Z,"Zu 3 Dingen sollte uns der #HolocaustGedenktag ermahnen: 
-Widerstand gegen alle totalitären Tendenzen in Staat und Gesellschaft
-Null Toleranz gegenüber dem neuen Antisemitismus
-Anerkennung des Rechts #Israels auf wehrhafte Selbstverteidigung als souveräner Nationalstaat #AfDAlternative für Deutschland
@AfD
 · Jan 27
Am heutigen Tag jährt sich die Befreiung des Vernichtungslagers #Auschwitz-Birkenau. Wir gedenken allen Opfern, die uns dazu mahnen, auch weiterhin die freiheitlich-demokratische Grundordnung stets gegen jeglichen Totalitarismus und Extremismus zu verteidigen. #HolocaustGedenktag",7,13,33
Marc Jongen MdB,@Marc_Jongen,2021-01-22T10:41:54.000Z,"Die Heuchelei der Herrschenden zeigt sich im gespielten Bedauern über den von ihnen angeordneten #lockdown - für die Vertreter des #GreatReset sind die aktuellen totalitären Tendenzen nur der Anfang. Zur Freiheit geht es nur mit der #AfD!AfD-Fraktion im Deutschen Bundestag
@AfDimBundestag
 · Jan 20
Live: Online-Bürgerdialog mit Dr. @GottfriedCurio, Dr. @Marc_Jongen und @MarcBernhardAfD! Stellen Sie Ihre Fragen zu aktuellen politischen Themen an unsere Abgeordneten. https://pscp.tv/w/ctcHdjF4ZUVXWE5ud3JwUVB8MWRqR1hxWFFQTlZKWk8N9LrHtT7wlSBrkQrf7AamGKj2b_h3sJIo38HlltnF…",1,3,10
Marc Jongen MdB,@Marc_Jongen,2021-01-19T15:32:11.000Z,"Ganz in sozialistischer Manier begrüßt Annalena Baerbock die Löschung von #Trump aus den sozialen Medien und sehnt intensivere politische Zensur im Internet herbei. Nein zu linksgrüner #Zensur, Ja zur #Meinungsfreiheit! #AfD #TrumpBannedBaerbock rechtfertigt Trumps Verbannung von Twitter und Facebook
Die Vorsitzende der Grünen, Annalena Baerbock, hat die Entscheidung von Twitter und Facebook verteidigt, den scheidenden US-Präsidenten Donald Trump in den sozialen Medien zu sperren. Ihrer Ansicht...
jungefreiheit.de",4,13,28
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2020-12-18T08:48:49.000Z,"+++AfD-Abgeordneter entlarvt irrsinnige Genderideologie!+++
@Marc_Jongen
, kulturpolitischer Sprecher der #AfD-Fraktion, stellt in seiner Rede unseren Antrag mit dem Titel „Wissenschaft von Ideologie befreien – Förderung der Gender-Forschung beenden“ vor.",36,73,264
Marc Jongen MdB,@Marc_Jongen,2020-12-09T18:23:31.000Z,"An deutschen Unis macht sich ""intellektueller Terrorismus"" breit. #gender und Postcolonial Studies geht es um Macht, nicht um Argumente. Die #AfD steht für die Freiheit der #Wissenschaft. Meine Rede im Bundestag am 8.12.20. #Haushaltsdebatte #Haushalt2021 
https://youtube.com/watch?v=u35nNlvuSXQ…",7,17,59
Marc Jongen MdB,@Marc_Jongen,2020-11-29T12:14:48.000Z,"Hitzige Debatte auf dem #AfDBPT2020 in #Kalkar über die gestrige Rede von 
@Joerg_Meuthen
. Reinigendes Gewitter offenbar notwendig. Kritik an der Rede teils berechtigt, aber sein Aufruf zur Disziplin war richtig. Antrag zur Missbilligung Meuthens am Ende zurecht nichtbefasst. #afd",10,5,70
Marc Jongen MdB,@Marc_Jongen,2020-11-24T19:56:09.000Z,"„Kanzleramt will #Corona-Regeln der Länder verschärfen“: Nur 2 Haushalte und max. 10 Personen über 14 Jahren - damit wird das Familienfest #Weihnachten für kinderreiche Familien unmöglich gemacht. Ein unfassbarer Angriff auf unsere Traditionen und bürgerlichen Freiheiten! #AfDWELT
@welt
 · Nov 24, 2020
Lockdown vor Weihnachten: Merkel kündigt ""leichte Ergänzungen"" zu Corona-Papier an http://to.welt.de/Q1hMvzj",4,3,5
Marc Jongen MdB,@Marc_Jongen,2020-11-21T11:29:53.000Z,"Jongen warf den Grünen vor, ein „undifferenziertes Schuldnarrativ“ zu schüren. Ihr Ziel sei es, das kulturelle Erinnern, in einer „traumatischen Endlosschleife“ festzuschreiben. Die Forderung sei nicht durch einen Wunsch nach Versöhnung motiviert, sondern „linken Selbsthaß“. #AfDJunge Freiheit
@Junge_Freiheit
 · Nov 20, 2020
Die Grünen haben gefordert, die Erinnerungskultur der Bundesrepublik um das „Unrecht der deutschen Kolonialherrschaft“ zu erweitern. „Rassistische Straßennamen“ müßten geändert und Denkmäler im Zweifelsfall entfernt werden.

https://jungefreiheit.de/politik/deutschland/2020/gruene-kolonial-schuld/…",3,3,10
Marc Jongen MdB,@Marc_Jongen,2020-11-18T12:53:02.000Z,"Noch läuft die Debatte im #Bundestag zum #Corona #Infektionsschutzgesetz. Im Bild die Protestaktion der 
@AfDimBundestag
 mit Schildern zur Beerdigung des Grundgesetzes (sitze in der vorletzten Reihe, Dritter von links). Werde nachher wie alle Kollegen der #AfD mit NEIN stimmen!",4,13,61
Marc Jongen MdB,@Marc_Jongen,2020-11-18T11:59:32.000Z,"Dieser völlig unverhältnismäßige Übergriff der Polizei auf meinen Fraktionskollegen Karsten 
@HilseMdB
 entfaltet am heutigen Tag eine erschütternde Symbolkraft. Nein zum übergriffigen Staat, nein zum neuen #Corona-Gesetz! #Infektionsschutzgesetz #AfDAfD-Fraktion im Deutschen Bundestag
@AfDimBundestag
 · Nov 18, 2020
Weil er keine Maske trug: Karsten @HilseMdB wurde von Polizeibeamten niedergerungen - da half auch kein Attest. Es geht ihm den Umständen entsprechend gut, er wird sich im Laufe des Tages äußern. #AfD #Berlin1811 #Infektionsschutzgesetz #B1811 #Wasserwerfer #Demos",5,27,61
Marc Jongen MdB,@Marc_Jongen,2020-11-16T19:03:46.000Z,Das #Bevoelkerungsschutzgesetz wird die stärksten Einschränkungen der #Grundrechte seit Bestehen der Bundesrepublik #Deutschland bringen. Man sagt Schutz und meint Kontrolle. #Corona wird zur Einführung totalitärer Strukturen missbraucht. Die #AfD leistet Widerstand!,7,15,46
Marc Jongen MdB,@Marc_Jongen,2020-11-13T11:09:06.000Z,"Inzucht ist moralisch verwerflich, aber die Gesellschaft geht das angeblich nichts an – #jungeliberale auf der absurden Endstufe des Linksliberalismus angekommen.junge liberale
@jungeliberale
 · Nov 12, 2020
Wenn zwei einwilligungsfähige Personen sich entschließen, Sex zu haben, dann kann man das verwerflich oder eklig finden, letztlich geht es Staat und Gesellschaft aber nichts an. 3/12
Show this thread",12,23,83
Marc Jongen MdB,@Marc_Jongen,2020-10-26T08:25:19.000Z,"Mein aufrichtiges Beileid an die Angehörigen von Thomas #Oppermann und an die Kollegen in der #SPD-Bundestagsfraktion 
@spdbt
. Politisch waren wir Gegner, aber das verblasst angesichts des Todes zugunsten der gemeinsamen Menschlichkeit. https://spiegel.de/politik/deutschland/spd-thomas-oppermann-ist-tot-a-1acbc1d2-17a8-4d0a-9169-a5e8e5f29f8a… via 
@derspiegelBundestagsvizepräsident Thomas Oppermann ist tot
Er wurde nur 66 Jahre alt: SPD-Politiker Thomas Oppermann ist überraschend gestorben. Er ist bei TV-Arbeiten zusammengebrochen. Die Todesursache ist bisher nicht bekannt.
spiegel.de",2,4,24
Marc Jongen MdB,@Marc_Jongen,2020-10-21T12:46:30.000Z,"#Deutschland - ein Land, in dem Touristen gut und gerne Urlaub machen. (Sie müssen nur etwas Toleranz aufbringen, aber das kann ja nicht so schwer fallen..) BILD: #Dresden: Polizei überwältigt mutmaßlichen #Messer-Killer #migration #Terror #AfDDresden: Polizei überwältigt mutmaßlichen Messer-Killer
Nach der Messer-Attacke in Dresden auf zwei Touristen aus NRW, konnte die Polizei den mutmaßlichen Killer (20) fassen.
bild.de",3,7,12
Marc Jongen MdB,@Marc_Jongen,2020-10-19T09:55:20.000Z,"Interview im Niederschlesischen Kurier 
@AllesLausitz
 nach meinem Vortrag in Görlitz: „Ich sehe weniger einen unheilvollen Einfluss preußischen Denkens, als vielmehr eine Wiederkehr des sozialistischen Denkens mit allem, was dazugehört...“ #AfD #PhilosophyDarf man als Philosoph Politiker sein oder umgekehrt, Marc Jongen? - Alles-Lausitz.de
Darf oder muss ein Philosoph Politiker sein? Der Philosoph und Bundestagsabgeordnete Dr. Marc Jongen ist in der Jacob-Böhme-Stadt...
alles-lausitz.de",1,4,7
Marc Jongen MdB,@Marc_Jongen,2020-10-17T11:44:41.000Z,"Was sagen denn die #Gruenen und die #Linke (inkl. #SPD) dazu... Täter nicht schuldfähig? Mildes Jugendstrafrecht? Hat alles nichts mit dem Islam zu tun? „Hetzjagden“ in Chemnitz waren viel schlimmer? Jetzt erst recht: Kampf gegen Rechts!? #Islamismus #AfDTerror in Frankreich: „Eindeutig islamistischer Anschlag“ - WELT
In der Nähe von Paris ist ein Mann enthauptet worden. Bei dem Opfer handelt es sich um einen Lehrer, der mit seinen Schülern Mohammed-Karikaturen besprach. Präsident Macron spricht von einem „einde...
welt.de",5,25,57
Marc Jongen MdB,@Marc_Jongen,2020-10-12T12:04:58.000Z,"Ein wiederkehrendes Muster, dass hohe Staatsbeamte im Ruhestand Positionen beziehen, wie sie die #AfD seit Jahren vertritt. Mut zur Wahrheit!Alice Weidel
@Alice_Weidel
 · Oct 12, 2020
Ex-BND-Chef rechnet mit Merkels Flüchtlingspolitik ab! Die falschen ""Willkommens""-Signale, die damals ausgesandt wurden, entfalten ihre Sogwirkung bis heute und werden sogar noch laufend erneuert. Diese verantwortungslose Politik hat unser Land schwer beschädigt! #AfD",2,22,83
Marc Jongen MdB,@Marc_Jongen,2020-10-10T15:53:43.000Z,"Die Alpenprawda schreibt, ich hätte vom deutschen ""Erinnerungswahn"" gesprochen. Sie verschweigt, dass ich Henryk M. Broder zitiert habe, der die heuchlerische Erinnerungspolitik der Altparteien luzide demaskiert hat. Die #AfD hat sich übrigens enthalten.Erinnerung - Bundestag für NS-Dokumentationszentrum
Der neue Gedenkort in Berlin soll vor allem das Leid durch die deutsche Besatzungsherrschaft während des Zweiten Weltkriegs aufarbeiten.
sueddeutsche.de",5,15,55
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2020-10-09T08:35:19.000Z,"#AfD-MdB 
@Marc_Jongen
 stellt in der Debatte zur Errichtung einer #Gedenkstätte klar: ""Die #Erinnerungspolitik der Konsensparteien ist in einer heillosen Schieflage! Gedenkstätte für die Opfer des deutschen #Vernichtungskrieges nicht ohne Gedenken an die deutschen Opfer!""4:25
1.6K views",15,32,92
Marc Jongen MdB,@Marc_Jongen,2020-10-08T17:00:25.000Z,"Gewalt, Verwahrlosung, ""anarcha-queer-feministische"" Hausbesetzung und obendrein Corona als Ausrede für eine Fortsetzung des Wahnsinns - alles Folge der Verharmlosung des Linksradikalismus. Ist #Liebig34 bald überall? #AfDDer Kampf um die Liebigstraße 34
Die Attacken im Vorfeld der geplanten Räumung der Liebigstraße 34 sind nichts anderes als Machtdemonstrationen der linksextremen Szene. Das besetzte Haus hat eine hohe symbolische Bedeutung für sie....
jungefreiheit.de",5,5,15
Marc Jongen MdB,@Marc_Jongen,2020-10-06T14:31:17.000Z,"Wer #CancelCulture leugnet, wie  Stefanie Lohaus vom 
@Missy_Magazine
 gestern bei #hartaberfair, leidet unter Realitätsverlust. Respekt an Andrew Onuegbu, der sich als Schwarzer nicht einreden lässt, der Name seines Restaurants ""Mohrenkopf"" sei rassistisch.Türsteher der Politischen Korrektheit
Was darf man noch sagen und was besser nicht? Die Frage, die sich viele Deutschen von Tag zu Tag häufiger stellen, war heiß diskutiertes Thema bei „Hart aber fair“. Angenehmer Höhepunkt der Sendung...
jungefreiheit.de",3,5,7
Marc Jongen MdB,@Marc_Jongen,2020-09-30T22:00:36.000Z,"Die letzten Reste staatspolitischer Vernunft will 
@dieLinke
 jetzt aus ihrer Partei rausbeißen. Unter deren Hardcore Ideologen und Deutschland-Abschaffern wirken #Lafontaine und #wagenknecht wie Fremdkörper, die gute Mine zum bösen Spiel machen müssen. #AfDAuftritt mit Sarrazin: Linke fordern Lafontaine zum Rücktritt auf
""Schäbig"", ""ekelhaft"", ""parteischädigend"": Nach einem Auftritt mit Thilo Sarrazin gibt es in der Linken massive Kritik an Oskar Lafontaine. Einige Genossen fordern Konsequenzen für den Ex-Parteichef.
spiegel.de",16,37,113
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2020-09-30T10:45:44.000Z,"@Marc_Jongen
, Kulturpolitischer Sprecher der #AfD-Fraktion, stellt in der #Generaldebatte klar: ""Die Intensiv-Stationen sind so leer wie die Konzertsäle! Die Regierung hat das Kulturleben seit April auf fast 0 heruntergefahren und damit tausende Existenzen vernichtet.""",4,5,11
Marc Jongen MdB,@Marc_Jongen,2020-08-29T20:05:12.000Z,"Robert Kennedy Jr. wiederholt die berühmten Worte seines Onkels John F. Kennedy: „Ich bin ein Berliner“, heute am 29.8.20 an der Siegessäule bei der #querdenken Anti-Corona-Demo in Berlin. Ein historischer Moment...? #Berlin2908 #AfD",4,14,25
Marc Jongen MdB,@Marc_Jongen,2020-08-28T13:27:38.000Z,"Das Berliner Verwaltungsgericht hat das #Demoverbot gekippt. Aber #Merkel zeigte schonmal „Respekt“ für die rechtswidrige Maßnahme. Die Herrschaft des Unrechts ist nunmal ihr Metier, die DDR 2.0 ihr Ziel. Die #AfD leistest Widerstand, auch in #berlin2908!Merkel über Demonstrationsverbote: „Also: Respekt dafür!“
Angela Merkel hat erkannt, was sich da gegen sie zusammenbraut und reagiert entsprechend bzw. lässt reagieren. Also wird gerade der Alptraum von Menschen Realität, die schon zu Beginn der Corona-Ma...
tichyseinblick.de",15,65,181
Marc Jongen MdB,@Marc_Jongen,2020-07-20T15:50:51.000Z,"Am 20. Juli 1944 leisteten Claus Schenk Graf von Stauffenberg und sein Kreis tapferer Patrioten #Widerstand gegen ein verbrecherisches Regime auf deutschem Boden. Ihnen gilt heute unser Gedenken, ihrem Geist fühlen wir uns an jedem Tag verbunden.
#AfD",2,3,10
