User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Stadt Oppenheim,@stadt_oppenheim,2018-01-10T08:37:08.000Z,"Noch kein Plan, was mit dem stachligen Weihnachtsgrün geschehen soll? 
Die Freiwillige Feuerwehr Oppenheim... https://fb.me/1hTuu6IKG",2,2,
"Marcus Held, MdB",@MarcusHeld_SPD,2017-11-27T16:46:56.000Z,"Eine Frechheit, was sich Vertreter des CSU-geführten BMEL in Brüssel erlaubt haben. Obwohl #SPD weiterhin gg Verlängerung des Einsatzes von #Glyphosat ist u Barbara #Hendricks dies so deutlich gemacht hat, hat CSU-Minister Schmidt sich nicht daran gehalten. So gehts nicht!",4,4,3
Kathrin Anklam-Trapp,@AnklamTrapp,2017-11-17T21:54:34.000Z,"„Wir hören hin!“ die #SPD im Landkreis Alzey-Worms haben zu einer Dialogveranstaltung nach Bechtheim eingeladen. Intensiver Austausch, hier wurde richtig diskutiert und viele gute Ansätze gefunden.Marcus Held, MdB",,2,2
Angelika Glöckner,@A_Gloeckner,2017-11-05T11:45:14.000Z,"#spderneuern: viele gute Ideen, Marcus Held und ich sind dabei.",,2,17
"Marcus Held, MdB",@MarcusHeld_SPD,2017-11-05T11:43:45.000Z,#SPDerneuern heute auf dem #Betze in #Kaiserslautern. Ideen sammeln für eine starke #SPDKathrin Anklam-Trapp and Hendrik Hering,1,2,17
Seeheimer Kreis,@seeheimer,2017-10-30T09:57:48.000Z,"Es gibt so Vorschläge, die sollte man sich einfach #spahn.",2,22,85
"Marcus Held, MdB",@MarcusHeld_SPD,2017-10-26T10:19:58.000Z,Danke an Gerhard #Schröder für die Vermittlung im Fall Peter #Steudtner. Entspannung im dt-tr Verhältnis sollte das Gebot der Stunde sein.,3,2,15
"Marcus Held, MdB",@MarcusHeld_SPD,2017-10-15T18:50:11.000Z,"Gratuliere neuer OB  #Ludwigshafen 
@JuttaSteinruck
 u neuen OB #Koblenz 
@David_Langner
. Gratuliere 
@stephanweil
 u 
@SPDNDS
! Toller SPD-Sonntag",,,7
"Marcus Held, MdB",@MarcusHeld_SPD,2017-09-25T09:52:58.000Z,"Danke an alle WählerInnen! Verspreche weiterhin vollen Einsatz für Rheinhessen in Berlin u vollen Einsatz gegen Rassismus, Intoleranz u Hass",1,1,6
Jusos Worms,@jusosWO,2017-09-24T11:25:23.000Z,"Heute zählt's! Für mehr #Gerechtigkeit #2xSPD auf dem Wahlzettel! 
@MarcusHeld_SPD
 & 
@MartinSchulz
 - #BTW17 #Bundestagswahl 
@spdrlp
 @spddeMarcus Held, MdB and 2 others",,2,7
"Marcus Held, MdB",@MarcusHeld_SPD,2017-09-23T08:48:51.000Z,"Läuft für die 
@spdde
 in #Alzey 
@sippelheiko
 @steffenjung05
 @M88M",,1,1
"Marcus Held, MdB",@MarcusHeld_SPD,2017-09-22T10:36:36.000Z,"Gut, dass wir das Gesetz noch gegen den Widerstand der Union durchsetzen konnten! Und wir haben noch viel mehr vor #esistZeit 
@spddeDigitalpolitik@spdbt
@spdbt_netz
 · Sep 22, 2017
.@larsklingbeil, @ChristianFlisek und @MarcusHeld_SPD: Bundesrat stimmt WLAN-Gesetz zu - Rechtssicherheit für #WLAN http://bit.ly/2wLcGyY",,2,3
Martin Schulz,@MartinSchulz,2017-09-21T16:04:29.000Z,Nach 12 Jahren will Fr. Merkel Pflege zur Chefsache machen. Das ist dreist. Wir haben Plan für Neustart in der Pflege und meinen das ernst.,203,242,993
Seeheimer Kreis,@seeheimer,2017-09-20T12:05:52.000Z,"In 100 Stunden schließen die Wahllokale. 100 Stunden Zeit, für mehr Gerechtigkeit und 
@MartinSchulz
 zu werben. Attacke! #EsIstZeit",9,20,68
Martin Schulz,@MartinSchulz,2017-09-19T17:49:26.000Z,"Trump setzt in UN-Rede auf weitere Eskalation. Wir Europäer müssen laut sagen: Seine Politik ist nicht unsre, sein Stil nicht unserer.",162,280,1.2K
"Marcus Held, MdB",@MarcusHeld_SPD,2017-09-09T17:42:29.000Z,"Heute zu Gast in #Rheinhessen: 
@MartinSchulz
! Grandiose Rede, tolle Stimmung!Michel Picke and Marco Meidinger",1,2,6
Kathrin Anklam-Trapp,@AnklamTrapp,2017-09-09T16:26:33.000Z,"#ZeitfuerMartin 3000 Gäste auf dem Platz! Gerechte Löhne, bezahlbarer Wohnraum. Mit beiden Stimmen am 24.09 #SPD wählen!Alexander Schweitzer and 3 others",10,15,49
"Marcus Held, MdB",@MarcusHeld_SPD,2017-09-03T18:57:40.000Z,Schulz mit klarer Sprache! Saustark! Zeit für den Wechsel am 24.09. #martinmachts #tvduell,6,15,46
Kathrin Anklam-Trapp,@AnklamTrapp,2017-09-03T10:57:55.000Z,"Jahresempfang der SPD im Altrhein mit würdevoller Mitgliederehrung für verdiente Genossen. 
@MarcusHeld_SPD
 Gastredner zur #Bundestagswahl.",,2,4
Umut Kurt,@UmutKurt_SPD,2017-09-01T06:51:21.000Z,"Gemeinsam mit 
@MarcusHeld_SPD
 u. den 
@jusosrlp
 sowie den 
@jusosWO
 Frühstücksverteilaktion am Wormser Hauptbahnhof. #visionenwagentour",,3,5
"Marcus Held, MdB",@MarcusHeld_SPD,2017-09-01T05:44:50.000Z,"Frühverteilaktion mit den 
@jusosrlp
 und 
@jusosWO
. Top Truppe!! Danke Euch!! #btw17",,5,8
"Marcus Held, MdB",@MarcusHeld_SPD,2017-08-30T18:35:53.000Z,"Rundgang übers 
@Backfischfest
 und Fischerwääder Kerb. Gelungener Tagesabschluss Alexander Schweitzer",,3,2
Alexander Schweitzer,@Alex_Schweitzer,2017-08-27T18:20:00.000Z,"Ja, #Gauland ist ein mieser Hetzer. Aber das Zauberwort gegen ihn und seine Kameraden heißt nicht Shitstorm. Es heißt #Wahlbeteiligung. #btw",120,1.4K,3.8K
Martin Schulz,@MartinSchulz,2017-08-23T17:37:54.000Z,Mit mir wird es eine Autobahnprivatisierung nicht geben. Nur eine starke SPD kann weitere Privatisierungen von CDU&CSU verhindern.,151,184,749
"Marcus Held, MdB",@MarcusHeld_SPD,2017-08-21T15:40:17.000Z,Probierts gerne mal aus. Kostet Euch auch nur eine Minute! https://meinprogramm.spd.de,,,1
"Marcus Held, MdB",@MarcusHeld_SPD,2017-08-17T20:36:26.000Z,Ich bin entsetzt über den Terroranschlag in #Barcelona! In Gedanken an die Opfer und deren Angehörige.,,1,1
Kathrin Anklam-Trapp,@AnklamTrapp,2017-08-14T17:59:39.000Z,"Von #TürzuTür. Noch 41 Tage bis zur #Bundestagswahl. Am 24.September die #SPD,  
@MarcusHeld_SPD
 und Martin Schulz wählen #spdbtw17",,2,3
Tobias Dünow,@TobiasDuenow,2017-08-13T20:06:33.000Z,"Um 22:20 bei RTL: 
@MartinSchulz
 im Bürger-Gespräch. Soll gut werden, habe ich gelesen... #Townhall",9,7,25
Kathrin Anklam-Trapp,@AnklamTrapp,2017-08-13T11:45:25.000Z,"Großes SPD Familienfest zur Gründung OV Alzey Land Süd. Dank an die Vorsitzendern Angela Sauer und Dennis NeffHeiko Sippel and Marcus Held, MdB",,3,6
"Marcus Held, MdB",@MarcusHeld_SPD,2017-08-11T14:15:44.000Z,"Mein Wahlkampfplakat heute in der 
@wznachrichten
 #BTW2017",,1,4
