User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Marcus Weinberg,@MarcusWeinberg,2021-05-29T10:36:12.000Z,Ihre Anmeldung senden Sie bitte an: Kreisverband@cdu-altona-elbvororte.de.,,1,4
CDU/CSU,@cducsubt,2021-05-21T13:00:08.000Z,"PresseinfoQualitativ hochwertige Betreuung am Nachmittag für GrundschulkinderQualitativ hochwertige Betreuung am Nachmittag für Grundschulkinder
Der Deutsche Bundestag berät am heutigen Freitag in erster Lesung den Gesetzentwurf zur ganztägigen Förderung von Kindern im Grundschulalter. Dazu können Sie den familienpolitischen Spre...
cducsu.de",6,3,4
Marcus Weinberg,@MarcusWeinberg,2021-05-21T11:41:07.000Z,"„Auge kostet immer zwei!"" Ein legendärer Satz aus dem WM-Sommer 1986! Tauschwert Augenthaler fürs #paninisammelalbum -Jeder machte mit! Nun hat auch der grandiose und teilweise zumindest punktuell erfolgreiche #fcbundestag sein eigenes Stickeralbum. 
@fcbundestag
 #EM",1,,4
Marcus Weinberg,@MarcusWeinberg,2021-05-19T13:37:35.000Z,"Hummels, Müller und der alte Kapitän sind zurück! Danke Jogi Löw! #NationalMannschaft #DFBTeam #EURO2020",1,,10
Marcus Weinberg,@MarcusWeinberg,2021-05-19T12:57:50.000Z,"Franziska Giffey tritt zurück. Am Ende muss jeder für sich persönliche Entscheidungen treffen. Eine Bewertung dieser obliegt mir nicht. Politisch kann ich aber sagen, haben wir gemeinsam in der Koalition eine gute Bilanz vorzuzeigen im Sinne der Kinder, Jugendlichen und Familien!",1,,16
Marcus Weinberg,@MarcusWeinberg,2021-05-17T13:40:02.000Z,"Hass und Hetze haben in unserer Gesellschaft keinen Platz! Jeder muss die Freiheit haben seine Sexualität frei ausüben zu können. Mit dem #Rainbowflash setzen wir damit am heutigen Tag gegen Homo-, Bi-, Inter- und Trans*Feindlichkeit ein wichtiges Zeichen! #IDAHOBIT",1,,2
Marcus Weinberg,@MarcusWeinberg,2021-04-26T14:09:10.000Z,"Sobald die Älteren, die Risikogruppen und die systemrelevanten Berufsgruppen geimpft sind, sollten #Jugendlichen zwischen 16 und 25 ein gezieltes #Impfangebot erhalten. So können wir ihnen ein Stück weit Normalität zurückgeben, in einer für sie wichtigen Lebensphase.",1,2,14
phoenix,@phoenix_de,2021-04-22T09:43:18.000Z,"Den besten Anzug  für das #KinderJugendStaerkungsGesetz!  
@marcusweinberg
 hat sich chic gemacht und bedankt sich für die kooperative Diskussion. Mit dem Gesetzentwurf des SGBVIII sollen Kinder & Jugendlichen aus belastenden Lebensumfeldern gestärkt werden. 
@cdu
 @cducsubt",2,7,8
Marcus Weinberg,@MarcusWeinberg,2021-04-21T16:36:32.000Z,"Digitales Fachgespräch am 27.04.2021 18.00-19.30 Uhr zur #Mobilität von morgen. Seien Sie dabei! 
@CDU_Altona
 
@CDU_Hamburg",2,3,7
Marcus Weinberg,@MarcusWeinberg,2021-04-16T13:58:21.000Z,"Unsere #Kinder und #Jugendlichen sind nach all der Zeit der Pandemie seelisch erschöpft. Wir müssen jetzt Maßnahmen treffen, um die psychosozialen Folgen der #Pandemie abzumildern. Dazu gehört, dass Kitas und Schulen so lange wie möglich offen bleiben.",13,2,10
