User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Igor Levit,@igorpianist,2021-05-28T18:12:37.000Z,Nein.,736,2.9K,26.5K
Stefan Gelbhaar,@StefanGelbhaar,2021-05-26T21:06:14.000Z,"Raketenwissenschaft Tagesschau20Jahre
@TagesschauVor20
 · May 26
[26.5.01] Radfahren in Deutschland soll attraktiver werden, plant der Bundesverkehrsminister.",4,1,42
Markus Tressel,@MarkusTressel,2021-05-26T15:15:39.000Z,"5 Punkte für #LändlicheRäume:
- einfache Förderung
- verlässliche #Mobilität (auch ohne )
- Orte des Zusammenhalts
- neues Leben & Arbeiten
- Regionale Wertschöpfung

Mehr dazu: https://markus-tressel.de/stadt-land-zukunft-gleiche-chancen-in-allen-regionen/…

#StadtLandZukunftStadt Land Zukunft: Gleiche Chancen in allen Regionen | Markus Tressel, MdB
5-Punkte-Autor*innenpapier Der saarländische Bundestagsabgeordnete Markus Tressel, Britta Haßelmann, die Sprecherin für Kommunalpolitik der grünen Bundestagsfraktion und weitere Abgeordnete stellen...
markus-tressel.de",,2,8
HWR Berlin,@HWR_Berlin,2021-05-25T16:56:39.000Z,"MdB 
@MarkusTressel
: #Tourismuswirtschaft wichtiger #Wirtschaftsfaktor mit 5,5% Anteil am dt. #BIP u. über 3 Mio Beschäftigten. Trotzdem fehlen adäquate pol. u. ökonom. Rahmenbedingungen auf nationaler Ebene. #Corona eröffnet Chance, dt. #Tourismus zukunftsfähig aufzustellen",,1,2
Travel Industry Club,@TIC_Deutschland,2021-05-25T13:47:37.000Z,"Programmpunkt des virtuellen Travel Technology Symposiums 2021  Am 24. Juni von 9 – 17 Uhr findet das Symposium des TIC und Accenture statt.

Seien Sie virtuell dabei >> https://cvent.me/zPoN19

#tic #travelindustryclub #openmindnetwork #traveltechnology #hygienekonzeptMarkus Tressel and 2 others",,1,
Oliver Krischer,@Oliver_Krischer,2021-05-23T17:25:20.000Z,"Ob #CDUCSU jemals Anstand hatten, weiß ich nicht. Heute jedenfalls machen sie Diffamierungs-Kampagnen mit Kackhäufchen. Bundesminister*innen liken das und der einen „fairen Wahlkampf“ fordernde Vorsitzende schweigt waschlappig dazu 
@ArminLaschet
 @JuliaKloeckner
 @CDU
 @CSUKatharina Dröge
@katdro
 · May 23
Herr @ArminLaschet : Ist das der Stil, in dem Sie und Ihre Leute den Wahlkampf führen wollen? Mit solchen Icons? Finde das ziemlich ekelhaft. Das ist Trump-Niveau. Ich erwarte von Ihnen und auch von @CDU und @CSU  mehr Anstand...",9,53,290
Grüne im Bundestag,@GrueneBundestag,2021-05-07T07:48:19.000Z,"#KlimaschutzIstJetzt: Wir dürfen nicht länger warten! 

Um die Klimakrise in den Griff zu kriegen, braucht es jetzt wirksame Maßnahmen. Unser Angebot 
https://dip21.bundestag.de/dip21/btd/19/292/1929294.pdf…",65,90,227
Markus Tressel,@MarkusTressel,2021-05-06T13:40:26.000Z,"Wer mich kennt, weiß wie gerne ich Spritzen bekomme. Noch nie habe ich mich so auf eine Spritze gefreut! Heute habe ich mich gegen Corona #impfen lassen. Solidarität und eine starke Impfbereitschaft sind jetzt wichtig - denn mit jedem Pieks rückt das Ende der #Pandemie näher.",,1,14
Markus Tressel,@MarkusTressel,2021-05-05T09:33:58.000Z,"Für den Aufbruch der #Tourismus-Branche in die Zeit nach Corona sind nachhaltige, europäische Lösungen unabdingbar. Doch dafür müssen wir uns besser aufstellen - international, national und ministeriell. #G20 

 Mehr dazu: https://gruene-bundestag.de/presse/pressemitteilungen/aufbruch-fuer-die-branche-nutzen…",1,1,6
Cem Özdemir,@cem_oezdemir,2021-05-05T05:54:36.000Z,"Die CDU verschickt (oder faxt?) offenbar Analyse unseres 
@Die_Gruenen
-Wahlprogramms an ihre Abgeordneten. Kein Wunder, ein eigenes können sie ja auch noch nicht lesen. Haben keins. Wozu will 
@CDU
 noch mal Kanzlerin werden? 

#FliegenpilzUltras",194,477,5.6K
Tourismuszukunft,@Tourismusblog,2021-05-04T08:04:10.000Z," #Perspektive2025 LIVE: Zukunftsweisende Tourismuspolitik in Deutschland, mit 
@MarkusTressel
 (Grüner Bundestagsabgeordneter und Mitglied im Ausschuss für Tourismus) und Florian 
@Bauhuber
 (
@Tourismusblog
)
 Stream: https://facebook.com/Tourismuszukunft/videos/3693624150764064/…The media could not be played.
Reload",,5,7
Markus Tressel,@MarkusTressel,2021-05-01T17:26:55.000Z,Der #Mai begrüßt uns sehr #grün . Das darf gerne so bleiben!,,,6
Markus Tressel,@MarkusTressel,2021-04-29T14:54:46.000Z,"Auch #Saarland muss endlich Beitrag für den #Klimaschutz leisten und darf Verantwortung nicht weiter auf die nationale und europ. Ebene abschieben. 
@Tinaschoepfer
 appelliert, sich einem Landesklimaschutzgesetz nicht länger zu verweigern.Grüne fordern Saar-Klimaschutzgesetz
Das Bundesverfassungsgericht hat das deutsche Klimaschutzgesetz in Teilen für verfassungswidrig erklärt. Es verletze die Freiheitsrechte junger Generationen, so die Erklärung. Die Saar-Grünen fordern...
sr.de",,1,
Michael Bloss,@micha_bloss,2021-04-29T08:20:20.000Z,Schwerster Tag für die FDP: Zu wenig Klimaschutz ist eine Gefahr für Freiheit.,60,421,5.1K
Markus Tressel,@MarkusTressel,2021-04-28T13:48:58.000Z,"Das Aus für die Ausweitung d. Mineralwasserförderung in Kirkel ist ein guter Tag für die Biosphäre #Bliesgau und das #Saarland. Die Auswirkungen auf Mensch und Umwelt wären unkalkulierbar gewesen. #TrinkwasserversorgungAusbaupläne für Kirkeler Trinkwasserförderung gestoppt
Die MEG wird die Trinkwasserförderung in Kirkel nicht ausbauen. Die Pläne seien gestoppt worden, teilte das Unternehmen auf SR-Anfrage mit. Gegen das Vorhaben hatte es seit Monaten massiven Widerst...
sr.de",,1,6
Markus Tressel,@MarkusTressel,2021-04-27T09:06:02.000Z,"Sehen wir uns am Donnerstag, 19 Uhr?

 https://us02web.zoom.us/webinar/register/4016189952020/WN_GG9LMi-4RfeKcLeh3e_-Ng…Markus Tressel
@MarkusTressel
 · Apr 21
Innovationen im #Städtetourismus: Welche Ansätze gibt es #Innenstädte, #Mobilität, #Digitalisierung, #Nachhaltigkeit & den Umgang mit Gästen neu zu denken? Wie können Akteur:innen vor Ort partizipieren?

 Sei dabei: https://us02web.zoom.us/webinar/register/4016189952020/WN_GG9LMi-4RfeKcLeh3e_-Ng…
 Livestream: https://facebook.com/markustresselmdb…",,,1
Markus Tressel,@MarkusTressel,2021-04-26T11:30:08.000Z,"Der #Tschernobyl-Jahrestag erinnert an das massive Sicherheitsrisiko der Atomkraft, auch hier vor Ort: Alle 4,2 Tage rollt radioaktives Material durch das dicht besiedelte #Saarland. Umso wichtiger, Atomkraftwerke abzuschalten und auf Erneuerbare Energien zu setzen! #Cattenom",2,2,5
Grüne im Bundestag,@GrueneBundestag,2021-04-26T08:05:37.000Z,"Auch 35 Jahre nach dem Super-GAU bleibt #Tschernobyl unverändert Mahnmal für das massive Sicherheitsrisiko der Atomkraft.

Was jetzt getan werden muss, erklärt Sylvia 
@KottingUhl
. ",40,32,93
Konstantin v. Notz,@KonstantinNotz,2021-04-25T16:11:25.000Z,"Leute, die über ein „linkes Meinungskartell“ klagen, weil zum ersten Mal seit Ewigkeiten eine andere Partei als #CDU in Umfragen (!) vorne liegt ....   Welches „Kartell“ hat denn die 51 (von insgesamt 71) KanzlerschaftsJahren der CDU „organisiert“?",57,341,3.7K
Markus Tressel,@MarkusTressel,2021-04-22T15:00:26.000Z,"Ich wundere und freue mich! Die ganze Zeit hieß es, das Gelände in #Ensdorf steht absolut überhaupt nicht zur Verfügung. Jetzt soll es ganz schnell gehen und es stehen urplötzlich über 30ha Industriefläche bereit. Man darf gespannt sein. #ZeichenundWunder„Kein entweder Lisdorfer Berg oder Entwicklung am Kraftwerksgelände“: Gute Aussichten für zügige...
Auf dem Gelände des stillgelegten Kraftwerkes könnten sich schon bald Firmen ansiedeln. Davon geht Ensdorfs Bürgermeister Wilhelmy aus.
saarbruecker-zeitung.de",,,2
SR aktuell,@SRaktuell,2021-04-19T17:26:52.000Z,"Annalena Baerbock soll die Grünen als erste Kanzlerkandidatin durch den Wahlkampf führen. Der Vorsitzende der Grünen im Saarland 
@MarkusTressel
  hatte mit der Entscheidung schon gerechnet und hält sie für eine geeignete Kandidatin. 
#Saarland #BTW21 #Gruenen #Baerbock",1,2,11
Annalena Baerbock,@ABaerbock,2021-04-19T09:17:21.000Z,"Ich freue mich, dass Robert Habeck mich heute im Namen des Bundesvorstandes als Kanzlerkandidatin für 
@die_gruenen
 vorgeschlagen hat. #BTW21  !B",3.6K,5.2K,51K
BÜNDNIS 90/DIE GRÜNEN,@Die_Gruenen,2021-04-19T09:00:18.000Z,"BÜNDNIS 90/DIE GRÜNEN
@Die_Gruenen
Wer übernimmt die Kanzler*innen-Kandidatur? Jetzt live:",53,180,842
Markus Tressel,@MarkusTressel,2021-04-19T09:13:05.000Z,"Mit 
@ABaerbock
 haben wir eine herausragende #Kanzlerkandidatin. Davon konnte ich mich in etlichen Jahren mit Ihr im #Bundestag überzeugen. Super Team, tolles Programm und gute Perspektive für D. Ich freue mich drauf. #KFrage geklärt
#allesistdrin",,2,14
