User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Martin Hess,@Martin_Hess_AfD,2021-05-28T09:39:10.000Z,"Dunkelhäutiger Mann wollte Frau vergewaltigen, Passantin mit Hund konnte ihn vertreiben. Unsere Frauen & Töchter sind beim Joggen und Spazieren nicht mehr sicher. Die Politik der offenen Grenzen muss ein Ende haben, damit Frauen so sicher sind wie früher!Attacke auf Spaziergängerin bei Bietigheim-Bissingen: Brutaler Übergriff auf Waldweg
Ein Unbekannter greift eine 42-Jährige auf einem Waldspaziergang zwischen Bietigheim-Bissingen und Ingersheim an. Zum Glück kommt in diesem Moment eine Frau mit einem Hund vorbei und kann der...
stuttgarter-zeitung.de",4,24,68
Martin Hess,@Martin_Hess_AfD,2021-05-26T15:00:20.000Z,"Dabei waren schon 2020 gut 27% weniger Migranten abgeschoben worden als im Vorjahr. #Abschiebeoffensive, die #Merkel vor Bundestagswahl 2017 ankündigte, erweist sich endgültig als Lüge. Eine echte Abschiebeoffensive gibt es nur mit der #AfDimBundestag!

https://welt.de/politik/deutschland/article231343079/Abschiebungen-Zahl-geht-im-ersten-Quartal-2021-deutlich-zurueck.html…",5,19,41
Martin Hess,@Martin_Hess_AfD,2021-05-18T14:12:21.000Z,"Diese Zustände sind nahezu Alltag in den Städten Baden-Württembergs. Ohne Grenzöffnung und jahrzehntelang verfehlte Migrationspolitik hätten wir noch unser normales Deutschland. Ich trete wieder für #AfDimBundestag an, damit Deutschland wieder sicher wird!Mann durch Messerstiche in Heilbronn verletzt
Bei einer Schlägerei mit mehreren Beteiligten sind am späten Sonntagabend in der Heilbronner Urbanstraße zwei Personen verletzt worden, eine davon schwer.
stimme.de",18,67,171
Martin Hess,@Martin_Hess_AfD,2021-05-18T10:21:08.000Z,"Das Problem heißt nicht jugendliche Erlebnisorientierung, sondern importierter #Antisemitismus. Und es lässt sich nur durch effektiven Grenzschutz und konsequente Abschiebungen endgültig lösen. Dafür steht die #AfD! #AfDimBundestag #Deutschlandabernormal",21,86,210
Martin Hess,@Martin_Hess_AfD,2021-05-18T10:05:16.000Z,"So hilflos & erpressbar ist Europa. Deshalb: nationale Grenzen schützen, illegale Migranten zurückweisen, Geldleistungen für Asylbewerber in Sachleistungen umwandeln. Die Botschaft muss lauten: Europa wird niemals eure Heimat. Wir brauchen die #FestungEuropa!Tim Röhn
@Tim_Roehn
 · May 18
1.08 Uhr: Immer mehr Menschen schaffen es am Grenzzaun El Tarajal vorbei nach #Ceuta, Spanien. @welt
Show this thread",7,35,122
Martin Hess,@Martin_Hess_AfD,2021-05-17T11:53:06.000Z,Danke auch an alle Wahlhelfer und Sicherheitsleute! Über die endgültige Platzierung auf der Landesliste entscheidet der 3. Wahlgang vom 4.-12. Juni 2021. Geben Sie mir auch im Juni wieder Ihre Stimme! Für Baden-Württemberg. Für Deutschland. Ihr Martin Hess #btw21 #AfDimBundestag,3,8,39
Martin Hess,@Martin_Hess_AfD,2021-04-14T11:44:31.000Z,"Amoklauf von #Hanau wurde vom #BKA – nach linkem Protesten – als rassistische und rechtsextremistische Tat eingestuft, weil Täter rassistische Gedanken geäußert hatte. Anschlag von Stolberg hingegen nicht islamistisch, obwohl Täter ""Allahu akbar"" rief? #AfD #AfDimBundestag",3,39,147
Martin Hess,@Martin_Hess_AfD,2021-04-08T16:05:52.000Z,Unser AK Innen veranstaltet im #Bundestag einen Bürgerdialog über #Linksextremismus. Zu Gast der Buchautor und Experte Christian Jung. Als Gastgeber halte ich Grußwort und Vortrag über Forderungen der #AfDimBundestag zur Bekämpfung von Linksextremismus. Schauen Sie live rein!,2,5,19
Martin Hess,@Martin_Hess_AfD,2021-03-26T13:15:20.000Z,"Eine solche Fehlerquote ist inakzeptabel. Die falschen Ergebnisse stellen Kinder und Familien vor unnötige Zumutungen. #Ludwigsburg darf sich bei Ursachenforschung nicht mit Vermutungen zufrieden geben. Es braucht jetzt eine fundierte Aufarbeitung!Bis zu 70 Prozent der positiv getesteten Schüler in Ludwigsburg sind doch negativ - Stadt Ludwigs...
Bis zu 70 Prozent der positiv getesteten Schüler in Ludwigsburg sind doch negativ - Stadt Ludwigsburg - Ludwigsburger Kreiszeitung
lkz.de",,3,17
Martin Hess,@Martin_Hess_AfD,2021-03-24T11:45:05.000Z,"#Merkel macht #Osterruhe rückgängig wie Ernennung von #Kemmerich. Kanzlerin hat sich despotischen Regierungsstil angewöhnt, der eher an Bananenrepubliken erinnert und eines demokratischen Rechtsstaats unwürdig ist. Verantwortung übernehmen kann nur heißen: sofortiger #Rücktritt!",6,12,60
