User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Martina Renner,@MartinaRenner,2017-09-26T22:24:26.000Z,"Solange Rassisten, die Angst vor Flüchtlingen haben mehr Aufmerksamkeit bekommen als Migranten, die Angst vor Nazis haben, läuft was falsch.",670,2.4K,7.8K
Martina Renner,@MartinaRenner,2021-05-29T11:23:34.000Z,"Neues vom #FrühwarnsystemRobert Andreasch
@robertandreasch
 · 6h
Akteur_innen von #IB #Schwaben & #REP haben in #Bissingen (Lkr. #Dillingen an der Donau) eine große Immobilie gekauft. Skandal im Skandal: der #VS Bayern wusste vom Kauf und kuckte zu, statt der Gemeinde beim Verhindern zu helfen. #VSabsschaffen [paywall] https://augsburger-allgemeine.de/dillingen/Bissingen-In-die-Bissinger-Braeu-kommt-wieder-Leben-id59743156.html…",,11,43
Martina Renner,@MartinaRenner,2021-05-29T08:53:12.000Z,"Das Desinteresse an Aufklärung von Straftaten durch den #VS rührt aus dessen genereller Betriebskultur. Richtig wäre jetzt die komplette Beiziehung/notfalls Beschlagnahme aller Unterlagen im #VS zu Personen/Sachverhalten rund um die rechte Szene in #Neukölln durch 
@GStABerlin
 2/2",,6,37
Martina Renner,@MartinaRenner,2021-05-29T08:50:22.000Z,"Auf die mangelhafte Auswertung von G10-Protokolle durch den Berliner #Verfassungsschutz zu den Neonazis, die mutmaßlich hinter der Anschlagserie #Neukölln stehen, mit Forderung nach mehr Personal für den Inlandsgeheimdienst zu reagieren ist falsch. 1/2Experten sehen deutliche Defizite bei Ermittlungen
Die Expertenkommission zur Klärung von Versäumnissen sieht Mängel bei Staatsanwaltschaft und Verfassungsschutz. Womöglich wären die Taten schon geklärt.
m.tagesspiegel.de",2,12,51
Martina Renner,@MartinaRenner,2021-05-27T07:52:40.000Z,Oder wie man bei der #CDU sagt: ‚Brandmauer‘,2,13,131
Martina Renner,@MartinaRenner,2021-05-26T19:03:16.000Z,"Die erste Folge meiner Videoreihe #AufklärungtrotzBlockade zu 3 Jahren Untersuchungsausschuss Breitscheidplatz ist online. Schaut gerne mal rein! https://youtu.be/Qd-NOR3eTKA #UA1BTFolge 1 - Aufklärung trotz Blockade - Wie kam es zu einem Untersuch...
Seit mehr als 3 Jahren läuft nun schon der Untersuchungsausschuss zum dschihadistischen Anschlag am Breitscheidplatz. Gemeinsam mit Matthias Jakubowski, dem ...
youtube.com",,11,45
Martina Renner,@MartinaRenner,2021-05-26T07:50:20.000Z,"Jetzt auch auf Twitter: das Büro der 
@rosaluxisrael
 unter Leitung von 
@MarkusBickel
. Folgt für einen differenzierten Blick von vor Ort mit klarer friedenspolitischer Haltung!Rosa Luxemburg Stiftung Israel
@rosaluxisrael
 · May 20
Wir schauen hin, wenn andere wegschauen: @rosaluxisrael liefert Analysen und Debatte – auch dann, wenn die Waffen schweigen. Weil klarer Kopf und heißes Herz für die Opfer von Gewalt, Antisemitismus und Besatzung kein Widerspruch sind. Follow us now ! #rosaluxisrael #israel #gaza",,1,12
Martina Renner,@MartinaRenner,2021-05-24T08:01:49.000Z,"Eine führende #BLM-Aktivistin, Sasha Johnson, liegt mit lebensbedrohlichen Verletzungen nach einem Kopfschutz im Krankenhaus. Sie bekam nach Angaben ihres Umfeldes in der Vergangenheit Morddrohungen. Die britische Polizei dementiert dies.Britische ""Black Lives Matter""-Aktivistin nach Schuss in Lebensgefahr
Laut Londoner Polizei gibt es keine Hinweise auf einen gezielten Angriff oder Drohungen gegen Sasha Johnson
derstandard.de",8,60,156
Martina Renner,@MartinaRenner,2021-05-23T12:44:31.000Z,"„Wir sind das Investitionsrisiko für die Spekulation auf Wohnraum.“ Jetzt in #Berlin für die #Vergesellschaftung der Immobilienriesen und einen bundesweiten #Mietendeckel. Holen wir uns die Wohnungen zurück - 
@dwenteignen
 macht es mit kraftvoller Kampagne vor, wie es gehen kann.",14,16,95
Martina Renner,@MartinaRenner,2021-05-23T09:36:15.000Z,"Bei Durchsuchung von #FrancoA fand man die #Rechtsterror-Anleitung „der totale Widerstand“ des Major v. Dachs. Aufzeichnungen, die im Prozess hoffentlich eine Rolle spielen, übernehmen die Kategorisierung der Anschlagsziele „ABC“ aus Manifest des rechten Massenmörders Breivik.2/2",2,23,45
Martina Renner,@MartinaRenner,2021-05-23T09:23:55.000Z,"Über die Ignoranz der Justiz wenn es darum geht #Rechtsterror als Netzwerk und planvolles Handeln aus tiefer rassistischer/nazistischer Überzeugung zu verfolgen schreibt Fritz Burschel für die 
@rosaluxstiftung
 am Beispiel des Verfahrens gegen #FrancoA. https://rosalux.de/news/id/44320/rechter-terror-und-juristische-ignoranz?cHash=104f53b5b8ea12eeb7b6e9aa6759d4bc… 1/2Rechter Terror und juristische Ignoranz - Rosa-Luxemburg-Stiftung
Im Fall des Bundeswehroffiziers Franco A., dem Terrorvorbereitungen vorgeworfen werden, muss die Justiz zum Jagen getragen werden.
rosalux.de",2,80,144
Bodo Ramelow,@bodoramelow,2021-05-22T20:59:30.000Z,"Ob man da eventuell Landolf Ladig unterm Bett findet?ZDFheute
@ZDFheute
 · May 22
Wegen möglicher Volksverhetzung: Hausdurchsuchung bei Björn Höcke https://zdf.de/nachrichten/politik/hausdurchsuchung-hoecke-volksverhetzung-100.html#xtor=CS5-62…",220,215,2K
