User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Matthias Hauer,@MatthiasHauer,2021-05-28T22:32:42.000Z,"Cool. Demnächst auch Bier in Scheiben? Lucas Gerrits
@LucasGerrits
 · 7h
Kapitalismus.",4,2,7
Matthias Hauer,@MatthiasHauer,2021-05-28T21:57:23.000Z,"Hätte folgende #GNTM-Reihenfolge besser gefunden:

#Romina 
#Soulin
#Alex

Glückwunsch an #Alex, die auch top war.  Tiefpunkt der Sendung: #TokioHotel.",1,,10
Matthias Hauer,@MatthiasHauer,2021-05-28T21:49:06.000Z,"„Das passt jedenfalls ins bish. Bild mangelnden Aufklärungswillens bei 
@OlafScholz
: Schweigender Minister mit unglaubwürdigen Erinnerungslücken, mehrfach verspät. Aktenlieferungen mit fadenscheinigen Ausreden +vorenthaltenen Informationen ua durch geschwärzte Berichte.“ #Wirecardtagesschau
@tagesschau
 · 12h
Wirecard-Untersuchungsausschuss lädt weitere Zeugen http://tagesschau.de/investigativ/br-recherche/wirecard-commerzbank-101.html… #Investigativ #Wirecard #Commerzbank",1,4,11
Matthias Hauer,@MatthiasHauer,2021-05-28T18:41:30.000Z,Hole jetzt das #GNTM-Finale von gestern nach. Nicht spoilern bitte. ,9,,14
Matthias Hauer,@MatthiasHauer,2021-05-28T13:59:07.000Z,Konnte während einer Videokonferenz gerade ein Eichhörnchen ausgiebig auf meiner Terrasse beobachten. Das Wochenende fängt also gut an. ,4,,29
Matthias Hauer,@MatthiasHauer,2021-05-28T12:00:25.000Z,"Bundespräsident #Steinmeier eröffnet die Debatte um seine eigene Wiederwahl. Alle Beteiligten sollten ein Interesse daran haben, das Thema aus dem Wahlkampf herauszuhalten. Daher: Gutes Statement von 
@ArminLaschet
. ",3,4,61
BR_Recherche,@BR_Recherche,2021-05-28T08:58:04.000Z,"Der #Wirecard-UA beschäftigt sich seit heute früh u.a. mit unserer Recherche zur #Commerzbank-Liste von Februar 2018. Das Gremium will jetzt weitere Zeugen vernehmen.Matthias Hauer
@MatthiasHauer
 · 19h
#Wirecard: Die Vernehmung der Zeugen Schulte (#FIU) und StS Bösinger (#BMF) ist zur Aufklärung der weiteren Erkenntnisse dringend nötig. Haben mit unserer Zustimmung gerade den 8.6. um 14 Uhr als UA-Termin dafür festgelegt - auch StA München I kommt dazu. https://br.de/nachrichten/deutschland-welt/wirecard-commerzbank-listete-343-verdaechtige-transaktionen-auf,SYdIjui…",3,5,8
Matthias Hauer,@MatthiasHauer,2021-05-28T08:34:52.000Z,"#Wirecard: Die Vernehmung der Zeugen Schulte (#FIU) und StS Bösinger (#BMF) ist zur Aufklärung der weiteren Erkenntnisse dringend nötig. Haben mit unserer Zustimmung gerade den 8.6. um 14 Uhr als UA-Termin dafür festgelegt - auch StA München I kommt dazu.Wirecard: Commerzbank listete 343 verdächtige Transaktionen auf
Hinweise auf Kreislaufgeschäfte und Bilanztricks bei Wirecard: Anfang 2019 erstellte die Commerzbank eine Liste mit 343 dubiosen Zahlungen. Behörden wurden gewarnt, nichts passierte. Auch das...
br.de",4,9,20
Matthias Hauer,@MatthiasHauer,2021-05-27T16:12:53.000Z,"Die Straftäter von #Greenpeace e.V. prahlen mit ihrem Diebesgut. Sollte eine solche Organisation als gemeinnützig anerkannt sein? Aus meiner Sicht: Nein.Greenpeace e.V.
@greenpeace_de
 · May 27
UPDATE #VWTF: Das sind die Schlüssel  der 1.500 Abgasautos von @volkswagen, die Greenpeace Aktivist:innen gestern aus dem Verkehr gezogen haben. Sie reisen jetzt an einen Ort, an dem die Klimakrise schon besonders sichtbar ist.  Welche Orte kommen dir da in den Sinn? ",9,17,191
Matthias Hauer,@MatthiasHauer,2021-05-27T06:12:11.000Z,"Durch Eindringen und Diebstahl schafft man keinen Klimaschutz. Dürfte eher ein Fall für 
@Polizei_LER_EMD
 sein. 

Ja zum Klimaschutz - aber eben mit demokratischen und rechtsstaatlichen Mitteln.Greenpeace e.V.
@greenpeace_de
 · May 26
Klimazerstörung made in Germany – heute in der Volkswagen-Edition! Am Verladehafen in Emden haben Greenpeace Aktivist:innen heute über tausend Autoschlüssel von Verbrennerautos aus dem Verkehr gezogen! #VWFT Jetzt Petition unterschreiben  https://act.gp/3fhAHYc",4,3,63
Matthias Hauer,@MatthiasHauer,2021-05-26T15:48:06.000Z,"#AfD-Mitgliederwerbung: #HauptsacheKarriere. Das erklärt einiges. #noAfD Florian Fuchs
@fuchs_cdu
 · May 26
Die AfD versucht offenbar verzweifelt, neue Mitglieder zu gewinnen. ",2,9,36
ntv Nachrichten,@ntvde,2021-05-26T12:19:07.000Z,"Wirecard-Abschlussbericht: Dokument des Grauens und VersagensWirecard-Abschlussbericht: Dokument des Grauens und Versagens
Union und SPD haben ihren Abschlussbericht zur Wirecard-Untersuchung fertig. Er zeigt das dramatische Ausmaß des Skandals, die Dreistigkeit der Betrüger und das Versagen der Behörden. Nebenbei...
n-tv.de",9,13,27
Matthias Hauer,@MatthiasHauer,2021-05-26T10:03:03.000Z,"Im UA #Wirecard wollten wir #Singapur-#Whistleblower Pav #Gill hören - der hat gestern (nachdem er zunächst zugesagt hatte) abgesagt. Er wolle „Wirecard-Kapitel abschließen“ und sein „Leben neu aufbauen“. Sehr bedauerlich, dass er lieber nur mit Presse statt auch mit UA spricht.",4,2,11
Matthias Hauer,@MatthiasHauer,2021-05-26T07:56:18.000Z,"Die Richtung stimmt weiterhin. Wahlrecht.de
@Wahlrecht_de
 · May 25
Sonntagsfrage zur Bundestagswahl • INSA/BILD: CDU/CSU 26 % | GRÜNE 22 % | SPD 16 % | FDP 12,5 % | AfD 11,5 % | DIE LINKE 6,5 % | Sonstige 5,5 %
➤ Übersicht: https://wahlrecht.de/umfragen/
➤ Verlauf: https://wahlrecht.de/umfragen/insa.htm…
#btw21 #btw",9,6,109
