User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Martin Hagen,@_MartinHagen,2021-05-26T08:25:59.000Z,"Replying to 
@Markus_SoederBeeindruckend: Der bayerische Kurs wirkt auch in unseren Nachbarländer und sogar in ganz Europa! ;-)",77,325,2.2K
Christian Lindner,@c_lindner,2021-05-25T11:55:25.000Z,"Wer vom regulierten Wohnungsmarkt, staatlichen Mietpreisen und Enteignungen träumt, fördert Konzentration auf dem Wohnungsmarkt. Fusion #Vonovia und #DeutscheWohnen ist auch Reaktion auf 
@dwenteignen
. Mehr Wettbewerb und mehr #Bauen sorgen für Wohnraum zu bezahlbaren Preisen. CL",599,271,1.2K
OttO Fricke,@Otto_Fricke,2021-05-21T15:04:35.000Z,"Pfingsteiertage sind Tage der Erkenntnis, daher zum Thema Investitionen des Bundes Zahlen: 2020 Soll: 71,3 Mrd Ist:  50,3  und       2021  Soll: nur 61,8
noch schlimmer: 1. Nachtrag Soll 2021 nur noch 59,2 ! Und jetzt raten wir mal alle, wie das IST wird #StaatlicheInvestitionen",1,1,11
"Karsten Klein, MdB",@MdBKlein,2021-05-19T11:42:33.000Z,"Die EURO-Staaten können sich keine höheren Zinsen leisten. Das gilt auch für den Bundeshaushalt. Die Befürchtungen, dass die EZB die Zinsen schleppend erhöht sind gerechtfertigt. Zeigen aber auch die Abhängigkeit, die aus Staatsverschuldung entsteht.Ex-EZB-Chefvolkswirt Praet warnt vor Folgen hoher Staatsverschuldung
Ex-EZB-Chefvolkswirt Praet warnt vor Folgen hoher Staatsverschuldung
finanzen.net",,,4
"Karsten Klein, MdB",@MdBKlein,2021-05-18T14:46:36.000Z,"BM 
@peteraltmaier
 hat sein Digitalisierungsversprechen der Verwaltung bis 2021 nicht eingehalten. Corona hat gezeigt, wie wichtig E-Government ist. Als Teil der nächsten BReg wird die FDP dafür sorgen, dass das Versprechen umgesetzt wird. #Digitalgipfel„Bis 2021 ist Deutschlands Verwaltung komplett digital“
Bis 2021 ist Deutschland bei E-Government führend, kündigt Peter Altmaier auf einer Veranstaltung des Handelsblatts an. Deutschland soll in der Digitalwirtschaft so stark werden, wie das Land heute...
handelsblatt.com",,2,6
Sabine Leutheusser-Schnarrenberger,@sls_fdp,2021-05-18T11:39:18.000Z,"Es liegt an jedem von uns, dass wir dem grassierenden #Antisemitismus die Stirn bieten.Friedrich-Naumann-Stiftung für die Freiheit
@FNFreiheit
 · May 18
Achtung: verstörender Inhalt. Wie der @ZentralratJuden veröffentlichen wir eine Auswahl von antisemitischen Beschimpfungen, die @Ben_Salomo erreichen. #HassBeimNamenNennen #Antisemitismus bekämpfen
GIF",6,38,135
"Karsten Klein, MdB",@MdBKlein,2021-05-14T08:56:18.000Z,"Gleich startet unser Bundesparteitag. Es gibt #vielzutun für Deutschland. Wir sind fest entschlossen für die Freiheit der Menschen in diesem Land zu kämpfen. Die 
@fdp
 macht den Unterschied. 

#bpt21 
@fdpbay
 #Bundestagswahl",,,7
"Karsten Klein, MdB",@MdBKlein,2021-05-12T14:40:14.000Z,"Mit entschlossener Krisenpolitik würde  besser dastehen als die aktuelle #Steuerschaetzung abbildet. Hilfen kommen nicht oder zu spät an. Das Konjunkturpaket droht zum Rohrkrepierer zu werden. Besser: Klare Öffnungsstrategien und schnelle Hilfen per Steuererstattung.
@fdpbt",,1,2
Martin Hagen,@_MartinHagen,2021-05-10T15:31:23.000Z,"Replying to 
@HubertAiwangerSchade: Eine solche Runde wie auf dem Bild ist nach der von Ihnen beschlossenen Verordnung nicht erlaubt.  Oder leben Sie alle in einem gemeinsamen Haushalt?",14,15,503
Marco Buschmann,@MarcoBuschmann,2021-05-08T12:15:11.000Z,"Das ist ja putzig. Gestern habe ich sachliche Kritik an einem Programmpunkt der Grünen geübt. Gleich wurde versucht, mich dafür bei Twitter anzuschwärzen.
Albern!
Schlechte Debattenkultur!
Gut, dass Twitter den Blödsinn nicht mitmacht!",31,40,418
Marco Buschmann,@MarcoBuschmann,2021-05-08T06:58:03.000Z,"Wow! Die Aktion „Flaggen der Einheit“ der 
@fdpbt
 hat gestern jede Menge Preise beim Art Directors Award abgeräumt. Großes Kompliment an 
@HEIMATBerlin
 für das kreative Konzept und unsere Mitarbeiter für die Umsetzung! ",8,23,187
Verteidigungsministerium,@BMVg_Bundeswehr,2021-05-07T06:01:00.000Z,"Guten Morgen! Die Anzahl der Drohnen für den Einsatz #MINUSMA in Mali wird erhöht. Damit können zwei Aufklärungsmissionen gleichzeitig durchgeführt werden. Der Haushaltsausschuss des Bundestages hat die 25-Millionen-Euro-Vorlage gebilligt.
Mehr Infos dazu: https://bmvg.de/de/aktuelles/bundeswehr-mehr-heron-drohnen-mali-5069136…",4,21,85
"Karsten Klein, MdB",@MdBKlein,2021-05-06T12:12:01.000Z,"Kollege 
@HerbrandMarkus
 hat eben das Programm der 
@dieLinke
 treffend zusammengefasst. Das Motto der Linken: „Den Kuchen kleiner machen von dem mehr Menschen essen sollen.“ Das ist realer Sozialismus. Besser: Den Kuchen größer machen damit für jeden das Stück größer wird.
@fdpbt",1,1,16
