User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
MdB Brigitte Freihold,@MdB_Freihold,2021-05-27T11:25:22.000Z,"#Spahn und #Lauterbach fordern die #Impfung  von Kindern, obwohl weder eine Zulassung der #EMA noch eine Empfehlung der #STIKO vorliegen. Menschen sind keine Versuchskaninchen! Die sorgfältige Prüfung der Impfstoffe ist strikt einzuhalten!

Weiterlesen:Corona: Spahn (CDU) und Lauterbach (SPD) wollen Kinder impfen, obwohl Virus-Gefahr und Impfstoffs...
Bundesgesundheitsminister Jens Spahn (CDU) und Talkshow-Dauergast Karl Lauterbach (SPD) fordern die Impfung von Kindern. Aktuell liegt dafür aber weder die Zulassung eines Impfstoffs durch die...
brigitte-freihold.de",1,,1
linksfraktion,@Linksfraktion,2021-05-25T14:20:35.000Z,"Die Zahl der Seniorinnen und #Senioren, die #Grundsicherung im Alter beziehen, ist 2020 auf einen Rekordwert gestiegen. Ein Stundenlohn von 12,21 Euro ist nötig, um nicht auf Grundsicherung angewiesen zu sein. Das geht aus Anfragen von 
@MWBirkwald
 hervor.Existenzsichernde Mindestlöhne noch in weiter Ferne
Wie viel muss ich verdienen, wie viele Stunden pro Woche und wie viele Jahre muss ich arbeiten, um am Ende meines Arbeitslebens auf ein Leben ohne staatliche Unterstützung hoffen zu können? Wie hoch...
linksfraktion.de",5,18,46
MdB Brigitte Freihold,@MdB_Freihold,2021-05-21T12:14:44.000Z,"Herzliche Einladung zur Telefonsprechstunde am 27.5.

Weiterlesen:Einladung zur Telefonsprechstunde am 27.5.: DIE LINKE. MdB Brigitte Freihold
Die Bundestagsabgeordnete Brigitte Freihold (DIE LINKE) steht den Bürgerinnen und Bürgern auch in diesen unsicheren Zeiten mit Rat und Tat zur Seite. Freihold und ihr Büro kümmern sich telefonisch...
brigitte-freihold.de",,,2
MdB Brigitte Freihold,@MdB_Freihold,2021-05-18T11:20:26.000Z,"Die #Bundesregierung hat den Armuts- und Reichtumsbericht veröffentlicht. Der Bericht stellt der neoliberalen #Politik der Regierung ein vernichtendes Zeugnis aus. In Deutschland entwickelt sich die #Armut zu einem Flächenbrand.
#Umverteilung

Weiterlesen:Armuts- und Reichtumsbericht: Der Abstieg der Mittelschicht: DIE LINKE. MdB Brigitte Freihold
Vor wenigen Tagen veröffentlichte die Bundesregierung den neuen Armuts- und Reichtumsbericht. Auch dieser Bericht bestätigt die soziale Spaltung des Landes. Die Bundestagsabgeordnete Brigitte...
brigitte-freihold.de",1,1,3
MdB Brigitte Freihold,@MdB_Freihold,2021-05-12T16:46:09.000Z,"Die Bewerbung der Stadt #Pirmasens für den Neubau der TVP-Halle wurde von #Union und #SPD im #Bundestag nicht unterstützt. Ich mache mich weiter für die Turnhalle stark und habe mich jetzt mit einem Schreiben an Roger Lewentz (SPD) gewandt.

Weiterlesen:Bundesförderprogramm: Pirmasens ging mit TVP-Halle leer aus: DIE LINKE. MdB Brigitte Freihold
Beim Bundesförderprogramm „Sanierung kommunaler Einrichtungen in den Bereichen Sport, Jugend und Kultur“ ging Pirmasens leer aus. Die Bewerbung der Stadt für den Neubau der TVP-Halle wurde von...
brigitte-freihold.de",,,1
Jüdische Allgemeine,@JuedischeOnline,2021-05-04T12:59:33.000Z,"»Die Zahlen sind sehr, sehr beunruhigend und beschämend«: Im vergangenen Jahr gav es so viele rechts motivierte Straftaten wie noch nie.So viele rechts motivierte Straftaten wie noch nie
Trotz der Kontaktbeschränkungen nehmen 2020 die ideologisch und rassistisch motivierten Gewalttaten zu
juedische-allgemeine.de",11,18,33
MdB Brigitte Freihold,@MdB_Freihold,2021-05-04T10:19:15.000Z,"Aus den offiziellen Zahlen werden all diejenigen arbeitslos gemeldeten Menschen herausgerechnet, die älter als 58 Jahre sind und seit über einem Jahr Hartz IV beziehen, die krankgeschrieben, in Fortbildung, in Ein-Euro-Jobs oder in privater Arbeitsvermittlung sind.",,,
Dietmar Bartsch,@DietmarBartsch,2021-05-03T12:48:15.000Z,"Um die größte Krise der Bundesrepublik zu finanzieren, hält das Grundgesetz mit Artikel 106, Absatz 1, Satz 5 ein angemessenes Instrument bereit: Eine einmalige #Vermögensabgabe brächte dem Bund 310 Mrd. Adenauer hat sich damals getraut. 
@hib_Nachrichten
 https://bundestag.de/dokumente/textarchiv/2021/kw18-de-vermoegensabgabe-836858…",44,78,351
MdB Brigitte Freihold,@MdB_Freihold,2021-05-01T06:12:05.000Z,"9/9 Nur wenn wir Hartz IV endlich durch eine auskömmliche Mindestsicherung ersetzen, können wir dem etwas entgegensetzen. 
#TagDerArbeit #ReichtumUmverteilen",,,
MdB Brigitte Freihold,@MdB_Freihold,2021-05-01T06:12:04.000Z,"7/9 Das gegeneinander Ausspielen von Arbeitslosen und Geringverdienenden muss endlich ein Ende haben. Die Einführung von Hartz IV hat in Deutschland den größten Niedriglohnsektor Europas geschaffen und dazu geführt,...",1,,
MdB Brigitte Freihold,@MdB_Freihold,2021-05-01T06:12:03.000Z,"4/9 Diese Ungerechtigkeit muss ein Ende haben. Der Wohlstand muss endlich denen zu Gute kommen, die ihn erwirtschaften. Als LINKE kämpfen wir deshalb gemeinsam für faire Löhne, bei einem Mindestlohn von 13 Euro,...",1,,
MdB Brigitte Freihold,@MdB_Freihold,2021-05-01T06:12:02.000Z,"2/9 Dennoch bleibt für diese Menschen oft kaum genug Geld, um eine Familie zu ernähren, während Konzerne und ihre Eigentümer staatliche Gelder abgreifen. Die Reichen sind in der Krise noch reicher und die Armen noch ärmer geworden.",1,,
MdB Brigitte Freihold,@MdB_Freihold,2021-04-29T14:33:06.000Z,"Kleinere #Betriebe erhalten viel zu wenig staatliche Hilfe, während #Konzerne mit Milliarden überschüttet werden.
Die #Arbeitslosigkeit  vieler Menschen ist nicht allein Folge der #Corona-Pandemie, sondern auch der Krisenpolitik der #Bundesregierung.Corona: Arbeitslosigkeit stark gestiegen, auch Folge der Regierungspolitik: DIE LINKE. MdB Brigitte...
Seit dem Ausbruch der Corona-Pandemie stieg die Arbeitslosigkeit stark an. Auch in der Südwestpfalz. Zudem werden Pflegekräfte, Kita-Beschäftigte, Verkäufer*innen und viele weitere mit Applaus und...
brigitte-freihold.de",,,1
linksfraktion,@Linksfraktion,2021-04-29T13:57:53.000Z,"Sabine Zimmermann: Die verfehlte #Krisenpolitik hat hunderttausende Beschäftigte in #Arbeitslosigkeit gestürzt. Die #Bundesregierung muss endlich effektiv helfen, sonst droht eine soziale Katastrophe.
Weiterlesen:  
https://linksfraktion.de/presse/pressemitteilungen/detail/krisenabsicherung-deutlich-verbessern-soziale-katastrophe-verhindern/…",11,16,43
