User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Michael Roth MdB,@MiRo_SPD,2021-05-29T16:00:46.000Z,"Gesehen in #Witzenhausen. So etwas geht gar nicht. Nazi-Schmierereien sind kein Kavaliersdelikt. Meine Heimat ist weltoffen, bunt, vielfältig, demokratisch und anständig. War heute mit 
@knutjohn_spd
 und einigen Sozis vor Ort!",1,1,12
Michael Roth MdB,@MiRo_SPD,2021-05-29T15:28:51.000Z,"#ontheRoth im schönen Wahlkreis. Und damit es noch schöner wird, hilft der Bund: 770.000€ für das Panoramabad in Großalmerode und 170.000€ für die Kirche in Hundelshausen.",1,,12
Michael Roth MdB,@MiRo_SPD,2021-05-29T08:54:20.000Z,"Guten Morgen aus #Nordhessen! #ontheRoth im Wahlkreis. Los geht’s in Philippsthal, dann weiter nach Bad Hersfeld, Großalmerode und Hundelshausen. Genießt das Wochenende! ",2,2,32
RYCO Western Balkans,@RYCOwb,2021-05-28T13:54:22.000Z,"Together with the German Minister of State for Europe 
@MiRo_SPD
  and our #RYCO SG Mr Albert Hani, we awarded the winner of the Open Call for Young Designers: 2021 Western Balkans Berlin Summit Logo Competition, Mr Dei Hasko from #Albania 

More  https://rycowb.org/?p=10389

1/2Auswärtiges Amt and GermanForeignOffice",1,3,15
Michael Roth MdB,@MiRo_SPD,2021-05-28T18:26:15.000Z,"Das ist eine sehr traurige Nachricht. Henrik Enderlein wird nicht nur seiner Familie, seinen Freundinnen und Freunden, sondern auch Europa, der deutsch-französischen Freundschaft und der Sozialdemokratie arg fehlen. Ruhe in Frieden, lieber Henrik!Hertie School
@thehertieschool
 · May 28
It is with great sadness that we announce the passing of our beloved faculty member and past President, Henrik Enderlein.

We mourn alongside his family and offer our deepest sympathies. Our community has lost a dear friend and he will be greatly missed.

https://hertie-school.org/en/news/detail/content/hertie-school-mourns-the-loss-of-former-president-henrik-enderlein…",2,6,79
Michael Roth MdB,@MiRo_SPD,2021-05-28T18:18:59.000Z,"Ich habe eine Allergie gegen Mauern und Zäune. Aber die Freiheit lässt sich auf Dauer nicht einsperren. Nirgendwo. Danke an alle, die mich auf meiner Reise nach #Albanien  und #Nordmazedonien  begleitet, unterstützt und inspiriert haben. Kommt gut ins #Wochenende! #ontheRoth",1,7,69
Albanian MEFA,@AlbanianDiplo,2021-05-28T07:58:48.000Z,"FM 
@xhacka_olta
 welcomes the  Minister of State for Europe 
@MiRo_SPD
 during his official visit in Tirana. 
In focus:
#EU integration process and expectations;
Political & bilateral cooperation;
Regional & multilateral affairs.GermanForeignOffice and 5 others",,45,82
Michael Roth MdB,@MiRo_SPD,2021-05-28T05:22:30.000Z,Mirëmëngjes #Tirana! Ich sende Euch ganz viel Sonne! Vielleicht ist sie ja bis zum Wochenende auch in Deutschland  #ontheRoth,4,5,59
Michael Roth MdB,@MiRo_SPD,2021-05-27T19:10:25.000Z,"Constructive+inspiring meeting with  PM 
@ediramaal
 on #EU accession. #Albania delivered on EU conditions for first IGC, EU should now keep its promises. But  needs to continue reforms, particularly in the fight against organized crime+strengthening the rule of law.",11,11,49
Michael Roth MdB,@MiRo_SPD,2021-05-27T13:00:43.000Z,#ontheRoth Albania. Marvellous view! ,8,10,105
Michael Roth MdB,@MiRo_SPD,2021-05-27T09:24:33.000Z,"Voices of civil society are crucial in thriving democracies. Glad to hear these voices also in North Macedonia! Rule of law, respect to ethnic, religious and sexual minorities is key. We have to live up our common European values. Keep going! ",3,5,45
Michael Roth MdB,@MiRo_SPD,2021-05-27T05:39:18.000Z,Добро утро Скопје! Guten Morgen aus #Skopje. Heute geht es weiter nach #Albanien. #ontheRoth ,6,8,79
Michael Roth MdB,@MiRo_SPD,2021-05-26T19:35:07.000Z,"Das hätte was werden können... Schade, dass die #Schweiz auf weniger Verlässlichkeit in den Beziehungen zur  #EU setzt. Rosinenpickerei nutzt niemandem. Gerade jetzt wäre mehr nicht weniger Zusammenarbeit das Gebot der Stunde.",2,2,24
Зоран Заев,@Zoran_Zaev,2021-05-26T19:22:23.000Z,"Германија го поддржува напредокот на Северна Македонија во евроинтеграциите. Изразив благодарност до германскиот министер 
@MiRo_SPD
  за напорите коишто ги вложија за одржување на првата меѓувладина конференција на  со  за време на своето и на португалското претседателство.Влада на Република Северна Македонија and 2 others",2,7,47
Nikola Dimitrov,@Dimitrov_Nikola,2021-05-26T18:40:27.000Z,"Wer einen guten Freund hat, braucht keinen Spiegel! Sincere thank you 
@MiRo_SPD
 for the visit, your friendship and support. We will keep working together to make the EU hope a reality for North Macedonia and the Macedonian citizens. ",3,15,72
Michael Roth MdB,@MiRo_SPD,2021-05-26T19:22:53.000Z,Einen schönen guten Abend aus #Skopje! Traumhafter Blick auf die Stadt und das Gebirge. Hier ist schon Sommer! ,4,5,84
Michael Roth MdB,@MiRo_SPD,2021-05-26T18:53:04.000Z,"Finally back in Skopje! Glad to meet my colleague and friend 
@Dimitrov_Nikola
 again. We fully support Portuguese Presidency’s objective to open #EU accession talks with  and ! It’s up to the #EU to keep its promises now.",7,32,108
Michael Roth MdB,@MiRo_SPD,2021-05-26T18:42:21.000Z,"Thanks for having me, Prime Minister 
@Zoran_Zaev
. Good to hear that North Macedonia moves along on its reform path! That’s the way to go! We are working very hard on starting accession talks asap.  can count in Germany‘s support.",5,15,53
Michael Roth MdB,@MiRo_SPD,2021-05-24T08:29:11.000Z,The actions of the Belarusian authorities are totally unacceptable. Hijacking a plane to arrest a journalist is pushing state terrorism to the extreme. Mr Protasevitch and all political prisoners must be released immediately. A strong joint European response is needed. #Belarus,1,10,65
Michael Roth MdB,@MiRo_SPD,2021-05-24T06:54:51.000Z,"Nicht nur angesichts dieses ungeheuerlichen Vorgangs wünsche ich mir viel mehr mediale, gesellschaftliche und politische Aufmerksamkeit für das, was in #Belarus passiert. Die stärkste Waffe von Machthaber Lukaschenko ist unser nachlassendes Interesse. Belarus gehört zu #Europa!!!Sviatlana Tsikhanouskaya
@Tsihanouskaya
 · May 23
The regime forced the landing @Ryanair plane in Minsk to arrest journalist and activist Raman Pratasevich. He faces the death penalty in Belarus. We demand immediate release of Raman, @ICAO investigation, and sanctions against Belarus.
Show this thread",18,34,139
Michael Roth MdB,@MiRo_SPD,2021-05-24T06:38:31.000Z,Guten Morgen aus #Nordhessen! Ich starte mit selbstgebackenen Brötchen in den Tag! Und Ihr so? #homemade #Pfingsten,8,3,86
Michael Roth MdB,@MiRo_SPD,2021-05-23T15:51:01.000Z,"Dem Machthaber von Belarus ist ja wirklich vieles zuzutrauen. Aber die Entführung des Oppositionellen Roman #Protasewitsch, der in Litauen Asyl genießt, schockiert mich. Das kann man nicht anders als Staatsterrorismus nennen und muss Konsequenzen haben.Belarus accused of ‘unprecedented act of state terrorism’ after flight diverted and activist...
Ryanair flight from Greece to Lithuania diverted to Minsk.
politico.eu",16,65,254
Michael Roth MdB,@MiRo_SPD,2021-05-23T15:27:14.000Z,Abstecher in die alte Heimat. #Kalifornien #Pfingsten,1,2,20
Michael Roth MdB,@MiRo_SPD,2021-05-23T10:32:35.000Z,"Heute haben unser Grundgesetz (*1949), unsere SPD (*1863) und Georg (*1938) Geburtstag. Herzlichen Glückwunsch!  ",20,6,49
Michael Roth MdB,@MiRo_SPD,2021-05-23T10:18:54.000Z,"Gesegnete, fröhliche Pfingsten ! Ich versuche heute, der Sonne entgegen zu laufen. War gar nicht so einfach;-)",5,1,29
Pulse of Europe,@PulseofEurope,2021-05-23T08:07:01.000Z,"Europa-Staatsminister 
@MiRo_SPD
 freut sich über #EuropeanHomeParliaments zu einer besseren #EU in Pandemie-Zeiten! Mitmachen: http://homeparliaments.eu - offline & via Video-#HausParlamente! Tausende  tragen zur #CoFoE mit #PulseofEurope bei & bekommen Feedback auch von ihm!2:04
908 views",,8,17
Michael Roth MdB,@MiRo_SPD,2021-05-22T13:38:26.000Z,"Ihr könnt uns weder einschüchtern noch aufhalten, gar zum Schweigen bringen. Wir stehen gemeinsam ein für Freiheit, Vielfalt, Demokratie, für ein Land, in dem wir ohne Angst verschieden sein können. Solidarität mit 
@NancyFaeser
.Nancy Faeser
@NancyFaeser
 · May 22
Gestern habe ich in meinem Wahlkreisbüro einen Drohbrief mit einem weißen Pulver erhalten unterzeichnet mit #NSU20. Meiner Familie und mir geht es gut. Klar ist: ich werde mich niemals einschüchtern lassen und weiter entschlossen gegen Rechtsextremismus und Antisemitismus kämpfen
Show this thread",8,14,81
Michael Roth MdB,@MiRo_SPD,2021-05-22T11:30:25.000Z,"Jetzt live bei Facebook: Frauen im Zentrum der Krise - mit 
@c_kampmann
 und mir. Schaut mal rein!  https://fb.me/e/5VgCqSaSi",1,2,20
Michael Roth MdB,@MiRo_SPD,2021-05-22T06:37:15.000Z,"Mission accomplished. Gestern endete unser Vorsitz im 
@coe
 Ministerkomitee. Für mich als Beauftragter der Bundesregierung war das eine spannende Zeit. Danke dafür! Der Einsatz für Menschenrechte, #IstanbulConvention, Roma, LGBTI, Jugendbeteiligung, gegen Hass+Hetze geht weiter.Germany at the Council of Europe",4,7,65
Michael Roth MdB,@MiRo_SPD,2021-05-21T16:41:47.000Z,"#KFOR ist momentan noch ein unentbehrlicher Sicherheitsanker und genießt die Unterstützung von  und . Deshalb ist es gut und richtig, mit der Bundeswehr präsent zu bleiben. Für Frieden und Sicherheit im westlichen Balkan. Meine Rede im Plenum:Die Bundeswehr im Kosovo sichert Frieden und Demokratie. Meine Rede...
Der westliche Balkan ist der Innenhof des Europäischen Hauses. Vielfältige historische, kulturelle und wirtschaftliche Beziehungen führen zu unserer besonder...
youtube.com",2,2,12
Zeljko Jovanovic,@jovanovicz,2021-05-20T08:15:45.000Z,"Thank you for your focus on #Roma and partnership with 
@ERIAC_official
. Always grateful and inspired by the standard-setting leadership of 
@MiRo_SPDGermany at the Council of Europe
@GermanyCoE
 · May 20
To shed light on the concerns & expectations of #minorities, the German Presidency has focused strongly on #Roma and #Travellers as the largest minority in Europe with a series of well-received events in close collaboration with @ERIAC_official.",,5,19
Germany at the Council of Europe,@GermanyCoE,2021-05-20T06:34:00.000Z,"To shed light on the concerns & expectations of #minorities, the German Presidency has focused strongly on #Roma and #Travellers as the largest minority in Europe with a series of well-received events in close collaboration with 
@ERIAC_official
.",,14,22
Michael Roth MdB,@MiRo_SPD,2021-05-19T17:26:14.000Z,"Es ist so beschämend. Und traurig. Vor allem, wenn man bedenkt, wie moralinsauer manche Grüne auf ihre Mitbewerberinnen + Mitbewerber blicken. Den Kampf gegen rechten Terror werden wir so wohl nicht gewinnen. #NSUAktenFreigebentaz
@tazgezwitscher
 · May 12
Eine Petition fordert, die hessischen #NSU-Unterlagen öffentlich zu machen. Doch die schwarz-grüne Landesregierung bleibt stur. http://taz.de/Schwarz-Gruen-gegen-Offenlegung/!5772155/…",5,12,54
Michael Roth MdB,@MiRo_SPD,2021-05-19T17:03:41.000Z,"#EU+Serbia are partners, enlargement is in our mutual interest. It's up to Serbia to go ahead with crucial reforms, especially regarding #RuleofLaw+media freedom. That’s what I reiterated towards my distinguished  colleague Jadranka Joksimović at 
@GermanyDiplo
 in Berlin today.",,2,7
SPD-Fraktion im Bundestag,@spdbt,2021-05-19T14:05:43.000Z,".
@MiRo_SPD
: ""Nationalisten und Populisten in der #AfD empören sich lautstark über den sogenannten importierten #Antisemitismus, so als ob wir keinen bis weit in die gesellschaftliche Mitte verankerten Antisemitismus hätten."" Die AfD düngt den Boden, auf dem Antisemitismus wächst!",26,17,69
Michael Roth MdB,@MiRo_SPD,2021-05-19T09:47:11.000Z,"Der Rücktritt von Franziska #Giffey ist ein großer Verlust für Land + Regierung. Ich bin sehr traurig darüber, habe große Anerkennung für ihre Arbeit, Hochachtung für sie als Mensch und tiefen Respekt für die Entscheidung. Da könnten sich einige etwas abschauen. Danke, Franziska!",5,5,44
Europäische Kommission - Vertretung in Deutschland,,2021-05-19T09:45:06.000Z,"Der Startschuss zur Konferenz zur Zukunft Europas in Deutschland ist gefallen!  Diskutieren Sie mit Staatsminister 
@MiRo_SPD
, der CDU/CSU-Europasprecherin 
@KLeikert
 und 
@JorgWojahn
 – am 25. Mai 2021 um 14 Uhr LIVE: http://youtu.be/B8m1RcTvt6c 
#CoFoE #DieZukunftGehörtDirEuropaparlament and 9 others",,10,17
Michael Roth MdB,@MiRo_SPD,2021-05-19T08:29:26.000Z,"Habe mich sehr für Einrichtung der unabhängigen Kommission #Antiziganismus eingesetzt. Heute befasste sich Kabinett mit Bericht. Diskriminierung+Ausgrenzung von Sinti+Roma sind nach wie vor besonders schlimme Form von Rassismus in +. Brauchen mehr Respekt, Inklusion+Teilhabe.",1,1,16
Michael Roth MdB,@MiRo_SPD,2021-05-18T18:56:52.000Z,"The persecution of independent media in #Belarus must stop once & for all. We condemn today’s raids against 
@tutby
 and arbitrary convictions of 
@DeutscheWelle
 journalist #Burakov and others. Belarus must live up to its own commitment to uphold freedom of press. #StandWithBelarus",5,10,45
Michael Roth MdB,@MiRo_SPD,2021-05-18T15:26:40.000Z,"Thanks to my Portuguese colleague Ana Paula Zacarias and her team for organising a superb informal meeting of the ministers for EU affairs. Obrigado 
@2021PortugalEU
! See you soon! ",2,2,57
Michael Roth MdB,@MiRo_SPD,2021-05-18T13:49:11.000Z,"Well done!Tytti Tuppurainen
@TyttiTup
 · May 18
Finland confirmed her long term and firm commitment to European Union. The Parliament voted 134 to 57 to support the Own Resources decision. The decision provides EU the necessary resources for joint recovery from the economic crisis caused by global covid-19 pandemic. ",1,,13
Michael Roth MdB,@MiRo_SPD,2021-05-18T12:27:18.000Z,"Malu Dreyer beweist seit vielen Jahren, dass nicht nur Kompetenz und Programm, sondern auch Herz und Leidenschaft zählen, um in der Politik Gutes zu bewirken und erfolgreich zu sein. Glückwunsch zur Wiederwahl, liebe #Malu!Die Nachrichten
@DLFNachrichten
 · May 18
++EIL++
Rheinland-Pfalz: Malu #Dreyer als Ministerpräsidentin wiedergewählt",2,1,24
Michael Roth MdB,@MiRo_SPD,2021-05-18T12:11:05.000Z,"Was to be expected, but still good & reassuring decision by the 
@BVerfG
 in #Karlsruhe:  Government+Parliament successfully fulfilled obligations of May 2020 ruling, 
@bundesbank
 can continue participation in #ECB’s #PSPP program to support European economy. Good day for !",1,2,17
2021Portugal.eu,@2021PortugalEU,2021-05-18T08:01:00.000Z," Day 2 of the High-Level Conference “#RuleofLaw in Europe”. 

From 12h00 (Lisbon time) closing session with: 

Sec. of State for European Affairs, Ana Paula Zacarias
@MiRo_SPD
 
Gašper Dovžan
Commissioner 
@VeraJourova
 

#EU2021PT High-level Conference Rule of Law in Europe - Day 2
youtube.com",1,7,8
Michael Roth MdB,@MiRo_SPD,2021-05-17T17:29:03.000Z,"Welcome change from VTCs, merci 
@CBeaune
. Good to talk about upcoming Franco-German agenda in the coming months: +working together for strengthening European cooperation in all areas, especially in border region & learning lessons from the pandemic ",2,8,54
Michael Roth MdB,@MiRo_SPD,2021-05-17T08:48:00.000Z,"In Sachen Rechtsstaatlichkeit gibt’s viel zu bereden+zu verbessern. Gut, dass wir auf Einladung von 
@2021PortugalEU
+
@EU_Commission
 in #Coimbra zusammenkommen. Wir müssen mehr tun bei Unabhängigkeit der Justiz, Medienfreiheit, Kampf gegen Korruption, demokratische Kultur.",3,6,21
Michael Roth MdB,@MiRo_SPD,2021-05-17T05:40:19.000Z,"Bom Dia #Coimbra! 
@2021PortugalEU
 hat die Europaministerinnen und Europaminister nach #Portugal eingeladen. Yeah, ich bin wieder #ontheRoth. Euch einen famosen Wochenstart!  ",5,3,45
Michael Roth MdB,@MiRo_SPD,2021-05-16T17:47:41.000Z,"Nachtrag zur Woche: ich hätte es nicht für möglich gehalten, hier auf so viele Menschen zu stoßen, die das Existenzrecht Israels leugnen, ihrer Verachtung gegenüber der einzigen Demokratie im Nahen Osten freien Lauf lassen + nicht vor Antisemitismus zurückschrecken. Schämt Euch!",17,22,259
Michael Roth MdB,@MiRo_SPD,2021-05-16T17:18:02.000Z,Off to #Lisbon! Looking forward to meeting my colleagues from all over Europe in Coimbra. Finally! #ontheRoth  ,12,6,89
Michael Roth MdB,@MiRo_SPD,2021-05-14T07:33:04.000Z,"Allen Menschen muslimischen Glaubens ein friedliches, fröhliches, gesegnetes #Zuckerfest. Hoffentlich können wir bald wieder gemeinsam feiern.  #EidMubarak",3,5,45
Michael Roth MdB,@MiRo_SPD,2021-05-12T12:14:06.000Z,"Ein richtiger und wichtiger Schritt, um z.B. auch dem ausufernden Hass per E-Mail oder Direktnachricht in den sozialen Medien entgegenzutreten. Danke an unsere Bundesjustizministerin Christine Lambrecht für die Initiative. Hass ist keine Meinung. 
@BMJV_BundFrankfurter Allgemeine
@faznet
 · May 11
Verhetzende Beleidigungen etwa von Juden, Muslimen, aber auch Menschen mit Behinderung oder Homosexuellen sollen zur Straftat werden. Justizministerin Christine Lambrecht will so die Lücke zwischen Beleidigung und Volksverhetzung im Strafrecht schließen. https://buff.ly/3vZ6NgU",1,1,15
Michael Roth MdB,@MiRo_SPD,2021-05-12T07:34:13.000Z,"Ich bin überrascht, wie viele Menschen das Recht Israels, sich gegen den Terror der Hamas zu verteidigen, relativieren oder in Zweifel ziehen. #IsraelUnderAttack",166,206,2.1K
