User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Michelle Müntefering,@Mi_Muentefering,2021-05-28T14:44:27.000Z,"In meiner Schulzeit hat man Monkey Island gespielt. Heute organisiert das 
@AuswaertigesAmt
 einen Game Jam zu Nachhaltigkeit. TeilnehmerInnen aus der ganzen Welt diskutieren darüber, wie Spieledesigner und die Gaming Community dazu beitragen können, die #SDGs zu erreichen.",,,11
Auswärtiges Amt,@AuswaertigesAmt,2021-05-28T12:42:55.000Z,"„Unser Ziel ist es, einen gemeinsamen Weg zu echter Versöhnung im Angedenken an die Opfer zu finden“, so 
@HeikoMaas
 zum Abschluss der Verhandlungen mit #Namibia.",21,26,71
Michelle Müntefering,@Mi_Muentefering,2021-05-28T12:31:41.000Z,"Herzlichen Glückwunsch, lieber 
@igorpianist
  - ein wohlverdienter Preis und hoffentlich Ansporn für alles, was noch kommt.  
@das_ifa
 @ifaCultExtern
 @NilsSchmidMorgenpost/Berlin
@Berlin_Ticker
 · May 27
Der international gefeierte deutsche Pianist Igor Levit (34) erhält in diesem Jahr den Preis für den Dialog der Kulturen des Instituts für Auslandsbeziehungen (ifa). Damit würdige die ""nachhaltig von seinem politisch-gesellschaftlichen Engagement ... https://morgenpost.de/berlin/article232393599/Pianist-Igor-Levit-erhaelt-ifa-Preis-fuer-Dialog-der-Kulturen.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1622151338…",,2,17
Michelle Müntefering,@Mi_Muentefering,2021-05-28T09:36:09.000Z,#meinpräsident #steinmeier,,1,27
Michelle Müntefering,@Mi_Muentefering,2021-05-28T07:25:20.000Z,"Bei Übergabe der menschlichen Gebeine an  2018 habe ich gespürt, wie tief Wunden der Vergangenheit noch immer sind. Gut, dass wir jetzt diesen wichtigen Schritt machen. Wir wollen in Bewusstsein unserer hist. Verantwortung gemeinsam die Zukunft gestaltenAußenminister Maas zum Abschluss der Verhandlungen mit Namibia
Außenminister Maas sagte zum Abschluss der Verhandlungen mit Namibia heute (28.05): Ich bin froh und dankbar, dass es gelungen ist, mit Namibia eine Einigung über einen gemeinsamen Umgang mit dem…
auswaertiges-amt.de",,3,4
Michelle Müntefering,@Mi_Muentefering,2021-05-23T15:28:13.000Z,"Glückwunsch!!!!VfL Bochum 1848
@VfLBochum1848eV
 · May 23
HALLO BUNDESLIGA! WIR SIND WIEDER DAAAAA!


#sorryhatlaengergedauert #meinVfL",,,6
Michelle Müntefering,@Mi_Muentefering,2021-05-21T16:25:05.000Z,"Humboldt-Stiftung
@AvHStiftung
 · May 21
Warmest congratulations to our former president Helmut Schwarz!  Today, he will receive the 2021 Leonardo da Vinci Award from the European Academy of Sciences @eur_sc for his outstanding lifetime achievements in molecular chemistry! https://humboldt-foundation.de/en/explore/newsroom/news/helmut-schwarz-to-receive-leonardo-da-vinci-award… @TUBerlin",,,6
Michelle Müntefering,@Mi_Muentefering,2021-05-21T15:38:08.000Z,"Wir müssen die kulturelle Vielfalt unserer Gesellschaft viel stärker als Chance begreifen. Dazu muss auch der öffentliche Dienst noch bunter und diverser werden. Es geht hier um Chancengerechtigkeit+Demokratie! an 
@diversitry
 für Euren wichtigen Einsatz!DIVERSITRY
@diversitry
 · May 14
Wie können wir die #Vielfalt unserer Gesellschaft in #Politik und #Verwaltung abbilden? Über diese und weitere Fragen diskutieren wir mit @NaikaForoutan, @IntMigBerlin, @oezoguz und @tiajisio, moderiert von @rubenmcloop und Keynote von @Mi_Muentefering. 
https://zoom.us/webinar/register/WN_fNDY4JipQoKvI07px7ZONQ…",2,1,7
Michelle Müntefering,@Mi_Muentefering,2021-05-21T13:52:54.000Z,"#divers, #digital und #nachhaltig – darum geht’s bei „Menschen bewegen 2021“. Die 6. Lange Nacht der Ideen zeigt am 07.06, wie wir die Herausforderungen und Chancen unserer Zeit gemeinsam meistern können. http://menschenbewegen2021.de 
@AuswaertigesAmt
 @AA_Kultur",,3,3
Michelle Müntefering,@Mi_Muentefering,2021-05-20T10:14:19.000Z,"Habt ihr Lust, gemeinsam Zukunft zu gestalten?
Unter dem Motto „Wie bald ist morgen?“ lädt die 6. Lange Nacht der Ideen am 07.06. dazu ein!
Spannende Debatten und viel Raum zum Mitmachen  – aus Berlin direkt zu euch nach Hause! https://mediapool.expo-ip.com #mb21 #lndi21",1,3,6
