User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Michael Frieser,@MichaelFrieser,2021-04-15T07:43:27.000Z,"Das #BVerfG hat es bestätigt: der rot-rot-grünen #Mietendeckel ist nicht nur gescheitert, er ist auch verfassungswidrig. Der Mietendeckel hat die Probleme des Berliner Wohnungsmarkt nicht gelöst, sondern verschärft.",4,,4
Daniela Ludwig,@DaniLudwigMdB,2021-02-28T16:08:01.000Z,"So traurig. Armin Laschet
@ArminLaschet
 · Feb 28
Heute ist ein trauriger Tag für die christlich-soziale Bewegung und für die @CDU . Unser Freund Karl Schiewerling ist heute mit 69 Jahren verstorben. Sein Kampf für soziale Gerechtigkeit als Mensch, als Bundestagsabgeordneter oder als Vorsitzender von Kolping bleibt unvergessen.",8,1,7
Stadt Nürnberg,@nuernberg_de,2021-02-09T07:49:35.000Z,Nach einem Brand im Großkraftwerk Franken ist die Fernwärmeversorgung in den Stadtteilen Gebersdorf &Röthenbach beeinträchtigt. Wir haben den Katastrophenfall ausgerufen. Stadt und N-ERGIE haben Krisenstäbe eingerichtet. Sie stehen mit direktem Austausch miteinander. #Nürnberg,7,85,122
Michael Frieser,@MichaelFrieser,2020-05-13T13:59:35.000Z,"Volle Unterstützung für 
@smuellermdb
: Brauchen einen starken #ÖRR. Aber: Aufschlüsselung der Ausgaben + Vergleich mit anderen Ländern zeigt, dass in DE Sparpotential besteht. V.a. in der aktuellen Krise ist die Erhöhung ein falsches Signal an die Anstalten
#KeineGEZErhöhung 
#GEZStefan Müller
@smuellermdb
 · May 11, 2020
Ich fordere mit elf Kollegen die Ministerpräsidenten auf, die Erhöhung des Rundfunkbeitrags zu verschieben. #KeineGEZErhöhung @DaniLudwigMdB @MaikBeermann @MichaelFrieser @gitta_connemann @HeikeBrehmerMdB",4,2,7
Stadt Nürnberg,@nuernberg_de,2020-05-06T16:41:03.000Z,Hier finden Sie nun auch die detaillierte Liste der von der morgigen Evakuierung betroffenen Straßenzüge und Hausnummern: http://go.nuernberg.de/26731950 #NbgFliegerbombe #Nürnberg,,4,5
Markus Söder,@Markus_Soeder,2020-04-20T09:20:51.000Z,Maskenpflicht in Bayern: Das Tragen von Mund-Nasenschutz ist ab nächster Woche in allen Läden und dem öffentlichen Nahverkehr verpflichtend. Geeignet sind Alltagsmasken oder Schals. Wir begleiten alle Corona-Erleichterungen konsequent mit Schutzmaßnahmen.,480,469,2.4K
Michael Frieser,@MichaelFrieser,2020-04-15T17:52:37.000Z,"Einzelheiten zu den heutigen Beschlüssen finden Sie hierKontaktbeschränkungen bis zum 3. Mai verlängert - Michael Frieser
Die Bewältigung der Corona-Pandemie bedeutet einen historischen Kraftakt für Bevölkerung und Wirtschaft. Bundesregierung und Parlament haben mehrere milliardenschwere Maßnahmenpakete beschlossen, um...
michael-frieser.de",1,,1
Dr. Jan-Marco Luczak,@JM_Luczak,2020-03-25T08:09:06.000Z,"Stehende Ovationen für alle, die im Gesundheitssektor, bei den Sicherheitsbehörden oder an der Kasse im Supermarkt unsere Gesellschaft am Laufen halten. Aus tiefstem Herzen: #Danke! 
#CoronaPandemie 
@cducsubt
 @CDU
 @cduberlin
 @Tagesspiegel
 @morgenpost
 @Arnd_Diringer
 @SteinekeCDU",31,30,144
Michael Frieser,@MichaelFrieser,2020-03-23T13:41:02.000Z,"Danke für die unzähligen freundlichen Nachrichten, die mich seit gestern erreichen!
Auch wenn ich diese Woche nicht persönlich anwesend bin, der #Bundestag ist handlungsfähig. Die Politik tut alles, damit wir diese Herausforderung gemeinsam bestehen!
#COVIDー19 
#QuarantineLife",,1,13
Michael Frieser,@MichaelFrieser,2020-03-22T13:05:58.000Z,"Seit gestern weiß ich, dass ich positiv auf den #CoronaVirusDE getestet wurde. Nun wird aus der freiwilligen #Isolation also eine #Quarantaene. Mein dringender Apell an alle: #StayAtHome! Wir können alle ansteckend sein, ohne es zu merken. Seien wir #solidarisch!
#COVIDー19",4,,20
Michael Frieser,@MichaelFrieser,2020-03-13T11:34:49.000Z,"Gerade wegen #Corona brauchen Arbeitskräfte & Firmen Planungssicherheit. Daher verbessert der #Bundestag das #Kurzarbeitergeld: Künftig wird schon gezahlt, wenn nur 10 % der Beschäftigten betroffen sind. Und auch Leiharbeiter sollen Kurzarbeitergeld bekommen. #COVID19",3,5,5
Michael Frieser,@MichaelFrieser,2020-03-09T12:03:04.000Z,"Mit einem milliardenschweren #Investitionspaket macht die #Groko Deutschland zukunftssicher. Zusätzliche 12,4 Mrd. € werden bis 2024 in moderne Straßen, bezahlbare Wohnungen und sanierte Sporthallen gestecktKoalition: Investitionen und Corona-Hilfen
Gut sieben Stunden tagte der Koalitionssauschuss mit den Fraktionschefs und Parteispitzen von CDU/CSU und SPD – und heraus kam eine riesige Investitionsoffensive, die Deutschland fit für die ...
cducsu.de",7,5,3
Michael Frieser,@MichaelFrieser,2020-02-26T15:08:42.000Z,"Sehe weiterhin die Gefahr einer staatlich reglementierten Normalisierung des Suizids, die v.a. die Schwächsten der Gesellschaft trifft. Die Niederlande können kein Vorbild sein.",2,,2
Michael Frieser,@MichaelFrieser,2020-02-26T15:07:45.000Z,BVerfG soll Einhaltung des #GG überwachen und ist kein politisches Organ. Mit dieser Einengung des verfassungsrechtlichen Rahmens betreibt es de facto aber Gesellschaftspolitik.,1,,2
Michael Frieser,@MichaelFrieser,2020-02-26T15:04:11.000Z,"Die Entscheidung des #BVerfG zur #Sterbehilfe ist natürlich zu akzeptieren. Für mich ist sie dennoch eine problematische. Breiter parlamentarischer Konsens, Hospiz- / Palliativdienste und Bundesärztekammer standen hinter Verbot der geschäftsmäßigen Förderung der Selbsttötung.",6,,4
Michael Frieser,@MichaelFrieser,2020-02-20T13:23:24.000Z,Zehn Menschen wurden in #Hanau gewaltsam aus dem Leben gerissen. Diese Tat erschüttert mich sehr. Meine tiefe Trauer und Anteilnahme gelten den Opfern und ihren Familien. Ich wünsche ihnen Kraft und Beistand.,,1,2
Michael Frieser,@MichaelFrieser,2020-02-10T13:48:51.000Z,"#AKK organisiert selbstbestimmt und uneigennützig die inhaltliche und personelle Neuausrichtung der #CDU. Ihr gebührt Respekt und Anerkennung. Auch für den weiteren Weg muss gelten: Einer Partei, die das politische System zerstören will, dürfen wir als #Union nie das Wort reden",3,1,18
Michael Frieser,@MichaelFrieser,2020-01-30T18:36:29.000Z,"Die Vorwürfe des #BRH sind gerade bei den Themen Schadensersatz und #Risikofolgenabschätzung nicht aufrecht zu erhalten:
Der BRH kann keinerlei Grundlagen für seine Einschätzungen liefern oder nachvollziehbar erklären.
#Maut #Untersuchungsauschuss",1,3,6
Michael Frieser,@MichaelFrieser,2020-01-30T08:40:24.000Z,Der #Bundestag muss kleiner werden. #Direktmandate zu streichen ist aber der falsche Weg - in mehrerlei Hinsicht: Verhindert das Anwachsen nicht und schadet dabei der Demokratie. Wir wollen #Wahlrechtsreform mit echter Obergrenze von 650 Mandaten,3,3,23
Deutschlandfunk,@DLF,2020-01-23T06:23:03.000Z,"""Wir müssen alles dafür tun, dass dieser Bundestag nicht weiter wächst. Ja, wir müssen alles dafür tun, dass die Arbeitsfähigkeit weiter erhalten bleibt. Aber wir dürfen auch nicht in Panik geraten"", sagt 
@MichaelFrieser
, Justiziar der 
@cducsubt
, im Deutschlandfunk.",5,2,2
Daniela Ludwig,@DaniLudwigMdB,2020-01-20T09:13:19.000Z,"299 Direktmandate, 410 Listenmandate im Deutschen #Bundestag. Eine Reduzierung der Direktmandate, die seit Jahren unverändert sind, soll das Problem der Listenmandate, die seit Jahren zunehmen, lösen? Finde den Fehler. #wahlrechtsreform 
@csu_bt
 @CSU
 @CDU",74,75,260
CDU/CSU,@cducsubt,2020-01-17T08:05:58.000Z,#Cybergrooming ist das gezielte Ansprechen von Kindern im Internet mit dem Ziel der Anbahnung sexueller Kontakte. Dagegen wollen wir härter vorgehen und das Strafrecht verschärfen. Denn Kinder müssen auch in der digitalen Welt geschützt werden!,4,6,42
Michael Frieser,@MichaelFrieser,2020-01-16T08:02:09.000Z,"Jetzt live die Bundestagsdebatte zur #Organspende mitverfolgen
https://phoenix.de/livestream.html",,,1
CSU,@CSU,2019-12-05T09:19:03.000Z,"Heute ist Tag des Ehrenamts. In #Bayern sind über 5 Mio. Menschen im #Ehrenamt tätig: z.B bei der Freiw. Feuerwehr, bei freiwilligen Hilfsorganisationen, im Bereich Asyl und Integration oder in einem Sportverein. Bayern ist mit seinen Helferinnen und Helfern ein Ehrenamtsland.",3,7,20
Michael Frieser,@MichaelFrieser,2019-11-13T10:09:44.000Z,"Der #Rechtsausschuss zieht Konsequenzen aus dem Verhalten und den Äußerungen des Herrn #Brandner. Das Verfahren wurde zuvor im Geschäftsordnungsausschuss sauber geprüft.
#wehrhaftedemokratiephoenix
@phoenix_de
 · Nov 13, 2019
Erstmals in der Geschichte des Bundestags wurde heute ein Ausschussvorsitzender abgewählt. Der Abgeordnete der AfD Stephan #Brandner fiel in Vergangenheit immer wieder durch provokante und antisemitische Äußerungen auf.",3,2,13
CDU/CSU,@cducsubt,2019-11-07T10:30:11.000Z,"Wir wünschen unserem Abgeordneten 
@MatthiasHauer
 alles Gute und schnelle Genesung!",1,18,132
CDU/CSU,@cducsubt,2019-10-25T10:41:10.000Z,"Stück für Stück will der Bundestag den Fortschritt des #Klimaschutzgesetz|es kontrollieren. Andreas Jung, stellvertretender Fraktionsvorsitzender, spricht von einem Paradigmenwechsel in der #Klimapolitik.  #wirhandeln #Klimaschutz 
https://cducsu.de/themen/wirtschaft-und-energie-haushalt-und-finanzen/tempo-machen-beim-klimaschutz…",5,10,11
Michael Frieser,@MichaelFrieser,2019-10-23T14:47:40.000Z,"Wichtiger Schritt zur effizienteren Ausgestaltung des #Strafverfahrens. Der Gesetzentwurf erschwert missbräuchliche Verzögerungen der Gerichtsverfahren deutlich und erweitert die Möglichkeiten der Ermittlungsbehörden u.a. im Bereich der #DNA-Analyse.CDU/CSU
@cducsubt
 · Oct 23, 2019
Elisabeth Winkelmeier-Becker erklärt: Modernisierung der #Strafverfahren kommt https://cducsu.cc/2Bxc1X3",,2,4
Michael Frieser,@MichaelFrieser,2019-10-22T08:01:20.000Z,"R2G reagiert auf den Wohnraummangel in Berlin gewohnt kurzsichtig und wird den Mietendeckel heute im Senat beschließen. Bekämpft werden Symptome, strukturelle Ursachen des Problems verschärfen sich:
(via 
@berlinerzeitung
) https://berliner-zeitung.de/33346876?dmcid=sm_tw…",2,4,6
Anne Gellinek,@a_gellinek,2019-10-22T07:28:53.000Z,"""Eine Verschwendung von Zeit und Energie.""

Jean-Claude Juncker, EU-Kommissionspräsident über #Brexit in seiner Abschiedsrede vor dem Europaparlament.",4,22,98
CSU,@CSU,2019-10-18T13:55:43.000Z,".
@Markus_Soeder
: Ein Angriff auf Juden ist ein Angriff auf uns alle.  #CSUPT19",7,9,37
CSU,@CSU,2019-10-18T12:58:43.000Z,".
@MarkusBlume
: Grüss Gott zu einem #Zukunftsparteitag. Wir wollen zeigen, dass wir an der Spitze des Fortschritts marschieren. #CSUPT19",6,4,12
Michael Frieser,@MichaelFrieser,2019-10-11T09:51:22.000Z,"Glückwunsch an 
@AbiyAhmedAli
!
Er hat bewiesen, dass auch jahrzehntelange Feindschaften und Konflikte friedlich überwunden werden können. Vor dem Hintergrund der gegenwärtigen geopolitischen Lage: ein Lichtblick
#Friedensnobelpreis #NobelPeacePrizeThe Nobel Prize
@NobelPrize
 · Oct 11, 2019
Watch the very moment the 2019 Nobel Peace Prize is announced.

Presented by Berit Reiss-Andersen, Chair of the Norwegian Nobel Committee.

#NobelPrize #NobelPeacePrize",,,4
Polizei Mittelfranken,@PolizeiMFR,2019-10-07T11:20:03.000Z,"Aktueller #Bombenfund in #Nürnberg-#Kettelersiedlung in der #TriererStraße. #Verkehrshinweise beachten. 

Bis auf Weiteres großräumig umfahren! #NbgBombe
@nuernberg_de
 
@Feuerwehr_N
 
Weitere Infos folgen.",3,26,35
Markus Söder,@Markus_Soeder,2019-10-07T09:36:56.000Z,Bayern macht #ÖPNV attraktiver und günstiger: Mit dem 365-Euro-#Jugendticket sind Schüler und Azubis für einen Euro pro Tag im gesamten #VGN unterwegs. Dazu entfällt für alle VGN-Kunden die Tariferhöhung 2020. Die #Innovationsoffensiven fördern wir mit insg. 42Mio. Euro pro Jahr.,50,32,215
