User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Detlef Müller,@MuellerChemnitz,2021-05-29T08:06:20.000Z,"Auf gehts. Landeswahlkonferenz 
@SPDSachsen
 - kurz gesagt: Die Listenaufstellung zur #BTW21 Puls 180.",1,,18
Ulrich Deppendorf,@DeppendorfU,2021-05-28T09:32:50.000Z,"Die Bereitschaft Steinmeiers, für eine zweite Bundespräsidenten-Amtszeit zu kandidieren, ist eine gute Nachricht. Er kann zusammenführen,und das ist gerade in diesen Zeiten sehr wichtig.",231,59,374
fairkehr-Magazin,@fairkehr,2021-05-26T12:14:31.000Z,".
@DanielaKluckert
: ""Der Bund gibt schon viel Geld in den ÖV. Es kann nicht sein, dass die Länder immer die Hoheit haben wollen, aber das Geld immer vom Bund kommen soll. Die Länder stehen bei der Finanzierung auch in der Verantwortung.""",1,1,2
Stadt Chemnitz,@Stadt_Chemnitz,2021-05-26T10:07:43.000Z,"Fördermittel erhalten: Der #Cultursommer 2021 in #Chemnitz wird mit 480.000 Euro durch die 
@kulturstiftung
 des Bundes gefördert. Die Stadt Chemnitz finanziert einen Eigenanteil von 120.000 Euro. 
@BundesKultur
 
Mehr: https://loom.ly/V3jGguU",,3,13
VDV,@VDV_Verband,2021-05-26T09:22:19.000Z,„Die #Eisenbahn soll das Verkehrsmittel des 21. Jhd werden. Wir haben mit dem #Schienenpakt ein klares Bekenntnis der Politik für eine dauerhaft starke Schiene“ Sts. Ferlemann heute auf der Veranstaltung. Erstmals wird ab 2021 mehr in die Schiene investiert als in die Straße.DSLV Spediteure,,4,12
Detlef Müller,@MuellerChemnitz,2021-05-25T16:47:09.000Z,"Christian Bangel
@christianbangel
 · May 25
Ich wünsche mir mal wieder einen Fußballbundestrainer, der nicht wie ein Wellensittich heißt.  
#Hansi #Jogi #Rudi #Berti
Show this thread",,1,4
Ralf Hron,@HronR,2021-05-25T15:34:11.000Z,"Es stink gewaltig bei #Bertelsmann:  Trotz Onlineboom, keine Perspektive gefunden für die Beschäftigten im #Callcenter bei #Majorel #chemnitz. Wir brauchen Verantwortung für  #südwestsachsen, für #sachsen.  #Zukunftsdialog. #dgb #Solidarity",,2,8
Allianz pro Schiene,@Schienenallianz,2021-05-21T16:56:23.000Z,"Soeben hat die #EU-Kommission grünes Licht für die Senkung der #Trassenpreise gegeben. Die Obergrenze für die Absenkung ist nun auf 98 Prozent angehoben! Ein starkes Signal für die Stärkung des Schienenverkehrs. 
@netzwerkbahnen
 @DB_Cargo
 @VDV_Verband
 @DeineEVG
 @BMVIAllianz pro Schiene
@Schienenallianz
 · Apr 20
Sehr gut!  #Bundesregierung und #EU-Kommission wollen für Corona-Ausgleich eine Senkung der #Trassenpreise anstreben. Das ist ein wichtiger Fortschritt vor allem für den #Schienengüterverkehr! 
Show this thread",5,18,85
Detlef Müller,@MuellerChemnitz,2021-05-21T17:45:56.000Z,"Stark. Endlich (!) richtig stark! Danke 
@MPKretschmer
 @freie_presse",6,10,44
Detlef Müller,@MuellerChemnitz,2021-05-21T14:21:39.000Z,"Normalität kehrt so langsam zurück. Zum ersten Mal seit November 2020 gab es im ICE der 
@DB_Bahn
 wieder das bewährte Leckerli. Sozusagen geöffnete Außengastronomie. Ich sags Euch: Wir sind auf einem guten Weg!",5,3,59
Detlef Müller,@MuellerChemnitz,2021-05-21T08:08:26.000Z,"Beschäftigte werden noch, gerade hier im Osten Deutschlands, eingeschüchtert, wenn sie einen Betriebsrat gründen wollen. Mit der Verabschiedung des #Betriebsrätemodernisierungsgesetzes sorgen wir dafür, dass die Gründung von Betriebsräten einfacher und sicherer wird.
@spdbt",1,2,30
Detlef Müller,@MuellerChemnitz,2021-05-20T21:20:54.000Z,"Späte Spätschicht. Bin ja kein Fan von diesen Nachtsitzungen, aber manchmal geht es nicht anders - weil die Entscheidungen getroffen werden müssen. Verkehrsthemen jetzt auf der Tagesordnung: Gesetz zum autonomen Fahren, Mautrechtliche Änderungen und Schnellladegesetz. 
@spdbt",3,3,19
Detlef Müller,@MuellerChemnitz,2021-05-20T21:07:41.000Z,"Endlich!ZDFheute
@ZDFheute
 · May 20
Bundestag billigt Gesetz: Ab 2022 millionenfaches Kükentöten verboten https://zdf.de/nachrichten/wirtschaft/bundestag-kuekentoeten-100.html#xtor=CS5-62…",1,,18
Martin Dulig,@MartinDulig,2021-05-20T12:46:27.000Z,"Sehr gut! Der 
@sax_lt
 hat den Einzelplan des Doppelhaushaltes 21/22 des 
@SMWA_SN
  beschlossen. Damit ist der Weg frei für das #Bildungsticket und die Stärkung des #ÖPNV in #Sachsen. In #Chemnitz kann die Gründung Zentrum für Fachkräftesicherung und Gute Arbeit (#ZEFAS) starten!",1,6,19
Detlef Müller,@MuellerChemnitz,2021-05-20T07:25:47.000Z,"Herzlichen Glückwunsch zum 75.! Alles Gute und … weiter so! Ihr gehört zum Tagesablauf fest dazu, vom Morgen bis zum Abend, von Europa-,Bundes-, Landes- und Kommunalpolitik, von Kultur bis Sport. Freie Presse
@freie_presse
 · May 20
#75JahreFP Mit einer ganz besonderen Ausgabe und einem Online-Spezial feiert die ""Freie Presse"" ihr 75-jähriges Bestehen. Das ist eine Geschichte mit vielen Erlebnissen, aber auch Brüchen in der Biografie. Alle Beiträge in unserem umfangreichen Spezial: http://freiepresse.de/75jahre",,,9
Detlef Müller,@MuellerChemnitz,2021-05-19T12:22:54.000Z,"Danke an 
@DennisRohde
 für die Unterstützung! Denkmalschutz ist wichtig für Industrie - und Stadtkultur in 
@Stadt_Chemnitz
 @spdchemnitz1",1,1,4
Detlef Müller,@MuellerChemnitz,2021-05-19T12:22:53.000Z,"770.000 Euro für Chemnitzer Denkmalschutzprojekte genehmigt! Alle sechs beantragten Denkmalschutzprojekte profitieren von Bundesförderung. Schmitt-Rottluff-Mühle, Sächs. Eisenbahnmuseum, Stiftskirche, Kattundruckerei, Bahnkraftwerk und Johanneskirche. Stark für 
@chemnitz2025",1,1,7
Detlef Müller,@MuellerChemnitz,2021-05-19T05:30:35.000Z,"Zum erstem Mal. Seit Monaten. Richtiges Besteck zum Hotel-Frühstück. Keine Plastikmesser (hab mehrere beim Brötcheinsatz zerbrochen). Großes Zeichen der einsetzenden Normalisierung. Endlich! 
@spdbt",3,2,27
Detlef Müller,@MuellerChemnitz,2021-05-18T13:29:12.000Z,"Ganz wunderbar! Wolfgang Luef
@wluef
 · May 18
Im Museum gewesen. Überall nur Corona gesehen. Thread. 
Show this thread",,1,6
Seeheimer Kreis,@seeheimer,2021-05-18T12:08:04.000Z,"Inzidenzen sinken, Impfzahlen steigen. Die Reisebusbranche braucht zurecht eine Perspektive, um wieder durchstarten zu können, und den innerländischen Tourismus anzukurbeln. Es ist geboten, dies mit Hygienekonzepten auch wieder zu ermöglichen. Dazu sprachen wir mit 
@Omnibus_bdo",,6,14
Detlef Müller,@MuellerChemnitz,2021-05-17T10:19:17.000Z,"#ontherailagain Auf nach Berlin in die pickepackevolle Sitzungswoche: Lieferkettengesetz, Bundespolizeigesetz und vieles mehr. Man merkt: Legislatur neigt sich dem Ende zu - Ministerien so: „Alles muss raus!“. Ihnen und Euch eine gute Woche! 
@spdbt
 @SPDSachsen
 @spdchemnitz1",2,2,19
Andreas Scheuer,@andreasscheuer,2021-05-17T10:00:59.000Z,DIe umweltfreundliche #Bahn muss mit dem Flugzeug in ganz #Europa konkurrieren können. Das geht mit grenzüberschreitenden Hochgeschwindigkeits- und #Nachtzugverbindungen. Viele EU-Staaten haben heute ihre Unterstützung für unser Konzept des Trans-Europe Express 2.0 zugesagt,295,77,1K
Detlef Müller,@MuellerChemnitz,2021-05-14T12:16:47.000Z,"Das war am Dienstag eine wortwörtlich bahnbrechende Entscheidung. Kann seit vielen Jahren ein großer Wurf für den ÖPNV in 
@Stadt_Chemnitz
 werden. 
@CVAG_infoFreie Presse
@freie_presse
 · May 14
Der Aufsichtsrat der #CVAG befürwortet neue Verbindungen nach #Reichenbrand und in Richtung #Zeisigwald. Das letzte Wort hat der #Chemnitz|er Stadtrat. [FP+] https://freiepresse.de/chemnitz/chemnitz-plant-ausbau-des-stra-enbahnnetzes-artikel11495421…",1,,5
Detlef Müller,@MuellerChemnitz,2021-05-13T20:42:39.000Z,"Der Pokalsieg sollte übrigens Lukasz Pieszcek gewidmet werden. Toller Spieler, toller Mensch! 
@BVB
 @ErhardScherferPOKALSIEGER 2021
@BVB
 · May 13
ÖÖÖÖÖÖÖÖRLIIIIIIING.... 
GIF",1,,16
Detlef Müller,@MuellerChemnitz,2021-05-13T20:33:43.000Z,"Leudde….Sancho…Hazard…Konzentration bitte!POKALSIEGER 2021
@BVB
 · May 13
AAAAAAAAH... DER MUSS DOCH REIN!",1,,2
Detlef Müller,@MuellerChemnitz,2021-05-13T18:06:42.000Z,"Traditionen pflegen! Das macht RB 
@DieRotenBullen
  richtig gut!  #BVBRBL 
@ErhardScherferMatthias Ecke .
@pinatifuror
 · May 13
Große Geste: Trotz Corona hat #RBLeipzig heute alle Pokalhelden der Siebziger, Achtziger und Neunziger ins Vereinsheim geladen. Beim Schwelgen in Erinnerungen bleibt kein Auge trocken! #Pokalfinale",,,2
Detlef Müller,@MuellerChemnitz,2021-05-13T13:52:10.000Z,,2,1,37
