User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Nicole Gohlke,@NicoleGohlke,2021-05-10T16:33:52.000Z,"Meine Partei 

Jetzt Mitglied werden! 
#DieLinke #LinkeMacht das Land gerecht. Jetzt.
Für einen Wandel, der niemanden zurücklässt. Der Hoffnung gibt und sozial gerecht ist.Gemeinsam machen wir das Land gerecht.Jetzt! DIE LINKE.#MachtdasLandger...
youtube.com",14,5,30
Nicole Gohlke,@NicoleGohlke,2021-05-28T10:16:07.000Z,"Nach 115 (!) Jahren erkennt  #Deutschland den #Völkermord an den #Herero und #Nama symbolisch an 
- aber schließt rechtliche Ansprüche auf Entschädigung aus. 

Wahrlich noch ein weiter Weg deutsche Kolonialverbrechen aufzuarbeiten.",2,1,7
Nicole Gohlke,@NicoleGohlke,2021-05-28T08:38:46.000Z,"Die Antwort auf meine Kleine Anfrage offenbart das Totalversagen der Bundesregierung in Sachen Mieterschutz: 

Überall in #Bayern explodieren die Mieten!

Was es braucht: bezahlbaren Neubau & einen bundesweiten #Mietendeckel!Bayerns Mieter in der Falle: Zahlen zeigen, wo die Mieten besonders steigen
Zahlen der Bundesregierung zeigen, wie dramatisch Mieten in Bayern in den letzten zehn Jahren gestiegen sind. Längst ist die Belastung für die Menschen nicht nur in der Boomregion München enorm.
augsburger-allgemeine.de",9,8,23
Christian Schaft,@ChristianSchaft,2021-05-27T13:14:42.000Z,"Ein #Hochschulsozialpakt ist wichtiger denn je & muss deutlich größer werden, als vor der Pandemie gefordert, wenn wir #Studierende entlasten wollen. Dazu braucht's Ausbau der Beratungs- & Unterstützungsangebote, ein armutsfestes #BAföG & eine Strategie für das kommende Semester.DStudentenwerk
@DSW_Tweet
 · May 27
#Imgipfel heute: Unbedingt eine #Impfstrategie für Studierende, und Bund-Länder-Mittel für ihre psychosoziale Beratung und Unterstützung. Drei Digital-Semester belasten die Psyche! Unsere PM:
https://studentenwerke.de/de/content/impfgipfel-neben-impfstrategie-dringend…",,3,5
Nicole Gohlke,@NicoleGohlke,2021-05-27T13:13:22.000Z,"Macht Euch selbst ein Bild: 

Nur DIE #LINKE steht für einen #Mietendeckel, der Mieten einfriert & zu hohe Mieten absenkt.
Machen wir die Bundestagswahl zur #Mietenwahl!

#btw2021Das wollen Münchens Bundestagsabgeordnete gegen hohe Mieten unternehmen
Die AZ hat alle Münchner Bundestagsabgerodneten gefragt, was sie zu den hohen Mietpreisen sagen. Die Antworten:
abendzeitung-muenchen.de",3,,9
Nicole Gohlke,@NicoleGohlke,2021-05-27T09:10:43.000Z,"#CDU #CSU Abgeordnete machen in Masken-Schmiergelder, 
#Baerbock genehmigt sich selbst (!) #Corona-Bonus 
- während andere mit Niedriglöhnen & Kurzarbeitergeld kaum über die Runden kommen ...Keine Spende für Kinder: Baerbock lehnt bei ""Maischberger"" Thelens Deal ab
Annalena Baerbock muss sich bei ""Maischberger"" unangenehmen Fragen stellen. ""Höhle der Löwen""-Star Frank Thelen bietet ihr einen vergifteten Deal zur Bereinigung der Nebeneinkünfte-Affäre an. Karl La
web.de",1,5,11
Nicole Gohlke,@NicoleGohlke,2021-05-23T12:49:30.000Z,"Ein großer #Koks #Drogen #Clan in #München? 
Ah richtig - die #Polizei... 

Und die #CSU macht derweil rassistische Stimmung gegen #Shisha-Bars ... #PolizeiproblemDrogen-Skandal bei Münchner Polizei weitet sich aus - bereits 13 Reviere im Koks-Sumpf
Die Ermittler werten gut sieben Millionen Chat-Nachrichten von 36 beschuldigten Beamten sowie 18 Zivilisten aus - und es könnten weitere Koks-Anklagen folgen.
tz.de",3,1,14
Nicole Gohlke,@NicoleGohlke,2021-05-23T12:27:13.000Z,"Und wieder #Bayern ... 
Der mutmaßl. #Bundeswehr #Rechtsterror|ist #FrancoA hat sich im Land der #CSU Innenminister #Seehofer & #Herrmann bewegt wie ein Fisch im Wasser. 

Wir haben ein Problem – in den Sicherheitsbehörden!Robert Andreasch
@robertandreasch
 · May 20
Chat ""Süd"", #Uniter, Waffenhändler (#Vohenstrauß), ""Safe Houses"" für den ""Tag X"" (#Neustadt/Aisch, #BadTölz, #Lenggries), ""Jagsthausener Kreis"" (#Freilassing) und ""Preußenabend"" (#München) - Thies Marsen und ich zu Verbindungen von Franco A. nach #Bayern: https://br.de/nachrichten/bayern/fall-franco-a-viele-spuren-fuehren-nach-bayern,SXsGTZJ…
Show this thread",,2,6
Nicole Gohlke,@NicoleGohlke,2021-05-22T12:18:06.000Z,"""Enteignung ist die halbe Miete"" 

- ich drücke die Daumen für das Sammelcamp-Wochenende von 
@dwenteignen
 und eine große Demo gegen #Mietenwahnsinn! 

#Mietendeckel #DWenteignen #JetztErstRecht",5,5,30
Lower Class Magazine,@LowerClassMag,2021-05-21T09:40:45.000Z,Nur welches Land wird Maaßen aufnehmen?,21,123,2.2K
Julia Schramm,@_juliaschramm,2021-05-21T14:05:04.000Z,"Da sagst du einmal im Nebensatz flapsig, dass Infobroschüren für Aktiendepots auf 50-jährige Akademiker ausgerichtet sind und nicht sonderlich breit in der Ansprache und halb Neolib-Twitter brennt. Sie sind wirklich zarte Pflänzchen.",77,24,283
Amrei Bahr,@AmreiBahr,2021-05-21T11:24:19.000Z,"Eingangs-Statement von 
@NicoleGohlke
: Das Wissenschaftssystem sei unterfinanziert; das führe dazu, dass es eine soziale Spaltung an Hochschulen gebe. Ganze Generationen von Wissenschaftler_innen hätten mit prekären Bedingungen zu kämpfen. Das müsse sich ändern. #Dauerstellen",2,4,17
Andreas Keller,@AKellerGEW,2021-05-21T11:45:48.000Z,"Jetzt LIVE: 
@gew_bund
 Konferenz zur #Bundestagswahl #BTW2021 #Wissenschaftspolitik mit 
@StefanKaufmann
 @KaczmarekOliver
 @NicoleGohlke
 @KaiGehring
 @JMWiarda
 @DrKEichhorn
 @iriskimiz
 @DSW_Tweet
 @dgb_news
 #Dauerstellen http://gew.de/wipo-live",1,7,18
