User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Nicole Westig,@NicoleWestig,2021-05-28T18:41:54.000Z,"Kuren für Mütter, Väter und #pflegende Angehörige sind in der #pandemie wichtiger denn je. Brauchen dringend Verlängerung des #rettungsschirms für #rehakliniken .Müttergenesungswerk
@mgw_berlin
 · May 27
Am 31. Mai endet der aktuelle #Rettungsschirm für die MGW-Vorsorge- und Reha-Kliniken. Dadurch geraten sie in Existenznot. Das MGW fordert die Fortsetzung des Rettungsschirms bis Ende des Jahres, um Mütter, Väter und Pflegende auch weiterhin mit Kuren stärken zu können!",5,3,5
Nicole Westig,@NicoleWestig,2021-05-08T21:10:35.000Z,"So true...Peter Dabrock
@just_ethics
 · May 8
.@derspiegel + @sz vom Wochenende:
Für #Kinder #SuS #Jugendliche #Studierende:  #Politikversagen in #Pandemie 
Es bräuchte politische #Bewegung, die JEDER #Partei, die Belange d #JungenGeneration nicht berücksichtigt, Unterstützung entzieht. #KidsFirst #Generationengerechtigkeit
Show this thread",1,,2
Nicole Westig,@NicoleWestig,2021-05-04T21:19:18.000Z,"Genauso!Nicola Buhlinger-Göpfarth
@NBuhlinger
 · May 4
Morgen 14 Uhr geht los. #EinkaufenundImpfen mit Praxisteam und Kollegin Dr.⁦@BublitzSusanne⁩ # Hausärztinnenpower drückt die Daumen für unsere Aktion ! danke an ⁦@stadt_pforzheim⁩ ⁦@roteskreuz_de⁩ @hausaerzteverb⁩ ⁦@kvbw_info⁩",1,1,16
Nicole Westig,@NicoleWestig,2021-04-30T19:18:40.000Z,"Der #pflegevorsorgefonds dient dazu, demographische Risiken innerhalb der #pflegeversicherung abzufedern. Er gehört nicht geplündert, sondern gesichert, zum Beispiel durch Änderung der Anlagerichtlinien. 
@fdpbt
 #generationengerechtigkeitFrankfurter Allgemeine
@faznet
 · Apr 30
Spitzenpolitiker von @OlafScholz bis @ABaerbock sagen, was sie Arbeitnehmern alles Gutes tun wollen. Die Grünen-Chefin will dafür gleich den Pflegevorsorgefonds plündern: https://buff.ly/3xAjJLz #1MAI",3,3,8
Nicole Westig,@NicoleWestig,2021-04-27T13:45:22.000Z,"Noch viel zu tun für eine umfassende #Digitalisierung des Gesundheitswesens. Danke für die Einladung und die guten Impulse, lieber 
@bvitg
 ! 
@fdpbtBundesverband Gesundheits-IT
@bvitg
 · Apr 27
Gerade läuft unsere spannende #Digitalsprechstunde mit @NicoleWestig. Sie fordert für die nächste Legislaturperiode eine Abkehr von der ""Politik des Halbgaren"" und macht sich deshalb für eine Strategie  für die #Digitalisierung der #Pflege und des Gesundheitswesens stark!",3,2,10
Marco Buschmann,@MarcoBuschmann,2021-03-23T09:32:00.000Z,"Ein Jahr Pandemie und wir stehen bei den Maßnahmen wieder ganz an Anfang. Außer Wellenbrecher-Lockdown, harter #Lockdown und #Osterlockdown fällt dieser Bundesregierung nichts ein. Schneller und mehr Impfen, eine Teststrategie, Hygienekonzepte: Das wären die richtigen Antworten.",112,156,1.1K
Nicole Westig,@NicoleWestig,2021-03-21T19:34:05.000Z,"Danke für ein starkes Ergebnis auf Listenplatz 10 der 
@fdp_nrw
. Ich freue mich auf den Wahlkampf. Machen wir die Mitte stark! ",3,1,50
Nicole Bauer MdB,@nicole_ae_bauer,2021-03-20T08:35:44.000Z,Nach Polen nun auch die #Türkei. Kein guter Tag für den gemeinsamen Kampf gegen #Gewalt. Die #Istanbulkonvention ist eine so wichtige Grundlage dafür. Das muss Deutschland national und international deutlich machen. Wir stehen Seite an Seite! #stopviolenceagainstwomen,,8,38
FDP,@fdp,2021-03-12T14:34:23.000Z,"Wir sind eine Gestaltungspartei und streben Regierungsbeteiligungen an. Deswegen am Sonntag Uli 
@ruelke
 und die 
@FDPBW
, Daniela 
@Schmitt_FDP
 und die 
@fdprlp
 sowie die 
@FDPHessen
 wählen. Freie Demokraten sind im Wahlkampf-Endspurt
Am 14. März werden in Rheinland-Pfalz und Baden-Württemberg neue Landtage und in Hessen neue Kommunalvertretungen gewählt. Unterstützen Sie jetzt die Freien Demokraten im Wahlkampf-Endspurt.
fdp.de",23,37,142
Nicole Westig,@NicoleWestig,2021-03-07T20:43:55.000Z,"“ HIGH HEELS & POLITICS - behind the scenes #1 Finanzen” with 
@fdp_hessel
, Marija Kolak, and 
@starkwatzinger
. Tomorrow, 8. Mar at 13:00 CET on 
@joinclubhouse
!HIGH HEELS & POLITICS - behind the scenes #1 Finanzen
Monday, March 8 at 1:00pm CET with Katja Hessel, Marija Kolak, Bettina Stark-Watzinger. Finanzpolitischer Mittagstalk mit Marija Kolak, Präsidentin des BVR & u.a. Katja Hessel, Vorsitzende des...
joinclubhouse.com",,1,9
Nicole Westig,@NicoleWestig,2021-03-05T13:26:26.000Z,"Mein Aufreger der Woche: Statt die #pandemie-Bekämpfung transparent im #bundestag zu debattieren, richtet #groko mit Stimmen von #noafd ein neues Hinterzimmergremium ein. Ärzte Zeitung
@aerztezeitung
 · Mar 4
Neuer Corona-Unterausschuss empört Opposition im Bundestag
Die Koalition verlagert Kernthemen der Diskussion um die Corona-Pandemie in einen Unterausschuss des Gesundheitsausschusses. Teile der Opposition reagieren sauer.
https://aerztezeitung.de/Politik/Neuer-Corona-Unterausschuss-empoert-Opposition-im-Bundestag-417626.html?ref=twitter…",2,3,10
Nicole Westig,@NicoleWestig,2021-03-04T21:44:55.000Z,"Meine heutige Rede im #Bundestag : den Menschen endlich eine #perspektive bieten.  darf nicht Schlusslicht bei der #Pandemie Bekämpfung sein!Fraktion der Freien Demokraten
@fdpbt
 · Mar 4
""Beenden Sie das #Schneckentempo beim #Impfen und sorgen Sie dafür, dass wir bei der Pandemiebekämpfung nicht zum Schlusslicht werden!"": @NicoleWestig #Scheuer #Taskforce #schnelltest
0:15
1K views",,,17
Nicole Westig,@NicoleWestig,2021-03-02T08:32:47.000Z,"Vollkommen richtig. Denn jetzt entgangene #bildungschance n sind nie wieder aufzuholen!Janina Kugel
@janinakugel
 · Mar 2
Wie wärs, wenn in den Öffnungsdiskussionen #Bildung Priorität bekäme? Also #Kitas und #Schulen - wann und in welchem Modell auch immer? Da sitzt nämlich die #Zukunft unseres Landes.",1,,4
Sandra Weeser,@sandra_weeser,2021-03-01T10:37:31.000Z,"Die Amerikaner haben gestern, an einem Sonntag, 2,5 Millionen Menschen geimpft.

Das entspräche ca. 600.000 Impfungen in Deutschland.

Unser Bestwert an einem Sonntag: 85.000

Wir verlieren wertvolle Zeit auf dem Weg zurück zu mehr Freiheit. ",28,60,512
Nicole Westig,@NicoleWestig,2021-02-24T12:43:43.000Z,"#perspektivenChristian Lindner
@c_lindner
 · Feb 24
Die #Kanzlerin hat die Sprache geändert, aber nicht die Politik. Sie spricht über #Öffnungsschritte, die unter ihren Bedingungen in Wahrheit kaum realisierbar sind. Eine bessere Balance zwischen Gesundheitsschutz und Freiheit ist möglich. Dazu habe ich etwas aufgeschrieben. CL twitter.com/BILD/status/13…",,1,5
Nicole Westig,@NicoleWestig,2021-01-27T11:21:35.000Z,"Nicht ernsthaft, 
@jensspahn
 und 
@FranziskaGiffey
 ? #Pflege-Azubis als Hilfskräfte einsetzen zu Lasten ihrer Ausbildung? Ist das die neue Wertschätzung? Gut, dass die Verantwortlichen das nicht mitmachen! 
@VoglerC007
 @CarstenDrudeSchüler sollen Pflegende im Kampf gegen Corona entlasten
Um Pflegekräfte im Kampf gegen die Corona-Pandemie zu entlasten, wollen das Bundesfamilien- und Bundesgesundheitsministerium Auszubildende mehr in der Pflegepraxis arbeiten lassen. Bildungsinstitut...
altenheim.net",5,22,43
Nicole Westig,@NicoleWestig,2021-01-23T09:18:42.000Z,"Richtig 
@Wissing
 !Volker Wissing
@Wissing
 · Jan 23
#FFP2-Masken  sind teurer. Wenn die Bundesregierung sie für den Schutz vor #Corona für notwendig hält, sollte sie die zusätzlichen Kosten gerade für Hartz IV-Empfänger übernehmen. Am Gesundheitsschutz der Ärmsten zu sparen, das wäre unsozial und unanständig. twitter.com/DLFNachrichten…",,,4
Nicole Westig,@NicoleWestig,2021-01-22T20:02:24.000Z,"Schöne Worte und leere Versprechungen. Hier kommt die Wahrheit ans Licht. 
@WSchinnenburg
 @fdpbt
 #impfdebakelTagesspiegel
@Tagesspiegel
 · Jan 22
Nächster Rückschlag für #Spahn: Doch keine feste Zusage für 30 Millionen zusätzliche #Biontech-Impfdosen. #Corona
https://tagesspiegel.de/politik/naechster-rueckschlag-fuer-spahn-doch-keine-feste-zusage-fuer-30-millionen-zusaetzliche-biontech-impfdosen/26844542.html…",1,7,20
Nicole Westig,@NicoleWestig,2021-01-21T08:08:45.000Z,"#teampurple Maria Ferraro
@Maria__Ferraro
 · Jan 20
Today, everyone is #teampurple! I hope that 20 years from now, young women all over the world will say: that was the moment when I knew that I too could become president, chancellor, CEO, chairwoman or director. #Inauguration2021 #hope #KamalaHarris",,,3
Nicole Westig,@NicoleWestig,2021-01-11T12:48:30.000Z,"Wie lange müssen wir diese Bigotterie in der deutschen #chinapolitik noch ertragen? 
@fdpbtOlaf in der Beek MdB
@olafinderbeek
 · Jan 11
Wer sich glaubwürdig für die Einhaltung von Menschenrechten einsetzen will, der kann nicht diejenigen finanzieren, die systematisch zum eigenen Machtgewinn Menschenrechte mit Füßen treten. Das tut die Bundesregierung mit #China aber. Die @Welt berichtet über meine Anfrage.@fdpbt twitter.com/welt/status/13…",,1,5
Nicole Westig,@NicoleWestig,2021-01-05T11:33:18.000Z,"Neues Jahr, altes Lied: Abgeschafft ist der #soli nicht, wenn ihn immer noch 6 Millionen Menschen und Unternehmen sowie Kleinanleger zahlen. Dabei ist wirkliche Entlastung angesagt, gerade für die Zeit nach #Corona. #soliverfassungswidrig 
@fdpbt",1,1,19
Joachim Stamp,@JoachimStamp,2020-12-22T19:08:53.000Z,"Warum ich es gerade als bekennender Christ für notwendig erachte, jetzt auf Präsenzgottesdienste zu verzichten, habe ich im Gespräch mit ⁦
@SeverinWeiland
⁩ erläutert.Joachim Stamp: »Verzicht auf Präsenzgottesdienste ist diesmal ein Akt der Nächstenliebe«
Nordrhein-Westfalens Vizeministerpräsident Stamp appelliert an die Kirchen, über die Festtage auf Präsenzgottesdienste zu verzichten. Hier begründet der FDP-Politiker seinen Vorstoß.
spiegel.de",24,18,156
Jens Beeck,@jensbeeck,2020-12-17T17:51:43.000Z,"Lieber 
@jensspahn
, Menschen mit Behinderungen gehören zur #Risikogruppe und müssen schnellstmöglich den Zugang zur #Impfung erhalten. Das fordern wir als 
@fdpbt
 in einem Gesetzentwurf: 
https://dserver.bundestag.de/btd/19/252/1925260.pdf…",1,3,18
Nicole Westig,@NicoleWestig,2020-12-09T11:54:54.000Z,"Das zeigt: #Pflege muss noch viel mehr in die öffentliche Debatte - jenseits von #covid19. Selbstverwaltung, Mitspracherecht - NRW hat mit #pflegekammer die Chance zu zeigen, wie es geht! #wirsindunbequem 
@fdpbt
 @fdp_nrwSchwesterUnbequem
@SrUnbequem
 · Dec 8, 2020
Was gerade schief läuft!

Thread!

Ich setze mich seit Jahren für die Pflege ein. Für bessere Bedingungen, für ein besseres Ansehen, für mehr Akzeptanz, für mehr Sichtbarkeit, für mehr Wertschätzung.

Irgendwann kam Twitter dazu. Der Account wuchs. 
Ich wurde sichtbarer und..
Show this thread",1,7,24
Nicole Westig,@NicoleWestig,2020-12-09T08:23:22.000Z,Müde die Erklärungsversuche der #kanzlerin zu den ausbleibenden #novemberhilfen - noch müder der Applaus der #unionsfraktion... ,,,8
Nicole Westig,@NicoleWestig,2020-12-08T13:18:27.000Z,"#stiko legt gutes Konzept für #impfstrategie vor, jetzt geht’s an die Feinabstimmung. Fest steht: #pflegende müssen schnellstmöglich Zugang zu #Impfung haben. Das muss aber auch für #angehörigenpflege gelten. 
@fdpbtSTIKO-Impfempfehlungen liegen vor: Medizinisches Personal wird...
Berlin – Ärzte und medizinisches Personal sollen nicht gleichermaßen als prioritär für die Impfung gegen SARS-CoV-2 eingestuft werden. Das geht aus einem...
aerzteblatt.de",2,2,11
Nicole Westig,@NicoleWestig,2020-12-04T07:36:05.000Z,"Die Konzeptlosigkeit bei den #covid Testungen darf sich beim #Impfen nicht wiederholen. Wann werden #risikogruppen endlich wirksamer geschützt?Tagesspiegel
@Tagesspiegel
 · Dec 3, 2020
Keine Masken, keine Konzepte: Der Schutz Älterer hat offensichtlich keine Priorität. Dabei könnte er allen zugute kommen. Ein Kommentar. https://tagesspiegel.de/politik/fatales-corona-versagen-deutschland-schuetzt-die-verletzlichsten-nicht/26679844.html…",2,1,8
