User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Auschwitz Memorial,@AuschwitzMuseum,2021-05-29T13:00:01.000Z,"29 May 1929 | A Czech Jewish girl, Eva Tanzerová, was born in Prague.

Deported to #Auschwitz from #Theresienstadt Ghetto on 6 September 1943. She did not survive.",75,576,2.5K
Auschwitz Memorial,@AuschwitzMuseum,2021-05-26T17:00:02.000Z,"26 May 1937 | A Hungarian Jewish girl, Juliana Schwarcz, was born. 

In June 1944 she was deported to #Auschwitz and murdered in a gas chamber.",129,1K,5.1K
Lorenz Gösta Beutin,@lgbeutin,2021-05-26T13:13:42.000Z,"Replying to 
@Markus_SoederUnd was sagt man so, wenn man dem #Klimawandel begegnet? Grüß Gott, ich bin der #Söder-Markus, und ich habe für Dich in Bayern die Windkraft ausgebremst, und der Scheuer-Andi macht in Berlin die Verkehrswende platt ",9,46,743
Robert Fietzke,@robert_fietzke,2021-05-26T12:08:38.000Z,"In elf Tagen wird in #SachsenAnhalt gewählt. Während die #AfD im ganzen Land Hass-Kundgebungen veranstaltet, rollt eine Welle rechter Gewalt durchs Land. Eine Zusammenfassung der letzten Angriffe und Anschläge #ltwlsa (Thread )",20,555,971
Auschwitz Memorial,@AuschwitzMuseum,2021-05-26T11:00:00.000Z,"26 May 1929 | A Czech Jewish girl, Marie Fischerová, was born.

She was deported to #Auschwitz from #Theresienstadt Ghetto on 16 October 1944. She did not survive.",178,1.5K,7.9K
"Senatsverwaltung Integration, Arbeit und Soziales",@SenIAS_Berlin,2021-05-25T11:50:28.000Z,"Noch 6 Tage: Am 31. Mai beginnt unsere Konferenz mit täglichen Websessions, z.B. 
2. Obdachlosenzählung 2022, Schutz obdachloser Menschen vor Corona, Safe Places, mediz. Versorgung, gesamtstädt. Unterbringung, sozialer Wohnraum
Das ProgrammElke Breitenbach and 6 others",,15,17
Auschwitz Memorial,@AuschwitzMuseum,2021-05-23T05:33:46.000Z,"23 May 1944 | Elena Calo, an Italian Jewish girl, was murdered in a gas chamber in #Auschwitz II-Birkenau.

Elena was born in Florence on 26 September 1937.
She was 6 years old.",217,2.2K,9.1K
Dr. Sören Kliem,@kliem_dr,2021-05-20T17:44:00.000Z,Ein Rechtsextremist mit 30-jähriger militärischer Erfahrung (ausgebildeter Scharfschütze) stiehlt Maschinengewehre und mehrere RAKETENWERFER. Er hinterlässt einen Abschiedsbrief. In diesem kündigt er einen Terroranschlag auf einen Virologen an. Was steht in der Zeitung.,49,872,4.4K
DIE LINKE.Pankow,@LinkePankow,2021-05-21T15:45:30.000Z,Menschen müssen von ihrer Arbeit leben können! Die Durchsetzung von guter Arbeit stellt für uns ein Grundprinzip dar. Gute Arbeit - dazu gehört die Sicherheit des Arbeitsplatzes ebenso wie ein verlässliches und existenzsicherndes Einkommen. #pankowsozial #pankowfüralle #wk0301Elke Breitenbach,1,11,16
Stephan Anpalagan,@stephanpalagan,2021-05-21T19:42:29.000Z,Die BILD hat was?!,34,69,1.2K
Auschwitz Memorial,@AuschwitzMuseum,2021-05-21T19:00:00.000Z,"21 May 1938 | A French Jewish girl, Jacqueline Fogielman, was born in Paris. 

On 30 March 1944, she was deported from Drancy to #Auschwitz. She was murdered in a gas chamber after the selection.",180,1.3K,6.4K
Auschwitz Memorial,@AuschwitzMuseum,2021-05-21T04:26:03.000Z,"21 May 1944 | Betty Vredenburg, a Dutch Jewish girl, was murdered in a gas chamber in #Auschwitz II-Birkenau

Betty was born in Amsterdam on 6 May 1940. 
She was 4 years old.",364,3K,12.3K
