User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Ottmar von Holtz,@OWvonHoltz,2021-05-20T16:35:31.000Z,"#Regenwaldschutz ist wichtig für #Biodiversität, darf aber nicht auf Kosten der lokalen & indigenen Bevölkerung gehen! #konfliktsensibel Sitzung im Unterausschuss #ZivileKrisenprävention mit Simon Counsell, Christian Ruck 
@cbfp_pfbc
 & 
@CMJStreck
 Video: http://vonholtz.de/2021/05/19/biodiversitaet-im-kongobecken-sitzung-im-unterausschuss-zivile-krisenpraevention/…",,2,2
Ottmar von Holtz,@OWvonHoltz,2021-05-20T08:46:45.000Z,"Drei Teenager haben 108 Geflüchtete vor der Rückkehr in libysche #Folterlager bewahrt, stehen jetzt wg. ""Terrorismus"" in #Malta vor Gericht. In einem Brief an die Staatsanwaltschaft auf Malta forderen wir Abgeordnete: #FreeElHiblu3! http://vonholtz.de/2021/05/19/keine-strafverfolgung-von-seenotrettung-unser-brief-an-den-generalstaatsanwalt-von-malta/… #Seenotrettung",,2,9
Tjark Melchert,@tjarkmelchert,2021-05-16T09:07:02.000Z,"Nein, #Kurzstreckenflüge werden nicht verboten, sondern sie werden hoffentlich überflüssig in den kommenden Jahren. 

Dafür braucht es schnelle Alternativen, die ökologischer sind und sich ökonomisch durchsetzen durch Einpreisung der Folgeschäden. ",7,7,82
Michael Kellner,@MiKellner,2021-05-15T09:18:13.000Z,"Wahlkampf ist auch zugespitzte Auseinandersetzung. Wir werden Wahlkampf entlang politischer Inhalte und Ideen und mit Respekt gegenüber unseren politischen Mitbewerbern führen und dafür machen wir Vorschläge, die wir für uns natürlich auch selbst umsetzen.Grüne verpflichten sich zu einem fairen Wahlkampf
Der Bundestagswahlkampf soll ein fairer werden, dazu verpflichten sich die Grünen. Noch sind sie mit einem solchen Vorstoß allein. Aber kann das - in Anbetracht etwa der Gefahren im Netz - reichen?...
tagesschau.de",74,205,1.2K
Sergey Lagodinsky,@SLagodinsky,2021-05-14T19:29:13.000Z,"Existenzrecht von #Israel - unverhandelbar! #Antisemitismus - aufs schärfste zu bekämpfen. Terror - immer beim Namen nennen! 
@ABaerbock
 hat soeben in einer Berliner Synagoge diese klaren Botschaften gesetzt. BÜNDNIS 90/DIE GRÜNEN and 4 others",49,119,707
Omid Nouripour,@nouripour,2021-05-14T06:43:46.000Z,"den demokratischen Schulterschluss zu suchen, gehen führende Leute aus 
@spdde
 und 
@CSU
 auf 
@ABaerbock
 los. Das hilft aber weder #Israel noch einer Friedenslösung. Deren Umfragen rechtfertigen aber nicht, ein Thema in den Wahlkampf zu ziehen, was Konsens sein sollte. (2/2)",5,13,233
Omid Nouripour,@nouripour,2021-05-14T06:43:40.000Z,"Es macht mich sehr traurig zu sehen, wie kluge Leute wie Rolf Mützenich nun echt den Rahmen verlassen. Es gibt keine substanziellen Differenzen zwischen den Äußerungen von 
@ABaerbock
, 
@ArminLaschet
 oder 
@OlafScholz
 zu den Angriffen auf #Israel. Anstatt aber (1/2)",11,41,344
Omid Nouripour,@nouripour,2021-05-12T16:15:44.000Z,"Replying to 
@MarkusBlumeLieber Herr Blume, Ihre Umfrageergebnisse im allen Ehren: können Sie bitte aufhören, das wichtige Thema unserer unverbrüchlichen Verpflichtung für Israel, zu der alle demokratischen Kräfte in unsere Land stehen müssen, mit Fakenews in d Wahlkampf zu ziehen? #WeAllStandwithIsrael",12,61,843
Ottmar von Holtz,@OWvonHoltz,2021-05-08T14:08:49.000Z,"Ich freue mich auf das Buch!Aminata Touré
@aminajxx
 · May 8
Heute ist für mich ein besonderer Tag. Seit eineinhalb Jahren arbeite ich an einem Buch, das unter anderem beschreibt, wie es ist als Schwarze Frau in Deutschland aufzuwachsen. Nun ist es öffentlich.

Das lass ich mir auch nicht von einem rassistischen OB verhageln.
Show this thread",,1,2
CARE Deutschland,@care_de,2021-05-03T15:33:22.000Z,"Hier übrigens die gesamte Kommentierung des #Bündnis1325 zum 3. Nationalen Aktionsplan zum Nachlesen, gerade live diskutiert im UA #ZivileKrisenprävention unter dem Vorsitz 
@OWvonHoltz
: http://gwi-boell.de/sites/default/files/2021-04/Frauen%2C%20Frieden%20und%20Sicherheit.pdf…medica mondiale e.V. and 4 others",,1,3
