User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Oliver Krischer,@Oliver_Krischer,2021-05-28T21:05:11.000Z,"Mich würde ja vor allem interessieren, an welche „größeren Probleme“ als die #Klimakrise, die „wir bewältigt haben“, Herr #Schäuble da denkt? Das sagt er leider nicht.",17,21,177
Oliver Krischer,@Oliver_Krischer,2021-05-28T18:34:44.000Z,"Dem schließe ich mich vorbehaltlos an und freue mich auf die Zusammenarbeit mit der tollen 
@SylviaLoehrmann
 im Aufsichtsrat der 
@boell_stiftung
 Mona Neubaur
@MonaNeubaur
 · 15h
Herzlichen Glückwunsch zur Wahl in den Aufsichtsrat der @boell_stiftung, liebe @SylviaLoehrmann! Ein Gewinn für die politische Stiftung und ihre Arbeit! Viel Erfolg! ",,,11
Oliver Krischer,@Oliver_Krischer,2021-05-28T16:33:49.000Z,"Das also verstehen #CDUCSU & #SPD unter #Kohleausstieg: Ineffiziente, #Kohlekraftwerke mit Naturholz weiterzubetreiben hat mit #Klimaschutz nichts zu tun. Das auch noch zu subventionieren heißt, es geht #Altmaier & Co. wieder nur um Geschenke an BetreiberKohlekraftwerke sollen künftig Holz verbrennen – gefördert mit Steuergeldern
Das Wirtschaftsministerium will nach SPIEGEL-Informationen die Umstellung von Kohlekraftwerken auf Biomasse mit einem Milliardenbetrag subventionieren. Wissenschaftler und Klimaschützer sind entsetzt.
spiegel.de",9,8,68
Oliver Krischer,@Oliver_Krischer,2021-05-28T16:13:07.000Z,"Ich hoffe, ich kann einen Beitrag leisten, dass Sam Radjabi freikommt. Es darf nicht sein, dass Menschen, weil sie sich für Umwelt- und Tierschutz einsetzen, im Gefängnis landen. Lasst Sam Radjabi frei! #IranOmid Nouripour
@nouripour
 · May 28
Danke, @Oliver_Krischer. 
#زندانى_سياسى_آزاد_بايد_گردد
#آزادى براى #ايران twitter.com/IGFM_DE/status…",,2,21
Oliver Krischer,@Oliver_Krischer,2021-05-26T22:14:25.000Z,"Seit Jahrzehnten ist die Dramatik schmelzender #Gletscher belegt. Nach ebenso langem Nichtstun bemerkt der Ministerpräsident einer Dauerregierungspartei, dass wir dem „wirklich begegnen“ müssen. Kann jemand die eigene Ignoranz gegenüber der #Klimakrise noch krasser dokumentieren?Markus Söder and 2 others",57,187,1.3K
Oliver Krischer,@Oliver_Krischer,2021-05-26T08:42:49.000Z,"Mit einem riesigen Bürokratieförderprogramm haben #CDUCSU & #SPD die #ErneuerbarenEnergien - besonders die #Windenergie - ausgebremst. Das ist Konjunkturhilfe für Berater*innen und Papierindustrie, hilft aber dem #Artenschutz null und ist eine Katastrophe für den #KlimaschutzWestfalenWIND
@WestfalenW
 · May 21
Antragsstellung für Windenergie im Jahr 2021: Für 10 Anlagen = 160 Aktenordner = 74.320 Blatt Papier. Ein Blatt Papier wiegt 5 g = 371,6 kg. Für 1 kg Papier werden 2,2 kg Baum benötigt. Also 817,52 kg Baum nur an Papier.
Show this thread",10,45,153
Renate Künast,@RenateKuenast,2021-05-20T20:22:30.000Z,"#Tierschutz|bilanz d Ministerin ist ein Scheinriese:
Viele Worte, aber je näher man hinsieht, desto kleiner wird der Erfolg. Ja, das #Kükentöten wird endlich verboten. Das ist aber einem Urteil geschuldet. Die Union lässt Handeln erst zu, wenn es nicht mehr anders geht /TKGrüne im Bundestag  and 9 others",17,60,313
Oliver Krischer,@Oliver_Krischer,2021-05-20T20:57:13.000Z,"Jedenfalls ein Novum in der Geschichte der #CDU #Kanzlerkandidat|en. Übrigens Martin Schulz #SPD hatte 2017 auch keinen Wahlkreis. Vielleicht ist der ja das Vorbild für #LaschetLaschets heikles Manöver
Der Unions-Kanzlerkandidat Armin Laschet will nicht in einem Wahlkreis antreten, sondern über die Parteiliste in den Bundestag einziehen. Ein Novum in der CDU-Geschichte – riskant ist es obendrein.
t-online.de",3,2,59
Oliver Krischer,@Oliver_Krischer,2021-05-20T20:52:45.000Z,Komisch. Vor zwei Monaten klang das noch irgendwie anders. Was ist das  für eine Geeiere jetzt? Warum tritt er nicht in #Aachen an? Glaubt er dort nicht gewinnen zu können? Als NRW MP hat selbstverständlich dort kandidiert? Schrecken ihn die 36% #Grüne bei der Kommunalwahl?,6,19,135
Oliver Krischer,@Oliver_Krischer,2021-05-20T20:12:23.000Z,"Das ist schon crazy: #Laschet möchte #Kanzler werden, aber kandidiert nicht in #Aachen und auch in keinem anderen Wahlkreis für den #Bundestag. Traut er sich nicht? Will er gar nicht in den Bundestag sondern nur ins Kanzleramt und NRW-MP bleiben, wenn das nicht klappt? #CDUArmin Laschet",15,42,236
