User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Oliver Luksic,@OlliLuksic,2021-05-26T19:27:07.000Z,"In meinem Podcast unterhalte ich mich mit Gästen aus Wirtschaft, Sport und Politik über aktuelle Themen. Einfach mal reinhören.Luks und Liberal. - Oliver Luksic
open.spotify.com",,1,10
BILD,@BILD,2021-05-28T06:08:05.000Z,"Nach 45 Jahren! - Kaffee-Gräfin tritt aus CSU ausNach 45 Jahren!: Kaffee-Gräfin von Pfuel tritt aus CSU aus
München - Sie hatte schlaflose Nächte und zog die Reißleine! Kaffee-Gräfin Stephanie von Pfuel (60) ist aus der CSU ausgetreten. Nach 45 Jahren!
bild.de",43,136,496
Dr. Dr. Rainer Zitelmann,@RZitelmann,2021-05-29T05:14:36.000Z,Gestern stahlen „Aktivisten“ von Greenpeace 1200 Schlüssel von VW. VW gibt sich verständnisvoll und setzt auf den „Dialog“ mit den Dieben.,15,16,155
Frankfurter Allgemeine gesamt,@FAZ_NET,2021-05-28T20:11:46.000Z,"Sein Weg führte ihn über die EZB bis zur Hertie School of Governance. Vor allem aber war Henrik Enderlein Europäer – und zwar ein Europäer, der ein unverbrüchliches Band zwischen Deutschland und Frankreich für unabdingbar hielt. Ein Nachruf.Henrik Enderlein verstorben: Der Europäer
Sein Weg führte ihn über die EZB bis zur Hertie School of Governance. Vor allem aber war Henrik Enderlein Europäer – und zwar ein Europäer, der ein unverbrüchliches Band zwischen Deutschland und...
faz.net",6,44,132
Jan-Philipp Hein,@aufmacher,2021-05-28T22:56:26.000Z,"Vielleicht doch. Allein aus europäischer Perspektive betrachtet: Befriedung der deutsch-französischen Feindschaft, Überwindung des Eisernen Vorhangs ohne Blutvergießen … Ja, Klimawandel ist ein Problem. Aber es gibt auch eine Lust am Superlativ sonst sorgenfreier Generationen.Igor Levit
@igorpianist
 · 17h
Nein.",6,7,57
Dr. Hugo Müller-Vogg,@HugoMuellerVogg,2021-05-28T18:36:55.000Z,".
@JTrittin
 erklärt im 
@derspiegel
, was #Habeck unter ""Abwehrwaffen"" versteht: ""Was er gemeint hat, sind Krankenwagen und Nachtsichtgeräte."" Kennt der Co-Vorsitzender der 
@Die_Gruenen
 wirklich nicht den Unterschied zwischen Panzerabwehrraketen und einer Ambulanz?",28,46,339
Michael Leh,@Michael_Leh,2021-05-28T14:15:44.000Z,"Herr Dr. Alexander Kudascheff 
@kudascheffa
, der frühere exzellente Chefredakteur der Deutschen Welle 
@DeutscheWelle
 feiert heute seinen 70. Geburtstag. Dazu spreche ich gerne auch öffentlich meine herzlichsten Glückwünsche aus! Ad multos annos, lieber Herr Dr. Kudascheff! ",3,9,31
Karl-Heinz Paqué,@KH_Paque,2021-05-28T11:47:11.000Z,"Bemerkenswert! 
@zdf
 meldet auf Basis von Umfrage der Forschungsgruppe Wahlen, dass nach #Landtagswahl in #SachsenAnhalt Koalition aus #cdu, #spd und 
@fdp
 die bevorzugte Variante ist, deutlich vor SchwarzRotGrün. ⁦
@LydiaHueskens
⁩ ⁦
@AndreasSilbers1
⁩ ⁦
@Wissing
⁩",4,8,69
Oliver Luksic,@OlliLuksic,2021-05-28T07:37:42.000Z,Michael Hüther über die „erschöpfte Globalisierung“ https://iwkoeln.de/suche.html?q=Podcast…,,,2
Oliver Luksic,@OlliLuksic,2021-05-28T07:34:04.000Z,"Politikwissenschaftlerin: „Die SPD lebt nicht in dem Milieu, in dem sie Wahlkampf machen müsste“ https://welt.de/politik/deutschland/article231418365/SPD-Expertin-haelt-Partei-im-Stammmilieu-fuer-unglaubwuerdig.html?cid=socialmedia.twitter.shared.web… via 
@weltSPD: Expertin hält Partei im Stammmilieu für unglaubwürdig - WELT
Entfernung vom Stammklientel, fehlendes Engagement und eine falsche Wahlkampfstrategie: Die Politikwissenschaftlerin Sigrid Roßteutscher stellt der SPD ein vernichtendes Zeugnis aus. Vom Unvermögen...
welt.de",2,4,31
