User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Lars Petersen,@_LarsPetersen,2021-05-28T16:43:37.000Z,"Nach Betrugsvorwürfen fordern Politiker aus der Regierung und Opposition: Testzentren-Betreiber sollen weniger Geld für Schnelltests bekommen https://businessinsider.de/bi/scharfe-kritik-an-spahn-auch-aus-den-eigenen-reihen-testzentren-betreiber-sollen-weniger-geld-fuer-schnelltests-bekommen/?utm_campaign=twitter&utm_medium=onsite_button&utm_source=social… 
@bi_politik
 @DennisRohde
 @Otto_FrickeScharfe Kritik an Spahn auch aus den eigenen Reihen: Testzentren-Betreiber sollen weniger Geld für...
Der Bund zahlt Hunderte Millionen an private Schnelltest-Zentren — ohne Kontrollen. Gesundheitsminister Spahn erntet dafür heftige Kritik.
businessinsider.de",,2,2
Jan Schnellenbach,@schnellenbachj,2021-05-27T14:30:12.000Z,"Blöde Witze mit Mao machen: geschenkt.

Uninformiert und oberflächlich auf den Zug der Fans staatlicher Langfristplanung aufspringen und Marktdynamik als ""kurzsichtig"" abstempeln: deppert, unfassbar deppert.",10,27,460
Volker Wieland,@WielandVolker,2021-05-27T14:23:34.000Z,"Unglaublich, dass der WDR solch einen Unsinn (aus wirtschaftswissenschaftlicher Sicht) produziert.   Der 
@SVR_Wirtschaft
 ist zur Information der Öffentlichkeit da.  Vielleicht einfach mal fragen vor Senden 
@WDR
 @WDRaktuellArash Molavi Vasséi
@ArashMV
 · May 27
Wow, this is so wrong on so many levels. twitter.com/argonerd/statu…",2,4,39
Goethe-Institut NL,@GI_Niederlande,2021-05-26T11:13:46.000Z,"In den #Niederlanden gibt es so viele Anfragen für #Stolpersteine für NS-Opfer, dass ab Juni eine eigene Werkstatt in Amsterdam die Steine produziert. 
@parool
 hat über unser neues Projekt zusammen mit der Stichting Stolpersteine berichtet.Stolpersteine straks ook gemaakt in Amsterdam
Stolpersteine gaan vanaf juni ook gemaakt worden in Amsterdam. De belangrijkste reden is om de wachtlijsten in Nederland te verminderen voor het pl...
parool.nl",,8,14
Holger Zschaepitz,@Schuldensuehner,2021-05-26T17:18:17.000Z,"Debt doesn't matter: Greek 10y risk spread over bunds has fallen to its narrowest level since 2008. What’s even more remarkable, is that this spread tightening has come in spite of the fact that #Greece’s public debt has continued to climb, now stands at >200% of GDP, DB says.",35,169,298
ZEIT ONLINE Politik,@zeitonline_pol,2021-05-26T08:00:42.000Z,"Griechenland soll am besten vorübergehend aus dem #Euro austreten, hatte Bundesfinanzminister Wolfgang #Schäuble auf dem Höhepunkt der Euro-Krise vorgeschlagen – und hätte darüber auch den Bundestag informieren müssen. #BundesverfassungsgerichtBundesverfassungsgericht: Regierung muss Bundestag über wichtige Verhandlungslinien informieren
2015 hatte Wolfgang Schäuble als damaliger Bundesfinanzminister vorgeschlagen, Griechenland soll aus dem Euro austreten. Auch das Parlament hätte informiert sein müssen.
zeit.de",,5,6
OttO Fricke,@Otto_Fricke,2021-05-22T20:24:10.000Z,"Die beste Gruppe des Abends bei #EurovisionFrom 
Sander de Hosson",5,11,178
KFC Uerdingen 05,@KFC_Uerdingen,2021-05-22T13:23:10.000Z,"  AUUUUUUUUUUUUS! KLASSENERHALT!!! JAAAAAAAA

#SVWKFC 1:1",15,30,132
Marcus Jung,@MarcusCJung,2021-05-21T19:03:20.000Z,"Kampf um Kohle in den #Niederlanden. Den Haag will Schiedsverfahren von #RWE und #Uniper um #Kohleausstieg für unzulässig erklären lassen. Unser Stück w/ H. Bünder und K. Smolka #ICSID #ECT #ISDS #Achmea https://zeitung.faz.net/faz/wirtschaft/2021-05-22/kampf-um-kohle-in-den-niederlanden/613365.html?GEPC=s3… via 
@faznetKampf um Kohle in den Niederlanden
Den Haag will Schiedsverfahren um Kohleausstieg für unzulässig erklären lassen
zeitung.faz.net",,4,6
Dr. Tobias Lindner,@tobiaslindner,2021-05-21T16:33:19.000Z,"Tja. So ist die Lage. Die Vier haben inhaltlich durchaus recht. Und das sage ich selten.Gordon Repinski
@GordonRepinski
 · May 21
SPD + Unions-Verteidiger|Haushälter rechnen mit @akk ab: „Sowohl die mangelnde+verspätete Kommunikation als auch nicht ausreichende Qualität der Antworten auf Fragen aus dem parlamentarischen Raum verwundern.“ Hier der Brief zu Großprojekten der @BMVg_Bundeswehr: @ThePioneerDe",6,7,42
OttO Fricke,@Otto_Fricke,2021-05-21T15:04:35.000Z,"Pfingsteiertage sind Tage der Erkenntnis, daher zum Thema Investitionen des Bundes Zahlen: 2020 Soll: 71,3 Mrd Ist:  50,3  und       2021  Soll: nur 61,8
noch schlimmer: 1. Nachtrag Soll 2021 nur noch 59,2 ! Und jetzt raten wir mal alle, wie das IST wird #StaatlicheInvestitionen",1,1,11
phoenix,@phoenix_de,2021-05-20T09:10:25.000Z,"Der  #ESM über den wir hier reden ist kein Rettungsschirm, sondern ein Messezelt, wirft 
@Otto_Fricke
 @fdpbt
 der Bundesregierung  vor. Ein so wesentlicher Umbau des europäischen #Finanzsystems erfordere die Beteiligung der Opposition und eine 2/3 Mehrheit im #Bundestag | 
@fdp1:02
2.3K views",2,11,37
OttO Fricke,@Otto_Fricke,2021-05-20T06:30:55.000Z,"Parlamentariermorgen:
Debatte zur Reform des 
@ESM_Press
 beginnt zwar erst um 9:00h, aber eine gute Redevorbereitung hat noch nie geschadet",3,,12
OttO Fricke,@Otto_Fricke,2021-05-20T06:18:20.000Z,"Bei steigenden Zinsen eine gute Entwicklung finde ich, um mal 
@BMF_Bund
 und Finanzagentur zu loben und: letztlich die Regierungen insbesondere der letzten 20 JahreWolf Heinrich Reuter
@wolf_reuter
 · May 20
Durchschnittliche Laufzeit von Staatsschulden in Deutschland ist in vergangenen Jahren angestiegen:
1990: 4,0 Jahre
2019: 6,9 Jahre

In UK (2019): 15,2 Jahre
In US (2019): 5,8 Jahre

Mehr dazu im neuen Arbeitspapier: https://sachverstaendigenrat-wirtschaft.de/fileadmin/dateiablage/Arbeitspapiere/Arbeitspapier_01_2021.pdf…",,,5
OttO Fricke,@Otto_Fricke,2021-05-19T16:06:55.000Z,"Patrik Warren Mahlke
@PatrikMahlke
 · May 19
Kein Vertriebler kann mit den Zahlenschubsern was anfangen. Ich auch nicht weil andere Welt. Aber dieser @Otto_Fricke ihr Marketing und Verkaufsprofis ist, ich gestehe ein echt cooler Typ. Achtet mal auf den, ihr werdet Zahlenschubser anders sehen. Eben #FDP",1,1,6
Klaus Müller,@Klaus_Mueller,2021-05-19T11:17:11.000Z,"Was möchte ein Liberaler von einem Verbraucherschützer wissen? Auf das Video von 
@Otto_Fricke
 müssen Sie noch etwas warten, aber viel Spaß hatten wir schon mal. 
@c_lindner
 @Wissing
 @MarcoBuschmann
 @johannesvogel
 @StephanThomae
 @k_willkomm
 @vzbv
 @fdp
 @fdpbt",2,3,37
