User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Peter Felser MdB,@PeterFelser,2021-05-27T11:11:43.000Z,"Deutschland Diagnose 9: Truppenabzug aus Afghanistan! - mit Peter FelserDeutschland Diagnose 9: Truppenabzug aus Afghanistan! - mit Peter...
In dieser Folge Deutschland Diagnose rede ich mit Vorstandsmitglied und Verteidigungspolitiker Peter Felser über den deutschen Truppenabzug aus Afghanistan u...
youtube.com",1,1,2
Peter Felser MdB,@PeterFelser,2021-05-19T18:35:37.000Z,"Bürgerdialog via Zoom gemeinsam mit 
@Tino_Chrupalla
. 

Wir ziehen Bilanz, analysieren Fehler, diskutieren Chancen und stellen uns den Fragen der Bürger.

Rege Beteiligung, viele Fragen und auch eine Menge gute Laune.
#AfD",21,5,75
Peter Felser MdB,@PeterFelser,2021-05-19T14:23:53.000Z,"Interview mit 
@Mary_Khan94
 für den Kuppeltalk der 
@JA_Deutschland
.
#AfD",2,3,20
Peter Felser MdB,@PeterFelser,2021-05-19T07:34:12.000Z,"Drittletzte Plenarwoche: 

Wir greifen nochmal richtig an!",,,2
Peter Felser MdB,@PeterFelser,2021-05-09T08:15:51.000Z,"Ewiges Gedenken!
#sophiescholl100 
#weisserose",2,1,2
AfD Bayern im Landtag,@AfD_Bayern_LT,2021-05-06T09:19:33.000Z,"#AfD fordert vollumfängliche und bedingungslose Rückkehr zu den Grundrechten

Nach der Spaltung der Gesellschaft durch die vielen unverhältnismäßigen #Corona-Maßnahmen, wird nun die Spaltung mit geimpft, genesen und nicht geimpft vorangetrieben.

https://afd-landtag.bayern/2021/05/05/afd-fordert-vollumfaengliche-und-bedingungslose-rueckkehr-zu-den-grundrechten/…",6,13,54
Peter Felser MdB,@PeterFelser,2021-04-19T17:02:34.000Z,"Keine Debatte zum Infektionsschutzgesetz im Ausschuss für Ernährung und Landwirtschaft.

Eine derart einschneidende Gesetzesänderung wird im Höchsttempo durch das Parlament gepeitscht.

Demokratie in Merkeldeutschland.",1,2,5
Peter Felser MdB,@PeterFelser,2021-04-19T15:03:57.000Z,"Sondersitzung des Landwirtschafts-Ausschuss' zum #Infektionsschutzgesetz. 

30 min vor Sitzungsbeginn werden uns noch Änderungen zugesandt.

Unwürdige Tricksereien für ein Gesetz zur Abschaffung unseres Rechtsstaats.

Ich stimme mit ""Nein!"".

#AfD",,3,4
Peter Felser MdB,@PeterFelser,2021-04-19T09:29:22.000Z,"In Dresden hat die staatlich alimentierte #Antifa das Buchhaus Loschwitz attackiert. Steine, Farbe und Buttersäure gegen Bücher.

Das Buchhaus wird von Susanne Dagen betrieben, die sich in der Vergangenheit immer wieder zur Opposition bekannt hat.

Antifa verbieten! #AfD",5,25,75
Peter Felser MdB,@PeterFelser,2021-04-07T16:06:45.000Z,"Mit dem wetterfesten 
@Dr_Rainer_Kraft
 am #Oberjoch.",1,1,7
Peter Felser MdB,@PeterFelser,2021-04-07T16:05:54.000Z,"Am Oberjoch, dem höchsten Punkt der Infotour, fassen wir für Euch die Schwerpunkte unserer bisherigen Bürgergespräche zusammen:

Persönliche Mobilität und Familien in Zeiten des Lockdowns.

#AfD",,3,9
Peter Felser MdB,@PeterFelser,2021-04-07T09:24:07.000Z,"Unterwegs mit 
@Dr_Rainer_Kraft
 und dem Infomobil der 
@AfDimBundestag
.

Heute sind wir in #Augsburg, später geht es weiter in meinen Wahlkreis - ins #Allgäu.

#AfD",2,2,9
Peter Felser MdB,@PeterFelser,2021-03-30T09:10:14.000Z,"Volle Solidarität mit 
@mrosek1958
! 

Wir arbeiten für eine Zukunft, in der niemand von den Medien und der Regierung derartig aufgehetzt wird, daß er Andere als ""Nazis"" diffamiert und sie töten will!

#AfD #ZusammenhaltAndreas Mrosek, MdB (AfD)
@mrosek1958
 · Mar 30
„Besuch“ gehabt! Antifa-Terror! Nazis töten, ich fühle mich nicht angesprochen. Dennoch richtet sich die Botschaft gegen die AfD!",4,,2
Peter Felser MdB,@PeterFelser,2021-03-28T17:28:53.000Z,"Massenschließungen in unseren Innenstädten. Stoppen wir endlich diesen Wahnsinn!Massenschließungen
Die Insolvenzwelle rollt! Wir haben in Kempten mit den Einzelhändlern gesprochen: ""Es muss wieder Normalität einkehren!"" Doch für viel ist es schon zu spät. ...
youtube.com",1,2,4
Peter Felser MdB,@PeterFelser,2021-03-26T13:44:04.000Z,"Sie sind bereit, ihr Leben für den Schutz unserer Heimat zu geben. Und die Altparteien danken es ihnen mit Verachtung, Klagen und Restriktionen. Eine Schande! 

Wir stehen zu unsereren Soldaten! Null Toleranz für alle, die sie nicht ehren. 

#AfD #KSKEx-Verteidigungsminister Scholz: Ermittlungen gegen KSK-Elitesoldaten waren Verstoß gegen Mensche...
Der Staatsrechtler und frühere Verteidigungsminister Rupert Scholz (CDU) hat nach einem Bericht des Nachrichtenmagazins FOCUS die Ermittlungen des Militärischen Abschirmdienstes (MAD) gegen ein...
focus.de",23,34,159
Peter Felser MdB,@PeterFelser,2021-03-26T12:21:01.000Z,"Woke Capital strikes again:

Big Tech beschneidet weiter die freie Meinungsäußerung. Das Satireformat 
@_Laut_Gedacht_
 wurde von Youtube gelöscht. 

Trotzdem: Meinungen lassen sich nicht einfach löschen! Die nächsten Folgen laufen auf http://odysee.comLaut Gedacht
@_Laut_Gedacht_
 · Mar 26
Na, heute schon auf https://youtube.com/lautgedacht geschaut?

Da gibt's nichts zu sehen. Wir sind nämlich gelöscht worden. Dass das so kommen würde, war uns allen klar. 200 Folgen alternative Satire wären vermutlich zuviel für Youtube gewesen.
Show this thread",2,20,47
Peter Felser MdB,@PeterFelser,2021-03-25T19:34:28.000Z,"Jetzt gerade live:

Online Bürgergespräch mit 
@Beatrix_vStorch
 zwischen zwei Namentlichen Abstimmungen. 

Echter ungeschminkter Alltag im Deutschen #Bundestag.

#AfD 
@AfDimBundestag",2,,7
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-03-08T14:09:43.000Z,"#AfD-Fraktionsvize 
@PeterFelser
 wirft dem #CSU-Vorsitzenden 
@Markus_Soeder
 im Zusammenhang mit der #Nuesslein-Affäre „Wendehals-Mentalität“ vor: ""Die Salamitaktik von #Soeder und Co ist abstoßend und typisch für die Denke der Altparteien!"" #MaskenskandalFelser: Söders abstoßende Wendehals-Mentalität im Fall Nüßlein
Berlin, 8. März 2021.  AfD-Fraktionsvize Peter Felser wirft dem CSU-Vorsitzenden Markus Söder im Zusammenhang mit der Nüßlein-Affäre „Wendehals-Mentalität“ vor: „Die Salamitaktik von Söder und Co
afdbundestag.de",23,26,139
Peter Felser MdB,@PeterFelser,2021-03-08T08:32:45.000Z,"Zoom-Meeting mit 
@udostein_mdl
 

Mittwoch, 10. März 2021, ab 19 Uhr

Diskutieren Sie mit!

Darüber sprechen wir:

Grünes „Eigenheim-Verbot“, Selbstversorgungsgrad, Freihandelsabkommen, Wald und Wild

Zugangsdaten: https://zoom.us/j/97345045346?pwd=aE9EY1hsMFlMOG5zNDkrNjlMTGg0UT09…
Meeting-ID: 973 4504 5346
Kenncode: 146381",,1,2
Peter Felser MdB,@PeterFelser,2021-03-05T12:57:03.000Z,"Herr #Seehofer, 
Herr #Haldenwang,

treten sie zurück!

#AfD #VerdachtsfallGericht Köln: Gericht: AfD vorerst kein Verdachtsfall
Verwaltungsgericht Köln: Das Bundesamt für Verfassungsschutz darf die AfD vorerst nicht als Verdachtsfall einstufen oder so behandeln.
zdf.de",2,12,41
Peter Felser MdB,@PeterFelser,2021-03-05T12:07:29.000Z,"Niederlage für die Hetzer und Spalter der Gesellschaft:

Gericht stoppt Merkels Geheimdienst.

Die Altparteien haben es mit der Instrumentalisierung des #Verfassungsschutz zu weit getrieben. 

#AfD: für die deutsche #Demokratie!AfD: Verwaltungsgericht untersagt Verfassungsschutz vorerst Beobachtung
Das Verwaltungsgericht Köln untersagt dem Bundesamt für Verfassungsschutz vorerst, die AfD als Verdachtsfall einzustufen und zu beobachten. Das bestätigte ein Gerichtssprecher dem SPIEGEL.
spiegel.de",1,4,9
Peter Felser MdB,@PeterFelser,2021-03-05T11:10:12.000Z,"Der Rechtsstaat funktioniert noch! #AfD darf nicht beobachtet werden. Richtig! WIR sind die RechtsstaatparteiAfD: Verwaltungsgericht untersagt Verfassungsschutz vorerst Beobachtung
Das Verwaltungsgericht Köln untersagt dem Bundesamt für Verfassungsschutz vorerst, die AfD als Verdachtsfall einzustufen und zu beobachten. Das bestätigte ein Gerichtssprecher dem SPIEGEL.
spiegel.de",3,3,23
Peter Felser MdB,@PeterFelser,2021-03-03T08:45:50.000Z,"Im #Wahljahr wird die größte Oppositionspartei vom Inlandsgeheimdienst bekämpft.

Demokratie müssen wir das dann wohl nicht mehr nennen.

#AfD #Verdachtsfall #VS",14,44,156
Peter Felser MdB,@PeterFelser,2021-03-03T08:37:38.000Z,"Der beste Weg eine korrupte Regierung und ihre willfährigen Apparatschiks in den Behörden loszuwerden:

#AfD wählen! #VerdachtsfallDie Nachrichten
@DLFNachrichten
 · Mar 3
EIL +++ Wie mehrere Medien berichten, stuft das Bundesamt für Verfassungsschutz die gesamte AfD als Rechtsextremismus-Verdachtsfall ein.
Show this thread",4,8,28
Peter Felser MdB,@PeterFelser,2021-03-03T08:14:24.000Z,"Nun muss sich auch Ex-Justizminister #Sauter für seine Verstrickung in den Maskenskandal rechtfertigen. Natürlich hat er von nichts gewusst.

Sie betrügen und belügen uns.

Aber Hauptsache, sie sind nicht ""rechts""!

CSU-Sumpf trockenlegen! 

#AfD wählen!Ex-Justizminister Sauter erstellte Kaufvertrag für Masken
Nach der Aufnahme von Korruptionsermittlungen gegen den CSU-Bundestagsabgeordneten Georg Nüßlein wegen eines Maskengeschäftes ist eine Verbindung zu dem...
sueddeutsche.de",2,6,6
Peter Felser MdB,@PeterFelser,2021-03-02T11:58:49.000Z,"Jeff Kwasi ruft zur Gewalt gegen das System auf. 

Nicht irgendwo in einer afrikanischen Diktatur, sondern in Berlin Mitte. Und er ist Politiker bei den #Grüne|n. Ist das unsere Zukunft? 

Wann säubern die Grünen ihre Reihen von Extremisten?Umstrittener Auftritt: Berliner Grünen-Politiker begrüßt Gewalt gegen das „rassistische System“ -...
Ein Grünen-Vorstand in Berlin-Mitte rief Schwarze zur Formierung „robuster Communitys“ auf, „um nicht mehr die Polizei rufen zu müssen“. Aufstände und Plünderungen seien legitimer Widerstand gegen...
welt.de",1,,1
Sezession im Netz,@SiNetz,2021-03-02T08:45:41.000Z,"»Alternative heißt: Es geht ganz anders.« – Aufruf von 
@HCBerndt
 (Fraktionsvorsitzender 
@AfD_FraktionBB
), 
@Rene_Springer
 (MdB), Jan #Hornuf (
@JA_Brandenburg
), 
@Dennis_Hohloch
 (MdL, PGF) zu einer konsequenten inhaltlichen Positionierung der 
@AfD
.Alternative heißt: Es geht ganz anders. - Sezession im Netz
Gastbeitrag von Hans-Christoph Berndt, René Springer, Jan Hornuf und Dennis Hohloch zur Rolle der AfD in Brandenburg. „Die Parteien haben sich den Staat zur Beute gemacht“ – was der Verfassungsrech...
sezession.de",1,25,55
Peter Felser MdB,@PeterFelser,2021-02-26T11:39:30.000Z,"Ich habe in dieser Woche mit Franziska Gminder den #BaumDesJahres, die Europäische Stechpalme, gepflanzt.

#AfD #Umweltschutz",,2,11
Peter Felser MdB,@PeterFelser,2021-02-18T11:45:24.000Z,"Es gibt eine Lösung:

Im September #AfD wählen!Dr. Gunnar Beck
@gunnar_beck
 · Feb 17
Die AfD hat genau vor diesen Exzessen der finanziellen Repression gegenüber Sparern gewarnt. Nun sinkt der Sparzins auch für den normalen Verbraucher erstmals in den negativen Bereich. Sparen und verantwortungsvolles Handeln werden bestraft.

https://m.faz.net/aktuell/finanzen/welche-auswirkungen-der-negative-sparzins-fuer-verbraucher-hat-17201179.html…",3,10,35
Peter Felser MdB,@PeterFelser,2021-02-18T10:11:24.000Z,"Wir kämpfen für Deutschland! 

Mein Gespräch mit 
@Tino_Chrupalla
 und 
@hallofraukaiser
.Wir kämpfen für Deutschland!
AfD-Fraktionsvize Peter Felser und MdB Tino Chrupalla, Mitglied des Bundesvorstands beantworten Fragen über die parlamentarische Arbeit der AfD-Bundestagsfra...
youtube.com",3,8,28
Peter Felser MdB,@PeterFelser,2021-02-18T07:51:39.000Z,"#Grüne Heuchelei in der Verbotsdebatte für Einfamilienhäuser: Wir fordern mehr Platz für Familien und maximale Komprimierung grüner Wahnvorstellungen im politischen Mülleimer.

#AfD",2,2,14
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-02-14T16:20:20.000Z,".
@PeterFelser
: ""Bürger wollen nicht länger zu Hause eingesperrt sein und zusehen, wie ihre Existenzgrundlage vernichtet wird!"" #AfDFelser: Bürger wollen nicht länger zu Hause eingesperrt sein und zusehen, wie ihre Existenzgrundl...
AfD-Fraktionsvize Peter Felser sieht einen Stimmungsumschwung der Bürger in Sachen Corona-Politik: „Der offensichtliche Ärger der Bayern über den Corona-Extremisten Söder ist nur ein Beleg unter...
afdbundestag.de",30,36,204
Peter Felser MdB,@PeterFelser,2021-02-16T12:34:32.000Z,"Gestern noch 15 Grad Minus - heute fliegen die Bienen aus. Na, ob es das schon war mit dem Winter...?",,2,16
Peter Felser MdB,@PeterFelser,2021-02-09T15:34:27.000Z,"Die regierungsnahen Medien lassen immer mehr die Maske fallen.

Süddeutsche Zeitung:

""#Corona: Mehr Diktatur wagen.""
@sz
 https://sz.de/1.5199495

#AfD #CoronaVirusDECorona: Mehr Diktatur wagen. Ein Gastbeitrag von Thomas Brussig
Man sollte die Corona-Leugner endlich beim Wort nehmen: Die Pandemie erfordert den Ausnahmezustand, schreibt Schriftsteller Thomas Brussig.
sueddeutsche.de",4,18,39
Peter Felser MdB,@PeterFelser,2021-02-09T10:07:03.000Z,"Zu Beginn der heutigen Vorstandssitzung der 
@AfDimBundestag
 gab es Blumen und Geburtstagswünsche für 
@Alice_Weidel
.",1,3,10
"Sebastian Münzenmaier, MdB",@S_Muenzenmaier,2021-02-04T09:43:00.000Z,"""Die #AfD hat das Klima im #Bundestag verändert. Ja, Gott sei Dank!""

Jetzt reinschauen in die Diskussion mit 
@hallofraukaiser
 und 
@PeterFelser
.Zurück zu den Grundrechten für Alle!
Im Superwahljahr 2021 hat die AfD noch viele Pfeile im Köcher für den Endspurt. Nicht jedes Projekt wird sofort verraten... Die Reform des Verfassungsschutze...
youtube.com",6,15,73
Peter Felser MdB,@PeterFelser,2021-02-04T10:38:08.000Z,"Endspurt in dieser Wahlperiode:

#Zurück zu den Grundrechten für Alle! 

Mit 
@hallofraukaiser
 und 
@S_Muenzenmaier
 im Gespräch.Zurück zu den Grundrechten für Alle!
Im Superwahljahr 2021 hat die AfD noch viele Pfeile im Köcher für den Endspurt. Nicht jedes Projekt wird sofort verraten... Die Reform des Verfassungsschutze...
youtube.com",2,2,9
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-02-03T11:56:56.000Z,"#AfD-Fraktionsvize 
@PeterFelser
 hat den linksideologischen Hype um neue Geschlechter als „teures #Gendergaga“ kritisiert: ""Riesen Aufwand für Nichts! Gender-Gaga auf Kosten der #Steuerzahler ersatzlos streichen!"" #BundestagFelser: Riesen Aufwand für Nichts
Berlin, 3. Februar 2021. AfD-Fraktionsvize Peter Felser hat den linksideologischen Hype um neue Geschlechter als „teures Gender-Gaga“ kritisiert: „Die nun vorliegenden offiziellen Zahlen bestätigen:...
afdbundestag.de",16,37,178
Peter Felser MdB,@PeterFelser,2021-02-03T19:32:20.000Z,"Bürgerdialog online mit ⁦
@PeterBoehringer
⁩ - fast 100 interessierte Teilnehmer diskutieren zu #Lockdown , #Insolvenzen und drohendem #Crash.",1,1,2
Peter Felser MdB,@PeterFelser,2021-01-29T12:44:12.000Z,"#AfD wirkt! Am Montag geht die Schule wieder los. Um eine Bildungskatastrophe noch zu verhindern, muss wieder Unterricht für alle möglich sein. #Corona darf nicht unser Leben zerstören. #Schulen

Generation Corona verhindern - jetzt alle Schulen öffnen.Zurück auf die Schulbank: Schüler kehren in Klassen zurück
Fast sieben Wochen nach der coronabedingten Schließung aller Schulen kehren am Montag die ersten Schüler zum Lernen an Bayerns Schulen zurück. Am 1. Februar...
www-sueddeutsche-de.cdn.ampproject.org",1,1,5
Peter Felser MdB,@PeterFelser,2021-01-28T10:17:09.000Z,"Interview mit 
@hallofraukaiser
 und 
@S_Muenzenmaier
 zu unserer Arbeit im Vorstand der 
@AfDimBundestag
.

Themen waren Merkels Inlandsgeheimdienst, die Strategie der Fraktion im Wahljahr und die Planungen für die nächste Wahlperiode.

Video folgt. Bleibt dran!",2,7,29
Peter Felser MdB,@PeterFelser,2021-01-22T19:10:38.000Z,"Richter nennt Lockdown ""katastrophale Fehlentscheidung"".

Amtsgericht Weimar Az.: 6 OWi - 523 Js 202518/20

Frau Merkel machen Sie endlich Schluß mit dem Irrsinn!

Lockdown beenden!

#AfDSpektakuläres Corona-Urteil: Richter nennt Lockdown katastrophale Fehlentscheidung - und spricht...
Das Amtsgericht Weimar hat einen Mann freigesprochen, der im April 2020 gegen die Corona-Regeln verstoßen hatte. FOCUS Online liegt das hochbrisante Urteil vor. Es stuft das staatlich angeordnete...
focus.de",3,4,14
Peter Felser MdB,@PeterFelser,2021-01-20T10:53:56.000Z,"Mitten im #Lockdown kommen neue Gängelvorschriften:

Mehrwegbehälter werden jetzt zur Pflicht für Restaurants.

Diese Regierung führt scheinbar einen Wirtschaftskrieg gegen die eigene Bevölkerung.Mehrwegpflicht: Kabinett beschließt neue Regeln zur Vermeidung von Verpackungsmüll
Restaurants, Bistros und Cafés sollen künftig dazu verpflichtet werden, Mehrwegbehälter für ihre Produkte zum Mitnehmen anzubieten. Das geht aus einer Änderung des Verpackungsgesetzes hervor, die das...
tageskarte.io",2,,2
Peter Felser MdB,@PeterFelser,2021-01-20T06:30:19.000Z,"Gericht bestätigt Kritiker der #Corona-Politik:

""#Söder|s Eingriffe in das Privatleben sind unzulässig. 

#AfD fordert: Verbotspolitik zu Lasten von Familien und Wirtschaft endlich beenden!

Stattdessen: Eigenverantwortung & Schutz der Risikogruppen!""Coronavirus: Paukenschlag in Bayern! Gericht kippt eine von Söders Knallhart-Regeln
Corona-Paukenschlag in Bayern: Der Verwaltungsgerichtshof hat das landesweite Alkoholverbot im Freistaat gekippt - eine Privatperson aus Regensburg hatte dagegen geklagt.
tz.de",1,10,22
Peter Felser MdB,@PeterFelser,2021-01-19T07:59:04.000Z,Es gibt keinen strukturellen Rassismus in Deutschland.,353,175,1.2K
Friedrich von Osterhal,@OsterhalVon,2021-01-18T11:20:01.000Z,"Freunde, wir sind offiziell auf Platz 1 in den Deutschlandtrends!
Was für ein Erfolg! #150JahreVaterland",29,93,464
Peter Felser MdB,@PeterFelser,2021-01-18T10:42:24.000Z,"Wissenschaftler der Universität München:

- 2020 keine Übersterblichkeit

- #Lockdown ist unwirksam

Die beratungsresistente und wirklichkeitsfremde Merkel-Regierung muss gestoppt werden!

#Corona #COVID19 #GreatReset",5,3,3
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-01-18T09:13:44.000Z,"#AfD-Fraktionsvize 
@PeterFelser
 hat eine Überprüfung der #Corona-Impfstrategie gefordert: ""Angesichts der neuen Erkenntnisse aus Norwegen muss geprüft werden, ob der deutsche Weg der richtige ist. Menschenleben und #Mittelstand retten!"" #BundestagFelser: Menschenleben und Mittelständler retten
Berlin, 18. Januar 2021. AfD-Fraktionsvize Peter Felser hat eine Überprüfung der Corona-Impfstrategie gefordert. Felser erklärt: „Angesichts der neuen Erkenntnisse aus Norwegen muss geprüft werden,...
afdbundestag.de",13,32,116
Peter Felser MdB,@PeterFelser,2021-01-18T07:09:38.000Z,#150JahreVaterland,6,27,193
Peter Felser MdB,@PeterFelser,2021-01-18T06:36:03.000Z,"Heute vor 150 Jahren wurde das Deutsche Reich gegründet.

Es war die Geburt des modernen, geeinten und sich allmählich demokratisierenden Deutschlands. 

Das erste Wirtschaftswunder, die Gründerzeit, begann.

Ein großer Tag für unser Land!

#Reichsgruendung",12,38,118
Peter Felser MdB,@PeterFelser,2021-01-16T12:43:17.000Z,"Wer schwarz wählt, bekommt grün. Armin #Laschet steht für die Fortsetzung der Merkel-Politik. 

Niederlage für den pseudo-konservativen Flügel in der #CDU wie 
@WerteUnion
 & #Merz. 

Es gibt nur eine Alternative: #AfD!",3,3,9
