User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Nora Zabel,@norazabel,2021-05-29T17:30:16.000Z,Wenn ich mit meinen Schwestern die nächste Party plane,5,8,78
Peter Stein,@Peter_Stein_CDU,2021-05-29T19:39:16.000Z,@Rostocker_RR,,,
Peter Stein,@Peter_Stein_CDU,2021-05-29T19:38:02.000Z,"#Wasserstoff #Hafen #Rostock ein wichtiger Meilenstein zum Hochlauf einer Energieversorgung der Zukuft findet in Rostock statt! IPCEI, es läuft! #menschbleiben #stadtlandstein ⁦
@HROrathaus
⁩ @rostockport ⁦
@cducsubt
⁩  https://facebook.com/106663228190337/posts/136471381876188/?d=n…",1,,1
phoenix,@phoenix_de,2021-05-27T11:33:25.000Z,"""Wenn das Existenzrecht Israels Teil der deutschen Staatsräson ist, dann ist #Antisemitismus auf  deutschem Boden zu unterbinden und zu bekämpfen"", so 
@ArminLaschet
 beim Aufruf der 
@cdu
 gegen Antisemitismus am #HolocaustMahnmal. Neben ihm die Initiatorin Lea #Rosh. #NieWieder",91,72,234
Peter Stein,@Peter_Stein_CDU,2021-05-25T09:46:31.000Z,"#Nachtzüge sind eine gute Idee. Nicht neu, aber gut. Mit der richtigen Qualität und angenehmen Service an Bord ... 
@DB_Presse
 @DB_Bahn
 @BMVIwatson
@watson_de
 · May 25
#Trendforscher erwarten eine Renaissance von #Nachtzügen in der Zeit nach #Corona. Jeder zweite bereit, Flug- durch Zugreisen zu ersetzen. https://zpr.io/RwueW",1,1,4
Wolfgang Ischinger,@ischinger,2021-05-25T03:56:11.000Z,"Gute erste Entscheidung. Es wird noch mehr kommen. Wenn die EU will, dann kann sie!
Nach Luftpiraterie: EU beschließt Sperrung des Luftraums für belarussische AirlinesEU beschließt Sperrung des Luftraums für belarussische Airlines
Nach der erzwungenen Landung eines Ryanair-Flugzeuges in Belarus kündigte die Europäische Union eine Reaktion an. Bei einem Gipfel einigten sich die EU-Staaten jetzt auf neue Sanktionen, vor allem...
spiegel.de",7,17,100
Peter Stein,@Peter_Stein_CDU,2021-05-23T17:33:28.000Z,"Frohe und gesegnete #Pfingsten allen. #menschbleiben #stadtlandstein #wochenende #christentum 
@nordkirche_de
 @CDU
 @Rostocker_RR",,,3
Peter Stein,@Peter_Stein_CDU,2021-05-20T05:40:40.000Z,"Und genau deshalb setzen wir auf den Enegiehafen #Rostock. 
@HROrathaus
 @RostockBusiness
 @Rostocker_RR
 #Wasserstoff #technologie 
@unirostockSeehäfen setzen auf Wasserstoff: Neues Gas in alten Leitungen
Das Geschäft der großen Seehäfen Europas hängt vom Import von Rohöl und Gas ab. Um auch in einer klimafreundlichen Wirtschaftswelt zu prosperieren, brauchen sie Wasserstoff.
wiwo.de",,,2
Peter Stein,@Peter_Stein_CDU,2021-05-18T19:53:56.000Z,"Auf 
@NDR
 ... ich dachte echt erst, das ist Fake, aber nein! Das ist unglaublich! 
@ndrmv
 @CDUMV
 #manugate",1,,9
Peter Stein,@Peter_Stein_CDU,2021-05-17T10:26:24.000Z,"Es ist mir eine Ehre, gemeinsam mit Prof. Dr. Klaus #Töpfer zu einem derartigen Zukunftsthema auf einem Podium (digital) zu sitzen. 
@ASUE_eV
 #Wasserstoff #zukunft #Energiewende 
@cducsubt
 #wegenmorgen #menschbleiben #StadtLandSteinASUE
@ASUE_eV
 · May 17
#Wasserstoff als Energiespeicher und Brennstoff. Jetzt anmelden! Mit:

Prof. Dr. Klaus #Töpfer
@Ingrid_Nestle, MdB ,Grüne
@Peter_Stein_CDU , MdB
Dr. Simon Marr, @bmu
Matthias Trunk, @gasagde
Dr. Dennis Rendschmidt, @DVGW)
Moderation: Heiko Lohmann, @energate_de",,1,
Peter Stein,@Peter_Stein_CDU,2021-05-16T09:01:34.000Z,"Statt Flüge oder missliebige Fahrzeugtypen zu verbieten, sollten wir besser jede Form von Mobilität co2-neutral machen. Wir können das! Schnell! #technologieoffen 
@RostockAirport
 E-Kerosin 
@CDU
 @klimaunion
 @RNE_DE
 @unirostock
 #wegenmorgen #menschbleibenFlughafen Rostock-Laage will klimaneutral werden
Der Flughafen Rostock-Laage will nach eigenen Angaben klimaneutral werden. Regionalflughäfen sollten nicht geschlossen, sondern zu Orten werden, an denen neue
t-online.de",,,2
Peter Stein,@Peter_Stein_CDU,2021-05-15T18:27:31.000Z,"#Hansa #Rostock vor dem Aufstieg. #Heimspiel vor Fans ist nicht nur eine gute Idee, es ist ein MUSS! Wir können beides: Hygiene und #Sieg!!! 
@HansaRostock
 @HROrathaus
 @CDUMV
 @cdurostock
 #menschbleiben #StadtLandStein",,,1
Peter Stein,@Peter_Stein_CDU,2021-05-15T14:12:15.000Z,"Schafft Hansa den Aufstieg? Wir haben jetzt alle Trümpfe in der Hand! #FCHLUE #heimsieg #UHGFCH #Aufstieg #Hansa #rostock #menschbleiben #zweiteliga #finaledahoam #StadtLandSteinNDR MV
@ndrmv
 · May 15
Der FC #Hansa #Rostock steht kurz vor dem #Aufstieg in die Zweite Liga. Der Drittligist gewann am Sonnabend sein Auswärtsspiel bei der Spielvereinigung #Unterhaching mit 1:0.  #UHGFCH https://ndr.de/sport/fussball/Hansa-Rostock-siegt-in-Unterhaching-und-ist-Aufstieg-nah-,hansa10098.html…",2,,3
