User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Stephan Anpalagan,@stephanpalagan,2021-05-28T12:17:21.000Z,"Der Vorteil von Twitter ist halt, dass man nicht mehr monatelang recherchieren muss, um Fascho-Netzwerke aufzudecken.  https://twitter.com/haraldlaatsch/status/1398234365902082048…This Tweet is unavailable.",22,107,990
Renate Künast,@RenateKuenast,2021-05-28T14:07:07.000Z,"Jetzt muss Ministerin Klöckner erklären wie es weiter gehen soll: mit einer verlässlichen Perspektive für die Landwirtschaft, fürs Klima und die Artenvielfalt. Was nun, Frau Klöckner? 
Das ganze Statement zur #GAP und #CAPtrilogue Grüne im Bundestag  and 8 others",22,57,364
Renate Künast,@RenateKuenast,2021-05-28T10:06:16.000Z,"Unterstützt mit mir die europäische Bürgerinitiative 
@BeesEci
! Das Ziel der EU-Kommission bis 2030 50% Pestizide zu reduzieren reicht nicht aus für eine echte #Transformation! Bis September könnt ihr hier unterschreiben: https://savebeesandfarmers.eu/deu #saveBeesandFarmers /TK",2,19,78
Renate Künast,@RenateKuenast,2021-05-27T20:22:03.000Z,#Aussengastronomie ,15,1,121
Renate Künast,@RenateKuenast,2021-05-27T16:25:46.000Z,"Tierquälerei ist kein Kavaliersdelikt, es ist an der Zeit, #Tierschutz gesetzlich besser zu regeln.
Am 01.06. um 19 Uhr findet eine spannende Veranstaltung mit Prof. Jens Bülte und 
@Ben_Raschke
 dazu statt, die Infos findet ihr etwa hier: https://fb.me/e/ZKsa8e5r /TKGrüne im Bundestag  and 6 others",3,13,81
Renate Künast,@RenateKuenast,2021-05-26T14:37:12.000Z,"Der 
@bueti
 hat es mal wieder klar aufgeschrieben. 
@Die_GruenenReinhard Bütikofer
@bueti
 · May 26
""Fleischhauer halt"", könnte man sagen. Aber ich will ihn mal nicht abtun. Sondern seiner zentralen These widersprechen: ""Den grünen Lebensstil muss man sich leisten können. Die klimagerechte Gesellschaft ist nichts für arme Schlucker."" Das ist mehrfach ... https://m.focus.de/politik/deutschland/schwarzer-kanal/focus-kolumne-von-jan-fleischhauer-mein-haus-mein-rad-mein-volvo_id_13319362.html…
Show this thread",2,11,103
Renate Künast,@RenateKuenast,2021-05-26T13:45:30.000Z,"Statement anlässlich der „Retailers-Resolution“ zur #Gentechnik-Deregulierung von verschiedenen Handelsunternehmen mit 
@ebner_sha
: ""Es wird Zeit für eine Abkehr von der Agrarindustrie. Agrarökologischen Methoden gehört die Zukunft."" 
In Gänze hier  https://gruene-bundestag.de/presse/pressestatements/harald-ebner-und-renate-kuenast-zur-geplanten-gentechnik-deregulierung…  /TKGrüne im Bundestag  and 9 others",5,4,14
Renate Künast,@RenateKuenast,2021-05-26T12:08:58.000Z,"Wie wichtig es für den Buchhandel war, dass dieser in Berlin im Lockdown durchgehend geöffnet sein konnte, erfuhren 
@CathPieroth
 & ich in der Akazienbuchhandlung als wir im Kiez unterwegs waren. Diese Geschäfte können so als Orte der Begegnung im Kiez weiterexistieren! /TK",,4,45
Birgit Schmeitzner,@BSchmeitzner,2021-05-26T11:33:07.000Z,"Replying to 
@RenateKuenast
 @Schmidtlepp
 and 
@BILDEs ist unanständig, es ist kein Journalismus, aber es klickt gut, weil es an ganz niedere Instinkte andockt. Und das macht mich fertig.",7,3,102
Renate Künast,@RenateKuenast,2021-05-26T12:07:35.000Z,"Welche Familie soll das Foto für das überlebende Kind frei gegeben haben? Wer hat juristisch das Sorgerecht ( Eltern tot) und kann/ muss für das Kind entscheiden? 
@BILDBILDblog
@BILDblog
 · May 26
Die @BILD-Redaktion druckt heute ein riesiges, unverpixeltes Foto einer Familie – drei der vier abgebildeten Personen sind beim Seilbahn-Unfall in Italien gestorben. Selbst die zwei- und fünfjährigen Kinder zeigt ""Bild"" ohne Unkenntlichmachung: https://bildblog.de/128424/mit-freigabe-ohne-verpixelung/…
Show this thread",53,101,1.2K
Renate Künast,@RenateKuenast,2021-05-26T12:01:13.000Z,"Was wir anrichten, wenn wir #Soja aus #Brasilien hier an Tiere verfüttern.GMWatch
@GMWatch
 · May 26
Glyphosate associated with 503 infant deaths in Brazil per year, study reveals https://bbc.com/portuguese/brasil-57209799… University researchers in US & Brazil found spraying of #glyphosate on #GMO soy led to a 5% increase in infant mortality in municipalities that receive water from soy regions
Show this thread",3,16,72
Anna Cavazzini,@anna_cavazzini,2021-05-26T11:47:35.000Z,"How can we create an open and safe digital single market based on democratic rules? We will put consumers at the center of our 
@EP_SingleMarket
 workshop on the #DSA and DMA: Starting at 16.45, follow it herehttps://europarl.europa.eu/committees/en/imco/home/highlights…Isabelle Buscke and 9 others",,14,27
Renate Künast,@RenateKuenast,2021-05-26T11:29:51.000Z,"Das ist abgrundtief unanständig. 
@BILD
 Das Kind ist in jeder Hinsicht wehrlos.BILDblog
@BILDblog
 · May 26
Die @BILD-Redaktion druckt heute ein riesiges, unverpixeltes Foto einer Familie – drei der vier abgebildeten Personen sind beim Seilbahn-Unfall in Italien gestorben. Selbst die zwei- und fünfjährigen Kinder zeigt ""Bild"" ohne Unkenntlichmachung: https://bildblog.de/128424/mit-freigabe-ohne-verpixelung/…
Show this thread",122,258,3.1K
Anna Berg,@bergdame,2021-05-26T10:28:56.000Z,"So wie es aktuell aussieht, muss das Abschiedsfest für die Vorschulkinder der Kita anscheinend in einem Biergarten stattfinden (und ich meine das genauso zynisch wie ernsthaft, es wäre tatsächlich eine Alternative zu ""gar nicht"").",5,14,180
Patrick Bahners,@PBahners,2021-05-25T20:32:27.000Z,"Replying to 
@polenz_r
 @digitalFarmer3
 and 
@faznetEs ist aber schon ungewöhnlich, dass ein Bundestagskandidat die Kanzlerin der eigenen Partei verdächtigt, die Abschaffung der Verfassung betrieben zu haben. Mal abgesehen davon, dass er als Beamter wegen Illoyalität entlassen wurde.",10,18,228
Mother Jones,@MotherJones,2021-05-25T22:47:37.000Z,"See Myanmar's crisis through the eyes of the photographers risking their lives to bear witnessSee Myanmar's crisis through the eyes of the photographers risking their lives to bear witness
The anti-coup movement shows no signs of slowing down.
motherjones.com",1,15,42
Martin Häusling,@MartinHaeusling,2021-05-25T19:34:30.000Z,"Wird ein langer Abend! 
Trilog Verhandlungen gehen in die Nachtrunde",3,2,27
Renate Künast,@RenateKuenast,2021-05-25T15:39:40.000Z,"150 Rinder elendig verhungert in #Ansbach. Kaum eine Woche vergeht ohne einen neuen Fall von #Tierquälerei. 

Es ist an der Zeit, #Tierschutz gesetzlich besser zu regeln: 
https://renate-kuenast.de/tierschutz/tierschutz-gesetzlich-besser-regeln… 

Bericht von 
@inFranken
:
https://infranken.de/lk/ansbach/landkreis-ansbach-150-rinder-in-mastbetrieb-verhungert-es-koennten-noch-weitere-sterben-art-5212242…Grüne im Bundestag  and 3 others",26,72,303
Varanasi,@Varanas65464810,2021-05-25T14:05:38.000Z,"Replying to 
@derspiegel@RenateKuenast
 schon wieder ein Feuer!",,1,3
Renate Künast,@RenateKuenast,2021-05-23T16:17:46.000Z,"#MyanmarLotte Leicht
@LotteLeicht1
 · May 23
""No repression or unfounded pseudo-legal proceedings can grant legitimacy to the junta’s illegal takeover of power""

#EU decries announcement that #Myanmar's military junta intends to dissolve the NLD, that overwhelmingly won last year's general elections.
https://eeas.europa.eu/headquarters/headquarters-homepage/98878/myanmar-statement-spokesperson-latest-developments_en…",1,4,15
Lena Balk,@LenaBalk66,2021-05-23T12:28:17.000Z,"Replying to 
@RenateKuenastWäre eine wirklich tolle Sache, das mit der Menschenwürde. Wenn Sie denn auch allen zugestanden würde... #TSGabschaffen #Selbstbestimmungsgesetz #barrierefrei #RasterPsychotherapie",1,1,21
Renate Künast,@RenateKuenast,2021-05-23T12:42:33.000Z,"When they go low, we go high.Peter Altmaier
@peteraltmaier
 · May 22
Replying to @Luisamneubauer
Naja, so schlecht ist das nicht. Und: Falls die Menschen Ihnen vertrauen, können Sie zeigen, wie weit Sie kommen. Aber irgendwie ist bei den Grünen schon wieder die Luft raus: Nicht wegen Affären, sondern weil sie inhaltlich so unkonkret sind: Aus Angst, Wähler zu verprellen....",5,7,169
Renate Künast,@RenateKuenast,2021-05-23T12:05:11.000Z,Hier durfte ich 2017 mal das Original anschauen. Aufregend. #Grundgesetz,9,11,201
Renate Künast,@RenateKuenast,2021-05-23T12:04:02.000Z,Herzlichen Glückwunsch #Grundgesetz. Vor allem zum allerersten Satz: „Die Würde des Menschen ist unantastbar. „,19,26,298
Johann van de Bron,@Johann_v_d_Bron,2021-05-22T13:24:20.000Z,"Wahlprogramm der Union bisher:

* Wir sind nicht die Grünen
* Die Grünen finden wir doof
* Annalena hat einen Master ohne Bachelor
* Annalena bekommt zu viel Weihnachtsgeld
* Wir regieren nur, wenn wir Erster werden
* Annalena hat ein doofes T-Shirt
* Die Grünen sind ganz mies ",136,1.3K,10.4K
Renate Künast,@RenateKuenast,2021-05-23T09:04:48.000Z,"Lesenswerter Thread zu #Maaßen. Sehr!rby
@rbyyyy2
 · May 22
1/x: Der Artikel von Maaßen/Eisleben in Cato ist aufschlussreich, die Lektüre zu empfehlen.
Es handelt sich um ein Manifest eines verschwörungserzählerischen, gegen die offene Gesellschaft gerichteten Antiliberalismus, der völkische und antisemitische Erzählungen reproduziert.
Show this thread",3,31,131
Renate Künast,@RenateKuenast,2021-05-23T07:55:39.000Z,"Um was es geht: #Zusammenhalt. Leicht erklärt von #Polizei #Berlin. Danke. 
@tagesspiegel
 @berlinerzeitung
 @morgenpostMichael Mayr
@Nightmare_Keks
 · May 22
Der Polizist in #Berlin bei der #Querdenken ""Demo"" bringt es aufn Punkt worum es hier geht. Um den Zusammenhalt der Gesellschaft in einer Pandemie.

Ehre.

#b2205
Show this thread
0:34
117.3K views",8,45,309
Renate Künast,@RenateKuenast,2021-05-23T07:51:11.000Z,,6,9,127
Renate Künast,@RenateKuenast,2021-05-22T20:42:07.000Z,"Anzeigen!Quattromilf dem #quattromob seine Mudda
@ebonyplusirony
 · May 22
Wie bitte?! Sagt mal, spinnt ihr komplett?
Show this thread",14,48,538
UnionWatch,@watch_union,2021-03-08T10:51:48.000Z,"Wie der #SPIEGEL berichtet, haben die Masken von #EMIX, dessen Kontakt die Unionslobbyistin #Hohlmeier auch direkt auf Jens #Spahn's Smartphone vermittelt hat, in #Bayern 11,50 € pro Stück gekostet. 

Das belegen bisher unbekannte Dokumente. /TN #CDU #CSUCorona-Masken-Deals: Täuschte das Gesundheitsministerium Bayern die Öffentlichkeit?
Hat Bayerns Gesundheitsministerium die Öffentlichkeit hinters Licht geführt? Bisher unbekannte Dokumente zu sündhaft teuren Deals mit einem Schweizer Maskenhändler werfen neue Fragen auf.
spiegel.de",15,193,454
SZ Politik,@SZ_Politik,2021-05-22T15:08:44.000Z,"Weil er Flüchtlinge pauschal als Kriminelle stigmatisiert haben soll, ermitteln Staatsanwälte gegen Thüringens AfD-Landeschef Björn Höcke wegen des Verdachts der Volksverhetzung. Nun wurde sein Haus durchsucht.Volksverhetzung? Hausdurchsuchung bei Thüringens AfD-Chef Björn Höcke
Die Staatsanwaltschaft Mühlhausen ermittelt gegen Höcke wegen des Verdachts der Volksverhetzung.
sueddeutsche.de",40,38,179
HateAid,@HateAid,2021-05-20T10:05:01.000Z,"Während für Facebook News Nachrichten sorgfältig selektiert werden sollen, kursieren auf FB noch immer Falschinformationen, die Facebook nicht löscht. Im Verfahren gegen FB mit 
@renatekuenast
 fordern wir eine klare Löschpflicht! #FacebookDoYourJobApp-Update: Facebook News ist in Deutschland gestartet
In Facebooks App kann man sich nun durch die Nachrichten scrollen: Der neue Bereich News setzt sich aus Inhalten zahlreicher Medien zusammen. Auch der SPIEGEL ist vertreten.
spiegel.de",,5,24
Renate Künast,@RenateKuenast,2021-05-20T20:42:48.000Z,"Am Brandenburger Tor #Solidarität gegen #AntisemitismusAntje Kapek
@Antje_Kapek
 · May 20
Viele Menschen setzen heute am Brandenburger Tor ein Zeichen der #Solidarität mit unseren jüdischen Mitbürger*innen und gegen jede Form von #Antisemitismus!",2,4,83
