User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Ronja Kemmer,@RonjaKemmer,2021-01-16T09:13:03.000Z,"Los geht's beim ersten digitalen Parteitag: Ein historischer Parteitag für die 
@CDU
 - Wir allen vermissen die Stimmung im Saal, dafür gibt es eine Menge anderer Vorteile ;-) #wegenmorgen #cdupt21",9,6,149
Ronja Kemmer,@RonjaKemmer,2021-05-27T16:59:26.000Z,"„Ich würde mir wünschen, dass jeder einmal diese Erfahrung machen kann“ 
@Astro_Alex
 über den Perspektivwechsel den eine Reise ins All mit sich bringt.",,,6
Ronja Kemmer,@RonjaKemmer,2021-05-27T16:57:57.000Z,"ESA-Astronaut Dr. Alexander Gerst gab bei 
@DLR_de
 spannende Einblicke, wie die Forschung im Orbit z.B. zur Bekämpfung von Krankheiten wie Alzheimer und Parkinson auf der Erde beitragen kann. Vielen Dank, 
@Astro_Alex",,,4
Universität Ulm,@uni_ulm,2021-05-27T14:02:00.000Z,"Glückwunsch an Prof. Schleich #uulm und Prof. Dittus 
@DLR_de
 zur Eröffnung des DLR-Instituts für Quantentechnologien in #Ulm. Das Ziel: quantenbasierte Instrumente für die Raumfahrt. Unter den virtuellen Gästen: Winfried #Kretschmann, 
@RonjaKemmer
, 
@Astro_Alex
 Gerst.* ab DLR",,8,40
Ronja Kemmer,@RonjaKemmer,2021-05-27T13:27:32.000Z,"Nach über vier Jahren harter Arbeit konnte heute das Institut für Quantentechnologie des 
@DLR_de
 in Ulm eröffnet werden. Das Institut entwickelt Messinstrumente höchster Präzision für Anwendungen in der Raumfahrt. Der Bund unterstützt mit 110 Millionen Euro.",,,15
Ronja Kemmer,@RonjaKemmer,2021-05-27T10:41:32.000Z,"#Antisemitismus ist abscheulich – und leider augenblicklich auch wieder allgegenwärtig. 

Es muss klar sein: Wer #Juden in Deutschland angreift, der greift unsere gesamte Gesellschaft an. #stehauf #haltungzeigen",5,8,36
Ronja Kemmer,@RonjaKemmer,2021-05-18T15:53:00.000Z,"Viren sind eine unberechenbare Bedrohung für unser gesamtes Leben. Damit zukünftig antivirale Mittel schneller zur Verfügung stehen, brauchen wir jetzt hochinnovative Ideen für die Wirkstoffentwicklung. Gute Vorschläge sind willkommen und werden intensiv von SPRIND gefördert.Bundesagentur für Sprunginnovationen
@SPRIND
 · May 18
Wir laden zur ersten @SPRIND CHALLENGE ein: Gesucht werden innovative Technologien zur Bekämpfung von viralen Infektionen. Damit antivirale Mittel schneller zur Verfügung stehen, sind jetzt hochinnovative Ideen für die Wirkstoffentwicklung nötig. https://sprind.org/de/wettbewerbe/neuartige-viren…",1,5,13
CDU/CSU,@cducsubt,2021-05-15T14:27:10.000Z,"Unionsfraktionschef 
@rbrinkhaus
 spricht sich im Interview mit 
@rponline
 für eine grundlegende Modernisierung von Staat und Verwaltung aus. Er fordert klarere Verantwortlichkeiten für die verschiedenen staatlichen Ebenen. #JetztZukunft

 https://cducsu.de/presse/texte-und-interviews/brinkhaus-schneller-und-agiler-werden…",67,18,85
Paul Ziemiak,@PaulZiemiak,2021-05-13T11:44:40.000Z,"Heute Nacht haben zwei bisher  unbekannte Täter die Flagge Israels  vor unserem Konrad-Adenauer-Haus 
@CDU
 gestohlen. Wir haben diese heute Morgen umgehend ersetzt. 
Ihr könnt uns zwar die Flagge nehmen, aber nicht unsere Haltung! 

#standwithisrael #Israel #IsraelUnderAttack",503,431,3.1K
Christopher Ziedler,@cziedler,2021-05-11T15:55:17.000Z,"Ein #Quantencomputer aus #Ulm, Albert Einsteins Geburtsstadt? Mit Konjunkturmillionen ⁦
@BMBF_Bund
⁩ ⁦
@BMWi_Bund
⁩ für ⁦
@DLR_de
⁩ soll es bis 2025 klappen.(€) ⁦⁦
@RonjaKemmer
⁩ ⁦
@annachristmann
⁩ ⁦
@Thomas_Bareiss
⁩ 
@WM_BWInstitut für Quantentechnologien: Ein Quantencomputer der Zukunft aus Ulm?
In Ulm und um Ulm herum könnten Firmen angezogen werden und zusätzliche Arbeitsplätze entstehen. Ort der Entwicklung eines neuartigen Quantencomputers könnte das Institut für Quantentechnologien an...
stuttgarter-zeitung.de",1,4,7
