User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Simone Barrientos,@SBarrientosK,2021-05-27T11:46:19.000Z,"Was war in der letzten Sitzungswoche so los bei mir? Das könnt ihr auf meiner Homepage nachlesen.++Prekäre Kulturmacher:innen++Games-Kultur++trans Rechte++ - Simone Barrientos
Die Sitzungswoche vom 17. – 23. MaiLINKEN-Antrag auf 1.200 Euro für notleidende Kulturmacher:innen von GroKo verhindertZum wiederholten Male ist ein LINKEN-Vorhaben, dass den Solo-Selbständigen und...
simone-barrientos.de",,1,6
Tobias Schulze,@Tobias_Schulze,2021-05-25T09:24:30.000Z,"Moment mal, damit ich das richtig verstehe: eine Fusion zum größten europäischen Wohnungskonzern auf dem Kapitalmarkt- abgesprochen und eingerührt mit der Berliner SPD und deren Regierenden Bürgermeister sowie Finanzsenator? #vonovia #vonoviaenteignen",20,80,341
Ivana Scharf,@IvanaScharf,2021-05-20T14:56:59.000Z,"Ich freue mich auf dieses Gespräch mit 
@SBarrientosK
, 
@jiutha
,  
@younesalamayra
 und Anahita Sadighi und mit allen, die Mitreden wollen über Diversität in Kunst und Kultur. Jetzt für den 27. Mai anmelden :-) #CreatorsForDiversity #diversity #kunst #kultur 
@betterplace_orgbetterplace lab
@betterplacelab
 · May 18
Wie wird Diversität in Kunst und Kultur Realität?
Diese Frage diskutieren wir im Rahmen von #CreatorsForDiversity mit Expert*innen aus Kunst, Kultur, Politik, Wissenschaft, Zivilgesellschaft und Dir.
 27. 5. 
 16:30-18:00
Anmeldung zum Online-Event 
https://eventbrite.com/e/wie-wird-diversitat-in-kunst-und-kultur-realitat-tickets-155644379529?fbclid=IwAR3Mir7n-_9GkjnO1OXPUn21T0JycU9s95-Znujl94w2NRbKiHi4RRIcOpk…",1,1,3
Simone Barrientos,@SBarrientosK,2021-05-20T12:47:19.000Z,"Nächsten Donnerstag (27.5.) diskutiere ich mit 
@jiutha
, 
@IvanaScharf
,  
@younesalamayra
 und Anahita Sadighi beim 
@betterplace_org
 über Diversität in Kunst und Kultur. Spoiler: Es wird sicher wieder um Arbeitsbedingungen gehen. Anmeldung: https://t1p.de/e1vibetterplace lab
@betterplacelab
 · May 18
Wie wird Diversität in Kunst und Kultur Realität?
Diese Frage diskutieren wir im Rahmen von #CreatorsForDiversity mit Expert*innen aus Kunst, Kultur, Politik, Wissenschaft, Zivilgesellschaft und Dir.
 27. 5. 
 16:30-18:00
Anmeldung zum Online-Event 
https://eventbrite.com/e/wie-wird-diversitat-in-kunst-und-kultur-realitat-tickets-155644379529?fbclid=IwAR3Mir7n-_9GkjnO1OXPUn21T0JycU9s95-Znujl94w2NRbKiHi4RRIcOpk…",,1,2
Simone Barrientos,@SBarrientosK,2021-05-20T08:46:26.000Z,"Heute beginnt in Frankfurt Prozess gegen #FrancoA, der offenbar als Bundeswehrelitesoldat im Zentrum eines rechtsextremen Netzwerks steht. Auch in Bayern war seine Gruppe ziemlich aktiv.Der Fall Franco A.: Viele Spuren führen nach Bayern
Er soll Anschläge auf mehrere Politiker geplant haben. Heute startet in Frankfurt der Prozess gegen Franco A., einen Elitesoldaten und mutmaßlichen Rechtsterroristen. Er hatte nach BR-Recherchen...
br.de",,,1
Simone Barrientos,@SBarrientosK,2021-05-19T17:52:04.000Z,".
@Oliver_rast
 in 
@jungewelt
 über unseren Antrag: https://simone-barrientos.de/2021/05/05/fiktiver-unternehmerinnenlohn-jetzt-soloselbststaendigen-und-freiberuflerinnen-aus-der-corona-krise-helfen/…Oliver Rast
@oliver_rast
 · May 19
So, vom Ausschank gleich der Schwenk zum Ernsten. M @jungewelt-Bericht zur prekären Situation von Kunst- und Kulturproduzent* – einen »fiktiven Unternehmerlohn« lehnte die GroKo heute ab. Verwerflich. Dank an @SBarrientosK, @Erhard_Grundl, @GruenClaudia 

https://jungewelt.de/artikel/402729.kreative-in-existenznot-prek%C3%A4re-kulturmacher.html…",,1,3
Clara Anne Bünger,@C_AB_,2021-05-14T09:56:31.000Z,"Wenn der Antisemitismusbeauftragte der BReg seine Aufgabe nur noch darin sieht Biodeutsche von jeglichem Vorwurf des Antisemitismus zu exkulpieren und ""Jugendliche mit Migrationshintergrund"" unter Generalverdacht zu stellen, betreibt er selbst das Spiel der Rechten.phoenix
@phoenix_de
 · May 14
#AntisemitismusBeauftragter der #Bundesregierung Felix Klein @bamf_dialog fordert mehr Aufklärung. Die #Polizei müsse #Antisemitismus früher erkennen. Jugendlichen mit #MigrationsHintergrund müsse klar gemacht werden, dass Antisemitismus in DE inakzeptabel ist. @inesarland
Show this thread
The media could not be played.
Reload",21,74,540
Simone Barrientos,@SBarrientosK,2021-05-14T16:34:13.000Z,"Was die Serie „The Deuce“ und der legendäre Kreuzberger Buchladen Kisch & Co. mit linker Politik zu tun haben? Darüber schreibe ich auf 
@Freiheits_liebeDie Häuser denen, die drin lesen! - Die Freiheitsliebe
„Kisch & Co.: Macht Platz für unsere Berlin-Vision: Eine Sauftouristen-Kommerz-Attraktion.“ So singt die Band Stereo Total, begleitet vom Oberkreuzberger Nasenflötenorchester. Zusammen hatten sie ein...
diefreiheitsliebe.de",,1,2
Simone Barrientos,@SBarrientosK,2021-05-11T10:47:07.000Z,"Kultur und Sport müssen ins #Grundgesetz. Dass sie #Staatsziel werden, fordern wir in unserem Antrag. Übrigens: Die „Initiative Kultur ins Grundgesetz“ hat dazu eine Petition, die ihr hier unterschreiben könnt: https://kulturinsgrundgesetz.de",,4,11
Robert Pietsch #FCKAfD,@ropietsch,2021-05-11T09:14:18.000Z,"Wusstet ihr, dass das ""klassischer Antisemitismus"" das einzige Merkmal der gruppenbezogen Menschenfeindlichkeit war, in dem die #CDU über der #AfD war?  

Erklärt vielleicht, warum man gerade so blind ist. Maaßen ist nur der Leuchtturm der Union bei dem Thema. 

#Maaßen",6,21,48
