User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-05-28T07:00:52.000Z,"Zum #Impfgipfel der #Bundeskanzlerin mit den #Ministerpraesidenten erklärt der stellver. Fraktionsvorsitzende der #AfD im Deutschen #Bundestag 
@S_Muenzenmaier
: ""#Impfbeschluss für #Kinder und Jugendliche ist voreilig und sachlich nicht gerechtfertigt!""Münzenmaier: Impfbeschluss für Kinder und Jugendliche ist voreilig und sachlich nicht gerechtfertigt
Berlin, 28. Mai 2021. Zum „Impfgipfel“ der Bundeskanzlerin mit den Ministerpräsidenten erklärt der stellvertretende Fraktionsvorsitzende der AfD im Deutschen Bundestag Sebastian Münzenmaier: „Kinder...
afdbundestag.de",13,40,118
"Martin Reichardt, MdB",@M_Reichardt_AfD,2021-05-26T18:00:46.000Z,"Noch 10 Tage Zeit für unseren intensiven Wahlkampf! Das Ziel stärkste Kraft zur #ltwlsa rückt näher! Wir werden nicht nachlassen! Alles für unsere Heimat! Freiheit, Demokratie und Bürgerrechte verteidigt nur die 
@afd
! #afd Zeit für Widerstand an der Wahlurne! 6.6. 
@AfD_LSA
 wählen",59,171,562
"Sebastian Münzenmaier, MdB",@S_Muenzenmaier,2021-05-26T18:53:28.000Z,"Nach dem Umfrage-Beben in #Sachsen folgt der nächste Hammer!
Die #AfD ist auf dem Weg zur stärksten Kraft in #SachsenAnhalt. Am nächsten Sonntag schreiben unsere Parteifreunde Geschichte und holen den Wahlsieg!
#Deutschlandabernormal.

TM",55,177,727
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-05-25T13:25:18.000Z,"Gesundheitsminister @jensspahnhat als neue Zielmarke für weitreichende Öffnungen im Sommer einen #Inzidenzwert von unter 20 ins Gespräch gebracht. Dazu kommentiert 
@S_Muenzenmaier
: ""Schluss mit der absurden „#Inzidenz“-Lotterie!"" #AfD #Corona #BundestagMünzenmaier: Schluss mit der absurden „Inzidenz“-Lotterie
Berlin, 25. Mai 2021. Bundesgesundheitsminister Jens Spahn hat als neue Zielmarke für weitreichende Öffnungen im Sommer einen „Inzidenzwert“ von unter 20 ins Gespräch gebracht. Dazu erklärt der...
afdbundestag.de",17,90,316
AfD Thüringen,@AfD_Thueringen,2021-05-22T18:22:44.000Z,"„Die Hausdurchsuchung beim Vorsitzenden der stärksten Oppositionsfraktion im 
@ThuerLandtag
 wegen eines offenkundig vom Grundrecht der Meinungsfreiheit gedeckten FB-Beitrages ist ein weiterer Tiefpunkt des Missbrauchs der Justiz gegen vermeintlich unbotmäßige politische Meinungen.",12,82,359
Florian Warweg,@FWarweg,2021-05-21T08:07:35.000Z,"Expertenauswahl 
@DLF
: #Deutschlandfunk interviewt zum Nachmeldeskandal von #Baerbock & Co 
@Die_Gruenen
 ausgerechnet den Politologen Hubert Kleinert, der janz objektiv argumentiert, man sollte das nicht dramatisieren. Detail: Prof. Kleinert war MdB & Landesvorsitzender d. #Grünen",5,126,343
Alice Weidel,@Alice_Weidel,2021-05-18T09:13:41.000Z,"Seit gestern können die Mitglieder unserer #AfD darüber abstimmen, welches #Spitzenduo in den #Bundestagswahlkampf gehen soll. Nutzen Sie diese Möglichkeit und stimmen Sie jetzt ab. 
@Tino_Chrupalla
  und ich freuen uns auf den #Wahlkampf!",79,198,943
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2021-05-17T12:43:09.000Z,"Die #AfD-Fraktion fordert eine sofortige Aufklärung und Aufarbeitung des #DiviGate. 
@S_Muenzenmaier
: ""Die im Raum stehenden Vorwürfe unterstreichen klar die Dringlichkeit eines #Corona-Untersuchungsausschusses, den wir schön länger fordern!"" #DiviSkandalMünzenmaier: Sofortige Aufklärung des „DiviGate“
Berlin, 17. Mai 2021. Der Mediziner und Gesundheitsökonom Prof. Dr. med. Matthias Schrappe hat gemeinsam mit weiteren Wissenschaftlern eine Stellungnahme zur Lage der deutschen Intensivstationen...
afdbundestag.de",16,113,273
AfD Magdeburg,@AfD_Magdeburg,2021-05-17T10:11:21.000Z,"#Abschlusskundgebung der #AfD am 4. Juni ab 18 Uhr auf dem #Domplatz #Magdeburg. Wir sind die Stimme der Vernunft: Für unsere Heimat, für #SachsenAnhalt & vor allem für unsere Menschen, für Freiheit, Gerechtigkeit & ein selbstbestimmtes, würdevolles Leben. https://fb.me/e/1csn5SwptAfD Sachsen-Anhalt  and 9 others",5,28,74
"Sebastian Münzenmaier, MdB",@S_Muenzenmaier,2021-05-15T10:51:45.000Z,"Morgen Abend live auf Facebook!
Ich freue mich auf das Gespräch mit 
@Tino_Chrupalla
 und 
@Alice_Weidel
! 

#AfD #RheinlandPfalzAfD Rheinland-Pfalz and 2 others",21,47,166
