User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Lorenz Gösta Beutin,@lgbeutin,2021-05-29T09:03:10.000Z,"Solidarische Grüße an alle, die heute unterwegs sind, gegen Nazis auf Straßen, in Parlamenten, für solidarische Gesellschaft. Ob Seebrücke, Klimabewegung, antifa, Gewerkschaften, soziale Initiativen, LGBTIQ - wir sind #unteilbar. Viel Kraft & Erfolg  #ltwlsa21 #SachsenAnhalt#unteilbar Sachsen-Anhalt and 5 others",4,11,43
Michel Brandt,@michel_brandt_,2021-05-26T15:35:55.000Z,"Ein langer u voller Tag auf #Lesbos mit vielen Gesprächen neigt sich dem Ende zu. Morgen geht es weiter. Ich kann es kaum oft genug sagen: Das inhumane Hotspot-System der #EU muss endlich ein Ende haben, die Menschen haben ein Recht auf menschenwürdige Unterbringung! #EvacuateNow",,17,36
Linksfraktion Hessen,@LinkeLTGHessen,2021-05-26T15:41:21.000Z,"Unsere Fraktionsvorsitzende 
@Janine_Wissler
  befindet sich aktuell mit einer kleinen Delegation auf der griechischen Insel #Lesbos um sich über die unmenschliche Situation der Geflüchteten in den Lagern zu informieren.

#Moria #moria2 #KaraTepel #LeaveNoOneBehind #seebrücke #hlt",10,33,112
Sabine Leidig,@SabineLeidig,2021-05-26T07:17:36.000Z,"#Autokorrektur für #Carmany – Gedankenspiel zur Halbierung des #Autoverkehr s bis 2035. Nur eine demokratisch gesteuerte Vollbremsung kann in den vereinbarten #Klimaschutzweg führen. Mein neuester Artikel in der 
@Freiheits_liebe
. #Verkehrswende#Autokorrektur für Carmany – Gedankenspiel zur Halbierung des Autoverkehrs bis 2035 - Die Freihei...
Wenn alle Bewohner*innen in Deutschland gleichzeitig in alle Autos steigen, bleiben alle Rückbänke frei. So rollen wir übermotorisiert auf der vermeintlichen Überholspur Richtung Steilkurve. Nur eine...
diefreiheitsliebe.de",1,3,6
Supernova - Das Leftstyle-Magazin,@LeftstyleMag,2021-05-25T16:17:59.000Z,"Nazigruppen haben sie angegriffen und Brandanschläge auf sie verübt, doch die Aktivist*innen von @monibleibt geben nicht auf: Sie besetzen weiterhin einen Wald, um den Bau der Autobahn #A14 zu verhindern.
Das ganze Video: https://youtu.be/8nUrsCGKyX8

#KeineA14 #Monibleibt #Klimstreik",4,100,230
Sabine Leidig,@SabineLeidig,2021-05-22T06:38:18.000Z,"Noch mehr #Autobahn = noch mehr #Verkehr = noch mehr #Umweltzerstörung, #Lärm & Dreck 
ALLE können dagegen Einwendungen (Widersprüche) schreiben! Bitte macht mit! #keineA44 #waldstattasphaltJetzt Einwendungen schreiben gegen die A44!
Mit unserem Einwendungs-Formular könnt Ihr nun in wenigen Minuten Eure persönliche Einwendung gegen den Bau der A44 erzeugen. Planoffenlegung Am 26. April startete die Offenlegung der Pläne für den...
wald-statt-asphalt.net",1,19,47
MobilitätswendeJetzt!,@MobiwendeJetzt,2021-05-12T12:54:01.000Z,"Wir rufen zu bundesweiten Aktionstagen für eine sozial- und klimagerechte Mobilitätswende am 5.+6. Juni auf! Vielfältige coronakonforme Aktionsformen sind willkommen! Macht mit, gemeinsam kämpfen wir gegen Autobahnbau und #MobilitätswendeJetzt! Mehr Infos: https://wald-statt-asphalt.net/mobilitaetswendejetzt/…Sand im Getriebe Berlin and 9 others",2,35,77
Greenpeace e.V.,@greenpeace_de,2021-05-11T06:30:20.000Z,"Waffen aus   sorgen weltweit für Tod und Leid. Schluss damit! Unterstützt unsere Twitter-Aktion zur heutigen Jahresversammlung von 
@RheinmetallAG
: https://greenwire.greenpeace.de/kampagnenseite/twitter-storm-zur-rheinmetall-hauptversammlung-unterstuetzen… #EntrüstungJetzt",5,73,151
Rosa-Luxemburg-Stiftung,@rosaluxstiftung,2021-05-11T09:42:15.000Z,"Wer die Hintergründe des aktuell eskalierenden Konflikts in #Israel und #Palästina verstehen will, muss die Stadtplanung und -entwicklung in Ost-#Jerusalem in den Blick nehmen: spannende Hintergrundanalyse aus dem RLS-Büro in Tel Aviv! #SheikhJarrahStadtplanung und Stadtentwicklung in Ost-Jerusalem - Rosa Luxemburg Stiftung Israel
Die israelische Stadtplanung in Ost-Jerusalem zielt darauf ab, die jüdische Dominanz auszuweiten - zuungunsten der palästinensischen Jerusalemer*innen.
rosalux.org.il",,17,30
tadzio_mueller,@MuellerTadzio,2021-05-11T05:57:50.000Z,"Spuren des #Hambibleibt, Spuren des #Dannilebt: ""Viele waren dort, als eine Schneise für den Bau der A49 in den Wald geschlagen wurde, & sie trugen den Widerstand weiter. Überall in der Republik entstehen gerade neue #Klimacamps.""
 
@ndaktuell
 Waldmenschen
Nach dem Vorbild des Widerstands im Hambacher Wald und im Dannenröder Forst entstehen gerade an vielen Orten neue Camps. So auch im Altdorfer Wald. Aktivist*innen haben dort angefangen, eine anarch...
neues-deutschland.de",2,36,92
