User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Andreas Schwarz,@Schwarz_MdB,2021-05-29T07:33:30.000Z,Buongiorno aus Franken,1,,3
Andreas Schwarz,@Schwarz_MdB,2021-05-28T04:47:13.000Z,Buongiorno aus Franken.... gleich geht es zur Podiumsdiskussion mit dem  VBW zum Thema Leiharbeit,,,7
Andreas Schwarz,@Schwarz_MdB,2021-05-27T05:52:58.000Z,Buongiorno aus Franken,,,6
Andreas Schwarz,@Schwarz_MdB,2021-05-26T05:33:41.000Z,Buongiorno aus Franken....,,,4
Andreas Schwarz,@Schwarz_MdB,2021-05-25T05:30:23.000Z,Buongiorno aus Franken.... auf in eine kurze Woche,,,3
Andreas Schwarz,@Schwarz_MdB,2021-05-22T09:26:49.000Z,"Oha... zudem vergessen oder verdrängt den Bonus zu versteuern... mal sehen, wie das erklärt wird! #Baerbockgate #Gruene 

BILD fragte alle Parteizentralen - Nur die Grünen gönnten ihrer Chefin den Corona-BonusBILD fragte alle Parteizentralen - Nur die Grünen gönnten ihrer Chefin den Corona-Bonus
Die Corona-Pandemie hat Pflegern und Schwestern, Supermarktkassiererinnen, Paketboten verdammt viel abverlangt. Für ihren unermüdlic...
bild.de",1,1,6
Andreas Schwarz,@Schwarz_MdB,2021-05-22T09:11:15.000Z,"Viel Vertrauen hat #Soeder scheinbar nicht in #Laschet .
Oder habe wir jetzt #Soederdenktnach....bzw. #SoederdenktweiterFrankfurter Allgemeine gesamt
@FAZ_NET
 · May 22
Wenn die Union nicht mehr den Kanzler stellt, muss sie aus Sicht von CSU-Chef Markus Söder in die Opposition. Juniorpartner der Grünen zu sein, würde CDU und CSU „fundamentalen Schaden zufügen“. http://faz.net/aktuell/politik/inland/soeder-lehnt-koalition-unter-gruener-kanzlerin-ab-17354095.html…",1,,2
Andreas Schwarz,@Schwarz_MdB,2021-05-22T07:58:06.000Z,Buongiorno aus Franken.... allen ein schönes Pfingstwochenende,,,8
Andreas Schwarz,@Schwarz_MdB,2021-05-21T15:49:24.000Z,"Ein Kassensturz dürfte #AKK nicht schwerfallen! Parlament, Bundeswehr und unsere Induspartner haben einen seriösen Umgang verdient! Schluss mit Kartenspielertricks!
#Bundeswehr #CDUtoto
@josefheynckes
 · May 21
aha. https://spiegel.de/politik/deutschland/annegret-kramp-karrenbauer-groko-politiker-machen-kampfansage-wegen-fehlender-ruestungsmilliarden-a-f07a9148-89d8-412f-a97e-5b75c23f9a8c…",,3,9
Andreas Schwarz,@Schwarz_MdB,2021-05-20T04:40:38.000Z,Buongiorno aus Berlin,,,9
Andreas Schwarz,@Schwarz_MdB,2021-05-18T04:48:59.000Z,Buongiorno aus Berlin,1,,6
Andreas Schwarz,@Schwarz_MdB,2021-05-17T05:31:39.000Z,Buongiorno aus Berlin.... allen einen schönen Wochenstart,1,,7
Andreas Schwarz,@Schwarz_MdB,2021-05-15T07:23:24.000Z,Buongiorno aus Franken... allen einen schönen Samstag,,,5
Andreas Schwarz,@Schwarz_MdB,2021-05-14T07:00:45.000Z,Buongiorno aus Franken.....,,,8
Andreas Schwarz,@Schwarz_MdB,2021-05-12T11:48:53.000Z,"#Gruene in Gestalt von Hofreiter und Habeck kritisieren das neue #Klimaschutzgesetz. Und wie läuft es in Baden Württemberg? Anspruch und Wirklichkeit!? #ausRespekt 

Kaum Ökostrom im Öko-Ländle – Grünes Versagen in Baden-Württemberg https://youtu.be/x4h_ycTz3lE via 
@YouTubeKaum Ökostrom im Öko-Ländle – Grünes Versagen in Baden-Württemberg
Der grüne Ministerpräsident Winfried Kretschmann regiert in Baden-Württemberg seit zehn Jahren und wollte die Erneuerbaren Energien kräftig ausbauen. Die Bil...
youtube.com",,,4
Andreas Schwarz,@Schwarz_MdB,2021-05-12T05:01:00.000Z,Buongiorno aus Franken,,,5
Andreas Schwarz,@Schwarz_MdB,2021-05-11T05:18:52.000Z,Buongiorno aus Franken....,,,7
Andreas Schwarz,@Schwarz_MdB,2021-05-10T05:36:05.000Z,Buongiorno aus Franken.....allen einen schönen Start in die Woche,1,,4
Andreas Schwarz,@Schwarz_MdB,2021-05-09T14:48:24.000Z,"Auf geht’s und Glück auf!
96,2 Prozent... klare Ansage! Wir sind geschlossen....
#ausRespekt #spdbpt21",1,,5
Andreas Schwarz,@Schwarz_MdB,2021-05-09T14:46:54.000Z,"Jetzt Olaf Scholz gewählt... das nächste Mal dann im Bundestag, wenn das Parlament ihn zum Kanzler wählt! #spdbpt21 #ausRespekt",,,6
Andreas Schwarz,@Schwarz_MdB,2021-05-09T14:43:58.000Z,"Eine große Rede und ein toller Kandidat! Die Aufholjagd beginnt. #spdbpt21 #ausRespekt 

Scholz-Kür bei SPD-ParteitagScholz-Kür bei SPD-Parteitag
Wenn die SPD die Chance aufs Kanzleramt haben will, muss sie den Turbo zünden. Scholz versuchte mit einer Grundsatzrede zu motivieren.
bild.de",1,,7
Andreas Schwarz,@Schwarz_MdB,2021-05-09T14:40:10.000Z,"Tolle Rede, empathisch... klare Vorstellungen.... Olaf kann Kanzler für Deutschland #ausRespekt #spdbpt21",2,1,23
Andreas Schwarz,@Schwarz_MdB,2021-05-09T14:09:02.000Z,"Gerade Olaf Scholz auf dem #spdbt21 ... eine Sternstunde an Wertschätzung, Respekt und Empathie.... das ist die DNA unserer Partei. Sich kümmern und einsetzen. Niemand steht am Rand der Gesellschaft! Jeder Mensch ist wichtig und verdient Wertschätzung! #Scholz #SPD",,,4
Andreas Schwarz,@Schwarz_MdB,2021-05-09T13:33:55.000Z,Die SPD zeigt bei ihrem Parteitag heute eine große Geschlossenheit.... so macht man Politik und so wird regiert..über 99 Prozent Zustimmung ... #ausRespekt #spdbpt21,1,2,8
Andreas Schwarz,@Schwarz_MdB,2021-05-09T12:27:56.000Z,"Wohnen und Bauen, ein sozialdemokratisches Thema! Hans-Jochen Vogel hat sich mit der Thematik schon vor Jahrzehnten intensiv beschäftigt! Lesenswert
#ausRespekt #spdbpt21",,,9
Andreas Schwarz,@Schwarz_MdB,2021-05-09T11:20:21.000Z,"Klare Ziele, überlegte Maßnahmen... so geht gutes REGIEREN mit Olaf #Scholz #ausRespekt #spdbpt21",,,2
Andreas Schwarz,@Schwarz_MdB,2021-05-09T10:51:53.000Z,"Svenja Schulze hat recht.... gutes Klima geht nur mit guter Arbeit! Das ist der große Unterschied zu allen anderen Parteien
#ausRespekt #spdbpt21",,,9
Andreas Schwarz,@Schwarz_MdB,2021-05-09T10:24:17.000Z,#ausRespekt ein Olympiasieger bei uns.... Frank Ullrich.... und Olaf  #Scholz stärkt vorab mit Kaffee,1,,6
Andreas Schwarz,@Schwarz_MdB,2021-05-09T10:13:47.000Z,#ausRespekt Parteitag läuft.... gut organisiert und modern digital...,,,4
Andreas Schwarz,@Schwarz_MdB,2021-05-09T09:26:51.000Z,"Parteitag läuft.... Respekt.... modern und digital...auf den Punkt
#spdbpt21",,,4
Andreas Schwarz,@Schwarz_MdB,2021-05-09T05:18:27.000Z,Buongiorno aus Franken.... gleich geht es digital in den Parteitag der SPD... wir wählen unseren Kanzlerkandidaten und beschließen unser Zukunftsprogramm für Deutschland ,,,8
Andreas Schwarz,@Schwarz_MdB,2021-05-08T05:48:22.000Z,Buongiorno aus Franken.... allen ein schönes Wochenende,1,,8
Andreas Schwarz,@Schwarz_MdB,2021-05-07T12:56:32.000Z,"Was sagt denn da die Parteispitze und Kanzlerkandidatin #Baerbock dazu? Man hört gar nichts?
Oder wieder mal Enthaltung?
#Gruene

Grüne wollen „Deutschland“ streichen: Radikalen-Aufstand an der BasisGrüne wollen „Deutschland“ streichen: Radikalen-Aufstand an der Basis
An der Grünen-Basis sorgt EIN Wort für massive Aufregung. Es lautet: „Deutschland“. Radikale innerhalb der Öko-Partei wollen es streichen.
m.bild.de",1,,5
