User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Bundeswehr,@bundeswehrInfo,2021-05-29T10:58:10.000Z,Heute ist der Int. Tag der #Friedenssicherungskräfte der Vereinten Nationen. Seit 2002 würdigt er die Arbeit aller Angehörigen der #UN-Friedensmissionen. Die #Bundeswehr beteiligt sich derzeit mit 1.070 #Soldaten und #Soldatinnen an fünf UN-Missionen. https://bmvg.de/de/frieden-sicherheit-bundeswehr-einsatz-un-united-nations?fbclid=IwAR1UUG-tR1hDCL1NBhcfP41GIj3ADMLTxamj86Sz-m1oSrtftPeUbkQXFsI…,3,18,116
Thomas Silberhorn MdB,@SilberhornMdB,2021-05-28T17:14:58.000Z,"In #UN missions like #UNIFIL and #MINUSMA, the deployment of 
@Bw_Einsatz
 is highly appreciated. W/ Under-Secretary General Peace Operations 
@Lacroix_UN
 I discussed upcoming issues. 
@BMVg_Bundeswehr
 @bundeswehrInfo",,,5
Thomas Silberhorn MdB,@SilberhornMdB,2021-05-28T16:51:57.000Z,"Bei #UN-Missionen wie #UNIFIL und #MINUSMA wird der Einsatz der #Bundeswehr sehr geschätzt. Mit Jean-Pierre Lacroix, dem Untergeneralsekretär der Vereinten Nationen für Friedenssicherungseinsätze, habe ich über die anstehenden Aufgaben gesprochen. 
@Bw_Einsatz
 @BMVg_Bundeswehr",2,1,5
Thomas Silberhorn MdB,@SilberhornMdB,2021-05-28T15:13:54.000Z,#EU's military ability to act and security in #Africa were on the agenda of EU defence ministers in Lisbon today. #Mali quickly needs a civilian president and a new government in the transition towards democratic elections. #EUCO #PPUE2021,,,6
Thomas Silberhorn MdB,@SilberhornMdB,2021-05-28T15:06:22.000Z,Die militärische Handlungsfähigkeit der #EU und die Sicherheit in #Afrika waren heute die Themen der EU-Verteidigungsminister in Lissabon. #Mali braucht rasch einen zivilen Präsidenten und eine neue Regierung auf dem Weg zu demokratischen Wahlen. #EUCO,,1,3
EU Council TV News,@EUCouncilTVNews,2021-05-28T09:15:45.000Z,"Arrival and doorstep by 
@SilberhornMdB
  Parliamentary State Secretary at the Federal Ministry of Defence of #Germany, at the Presidency event: Informal meeting of #Defence Ministers, taking place on 28 May 2021, in Lisbon.Arrival and doorstep DE (Silberhorn)
newsroom.consilium.europa.eu",,1,
Verteidigungsministerium,@BMVg_Bundeswehr,2021-05-21T15:00:54.000Z,"Unser Highlight war in dieser Woche auf jeden Fall das Eckpunkte-Papier für eine #Bundeswehr der Zukunft - robust und leistungsstark. Kurzum: #MehrTruppeWagen 
Die wichtigsten Eckpunkte:",3,23,91
IG Sicherheitspolitik HSU,@Sipol_HSU,2021-05-21T09:06:42.000Z,"Jetzt schnell anmelden und bis zum 01. Juni einen der letzten Plätze sichern! Gäste sind u.a. der Exekutivsekretär der G5 Sahel, Botschafter Sidikou, sowie der Parlamentarische Staatssekretär 
@SilberhornMdB
. Der Kurs findet nur abends statt. AM 
@BSH_Presse
 @BSH_Bremen
 @HSUHamburgIG Sicherheitspolitik HSU
@Sipol_HSU
 · May 10
Kostenloses Weiterbildungsangebot für Studierende:

Steigere Dein Wissen zu Westafrika und sei bei unserem digitalen Workshop dabei! 

Anmeldung:
https://hsu-hh.de/event/westafrika…       #Westafrika #Sahel #RCIWA2021 @BSH_Presse @bsh_berlin @unibw_m @HSUHamburg AM",,1,3
Thomas Silberhorn MdB,@SilberhornMdB,2021-05-20T11:22:08.000Z,"Hier wird nicht gewackelt: Erfreulich klares Bekenntnis von 
@ArminLaschet
 zum 2%-Ziel, das Deutschland gegenüber der #NATO eingegangen ist. Die #Bundeswehr braucht Vollausstattung, d.h. Alles, was erforderlich ist, um ihren Auftrag vollständig erfüllen zu können.CDU Deutschlands
@CDU
 · May 20
Ein klares Bekenntnis zum 2% Ziel? Von jedem zu erwarten, der sich um höchste Ämter bemüht. @ArminLaschet erklärt warum.",1,2,6
Thomas Silberhorn MdB,@SilberhornMdB,2021-05-20T11:02:53.000Z,"Ein Nationaler Sicherheitsrat im Bundeskanzleramt ist ein entscheidender Schritt zu verbesserter Führungsfähigkeit in Krisenlagen. Genau das leistet der Bundessicherheitsrat bisher nicht. Strategische Koordinierung und operative Umsetzung erfordern Führung aus einer Hand.CDU Deutschlands
@CDU
 · May 20
 Europa muss weltpolitikfähig werden. Um die Außenpolitik mitzugestalten, müssen wir strategischer werden. Wir dürfen nicht nur auf Krisen reagieren, sondern müssen vorausschauend agieren. @ArminLaschet gestern bei der @KASonline #KAS4Security (1/2)
Show this thread",,4,8
