User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Stefan Gelbhaar,@StefanGelbhaar,2021-05-27T17:28:02.000Z,"Nächstes Klimaurteil! 

Australisches Gericht sagt: Umweltministerin habe die Pflicht (!), Jugendliche vor den verheerenden Folgen des Klimawandels zu schützen. (Neue Kohlemiene dürfte damit nicht genehmigt werden.)Australian court finds government has duty to protect young people from climate crisis
Eight teenagers, along with 86-year-old nun, launched case to prevent the approval of a massive coalmine
theguardian.com",,3,31
Stefan Gelbhaar,@StefanGelbhaar,2021-05-26T21:06:14.000Z,"Raketenwissenschaft Tagesschau20Jahre
@TagesschauVor20
 · May 26
[26.5.01] Radfahren in Deutschland soll attraktiver werden, plant der Bundesverkehrsminister.",4,1,42
Fabian Ladda,@FabianLadda,2021-05-25T09:27:13.000Z,"Wir beginnen mit 3 Stationen von 
@goswiftmile
 um für die Tausenden von Mitarbeiter:innen eine Lösung für den ersten und letzten Kilometer anzubieten. Vielen Dank für die Unterstützung vom 
@BA_Pankow
 @VollradKuhn
 und 
@StefanGelbhaar",,1,6
Fabian Ladda,@FabianLadda,2021-05-25T09:13:36.000Z,"Ab heute ist Lime auch an der brandenburgischen Grenze in Berlin-Buch verfügbar in Zusammenarbeit mit unseren Partnern 
@campusbuch
 & 
@BuchHelios
 & 
@goswiftmile
. Die Einweihung ist um 12 Uhr mit 
@RegineGuenther
 und 
@SenUVKBerlin
 ",4,5,20
Stefan Gelbhaar,@StefanGelbhaar,2021-05-24T12:25:14.000Z,"Also, Leerdenker haben in Pankow zwar ne fette Bühne aufgebaut (oder aufbauen lassen), aber Publikum ist einfach nicht gekommen. 

Stabil!  Gut so, braucht hier auch keiner, die #Schwurbler #b2405",4,2,84
Stefan Gelbhaar,@StefanGelbhaar,2021-05-15T19:07:28.000Z,"Vom 9. März 1972 bis in die 1990er Jahre hinein galt § 218 StGB übrigens nicht im Gebiet der DDR bzw. in den neuen Bundesländern. 

Die Entscheidung über den Schwangerschaftsabbruch war das Recht der Frau.

#wegmit218 #150jahre218 minus 21 Jahre in Ostdeutschland (1/3)",3,8,44
Stefan Gelbhaar,@StefanGelbhaar,2021-05-15T16:09:58.000Z,"Kübelweise Desinformation nach dem Motto „es wird schon was hängenbleiben“. Gezielt, absichtlich, bösartig und falsch. Da sind harte Demokratiefeinde unterwegs.Volksverpetzer
@Volksverpetzer
 · May 14
Seit ihrer Nominierung werden @ABaerbock und ihre Partei die @Die_Gruenen wie keine anderen Ziel von Hass, Falschmeldungen und Verschwörungsmythen. Wir haben einmal gesammelt, was an Fakes verbreitet wird. Hast du etwas davon für wahr gehalten? #Baerbock https://volksverpetzer.de/wahlkampf/luegen-annalena-baerbock/…",2,7,38
Stefan Gelbhaar,@StefanGelbhaar,2021-05-12T15:53:31.000Z,"Heute ist die dafür entscheidende Verwaltungsvorschrift zur StVO in der Bundesregierung verabschiedet worden. Drum Einschätzung und Statement zur Verwaltungsvorschrift StVO hier: (3/3)2021-05-12 - Statement - StVO - mit dieser Verwaltungsvorschrift verspielt Scheuer Chance auf...
drive.google.com",5,16,51
Stefan Gelbhaar,@StefanGelbhaar,2021-05-12T11:19:32.000Z,"Kann mir vorstellen, dass einige denken: Geschähe ihnen nur Recht, diesen Coronaleugnern. 

Aber: Hat Auswirkungen auf die Menschen im Gesundheitssystem, auf Angehörige uswusw. 

Drum hilft es wohl nix: wir müssen weiter aufklären und reden auf aufklären.Christian Drosten: ""Wer sich nicht impfen lässt, wird sich irgendwann infizieren""
Das Coronavirus werde nicht weggehen, mahnt Virologe Drosten. Wer sich nicht impfen lasse, entscheide sich ""aktiv für die natürliche Infektion"".
zeit.de",,2,21
Stefan Gelbhaar,@StefanGelbhaar,2021-05-12T08:24:15.000Z,"KULTUR ZEIT los! zeigt was möglich ist, wenn sich kreative Köpfe über die Grenzen einzelner Disziplinen hinaus etwas einfallen lassen. Weitere Infos unter http://kulturzeitlos.org #SocialEntrepreneurship #SocEnt #TeilhabeÜberall #BarrierenAbbauen (2/2)",,2,6
Stefan Gelbhaar,@StefanGelbhaar,2021-05-12T08:24:14.000Z,"Aktionstage #Barrierefreiheit von 
@GrueneBundestag
. Projekt Kultur Zeit Los! verbindet 3 wichtige Dinge: Teilhabe am kulturellen Leben für alle, auch die nicht (mehr) so mobilen Menschen; emissionsfreien + geteilten Verkehr sowie ehrenamtliches Engagement.
#BarrierenAbbauen (1/2)Corinna Rüffer and 3 others",1,1,19
Grüne im Bundestag,@GrueneBundestag,2021-05-07T07:48:19.000Z,"#KlimaschutzIstJetzt: Wir dürfen nicht länger warten! 

Um die Klimakrise in den Griff zu kriegen, braucht es jetzt wirksame Maßnahmen. Unser Angebot 
https://dip21.bundestag.de/dip21/btd/19/292/1929294.pdf…0:26
7.8K views",65,90,227
Stefan Gelbhaar,@StefanGelbhaar,2021-05-06T18:36:33.000Z,"Schöne Momentaufnahme. Und weiter geht’s. #allesistdrinTagesspiegel
@Tagesspiegel
 · May 6
Die Grünen haben die Union von der Spitzenposition verdrängt: Im ARD-""Deutschlandtrend"" sind sie mit 26 Prozent stärkste Kraft.
https://tagesspiegel.de/politik/deutschlandtrend-umfrage-gruene-deutlich-vor-union-baerbock-vor-laschet-und-scholz/27168082.html…",1,2,19
Stefan Gelbhaar,@StefanGelbhaar,2021-05-06T11:31:47.000Z,Aus Gründen. #FliegenpilzUltras,,1,39
