User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Sylvia Gabelmann, MdB",@SylviaGabelmann,2021-05-28T09:31:33.000Z,"Die eingebrachten Änderungen am #GVWG sehe ich sehr skeptisch. Es ist zu befürchten, dass der Trend zur Ökonomisierung der #Psychotherapie & der Begünstigung von Kurzzeittherapien fortgesetzt wird. Der Änderungsantrag  muss gestrichen werden, 
@jensspahn
!Am individuellen Bedarf orientierte Psychotherapie muss weiterhin möglich sein - sylvia-gabelmann.de
Die in letzter Minute eingebrachten Änderungen am Gesetz zur Weiterentwicklung der Gesundheitsversorgung (GVWG) sind mit großer Skepsis zu beurteilen. Im zweiten Teil des Änderungsantrages Nr. 49...
sylvia-gabelmann.de",3,12,37
"Sylvia Gabelmann, MdB",@SylviaGabelmann,2021-05-26T15:19:01.000Z,Gesetzesänderung: Anstelle der individuellen #Diagnose und Behandlung könnte eine Versorgung nach groben Rastern treten. Ich sage: am individuellen Bedarf orientierte #Psychotherapie muss weiterhin möglich sein. http://ow.ly/cM0O50EVTHO,,4,18
"Sylvia Gabelmann, MdB",@SylviaGabelmann,2021-05-21T12:33:26.000Z,"Ich begrüße, dass einige der durch den #Brustimplantat Skandal geschädigten Frauen endlich vom #TÜV entschädigt werden. Es ist aber empörend, dass die #Frauen 10 Jahre vor Gericht darum kämpfen mussten & dass Hunderte Geschädigte weiterhin leer ausgehen.Brustimplantate-Skandal: TÜV Rheinland muss Frauen entschädigen
Rund zehn Jahre nach dem Brustimplantate-Skandal um den französischen Hersteller PIP hat ein Gericht den TÜV Rheinland zu Schadensersatzzahlungen verurteilt. Der TÜV habe fahrlässig gehandelt. Die...
tagesschau.de",,,
"Sylvia Gabelmann, MdB",@SylviaGabelmann,2021-05-20T08:41:14.000Z,"#Nahostkonflikt: Auf der Seite der RLS - #Israel Office findet ihr differenzierte Analysen, empathische Stellungnahmen unserer Partnerorganisationen & entschlossenes Eintreten für ein Ende der #Besatzung für Aufklärung und Augenmaß: https://rosalux.org.il #rosaluxisrael",,1,1
Norbert Müller,@Norbert_MdB,2021-05-17T06:51:00.000Z,"Waffen töten. Jede Waffe findet ihre Opfer. Deswegen lehnt 
@dieLinke
 #Waffenexporte ab. Ganz einfach und verständlich. Da kann es für uns keine 2 Meinungen geben. Gilt auch und erst recht für atomwaffenfähige U-Boote.",17,48,384
"Sylvia Gabelmann, MdB",@SylviaGabelmann,2021-05-15T07:42:22.000Z,"150 Jahre Widerstand gegen #§218. Bundesweiter Aktiontag heute: #wegmit218! Als 
@dieLinke
 stehen wir gemeinsam mit vielen anderen #Frauen fur reproduktive #Gerechtigkeit und #Selbstbestimmung. #Schwangerschaftsabbrueche #Abtreibungen150 Jahre §218 im Strafgesetzbuch - kein Grund zum Feiern.
In Deutschland sind Schwangerschaftsabbrüche nach §218 StGB eine Straftat. Die Regelung im Strafgesetzbuch entmündigt Betroffene und verweigert ihnen eine wü...
youtube.com",1,3,4
Margit Schmidt,@Margit_Schmidt_,2019-07-18T14:40:15.000Z,"Replying to 
@Werner_JohnenDer aktuelle Stand der klinischen Forschung zur #Homöopathie DZVhÄ-Kongress 2019, Stralsund Studienlage zu #Krebs, Infektionen, psychischen Erkrankungen etc. #Böhmermann #Hitzekindofmagic #scientists4future 
@Karl_Lauterbach
 @SylviaGabelmann
 @ulle_schauws",1,37,63
"Sylvia Gabelmann, MdB",@SylviaGabelmann,2021-04-28T14:09:52.000Z,"#Maskenaffäre: Auf Druck und Beschwerde von mir veröffentlicht das Wirtschaftsministerium nun doch die Namen der Bundestagsabgeordneten, die bei Verträgen von Unternehmen im Rahmen der Beschaffung von #Masken vermittelten:Erzwungene Landung in Minsk Erste Konsequenzen für den Flugverkehr
Die erzwungene Landung einer Passagiermaschine in Minsk hat erste Auswirkungen auf den Flugverkehr: Großbritannien entzieht der staatlichen belarussischen Airline ""Belavia"" die Betriebslizenz, die...
deutschlandfunk.de",2,5,22
"Sylvia Gabelmann, MdB",@SylviaGabelmann,2021-04-27T08:20:53.000Z,"Meine Unterstützung für die Proteste gegen die Hauptversammlung von #Bayer.  #Glyphosat-STOPP! #Duogynon-Opfer endlich entschädigen! Für Verteilungsgerechtigkeit -  #Impfstoffe auch für Menschen im globalen Süden zur Verfügung stellen! #Patente freigeben!CBGnetwork
@CBGnetwork
 · Apr 27
Hier findet Ihr unser komplettes Programm für die heutige #BayerHV21 
http://cbgnetwork.org/7800.html
Bitte lasst auf YouTube ein ""like"" da und abbonniert unseren Kanal. So erreichen wir mehr Menschen mit unserer konzernkritischen Arbeit.
#stopBAYERMONSANTO
#GiftexporteStoppen
Show this thread",,3,7
"Sylvia Gabelmann, MdB",@SylviaGabelmann,2021-04-26T08:24:27.000Z,"Heute beginnt der #KobanêProzess gegen rund 108 Politiker*innen der 
@HDPgenelmerkezi
. Auch heute Morgen fanden zahlreiche Hausdurchsuchungen und Festnahmen statt. Die Polizei lässt Pressevertreter*innen nicht zu den Abgeordneten. Solidarität mit der #HDP! https://dw.com/de/t%C3%BCrkei-kurdische-politiker-auf-der-anklagebank/a-57317111…",,3,10
DIE LINKE,@dieLinke,2021-04-23T12:41:19.000Z,"Die Kriegsgefahr war seit Jahrzehnten nicht so groß wie heute. Wir setzen auf Entspannungspolitik und gerechte Weltwirtschaftsstrukturen. Ohne Gerechtigkeit gibt es keinen #Frieden. #zeitzuhandeln. 
 http://die-linke.de/wahlprogramm
#Abrüstung",3,7,24
Simone Barrientos,@SBarrientosK,2021-04-13T08:17:30.000Z,".
@Andi_Wagner
 engagiert sich bei #NoCovid, den zweiten #ZeroCovid-Aufruf haben neben mir auch 
@SylviaGabelmann
 und 
@lgbeutin
 unterzeichnet (
@Linksfraktion
). Wie halten es die MdBs anderer Fraktionen mit einer Niedriginzidenzstrategie? #LockdownJetzt",,4,24
"Sylvia Gabelmann, MdB",@SylviaGabelmann,2021-04-09T15:26:52.000Z,"Ich unterstütze den Aktionstag von 
@zeroCovid_DACH
 für bezahlte Pausen um die #DritteWelle der #Pandemie zu brechen:Zero Covid D/AT/CH
@zeroCovid_DACH
 · Apr 5
Am 10.04. mobilisieren wir sowohl zu einer Online-Demo, als auch zu zahlreichen Kundgebungen und Aktionen in verschiedenen Städten.

Hier ein THREAD dazu (gerne RT)

#LebenRetten #ZeroCovidDayofAction 

Die Städte werden laufend hier  aktualisiert 
https://zero-covid.org/actionday/
Show this thread",1,,4
