User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Thomas Erndl,@TErndl,2021-05-27T19:47:23.000Z,"Waffenlieferungen an #Ukraine dürfen kein Tabu sein. Denn die Sicherheit Europas hängt auch an der Verteidigungsfähigkeit der Ukraine. Eine Position der Stärke ermöglicht Fortschritte im politischen Prozess. Mein Interview dazu im Spiegel. 
@cducsubt
 @csuThomas Erndl (CSU) über Ukraine-Krise: »Waffenlieferungen dürfen kein Tabu sein«
Sollten Deutschland und die EU Waffen in die Ukraine liefern? Ja, meint der CSU-Außenpolitiker Thomas Erndl. Er fordert ein Umdenken – auch in der Union.
spiegel.de",8,20,69
Libereco – PHR,@LiberecoPHR,2021-05-25T08:57:48.000Z,"As part of the solidarity campaign #WeStandBYyou of Libereco, 
@TErndl
, 
@VolkerUllrich
 and 
@HannesHeide
, have taken over a godparenthood for political prisoners in Belarus. 

https://lphr.org/en/thomas-erndl-bundestag-cdu-csu-germany-volker-ullrich-bundestag-cdu-germany-and-hannes-heide-european-parliament-spd-austria/…",,5,12
Steffen Seibert,@RegSprecher,2021-05-24T17:36:20.000Z,Kanzlerin #Merkel fordert nach dem beispiellosen Vorgehen der belarussischen Führung die sofortige Freilassung von Roman Protasewitsch und seiner Partnerin und kündigt eine einheitliche europäische Reaktion an. #Belarus #EUCO,170,293,1.3K
Manfred Weber,@ManfredWeber,2021-05-24T09:39:08.000Z,"Die Grünen sind nicht ganz auf der Höhe der Zeit. Das Programm #DiscoverEU für ein kostenloses #Interrail-Ticket für alle 18-Jährigen existiert längst dank einer parteiübergreifenden Initiative im 
@Europarl_DE
 und wird stetig ausgebaut.Corona-Frust: Grüne fordern kostenloses Interrailticket für 18-Jährige
Ausgefallene Kindergeburtstage, Klassenfahrten und Abibälle – Kinder und Jugendliche hätten durch Corona weit mehr versäumt als nur Unterricht, betonen die Grünen. Um psychische Folgen abzumildern,...
rnd.de",8,16,63
Frankfurter Allgemeine,@faznet,2021-05-14T19:55:01.000Z,"Drei Raketen sind nach Angaben des israelischen Militärs von #Syrien aus in Richtung #Israel abgefeuert worden. Berichte über Schäden gibt es zunächst nicht.Israels Armee berichtet: Drei Raketen von Syrien aus auf Israel abgefeuert
Berichte über Schäden gibt es zunächst nicht. Das israelische Abfangsystem Eisenkuppel hat derweil seit Montag nahezu 1000 von mehr als 2000 Raketen abgefangen, die aus dem Gazastreifen abgefeuert...
faz.net",7,12,9
Thomas Erndl,@TErndl,2021-05-14T19:09:40.000Z,"Die jüdischen Gemeinden in Deutschland haben nichts mit den Vorgängen in Nahost zu tun. Klare Worte von 
@n_roettgen
! Was befähigt Mützenich eigentlich, #Israel Ratschläge zu geben, wie es seine Bevölkerung vor islamistischen Terroristen beschützt? 
@spdbt
 völlig daneben! 
@csu_btBericht aus Berlin
@ARD_BaB
 · May 14
SPD-Fraktionschef Mützenich will angesichts der antisemitischen Angriffe auf Synagogen in Deutschland auch auf die israelische Regierung einwirken. CDU-Außenexperte Röttgen betont dagegen, dass jüdische Gemeinden in Deutschland nichts mit dem Nahost-Konflikt zu tun hätten.",3,6,14
Thomas Erndl,@TErndl,2021-05-13T10:48:18.000Z,"Dieser #Antisemitismus & #Israelhass macht mich unglaublich traurig & wütend. Das hat auf deutschen Straßen absolut gar nichts zu suchen. Die #Türkei-Fahnen zeigen leider, dass Erdogans anti-israelische Propaganda auch in  verfängt. Das ist inakzeptabel! #StandWithIsrael Zentralrat der Juden in Deutschland
@ZentralratJuden
 · May 13
Judenhass mitten in #Gelsenkirchen vor der #Synagoge. Zeiten, in denen Juden auf offener Straße beschimpft werden, sollten längst überwunden sein. Das ist purer #Antisemitismus, sonst nichts!",1,2,9
Thomas Erndl,@TErndl,2021-05-11T21:35:33.000Z,"Das hat lange gedauert, liebe 
@ABaerbock
, & ist trotzdem schief gegangen: Mit Terroristen wie #Hamas verhandelt man nicht. Sie wollen Israel vernichten & kennen keine Kompromisse. #Israel hat unsere volle Unterstützung & Solidarität! Die Bilder aus  schmerzen enorm. 
@cducsubtAnnalena Baerbock
@ABaerbock
 · May 11
Die Bilder aus Israel erfüllen mich mit großer Sorge. Ich verurteile die fortlaufenden Raketenangriffe der Hamas aufs Schärfste. Diese müssen sofort beendet werden. Die Gewaltspirale zeigt, wie dringend die Wiederaufnahme von Friedensverhandlungen ist.
https://twitter.com/nouripour/status/1392104683834118150?s=21…",31,45,288
Ursula von der Leyen,@vonderleyen,2021-04-30T18:50:05.000Z,"Jointly with 
@EP_President
 Sassoli and 
@eucopresident
 Michel,
I condemn in the strongest possible terms Russia’s unacceptable decision to ban eight  nationals from entering its territory, including 
@EP_President
 & 
@VeraJourova
 

https://europa.eu/!Xc83Wc",193,504,1.5K
Markus Blume,@MarkusBlume,2021-04-29T07:40:38.000Z,"Vor 76 Jahren fand das menschenverachtende Grauen im Konzentrationslager Dachau sein Ende, was bleibt: NIE WIEDER. Jede Form von Rassismus und Antisemitismus, von Hass und Hetze erteilen wir eine klare Absage.",9,16,124
