User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
easyCredit BBL,@easyCreditBBL,2020-10-24T20:32:39.000Z,"Schrei vor Glück: Die 
@BGGoettingen
 steht nach einem ungefährdeten 99:87 über 
@rastavechta
 vorzeitig im #TOPFOUR.

#WirSindBereit",23,10,66
Thomas Oppermann,@ThomasOppermann,2020-10-23T13:45:44.000Z,"VerfassungG BB verwirft #Paritätsgesetz: Parteien müssen selbst entscheiden, ob und wie sie Listen quotieren. Verfassungsrechtlich zulässig sind dagegen 2-Personen-Wahlkreise, bei denen es 2 Erststimmen(je für einen Mann und eine Frau) gibt und sich automatisch Parität einstellt.",55,21,78
vorwärts Verlag,@vorwaerts,2020-10-22T12:26:24.000Z,"Eine Debatte im #Bundestag über #corona-Regeln das wär's doch! Meint jedenfalls Bundestagsvizepräsident 
@ThomasOppermann
. Ohne nachvollziehbare Entscheidungen kein Verständnis&Akzeptanz, erklärt der Sozialdemokrat anhand des #beherbungsverbots.Oppermann: Ohne Debatte keine Akzeptanz für Corona-Regeln
Thomas Oppermann, Sie haben mit Blick auf das Beherbergungsverbot wieder mehr Debatten und Mitspracherechte des Bundestags eingefordert. Was soll das bringen?
vorwaerts.de",23,28,73
Farnesina,@ItalyMFA,2020-10-22T13:28:41.000Z,"Sottosegretario 
@ivanscalfarotto
 riceve 
@ThomasOppermann
 Vice Presidente 
@Bundestag
 
 
Necessario mantenere sforzi congiunti  per affrontare un destino comune all’interno della #UE. Le crisi in Europa, come #Covid_19 e #migranti, vanno affrontate da  in maniera solidaleItaly in Germany and Germania in Italia",7,12,33
Enzo Amendola,@amendolaenzo,2020-10-22T09:20:29.000Z,"Stamattina ho incontrato il Vice Presidente del Bundestag tedesco 
@ThomasOppermann
. Abbiamo parlato di riforme, di cooperazione tra Italia e Germania nel settore industriale e del #NextGenerationEU, nel solito bel clima che contraddistingue i rapporti tra i nostri Paesi Italy  in EU and 2 others",2,13,65
Germania in Italia,@GermaniaItalia,2020-10-22T07:43:39.000Z,"Europa nel cuore ed anche al centro del colloquio tra il Vice Presidente del Parlamento 
@ThomasOppermann
 ed il Ministro 
@amendolaenzo
 - NGEU opportunità unica per il rilancio dell‘Ue ",1,9,23
BG Göttingen,@BGGoettingen,2020-10-18T16:19:11.000Z," Meine Mannschaft hat mich heute wirklich mit ihrem Auftritt überrascht. Sie war sehr fokussiert und bereit, den Gameplan umzusetzen. Ich bin stolz auf die Jungs"", sagt Moors.

Zum Spielbericht: 

https://bggoettingen.de/erfolgreicher-auftakt-veilchen-besiegen-frankfurt/…

#veilchenimblut #bblpokal  #wirsindbereit",1,1,17
Klaus Müller,@Klaus_Mueller,2020-10-16T19:53:25.000Z,"Mahnung von Bundestagsvizepräsident ⁦
@ThomasOppermann
⁩: „Nun räche sich, dass der #Bundestag ... nicht einbezogen und stattdessen hinter verschlossenen Türen im Kanzleramt diskutiert worden sei.
Wir brauchen eine offene Generaldebatte im Bundestag.“Warum im Bundestag der Unmut über die Corona-Politik von Bund und Ländern wächst
Anti-Corona-Maßnahmen wie Sperrstunden und Beherbergungsverbote geraten juristisch unter Druck, im Bundestag wächst der Unmut über den ""Aktionismus"" der Länder. Zerfasert der Kampf gegen das Virus?
spiegel.de",13,28,54
Thomas Oppermann,@ThomasOppermann,2020-10-15T15:32:16.000Z,"Oberverwaltungsgerichte setzen #Beherbergungsverbot aus.Das ist effektiver Grundrechtsschutz. Der Rechtsstaat funktioniert. Gezielte, überlegte Kontaktbeschränkungen, um das Infektionsgeschehen einzudämmen? Klares Ja. Unterbietungs-Wettbewerb gegen die Reisefreiheit? Klares Nein.",10,11,60
Thomas Oppermann,@ThomasOppermann,2020-10-13T08:03:10.000Z,"Die heute startende #Taskforce der #DFL ist eine einmalige Chance, die Fehlentwicklungen im Fußball zu korrigieren und ihn für die Zukunft fit zu machen. Dazu muss sie konkrete Vorschläge für Reformen liefern und darf keine Alibiveranstaltung sein.#NationsLeague",2,,15
Thomas Oppermann,@ThomasOppermann,2020-10-11T18:24:27.000Z,"Die Sozialdemokraten der #SPÖ liegen bei Bürgermeisterwahlen in Wien mit weitem Abstand vorn, FPÖ verliert. Im roten Wien ist die Welt noch in Ordnung. Die Krise entlarvt den Rechtspopulismus: er präsentiert nur Sündenböcke, aber keine Lösungen.#WienWahl2020",11,6,100
Thomas Oppermann,@ThomasOppermann,2020-10-06T13:14:14.000Z,"Glückwunsch an Reinhard Genzel, den Direktor des Max-Planck-Instituts für extraterrestrische Physik in Garching zum #Nobelpreis für Physik. Es ist auch eine Auszeichnung für die exzellente Grundlagenforschung der MaxPlanckGesellschaft.",2,3,42
