User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Timon Gremmels, MdB",@Timon_Gremmels,2021-05-28T12:07:12.000Z,"Warum bloss überrascht mich das bei 
@peterbeuth
 nicht? #HessenSPD Hessen
@hessenSPD
 · 14h
Eine wirklich peinliche Aktion, die erneut ein schlechtes Licht auf die hessische Polizei wirft. Wir erwarten, dass Minister #Beuth die Nachwuchswerbung am rechten Rand sofort beendet. https://spd-fraktion-hessen.de/2021/05/28/anzeigenschaltung-sofort-beenden-bezahlte-werbung-bei-der-jf-wirft-schlechtes-licht-auf-hessische-polizei/…
Show this thread",,,7
"Timon Gremmels, MdB",@Timon_Gremmels,2021-05-28T09:22:08.000Z,"Eine sehr gute Entscheidung noch nochmal antreten zu wollen. Frank-Walter Streinmeier ist ein hervorragender #Bundespräsident und eine zweite Amtszeit ist absolut gerechtfertigt. Jetzt gibt’s eine breite Unterstützung zu organisieren!Steinmeier will erneut als Bundespräsident kandidieren
Bundespräsident Steinmeier strebt eine zweite Amtszeit an. Er wolle sich dafür zur Wahl stellen, teilte der 65-Jährige im Schloss Bellevue mit.
spiegel.de",,,17
"Timon Gremmels, MdB",@Timon_Gremmels,2021-05-27T17:11:46.000Z,"Lesenswerter Kommentar! „Die Innenpolitik könnte das konservative Baby dieser (schwarz-grünen) Koalition werden – und Hessen das Role Model.“ Offenlegung der NSU-Akten: Sture grüne Beamtenlogik - http://taz.de #Hessen #NSUOffenlegung der NSU-Akten: Sture grüne Beamtenlogik
Die hessischen Grünen blockieren die Offenlegung der NSU-Akten. Damit konterkarieren sie das, wofür die Grünen anderswo stehen.
taz.de",,1,2
"Timon Gremmels, MdB",@Timon_Gremmels,2021-05-27T14:04:49.000Z,"So geht sozialdemokratische Politik für die Menschen in unserem Land! #SPD #SozialePolitikfuerdichHansjörg Schmidt
@hschmidt
 · May 27
Zahl des Tages: 11.269. So viele neue Wohnungen wurden 2020 in Hamburg gebaut. Der höchste Wert seit 1974! ",,4,31
"Timon Gremmels, MdB",@Timon_Gremmels,2021-05-26T17:17:36.000Z,"Danke 
@OlafScholz
! „Wir nehmen 2,5 Milliarden Euro in die Hand, um der Kulturbranche wieder auf die Beine zu helfen - und dafür zu sorgen, dass das einzigartige Kulturleben in Deutschland bald wieder an Fahrt aufnehmen kann!“ #SPD",5,2,44
Manja Schüle,@ManjaSchuele,2021-05-26T16:08:52.000Z,"So sieht effektive Hilfe aus: #Sonderfonds für Kulturveranstaltungen. Danke 
@BMF_Bund
 & 
@OlafScholz
. Diese Vereinbarung mit dem Bund unterzeichne ich als Kulturministerin sehr gerne! #BB steht bereit. Mein Kollege 
@joergstb
 setzt das Programm um. So geht Teamwork für die #Kultur.",3,8,40
"Timon Gremmels, MdB",@Timon_Gremmels,2021-05-20T18:53:44.000Z,"#ErneurbareEnergien wie die Solarindustrie schaffen  moderne, zukunftsfähige Arbeitsplätze z.B. in Bitterfeld. Dort werden in einem ersten Schritt 350 neue Arbeitsplätze im #PV-Sektor geschaffen. Vorbildlich!",7,14,62
Aziz Bozkurt,@aziz_b,2021-05-18T08:55:20.000Z,"#Grüne in Hessen sperren #NSUAkten mit CDU zusammen... und dann kommt die Vorsitzende #Baerbock mit diesem butterweichen, cremigen Kommentar dazu. So traurig! ",46,160,400
"Timon Gremmels, MdB",@Timon_Gremmels,2021-05-18T06:43:40.000Z,"„Die erste Debatte endet daher mit leichten Vorteil für den SPD-Kandidaten. Hätte man vorher nicht gedacht.“ Doch, ich schon! ",2,,8
"Timon Gremmels, MdB",@Timon_Gremmels,2021-05-18T06:41:33.000Z,"Weiter so! „
@OlafScholz
 schaffte es am Montagabend, sich nicht nur nicht aus der Ruhe bringen zu lassen – er wirkte sogar regelrecht vergnügt in der Diskussion. Da könnte sich CDU-Kanzlerkandidat Armin Laschet [...] , mehr als eine Scheibe abschneiden.“Olaf Scholz punktet im Kandidaten-Duell gegen Annalena Baerbock
Beim ersten Aufeinandertreffen der Spitzenkandidaten im Politiktalk des rbb geht es recht harmlos zu. Nur beim Co2-Preis gibt es ein bisschen Streit.
berliner-zeitung.de",4,6,33
