User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-28T12:30:36.000Z,"Baerbock und die Moral. Da wird gerne mit zweierlei Maß gemessen.

Die Wunschkanzlerin der Grünen hat ein sehr eigenwilliges Moralverständnis. Im Wahlkampf werden nun Zähne gezeigt. Als die Union wegen der Maskenaffäre ins Kreuzfeuer der Medien schlitterte, tönte die grüne Prinze",2,,
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-28T11:00:36.000Z,"Das Aussprechen von Tatsachen wie die, dass es keine #Hetzjagden in #Chemnitz gegeben hat (#Maaßen) sorgt in der #CDU/#CSU noch immer für Furore. Dabei hatte ich dies 2019 schon aufgedeckt, auch wenn die Bundesregierung meine Anfrage nicht wahrheitsgemäß beantworten wollte. / Q:",3,1,2
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-27T14:00:43.000Z,"Einen #Staatsfunk, der per #Gener-Sprech politisch Erziehen will im Sinne von #links und #grün, den braucht wirklich niemand. #Rundfunkgebühren (#GEZ) lassen sich in keinster Weise mehr rechtfertigen. / Q: https://bit.ly/3hRIjSW",3,,
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-27T12:30:36.000Z,"Die #GroKo wird den #Ausnahmezustand nicht beenden. Verlängerung der #EpidemischenLage mit umfassenden Einschränkungen von #Grundrecht|en. #Deutschland, aber normal? Gibt's nur mit der #AfD! / #Impfgipfel / Q: https://bit.ly/34nRhPW",6,17,21
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-27T11:00:36.000Z,"Der Wahnsinn geht weiter!

Überall sinken die Zahlen und die Bürger in diesem Land, welche sich lange den überzogenen Vorgaben der Regierung fügten, wünschen sich endlich wieder Normalität.  Ein verständlicher Wunsch, nach einer Zeit von Chaos.

Chaos in den ein Leben in unserem",1,1,2
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-27T09:48:10.000Z,"Wer kennt sie nicht: Aufkleber mit ""Werbung verboten"". Jetzt ist ein Gesetz auf dem Weg, dass im Wahlkampf das Flyern klar für zulässig erklärt! Gut für die #AfD bei der #Bundestagswahl2021 , #AfDimBundestag hat zugestimmt AfD Werbung erlaubt
Mehr von mir und meiner Arbeit: Facebook: https://www.facebook.com/TobiasPeterka/ Twitter: https://twitter.com/TobiasMPeterka
youtube.com",4,5,12
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-19T09:17:49.000Z,"#Dokto-Schummlerin #Giffey tritt zurück! Ein Erfolg der #AfD. Insbesondere der Kollegen im #BerlinerAGH  / #Rücktritt, #Doktortitel, #SPD/ Q: https://bit.ly/3fvRfdM",4,9,13
LarryIpsum,@Immorecht_DUS,2021-05-15T20:56:13.000Z,"Die 
@tagesschau
 zeigt ein Bild von #Hamas-Sympathisanten und behauptet, sie demonstrierten gegen(sic!) Eskalation im Nahen Osten. 
Ist das noch Satire oder schon Bildungsauftrag?
#IsraelUnderFire #b1505",141,450,1.7K
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-16T10:59:08.000Z,"Der großangelegte Angriff der Hamas auf #Israel geht weiter. Auf Vergeltungen der #IDF folgt die Opferrolle. Wer Raketensilos unter Familienwohnungen baut, ist aber der Verbrecher! -- #Palestine overthrow #HamasTerrorists --",2,1,
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-13T06:57:51.000Z,"-- #Corona Ausreden Ausschuss im #Bundestag hat keinen Plan bei Sitzungen, lediglich Ablenkungsmanöver der Regierung gegen #AfDimBundestag #allesdichtmachen lässt grüßen. Weitere Updates im Youtube Kanal.Keine Datengrundlage für Lockdown! - Corona ""Untersuchungsausschuss""
Das Bevölkerungsschutzgesetz schützt aktuell nicht mehr die Bevölkerung. Vielmehr schützt es eine politische Klasse vor einer Blamage.Mehr von mir und meiner...
youtube.com",2,1,1
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-12T12:52:43.000Z,"#Neubauer|s #Antisemitismus-Vorwürfe geg. #Maaßen völlig haltlos. Warum  auf Sachebene diskutieren, wenn man die #Rassismus usf. -Keule schwingen kann? Ob bald über importierten Antisemitismus diskutiert wird? Wohl eher nicht. / Q: https://bit.ly/2SKyuvzLuisa Neubauer gegen Maaßen: Antisemitismusbeauftragter fordert Belege
Die scharfe Kritik von Luisa Neubauer an Armin Laschet und Hans-Georg Maaßen sorgt noch immer für Diskussionen. Nun äußert sich der Antisemitismusbeauftragte.
fr.de",2,,
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-11T15:30:56.000Z,"Eine #Islamisierung findet nicht statt, #Mohammed aber erneut beliebtester Name für Jungen in der #Bundeshauptstadt #Berlin. Wie soll das zusammen passen? / Q: https://bit.ly/3vUp2UE",4,1,6
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-11T14:00:59.000Z,"#Migrationschaos geht weiter. Tausende Boots|#migranten auf #Lampedusa gelandet, auch dank #Antifa-Unterstützung. Wie lange es wohl dauert, bis #Merkel, #Seehofer und Co. erneut ""Hilfe"" anbieten? / Q: https://bit.ly/2Q86mS9",2,1,3
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-11T12:30:57.000Z,"Was in der #Asylkrise (=#Migrationskrise) angeblich nicht möglich war und ist, kann bei #Corona problemlos umgesetzt werden: #Grenzsschutz. Siehe da, sogar sehr erfolgreich. Zahlreiche Straftäter gehen dabei ins Netz. Verlogene #Bundesregierung! / Q: https://bit.ly/3f9WjV5",2,2,5
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-11T11:00:57.000Z,"#GrüneJugend wirbt mit Plakaten, Flyern nach Vorbild #Stalinistisch|er #Propaganda, aber #Verfassungsschutz (#Haldenwang) gängelt lieber friedliche Opposition wie #AfD. Unglaublich. / Q:  https://bit.ly/2R8EDkJ",2,2,4
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-04T15:30:46.000Z,#Asyl: Geduldete dürfen Gastrecht nicht missbrauchen. Straftäter konsequent #abschieben! / Q: https://bit.ly/3nLg0q1,2,2,5
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-04T14:00:49.000Z,Dieser #Staatsfunk muss endlich abgeschafft werden! #ARD und #ZDF ergreifen unverhohlen Partei für #Grüne/#Baerbock und #Linksextreme. Der #Steuerzahler sagt danke... / Q: https://bit.ly/3ukoZRz,3,5,7
Tobias Matthias Peterka,@TobiasMPeterka,2021-05-04T12:30:47.000Z,#FreiheitDerLehre und #Wissenschaftsfreiheit immer mehr in Gefahr. Nächster #Dozent mit Gewalt von der Uni gemobbt. Unglaublich. #Asta / Q: https://bit.ly/3tlirRo,1,,
