User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Markus Töns,@Toens_NRW04,2021-05-27T12:16:31.000Z,"Die 
@tazgezwitscher
 schreibt: „Die Idee, Kiew in die Nato aufzunehmen, ist so klug wie ein Streichholz in ein Benzinlager zu werfen, um zu schauen was wohl passiert.“ Lesenswert Habecks Äußerungen zur Ukraine: Falsch und gefährlich
Robert Habeck wollte in der Ukraine wohl zeigen, dass die Grünen ihr pazifistische Erbe wirksam entsorgt haben. Das ging komplett schief.
taz.de",,,
UEFA.com DE,@UEFAcom_de,2021-05-21T07:04:04.000Z,"#OnThisDay in 

#UEFACup Champion 
@s04
 

#UELfinal | #Eurofighter | #S04FC Schalke 04 and 7 others",1,16,90
Hubertus Heil,@hubertus_heil,2021-05-19T04:33:57.000Z,"Eine Staatenallianz für Innovation -  so geht internationale Klima- und Wirtschaftspolitik. 
@OlafScholz
 denkt und arbeitetet strategisch und zielorientiert - während andere Fototermine mit John Kerry schon für Politik halten. 
@BMF_BundGemeinsame Ziele und Standards: Scholz will internationalen Klimaclub gründen
Viele Länder auf der Welt wollen ihre Klimaschutzanstrengungen verstärken. Das Problem: Die Wirtschaft in den Staaten fürchtet Wettbewerbsnachteile. SPD-Kanzlerkandidat Olaf Scholz glaubt jetzt, eine...
rnd.de",49,35,194
Markus Töns,@Toens_NRW04,2021-05-13T08:32:41.000Z,"Ich verurteile aufs schärfste diesen #Antisemitismus in meiner Heimatstadt! Wenige Tage nach dem #tagderbefreiung ist das ganz besonders abscheulich. Ich stehe an der Seite der jüdischen Gemeinde in GE 
@ZentralratJuden
 Dank an die 
@polizei_nrw_ge
 
@IgA_GEZentralrat der Juden in Deutschland
@ZentralratJuden
 · May 13
Judenhass mitten in #Gelsenkirchen vor der #Synagoge. Zeiten, in denen Juden auf offener Straße beschimpft werden, sollten längst überwunden sein. Das ist purer #Antisemitismus, sonst nichts!",15,16,67
Markus Töns,@Toens_NRW04,2021-05-11T10:24:01.000Z,"So langsam wird es mal Zeit konkret zu werden! Das ist doch alles etwas dürftig Frau 
@ABaerbocktoto
@josefheynckes
 · May 11
Was sie jetzt konkret will, habe ich nicht verstanden. Glaub, sie weiß es auch nicht.
Show this thread",1,,1
Markus Töns,@Toens_NRW04,2021-04-20T20:30:57.000Z,"Mein vierter Abstieg  Ich möchte glauben wir kommen wieder! Einmal Schalker immer Schalker!  
@s04tagesschau
@tagesschau
 · Apr 20
Schalke 04 steigt aus der Bundesliga ab http://tagesschau.de/eilmeldung/eilmeldung-5551.html… #Eilmeldung",1,,31
Markus Töns,@Toens_NRW04,2021-04-11T18:51:54.000Z,"Aus Gründen! Der ⁦⁦⁦
@s04
⁩ ist wieder da!",1,,23
Markus Töns,@Toens_NRW04,2021-03-16T08:42:37.000Z,"Deutschlands Problem heißt CDU.  – Richel, Stauss
Eine Kanzlerin die in 16 Jahren für nichts steht und eine ⁦
@CDU
⁩ / ⁦
@CSU
⁩ die wichtige Zukunftsentscheidungen blockiert ist nicht gut für unser Land! Lesen Deutschlands Problem heißt CDU. 
Schon lange vor den Masken-, Aserbaidschan-, Amthor-Korruptionsaffairen der CDU/CSU war es Zeit, den eigentlichen Bremsklotz in der politischen Landschaft Deutschlands zu benennen. Nicht die SPD, die...
richelstauss.de",,1,6
Jakob Maria Mierscheid,@JakobMariaMi,2021-03-11T08:39:56.000Z,"""Ihr seid doch Spinner""Bö_Boefrost - von 2 -
@die_AFD_mussweg
 · Mar 11
Wo die RTW Besatzung Recht hat… #Covidioten
Show this thread",1,4,7
Markus Töns,@Toens_NRW04,2021-03-10T12:31:57.000Z,"Das was 
@StochAndreas
 sagt! Andreas Stoch
@StochAndreas
 · Mar 10
#Eisenmann macht was sie will. Kretschmann pfeift sie zurück und das Chaos ist wieder mal perfekt.
#Schulen können nicht planen und keiner weiß wie es am Montag losgehen soll.
So funktioniert #Bildung einfach nicht!",,,1
