User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Uli Freese,@UliFreese,2021-05-23T10:20:24.000Z,"Heute ist Pfingsten, vielleicht erreicht die Ministerin ja der Geist der Gerechtigkeit - auch wenn er Landesgeld kostet. Frohe Pfingsten. 2/2",,,3
SPD Parteivorstand,@spdde,2021-05-23T10:13:04.000Z,"Wir machen #SozialePolitikFürDich. Und das seit genau 158 Jahren.
Heute vor 158 Jahren wurde der Allgemeine Deutsche Arbeiterverein als direkter Vorläufer der SPD gegründet. Deswegen feiern wir heute zusammen Geburtstag - und machen zusammen Politik. Danke, dass ihr dabei seid!",100,86,326
Maja Wallstein,@Krawallstein,2021-05-21T21:39:54.000Z,"#ZuhörTour Tag 12 (Guben)

Tolles Wetter an meinem zweiten Tag in Guben. Heute auf dem Programm das Krankenhaus Naëmi-Wilke-Stift, ein großes Textilunternehmen namens Trevira und die großartigen Kameraden der Freiwilligen Feuerwehr Schlagsdorf. 

#NeueEnergie #IchSagMaJa",,2,22
Seeheimer Kreis,@seeheimer,2021-05-23T08:52:19.000Z,"Happy Birthday!  Stolze 158 Jahre! Feiert mit uns den Geburtstag der SPD - und werdet Genossinnen und Genossen! Unsere Gesellschaft braucht eine starke, vielfältige und moderne Sozialdemokratie. Macht direkt mit: https://spd.de/unterstuetzen/mitglied-werden/…SPD Parteivorstand ",4,14,108
Uli Freese,@UliFreese,2021-05-10T14:32:57.000Z,"Eine riesige Chance den universitären wissenschaftlichen Standort #Lausitz mit der 
@BTU_CS
 & 
@HochschuleZiGr
 (inter)national zu etablieren. Und es ist auch eine Chance, dass junge Menschen aus der Lausitz gut ausgebildet eine Perspektive Zuhause finden. https://uli-freese.de/neu/2021/05/10/internationale-spitzenforschung-startet-in-cottbus/…",,1,3
Leitstelle Lausitz,@RegLs_Lausitz,2021-01-16T09:45:53.000Z,"Wir möchten hier ein sehr bewegendes Video vom derzeitigen Alltag am Carl-Thiem-Klinikum #Cottbus teilen.
Die Kollegen arbeiten am Limit & wir alle sollten helfen die Ausbreitung des #Coronavirus zu verlangsamen.
Lasst euch, wenn möglich, impfen
#Impfung 
https://youtu.be/t5iuIUNm5Mo",1,13,50
Uli Freese,@UliFreese,2021-01-10T13:23:10.000Z,"Versorgungssicherheit, Bezahlbarkeit und Umweltverträglichkeit sind und müssen die Richtschnur der Energie-/Umweltpolitik sein. Solange die Frage Stromspeicherung nicht gelöst ist, bleiben unsere Lausitzer Tagebaue u. Kraftwerke die Garanten der Versorgungssicherheit für ganz DE.Lausitzer Rundschau
@lr_online
 · Jan 10
Seit Wochen schon liegt – von vielen unbemerkt – eine „Dunkelflaute“ über Deutschland. Dicke, dichte Wolken hängen über dem ganzen Land – kein frisches Lüftchen, dass sie vertreiben könnte. Da sorgt für Probleme bei der Stromerzeugung.  [LR+]
http://ow.ly/ZbEu50D4qBf",,,5
Uli Freese,@UliFreese,2020-12-04T16:05:37.000Z,"Ein herzliches #GlückAuf Heute ist der Tag der heiligen #Barbara, der Schutzpatronin aller Bergleute und Energiearbeiter. Heute das Steigerlied hier als virtueller Chor. Ein tolles gemeinsames Zeichen für den Zusammenhalt unserer Bergbaureviere in DE.Das Steigerlied gesungen von Kumpels aus den deutschen Revieren....
Mit freundlicher Unterstützung des Bergmannsblasorchester Aue-Bad Schlema e.V. (https://www.bergmannsblasorchester.de/) und https://www.youtube.com/watch?v=c...
youtube.com",,,6
Uli Freese,@UliFreese,2020-11-28T07:01:10.000Z,"Die 
@spdbt
 hat sich in den Haushaltsberatungen erfolgreich dafür eingesetzt, dass auch #Tierheime die notwendige Unterstützung erhalten, die sie zur Überwindung der coronabedingten Ausnahmesituation und ihrer Folgen benötigen:  https://spdfraktion.de/presse/statements/notwendige-unterstuetzung-tierheime… #corona #hilfeNotwendige Unterstützung für Tierheime | SPD-Bundestagsfraktion
Die SPD-Bundestagsfraktion hat sich in den Haushaltsberatungen erfolgreich dafür eingesetzt, dass Tierheime die Unterstützung erhalten, die sie zur Überwindung der coronabedingten Ausnahmesituation...
spdfraktion.de",,1,2
Uli Freese,@UliFreese,2020-11-27T12:02:46.000Z,"Der Bund schafft nach der Haushaltsentscheidung vergangene Nacht weitere 258 Arbeitsplätze in Cottbus und Weißwasser bei #BNetzA und #BAFA: https://uli-freese.de/neu/2020/11/27/bund-schafft-258-weitere-arbeitsplaetze-in-cottbus-und-weisswasser/… 
@BAFA_Bund
 @bnetzaBund schafft 258 weitere Arbeitsplätze in Cottbus und Weißwasser
Der Haushaltsausschuss des Deutschen Bundestages hat in der Nacht ein weiteres sichtbares Zeichen zur Stärkung der Braunkohleregion Lausitz gesetzt. Demnach wird im kommenden Jahr der Cottbuser Sta…
uli-freese.de",,,3
