User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Heute im Bundestag,@hib_Nachrichten,2021-05-25T10:12:09.000Z,"Die 
@fdpbt
 fordert in einem Antrag eine Stärkung der psychotherapeutischen Versorgung in der #Coronakrise. U.a. soll die Wartezeit auf einen #Therapieplatz bundesweit auf im Schnitt  und max.  Wochen reduziert werden, heißt es. #bundestagsnachrichten FDP-Fraktion fordert Stärkung der Psychotherapie
Berlin: (hib/PK) Die FDP-Fraktion fordert eine Stärkung der psychotherapeutischen Versorgung in der Coronakrise. In Studien werde belegt, wie sehr die psychische Belastung für Kinder,...
bundestag.de",,19,48
Franz Peter Altemeier,@PAltemeier,2021-05-22T09:13:14.000Z,"Wenn sich #GroKo-Vertreter sofort auf das Thema ""setzen"", hat #FDP-Gesundheitspolitiker 
@WSchinnenburg
 alles richtig gemacht mit seinem #Aligner-Antrag. Jetzt auch noch beim Thema #Cannabis, für das eine Anhörung am 9.06.2021 geplant ist. 
@Erwin_Rueddel
 @TinoSorge
 @DHeidenblut
.Julian Olk
@olk_julian
 · May 20
#Aligner-Zahnschienen stehen in Kritik, weil häufig #digital kontrolliert wird. Regierungsfraktionen planen nun strengere Regeln, kündigen @Erwin_Rueddel, @TinoSorge & @DHeidenblut an. Vorausgegangen war Antrag von @WSchinnenburg. @handelsblatt
https://handelsblatt.com/inside/digital_health/zahnschienen-koalition-will-tele-zahnmedizin-schaerfer-regulieren/27206608.html…",3,4,6
Franz Peter Altemeier,@PAltemeier,2021-05-21T20:28:00.000Z,"#EU-Kommissarin 
@SKyriakidesEU
 räumt Fehler bei #Impfstoffverträgen ein. Erstmals Liefertermine und Vertragsstrafen für #Biontech-Bestellungen in 2022/2023 vereinbart. #FDP-Politiker 
@WSchinnenburg
 zufrieden: ""Endlich werden Standards eingehalten"".Biontech: Erstmals Liefertermine und Vertragsstrafen
EU-Gesundheitskommissarin Stella Kyriakides hat Fehler bei der Bestellung von Covid-19-Impfstoffen durch die Kommission im vergangenen Jahr eingeräumt. Bei einem nicht öffentlichen Treffen mit...
apotheke-adhoc.de",,1,1
Wieland Schinnenburg,@WSchinnenburg,2021-05-20T19:36:25.000Z,"#WeStandWithIsrael 
@fdpbt
 @FDPWandsbek
 @fdphh",,,11
Julian Olk,@olk_julian,2021-05-20T05:21:00.000Z,"#Aligner-Zahnschienen stehen in Kritik, weil häufig #digital kontrolliert wird. Regierungsfraktionen planen nun strengere Regeln, kündigen 
@Erwin_Rueddel
, 
@TinoSorge
 & 
@DHeidenblut
 an. Vorausgegangen war Antrag von 
@WSchinnenburg
. 
@handelsblattKoalition will Tele-Zahnmedizin schärfer regulieren
Behandlungen mit transparenten Zahnschienen stehen in der Kritik, weil häufig digital kontrolliert wird. Die Regierungsfraktionen planen nun strengere Regeln.
handelsblatt.com",,5,3
Franz Peter Altemeier,@PAltemeier,2021-05-19T16:14:17.000Z,"#FDP-Politiker 
@WSchinnenburg
 fragte heute nach: Was tut eigentlich #Finanzminister Olaf Scholz gegen die Verschwendung von Milliarden im #Gesundheitsministerium? Offenbar nichts. Kein Wunder, dass die #SPD #Steuererhöhungen fordert.Frage an Finanzminister Olaf Scholz zur Milliardenverschwendung im...
Was tut eigentlich der Finanzminister Olaf Scholz gegen die Verschwendung von Milliarden im Gesundheitsministerium, etwa bei der Maskenbeschaffung oder Verte...
youtube.com",,1,1
Franz Peter Altemeier,@PAltemeier,2021-05-14T14:54:56.000Z,"#Ahnungslos: #Bundesregierung hat keine Infos über #Intensivpflegekräfte. #FDP-Politiker 
@WSchinnenburg
 fordert  
@jensspahn
 auf, Klarheit über die verfügbaren Ressourcen zu schaffen, um Versorgung von #Intensivpatienten dauerhaft zu sichern. #Corona 
@fdpbtCorona: Bundesregierung fehlt der Überblick zu Intensivpflegepersonal
Wie viele Menschen arbeiten als Intensivpflegekräfte? In der Coronapandemie ist das eine entscheidende Frage. Doch nach SPIEGEL-Informationen kann die Bundesregierung sie nicht beantworten.
spiegel.de",,3,4
Clemens Kuhne,@ClemensKuhne,2021-05-12T13:05:03.000Z,"Herzlichen Dank an Michael Hennrich, 
@stamm_fibich
, 
@WSchinnenburg
 und 
@K_SA
 für die spannende #MSDDebatte zur #Bundestagswahl 2021 - und an alle Gäste für die vielen guten Fragen! Gemeinsam diskutierten wir über #Krebsversorgung, #Digitalisierung und die Zukunft des #Impfen|s.",,4,18
Chantal Friebertshäuser,@friebertsh,2021-05-12T07:03:04.000Z,"Bei unserer #MSDDebatte geht es heute um die Lehren aus #Corona. Wir fragen aber auch: Wie können wir das #Gesundheitssystem fit für die Zukunft machen? Ich freue mich auf anregende Inputs der vier fachkundigen MdB 
@stamm_fibich
, 
@K_SA
, Michael Hennrich und 
@WSchinnenburg
.Clemens Kuhne
@ClemensKuhne
 · May 12
Die #Coronapandemie zeigt uns, wie wichtig #Impfen und hohe Impfraten sind. Welche Schwerpunkte legen @CDU, @spdde, @Die_Gruenen und @fdp dabei künftig? Diese und weitere Fragen stehen im Mittelpunkt der heutigen #MSDDebatte aus dem #MSDhub: https://live.msd-debatte.de",2,3,11
Franz Peter Altemeier,@PAltemeier,2021-05-12T15:14:42.000Z,"#FDP-Politiker 
@WSchinnenburg
 warb heute bei der 
@hkhamburg
 für eine europarechtliche Lösung in der Debatte um ein #Lieferkettengesetz. Der deutsche Alleingang dürfe nicht zu einem #Bürokratiemonster werden, das am Ende vor allem Kosten verursacht und kaum etwas bewirkt.",,1,
Franz Peter Altemeier,@PAltemeier,2021-05-12T14:04:25.000Z,"In der heutigen 
@MSD_Deutschland
-Debatte wirbt #FDP-Mann 
@WSchinnenburg
 für seinen Vorschlag zur Vereinfachung der Verordnung von medizinischem #Cannabis (BT-Drs. 19/26181). Das bestehende #Genehmigungsverfahren stellt eine erhebliche #Bürokratie dar und belastet #Ärzte unnötig.",,1,3
Franz Peter Altemeier,@PAltemeier,2021-05-12T12:27:25.000Z,"Mit Blick auf #Corona-Mutationen brauchen wir eine kluge #Impfstrategie. Davon sind wir noch weit entfernt, kritisierte #FDP-Politiker 
@WSchinnenburg
 in der heutigen 
@MSD_Deutschland
-Diskussion mit 
@Braun_Lisa
, 
@K_SA
,
@MichaelHennric2
 und 
@stamm_fibich
. #Infektionsschutz #Impfen",,1,2
