User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2019-11-25T12:10:43.000Z,"Der #AfD-Abgeordnete und Leiter der Kontaktgruppe #Syrien  der AfD-Fraktion im Deutschen #Bundestag, 
@WaldemarHerdt
, zieht nach Abschluss der Delegationsreise ein positives Fazit: ""Syrienpolitik der #Bundesregierung ist an der Realität gescheitert!""Herdt: Syrienpolitik der Bundesregierung ist an der Realität gescheitert
Berlin, 25. November 2019. Der AfD-Bundestagsabgeordnete und Leiter der Kontaktgruppe Syrien der AfD-Fraktion im Deutschen Bundestag, Waldemar Herdt, zieht nach Abschluss der Delegationsreise nach...
afdbundestag.de",8,55,158
Die Tagesstimme,@DieTagesstimme,2019-11-25T11:31:26.000Z,"Man habe unmittelbare Eindrücke gewonnen und sich durch zahlreiche intensive Gespräche einen umfassenden Überblick über die Situation in Syrien verschafft, so 
@WaldemarHerdt
 von der #AfD.Abschluss der Delegationsreise nach Syrien: AfD zieht positive Bilanz
Man habe unmittelbare Eindrücke gewonnen und sich durch zahlreiche intensive Gespräche einen umfassenden Überblick über die Situation in Syrien verschafft, so Waldemar Herdt von der AfD. Berlin....
tagesstimme.com",3,11,26
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2019-11-19T08:43:02.000Z,"Die Kontaktgruppe #Syrien der #AfD-Fraktion ist zu einer mehrtägigen Delegationsreise nach  gereist. Angeführt wird die Delegation von @FrankPasemann und 
@WaldemarHerdt
. Dabei sind außerdem 
@UdoHemmelgarn
, Jürgen Pohl sowie 
@SteffenKotre
:Delegationsreise der Kontaktgruppe Syrien der AfD-Bundestagsfraktion
Berlin, 19. November 2019. Die Kontaktgruppe Syrien der AfD-Bundestagsfraktion ist zu einer mehrtägigen Delegationsreise nach Syrien gereist. Angeführt wird die Delegation von Frank Pasemann und...
afdbundestag.de",21,54,188
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2019-08-28T08:34:59.000Z,"Der Sprecher der Interessengemeinschaft der Russlanddeutschen im #Bundestag, 
@DrFriesenMdB
, und MdB 
@WaldemarHerdt
 zur Deportation am 28. August 1941 von Deutschen durch das Stalin-Dekret: ""Wir wollen uns an das Leid der Russlanddeutschen erinnern."" #AfDFriesen/Herdt: An das Leid der Russlanddeutschen erinnern
Berlin, 28.08.2019. Am 28. August 1941 ordnete Stalin in einem Dekret die Zwangsdeportation der Wolgadeutschen nach Sibirien und Zentralasien an. Von einem Tag auf den anderen mussten die Deutschen...
afdbundestag.de",4,7,44
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2019-06-27T09:59:19.000Z,"»Will der #Europarat mehr sein als ein nettes Kaffeekränzchen und stattdessen europäische Probleme lösen, dann gehört #Russland mit an den Tisch dieses Gremiums.«
Der #AfD-Abgeordnete 
@WaldemarHerdt
 begrüßt die Wiederaufnahme Russlands durch den Europarat.Herdt: Russland bekommt Stimmrecht im Europarat zurück
Berlin, 27. Juni 2019. Als sich die Krim vor fünf Jahren in einem Referendum für einen Anschluss an Russland entschied reagierte der Europarat mit einer Aussetzung des Stimmrechtes der Russischen...
afdbundestag.de",4,6,64
Alice Weidel,@Alice_Weidel,2018-12-24T14:28:07.000Z,Ich wünschen Ihnen und Ihren Angehörigen Frohe Weihnachten - und viel Erholung an den Feiertagen! #Heiligabend #AfD,312,352,2.2K
AfD-Fraktion im Deutschen Bundestag,@AfDimBundestag,2018-05-25T16:03:08.000Z,"+++ Jetzt schon vormerken: Unser Fraktionsvorsitzender Alexander Gauland wird am Sonntag bei #AnneWill zu Gast sein! +++
Ab 21:45 Uhr geht es um das Thema: ""Die Bremer Asyl-Affäre - Systemfehler oder Einzelfall?""
Was denken Sie darüber - wirklich nur ein Einzelfall?
#AfD #BAMF",92,234,594
Initiative gegen Kinderehen,@GegenKinderehen,2018-05-26T17:05:20.000Z,"+++ Morgen in #Berlin an der 
@AfD
-Demo #ZukunftDeutschland teilnehmen!+++ Nur die #AfD ließ uns nicht im Stich, als wir um Unterstützung gegen #Kinderehen/#Kindesmissbrauch baten! Nur die #AfD verschaffte dem verzweifelten #Aufschrei der Trauer um Maria, Mia & Mireille Gehör!",8,87,184
AfD Oberhausen,@AfD_Oberhausen,2018-05-07T12:33:48.000Z,"Replying to 
@StopPaedoGruene
 @JA_Deutschland
 and 15 othersSelten dämlich von #Böhmermann, ein #GegenKinderehen-Projekt ins Visier genommen zu haben! Die Solidarität mit euch nimmt nun ungeahnte Ausmaße an, er tat euch unfreiwillig einen Gefallen. Bitte betrachtet es mal aus dieser Perspektive, DAS wurmt den #Staatsfunk-Hater am meisten,",1,23,34
Initiative gegen Kinderehen,@GegenKinderehen,2018-05-20T11:56:02.000Z,"Frohe Pfingsten wünschen wir ALLEN, die das Projekt #gegenKinderehen unterstützen! Jede ""#Kinderehe"" ist #Kindesmissbrauch! Ob #ReconquistaInternet (setzte uns auf #boehmermannsliste) nun mithelfen wird statt die 
@AfD
 zu mobben, die uns als einzige Partei half? #BoehmermannGateAfD-Fraktion im Deutschen Bundestag  and 4 others",25,143,228
