User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Wilfried Oellers,@WilfriedOellers,2019-05-09T17:25:05.000Z,"Hoher Besuch aus Togo war in Berlin zu Gast. Getroffen hatten wir uns schon am vergangenen Sonntag beim Weidenschälfest in Hilfarth. Gemeinsam mit den beiden Präsidenten der IHK Lomé, Herrn Moevi und Herrn Meba,... https://facebook.com/480535868644583/posts/2405691159462368/…",,1,2
Wilfried Oellers,@WilfriedOellers,2019-05-08T14:43:28.000Z,"Die Bundespolizei wird im Kreis Heinsberg eine Außenstelle der Bundespolizeiinspektion Aachen einrichten....Bundespolizeiinspektion Aachen erhält eine Außenstelle im Kreis Heinsberg! Wichtiger Beitrag zur...
Die Lage an der deutsch-niederländischen Grenze hat für die Heinsberger Region zur Folge, dass die Polizei verstärkt mit bestimmten Deliktsarten zu tun hat, die in Bezug zur grenzüberschreitenden...
wilfried-oellers.de",2,,1
Wilfried Oellers,@WilfriedOellers,2019-05-05T13:31:46.000Z,Bundeskönigsball in Erkelenz. Gestern kam die Schützenfamilie in Erkelenz zusammen. Neben dem Einführen der neuen Bezirksmajestäten und dem Verabschieden der alten Majestäten stand eine besonders hohe Ehrung an.... https://facebook.com/480535868644583/posts/2399048216793329/…,,,
Wilfried Oellers,@WilfriedOellers,2019-05-04T16:48:52.000Z,"Manfred Weber, Kandidat der CDU/CSU für das Amt des EU-Kommissionspräsidenten zur Europawahl, war heute auf dem CDU-Landesparteitag in Düsseldorf. Er hat den richtigen bodenständigen und bürgernahen Charakter,... https://facebook.com/480535868644583/posts/2397668120264672/…",,,
Wilfried Oellers,@WilfriedOellers,2019-04-12T13:37:09.000Z,"Diese Plenarwoche ging es unter anderem um die wichtige Debatte zu den pränatalen Bluttests, Änderungen des Bundeswahlgesetzes, um den Sozialschutz von Arbeitnehmern und Selbstständigen, den elektronischen Identitätsnachweis und vieles mehr.",1,,
Wilfried Oellers,@WilfriedOellers,2019-04-11T16:37:13.000Z,Der Bund fördert die Sportplatzsanierung in Geilenkirchen-Bauchem mit über einer Million Euro. Damit wird das Sanierungs- und Entwicklungskonzept der Stadt weiter unterstützt. Weitere Infos hierzu unter dem Link. https://wilfried-oellers.de/bund-foerdert-sportplatzsanierung-in-geilenkirchen-mit-1025-millionen-euro/…,,,1
Wilfried Oellers,@WilfriedOellers,2019-04-11T12:37:03.000Z,"Heute debattierten wir im Deutschen Bundestag im Rahmen einer offenen
Grundsatzdebatte die Aufnahme des pränatalen Bluttest in den
Leistungskatalog der gesetzlichen Krankenkassen. Mit diesem Test können
bereits nach wenigen Wochen... https://wilfried-oellers.de/4038-2/",,,
Wilfried Oellers,@WilfriedOellers,2019-04-09T15:11:05.000Z,"2.000 neue Stellen für Staatsanwälte und Richter! #starkerstaat2.000 neue Stellen für Staatsanwälte und Richter! #starkerstaat
2.000 neue Stellen für Staatsanwälte und Richter! #starkerstaat
facebook.com",,,
Wilfried Oellers,@WilfriedOellers,2019-04-05T13:58:11.000Z,"Beschleunigung des Energieleitungsausbaus, Stärkung des ländlichen Raumes und 70-jähriges Bestehen der Nato. Dies sind nur einige der Themen, die in dieser Plenarwoche auf der Agenda standen. mehr Informationen unter dem Link auf meine Homepage. https://wilfried-oellers.de/rueckblick-der-woche-5/…",,,
Wilfried Oellers,@WilfriedOellers,2019-04-02T07:42:58.000Z,"I posted a new video to FacebookEinbrüche sind kein Kavaliersdelikt! Deshalb haben wir die Strafen...
Einbrüche sind kein Kavaliersdelikt! Deshalb haben wir die Strafen erhöht. #starkerstaat
facebook.com",,,
