User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-27T18:59:10.000Z,"Das ist wahrlich ein Schock, für den die Regierung sorgt. Die #Spritpreise ziehen massiv an. Ein Grund dafür ist die sogenannte #CO2-Abgabe.

Super +24,8 Prozent
Diesel +19,5 Prozent
gegenüber dem Vorjahresmonat.

#AfD zur #Bundestagswahl wählen!Superbenzin +25 Prozent, Diesel +20 Prozent - Tank-Schock!
Die Spritpreise sind auf dem Weg nach oben nicht zu stoppen! Grund: CO2-Abgabe. Wie es jetzt weitergeht.
bild.de",7,17,49
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-27T15:34:00.000Z,"Keine Nachsicht für Öko- und #Klimaterroristen! Egal, ob Klau vieler #Autoschluessel (wohin driftet #Greenpeace?) oder Brandschatzung von Stromleitungen. An die Medien klarer Aufruf: Keine Beschönigung solcher Taten! Für die #Freiheit: #AfD

https://facebook.com/W.Wiehle/posts/4411886215497196…",1,,3
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-26T15:03:58.000Z,"Schützt unsere Kinder vor der Regierung! #STIKO und #BVKJ sind gegen die Durchimpfung der Kinder – #Spahn & #Karliczek sind halsstarrig. Die #AfD will Risikoabwägung: Impfung in der Regel für Kinder mit Vorerkrankungen, und vor allem: kein Impfzwang!

https://facebook.com/W.Wiehle/posts/4408739735811844…",3,14,42
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-26T08:26:38.000Z,"Paukenschlag in #Sachsen!

#AfD stärkste Kraft. Die #CDU stürzt in den Umfragen ab und die #Grünen sind nur halb so stark wie die AfD.

Die #SPD spielt in Sachsen keine Rolle.

AfD zur #Bundestagswahl wählen!Wahlumfrage Sachsen: AfD überholt CDU in Sachsen
Wäre am kommenden Sonntag Landtagswahl, würde die aktuelle Regierungskoalition aus CDU, Grünen und SPD nur noch auf 43 % kommen!
bild.de",5,15,63
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-25T08:34:11.000Z,"Nun wird bekannt, dass der #Stromausfall in #München wohl ein gezielter Anschlag war. 

#Linksradikale brüsten sich in einem #Bekennerschreiben im Internet damit den #Brandanschlag verübt zu haben.

#AfDStromausfall in München: Offenbar gezielter Anschlag
20 000 Haushalte waren ohne Strom: Das Feuer in einer Baugrube ist offenbar von linksradikalen Tätern gelegt worden.
sueddeutsche.de",5,23,47
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-20T11:18:13.000Z,"#AfD: #Maut-Skandal NICHT ausreichend geklärt – warum ist #Scheuer noch im Amt? Koalitionsvertrag von 2013 im Dunkeln: pol. Kuhhandel zu Lasten des Steuerzahlers! Und: Kompetenzen aus Brüssel zurückholen! 
http://facebook.com/W.Wiehle/posts/4388736424478842…Live: Pressekonferenz PKW-Maut - AfD-Fraktion im Bundestag
Vorstellung des Sondervotums der AfD-Fraktion im Untersuchungsausschuss (UA) Maut mit den Abgeordneten der AfD-Fraktion im UA Maut Wolfgang Wiehle und Andrea...
youtube.com",,1,
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-20T06:35:38.000Z,"Folgen Sie mir auf meinen Kanälen!

Facebook: http://facebook.com/W.Wiehle
Telegram: http://t.me/wowiewo
Youtube: http://youtube.com/channel/UC1NPmwG9IOyRclHHjx0ilnQ…
Webseite: http://wolfgang-wiehle.de",,1,1
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-19T16:03:01.000Z,"Eine Mutter klagt an:
""Die #Corona-Politik hat die jungen Leute krank gemacht: Einsamkeit, Depressionen, Essstörungen, Selbstmordgedanken!""

Kinder sind der Bundesregierung offenbar völlig egal.

#AfDFünf Fehler: So hat die Corona-Politik unsere Kinder krank gemacht
In Kinderpsychiatrien tritt jetzt das ein, was eigentlich für die Intensivstationen vorhergesagt wurde: die Überlastung!
bild.de",2,25,61
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-19T13:45:07.000Z,"Eskalation in #Ceuta: Europa muss zur #Festung werden – langfristige Lösung in Sachen illegale #Migration! Gut, dass Spanien & EU aktuell reagieren, aber da fehlt das Konzept. Zuwanderung nur legal & mit strengen Kriterien, Schleuser stoppen! #AfD

https://facebook.com/W.Wiehle/posts/4386040318081786…",,2,6
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-18T18:56:37.000Z,"EU in der #Rezession - #Deuschland hat die schlimmsten Zahlen, -1,7% im I. Quartal, Gesamt-EU -0,6%. Höchste Strompreise & meiste Bürokratie & längster Lockdown haben harte Folgen für den Zahlmeister der EU. Schwindet damit auch Brüssels Macht? #AfD

https://facebook.com/W.Wiehle/posts/4383492295003255…",1,1,11
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-18T18:47:10.000Z,"Die Bundesvereinigung der Deutschen Arbeitgeberverbände (#BDA) warnt vor einem politischen Linksrutsch zur #Bundestagswahl. Es drohen mehr staatliche Regulierung und neue Abgaben.

Die #AfD warnt schon lange vor dem #Linksrutsch und deren Folgen für Dtl.!Rot-rot-grün? Arbeitgeber warnen vor Linksrutsch nach der Bundestagswahl - WELT
Eine Koalition aus Grünen, SPD und Linken brächte mehr staatliche Regulierung und neue Abgaben, meint BDA-Chef Rainer Dulger. Sein Verband schlägt nun seinerseits einen Acht-Punkte-Plan vor, der etwa...
welt.de",1,12,38
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-17T10:23:23.000Z,"Was für eine Heuchelei!

Seit Jahren warnt die #AfD gebetsmühlenartig vor ""importiertem #Antisemitismus"" u. jetzt im #Wahljahr entdeckt die #CDU das Thema für sich.

Zur #Bundestagswahl AfD wählen und solchen Heuchlern wie #Spahn die rote Karte zeigen!Spahn warnt in CDU-Präsidium vor „importiertem Antisemitismus“
Spahn spricht Klartext über muslimischen Antisemitismus! „Das ist nichts anderes als Extremismus“, so Spahn im CDU-Präsidium.
bild.de",4,13,52
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-14T14:00:19.000Z,"Falsche Prio bei #Bargeld-Regeln: #Scholz-Behörde #Bafin jagt Bürger statt Bosse! Für Scholz‘ Behörde sind Bürger wohl Terroristen & Geldwäscher – Wirecard-Betrüger & Cum-Ex-Abkassierer blieben viel zu lange ungeschoren! Bargeld ist #Freiheit! #AfD

https://facebook.com/W.Wiehle/posts/4369099736442511…",,,6
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-13T09:50:16.000Z,"Für #Antisemitismus darf es in Deutschland keinen Platz geben! 

Wie lange wird hier noch weggeschaut, wo doch diejenigen, die an jeder Ecke gleich Rassismus und Diskriminierung wittern, immer am lautesten schreien.

Ekelerregend!

#Gelsenkirchen #AfDHetz-Demo vor Synagoge in Gelsenkirchen - Judenhass eskaliert auf deutschen Straßen
In Israel attackiert die Terror-Organisation Hamas die Zivilbevölkerung. Jetzt scheint der mörderische Judenhass auch Deutschland zu erreichen. 
bild.de",,20,57
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-12T15:41:26.000Z,"#nichtmeinaerztetag: Kein indirekter #Impfzwang für Kinder! Ausgerechnet Mediziner stellen das Recht auf Bildung unter Impf-Vorbehalt?! Unvertretbar bei geringem Corona-Risiko für Junge und wenig geprüften Impfstoffen! Für die #Freiheit: #AfD

https://facebook.com/W.Wiehle/posts/4362627700423048…",,,2
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-12T10:35:33.000Z,"#Merkel, #Söder und #Baerbock erlangen also das größte Vertrauen derzeit der Deutschen?? Zumindest wenn es nach einer Umfrage geht... Mich hat bisher niemand gefragt! Sie etwa?

Traue keiner Statistik, die du ....

Daher: #AfD zur #Bundestagswahl!RTL/ntv-Trendbarometer: Deutsche vertrauen Merkel, Söder, Baerbock
Union und SPD können im Trendbarometer um jeweils einen Prozentpunkt zulegen, wie die FDP verlieren auch die Grünen einen Punkt. Im Vertrauensranking hat die Kanzlerkandidatin der Grünen allerdings...
n-tv.de",15,12,47
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-04T10:23:08.000Z,"#Krebs unerkannt, Kinder psychisch überlastet: #Lockdown-Schäden immens, endlich fragt Ärztepräsident #Reinhardt nach „#Kollateraleffekten“! Der Preis der Angst ist hoch: auch Grundrechte, Wirtschaft, Arbeitsplätze… #Schweden macht es besser! #AfD""Kollateraleffekte"": Ärztepräsident fordert Untersuchung zu gesundheitlichen Auswirkungen der...
Ärztepräsident Klaus Reinhardt hat eine umfassende wissenschaftliche Untersuchung gesundheitlicher Auswirkungen der Corona-Eindämmungsmaßnahmen gefordert.
n-tv.de",,5,11
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-04T07:42:06.000Z,"Wenn es einen weiteren Beweis braucht, um zu sehen, wie #ARD und #ZDF die #Grünen hypen, schaue sie nicht nur die ganzen Politik-Shows an, sondern überprüfen auch mal deren Social Media Aktivitäten.

Und für sowas zahlen wir auch noch... eine Schande

#AfDSocial Media - So machen ARD und ZDF Stimmung für die Grünen
Bei den Mai-Krawallen ging es auf Berlins Straßen drunter und drüber und auch in den Social-Media-Abteilungen der Öffentlich-Rechtlichen!
bild.de",4,19,57
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-03T12:42:30.000Z,"#CSU will höheren #CO2preis: der Kotau vor den #Gruene|n kann gar nicht schnell genug gehen, unfassbar! Schrittweise in den Klima-Lockdown & endgültiges Ende des Lebens, wie wir es ""vor Corona"" kannten… Für die #Freiheit: nur noch #AfD!

https://facebook.com/W.Wiehle/posts/4334254759927009…",,2,5
"Wolfgang Wiehle, MdB",@WolfgangWiehle,2021-05-01T13:55:39.000Z,"Eiertanz der #Union wegen #Maaßen: Die Bürger haben die fortschreitende Verengung des Mainstreams auf linke und grüne Positionen einfach satt. #CDU und #CSU setzen weiter auf politischen Exorzismus… Für die #Freiheit eben nur #AfD!Der Tag: CSU kritisiert Nominierung von Maaßen
Der Tag
n-tv.de",1,1,4
