User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Grigorios Aggelidis,@aggelidis_fdp,2021-05-27T10:35:13.000Z,"Das Beispiel Großbritannien zeigt: Kinder profitieren davon, wenn möglichst viele Erwachsene in ihrem Umfeld gehen Corona geimpft sind. Bauen wir einen Schutzschild um unsere Kinder und machen Eltern vermehrt ein Impfangebot!FAQ: Was für und gegen Kinder-Impfungen spricht
Sollten Kinder und Jugendliche gegen Corona geimpft werden dürfen? Die Politik drängt dazu, die STIKO ist skeptisch, die Wissenschaft uneins. Was für eine Impfung von Jüngeren spricht - und was...
tagesschau.de",,2,8
Grigorios Aggelidis,@aggelidis_fdp,2021-05-25T09:21:37.000Z,65% sind für eine sofortige Rückkehr zum Präsenzunterricht. Richtig so. Wir müssen die #Schulen für alle öffnen. Funktionierende Hygienekonzepte und Teststrategien machen #Unterricht vor Ort möglich. Kinder und Jugendliche brauchen dringend Normalität. #twlz #Schulenöffnen,9,8,31
Grigorios Aggelidis,@aggelidis_fdp,2021-05-24T19:09:50.000Z,Empörung reicht nicht. Diktaturen verstehen nur harte Konsequenzen. Für mich ist der ganze Vorgang mehr als völkerrechtswidrig und kriminell. Ich empfinde das schon als feindlichen Akt. Völkerrecht und Bürgerrechte müssen respektiert werden. #Protasewitsch,,1,11
Grigorios Aggelidis,@aggelidis_fdp,2021-05-19T10:30:26.000Z,"#Giffey hat viel auf den Weg gebracht und wir haben ihre Initiativen kritisiert, einigen zugestimmt & viele mit eigenen Vorschlägen angeregt, mitgestaltet und geprägt. Ihr Rücktritt darf nicht dazu führen, dass Familien wieder aus dem Fokus verschwinden.Pressemitteilung
Pressemitteilung zum Rücktritt von Bundesfamilienministerin Franziska Giffey
gaggelidis.abgeordnete.fdpbt.de",1,3,10
Grigorios Aggelidis,@aggelidis_fdp,2021-05-18T14:39:23.000Z,"Inzwischen haben wir in Kinder- und Jugendpsychiatrien schon eine Triage, bei der praktisch ‚nur‘ noch aufgenommen wird, wer suizidgefährdet ist. Das ist alarmierend. Wir müssen Kinder und Jugendliche und deren Gesundheit mehr in den Fokus rücken.Pressemitteilung
Pressemitteilung zur dpa-Meldungen „Kinderärzte für schnelle Schulöffnungen - «Triage in Psychiatrien»“.
gaggelidis.abgeordnete.fdpbt.de",1,6,16
Grigorios Aggelidis,@aggelidis_fdp,2021-05-17T16:51:34.000Z,"Gestern haben wir unser Bundestagswahlprogramm verabschiedet. Mit dabei: das Kinderchancengeld, mit dem wir Kindern eine ECHTE Zukunftschance ermöglichen.So will die FDP in den Wahlkampf ziehen
Die Liberalen präsentierten sich bei ihrem digitalen Parteitag geschlossen. Mit überwältigender Mehrheit beschlossen sie nun ihr Wahlprogramm. Ein Überblick über die wichtigsten Punkte.
t-online.de",,2,11
Grigorios Aggelidis,@aggelidis_fdp,2021-04-27T08:59:49.000Z,"Zusammen mit allen anderen Abgeordneten der 
@fdpbt
 habe ich heute Verfassungsbeschwerde gegen die #Notbremse beim #Bundesverfassungsgericht in Karlsruhe eingelegt. Grundrechtseingriffe müssen verhältnismäßig sein. Mehr dazu hier: https://fdpbt.de/pk",1,2,13
Grigorios Aggelidis,@aggelidis_fdp,2021-04-21T13:19:02.000Z,"Liebe 
@DanielaKluckert
 eine solche Tat ist feige. In einer Demokratie führt man Debatten mit Worten, aber nicht so. Wir stehen zusammen!Daniela Kluckert
@DanielaKluckert
 · Apr 21
So sieht mein Bürgerbüro in #Berlin heute aus. Linksextremismus ist allgegenwärtig. Wer meint, mich damit einzuschüchtern, täuscht sich jedoch.  #Politik #Demokratie #fdp",,,7
Grigorios Aggelidis,@aggelidis_fdp,2021-04-21T08:09:12.000Z,"Ich stimme heute gegen die Novellierung des #Infektionsschutzgesetz. Regelungen helfen nicht, sind verfassungsrechtlich fragwürdig und erschweren juristische Prüfung. Auch nach 1 Jahr kann Groko nur Schulschließung. Unsere Maßnahmen helfen und haben auch Wohl der #Kinder im Blick",1,1,12
KatjaSuding,@KatjaSuding,2021-04-19T11:42:01.000Z,"Pauschale Schulschließungen ab einer Inzidenz von 165 sind ein fatales Signal von Union und SPD. Das Regierungsversagen beim #Impfen und #Testen geht längst zulasten unserer Kinder. Mit Luftfiltern, Masken und bestenfalls täglichen Tests ist #Unterricht in Präsenz möglich.",233,70,282
