User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
CDU/CSU,@cducsubt,2021-05-23T07:24:03.000Z,"An #Pfingsten feiern Christen den Geburtstag der #Kirche, die ihre Gründung auf die Eingebung des Heiligen Geistes zurückführt. Liebe, Freude, Friede, Langmut, Freundlichkeit, Güte, Treue, Sanftmut und Selbstbeherrschung sind die Früchte d. Heiligen Geistes. Gesegnete Pfingsten!",48,20,93
Anja Weisgerber,@anjaweisgerber,2021-05-17T15:29:04.000Z,"Morgen ist Carsten Linnemann zu Gast bei #AnjaOnAir. 
Wer per Webex dabei sein will, kann sich Anmelden per E-Mail an anja.weisgerber@bundestag.de.CSU and 2 others",,,3
CSU im Bundestag,@csu_bt,2021-05-14T16:24:00.000Z,"Die Impfquote in Deutschland steigt deutlich - inzwischen wurden mehr als 38 Mio Impfdosen verabreicht. Jeder 3. ist mindesten ein Mal geimpft, fast 9 Mio Menschen in Deutschland besitzen den vollen Impfschutz gegen das Coronavirus. Damit sind wir in Europa jetzt an der Spitze!",20,6,38
CDU/CSU,@cducsubt,2021-05-13T07:00:01.000Z,Heute ist Christi Himmelfahrt. Am 40. Tag der Osterzeit feiern Christen die Rückkehr Jesu zu seinem Vater in den Himmel. Wir wünschen Ihnen allen einen gesegneten Feiertag. ,18,16,100
CDU/CSU,@cducsubt,2021-05-12T11:22:27.000Z,"Presseinfo
@anjaweisgerber
: Wir geben eine schnelle und entschiedene Antwort beim KlimaschutzWir geben eine schnelle und entschiedene Antwort beim Klimaschutz
Die Bundesregierung hat am heutigen Mittwoch mit der Novelle des Bundes-Klimaschutzgesetzes das Ziel der Klimaneutralität 2045 und ein höheres nationales Klimaziel 2030 auf den Weg gebracht. ...
cducsu.de",24,5,10
CSU,@CSU,2021-05-09T06:30:00.000Z,"Danke Mama!  Am heutigen #Muttertag wollen wir einmal mehr all das schätzen, was unsere Mütter für uns tun. Sie verdienen unsere Anerkennung.",10,4,52
CDU/CSU,@cducsubt,2021-05-01T09:17:38.000Z,"Booster für E-Autos, Digitalisierung der Pflege & der Kampf gegen Hass im Netz. Noch 4 Sitzungswochen bis zur Sommerpause – kein Wunder, dass der #Bundestag wieder ein volles Programm vor sich hat. 

Mehr dazu im #Wochevorklapphttps://cducsu.de/themen/e-mobilitaet-maritime-wirtschaft-und-pflege-40…",38,10,29
Anja Weisgerber,@anjaweisgerber,2021-04-29T13:42:42.000Z,"Mein Statement zum Urteil des Bundesverfassungsgerichts  #klimaschutz #BundesverfassungsgerichtCDU/CSU
@cducsubt
 · Apr 29
Presseinfo @anjaweisgerber: Rückenwind für die Klimapolitik
https://cducsu.de/presse/pressemitteilungen/rueckenwind-fuer-die-klimapolitik…",1,,
CDU/CSU,@cducsubt,2021-04-29T13:15:55.000Z,"Presseinfo 
@anjaweisgerber
: Rückenwind für die KlimapolitikRückenwind für die Klimapolitik
Zum Urteil des Bundesverfassungsgerichts können Sie die Klimaschutzbeauftragte der CDU/CSU-Bundestagsfraktion, Anja Weisgerber, mit folgenden Worten zitieren:
cducsu.de",80,31,20
Anja Weisgerber,@anjaweisgerber,2021-04-22T14:28:27.000Z,"Meine Rede heute  im Bundestag: Das #Klimaziel wurde Dank der #GroKo erreicht. Dazu sind die #Grünen nicht nötig gewesen, die sich immer als Anwälte für den #Klimaschutz darstellten. „Dafür brauchen wir auch keine Annalena #Baerbock als #Kanzlerin."" 
@csu
 @cducsubt
 @csu_btphoenix
@phoenix_de
 · Apr 22
Das #Klimaziel wurde Dank der #GroKo erreicht, sagt @anjaweisgerber @cducsubt. Sie meint, dazu seien die #Grünen nicht nötig gewesen, die sich immer als Anwälte für den #Klimaschutz darstellten. „Dafür brauchen wir auch keine Annalena #Baerbock als #Kanzlerin."" @csu",11,4,14
phoenix,@phoenix_de,2021-04-22T12:46:17.000Z,"Eiszeit im #Bundestag | Das gab es noch nie. Aufgrund eines Stromausfalles sind alle Fenster aufgesprungen und die Klimaanlage brummte auf höchster Stufe. Die Sitzung musste unterbrochen werden & die Winterjacken feiern ein Debüt im Bundestag.The media could not be played.
Reload",156,273,323
Anja Weisgerber,@anjaweisgerber,2021-04-22T08:57:34.000Z,"#Klimagipfel in den #USA: Die Wahl von Joe Biden hat dem internationalen Klimaschutz neuen Auftrieb gegeben. Dieses Momentum gilt es nun zu nutzen. #klimaschutzNeuer Auftrieb für den weltweiten Klimaschutz
Zum US-Klimagipfel können Sie die Klimaschutzbeauftragte der CDU/CSU-Bundestagsfraktion, Anja Weisgerber, mit folgenden Worten zitieren:
cducsu.de",1,,1
CDU/CSU,@cducsubt,2021-04-19T06:30:17.000Z,"Nachhaltig bewirtschaftete Wälder schützen das #Klima, sichern die #Biodiversität und liefern den klimafreundlichen Rohstoff #Holz. Mit der #Bundeswaldprämie haben wir sichergestellt, dass der wichtige #Wald|umbau & die Aufforstung vorangetrieben wird.",19,10,43
