User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
anke domscheit-berg,@anked,2018-10-03T08:16:12.000Z,"Thread: Der #TagderDeutschenEinheit wird heute zum 28. Mal begangen. Bei aller Anerkennung des Geschafften, es wird Zeit, das Unrecht der Nachwendezeit umfassend aufzuarbeiten, Benachteiligungen Ostdeutscher sowie Rückschritte für Frauen zu beseitigen. #TdDE18 #TDE2018",33,146,597
Ulrich Kelber,@UlrichKelber,2021-05-28T11:55:55.000Z,"Ann Cathrin Riedel
@anncathrin87
 · 14h
Mit der Check-In-Funktion der Corona-Warn-App hätten schon alle längst gewarnt sein können. Na ja.
Show this thread",9,32,239
anke domscheit-berg,@anked,2021-05-28T12:52:57.000Z,"so sieht es aus, wenn #LucaApp versucht, die privaten Schlüssel von Location Inhaber:innen zu erhalten. 
Hinweis für wenig IT-affine Menschen: es gibt 2 Schlüssel bei dieser Verschlüsselung, 1 öffentlichen u 1 privaten u der private heisst so, weil man ihn geheim halten soll! /96sanddrn
@sand2drn
 · 11h
Replying to @sand2drn @ralf and 4 others
Da, 22. Mai, also Sonnabend Mittag.",4,14,63
anke domscheit-berg,@anked,2021-05-28T12:41:32.000Z,"Ich dachte, für heute war genug #LucaFail, aber es geht noch schlimmer! Jetzt werden LucaLocation Inhaber gebeten, IT-Sicherheits-NoGos zu begehen, u ihre privaten (!!!) Schlüssel bei d Anmeldung zur #LucaApp hochzuladen.  Bitte tut das NIEMALS! (ist wie Euer Passwort). /95Ralf Rottmann
@ralf
 · 12h
Jetzt sollen Venue Owner ihre privaten Schlüssel (!) hochladen. WTF. Wirklich. WTF. #LucaApp cc: @Linuzifer @chaosupdates @mame82 @evawolfangel",4,61,127
anke domscheit-berg,@anked,2021-05-28T12:26:02.000Z,"Wie viele Nutzer-Namen der dilettantische Hotfix der letzten Sicherheitslücke bei #LucaApp nun einfach wegfiltert (die werden dann vom Gesundheitsamt nie angerufen, wenn was ist), hat spaßeshalber 
@yetzt
 für Euch mal näherungsweise herausgefunden  #lucaFail /94yetzt
@yetzt
 · May 26
ich hab mal spaßeshalber die gefilterten sql-keywords gegen die nachnamen einer telefonbuch-cd geworfen: folgende nachnamen* haben mit der @_lucaapp keinen spaße mehr:

https://pastebin.com/Jh8ns5c2

* enthält auch firmennamen, aber die müssen die app ja auch benutzen.
Show this thread",2,8,36
Manuel Atug,@HonkHase,2021-05-27T05:23:00.000Z,"#Sicherheitslücke bei #LucaApp nachgewiesen

""„Langsam fragt man sich, was noch passieren muss, bis Länder und Landkreise die Kooperation mit der Luca-App beenden“, erklärte 
@anked
""Sicherheitslücke bei Luca-App nachgewiesen
Berlin – Durch eine vorhandene Sicherheitslücke in der Luca-App könnte offenbar eine Schadsoftware in die IT-Systeme von Gesundheitsämtern geschleust werden.... #Digitalisierung
aerzteblatt.de",11,48,128
anke domscheit-berg,@anked,2021-05-27T18:37:25.000Z,"LOL! wenn das nicht meine Behauptung untermauert, dass das digitale #Impfzertifikat gar nicht bis Ende Juni kommen kann. 
PVS = Praxisverwaltungssystem, davon gibts ca 140 in DE. Wenn schon die Ausschreibung für deren Anpassung bis Mitte Juni läuft, wie soll das gehen? Magie?Mark Langguth
@MLangguth
 · May 27
Schon geteilt worden? #BMG schreibt Entwicklung eines PVS-Moduls zur Erstellung von #Impfzertifikaten aus (mit Anbindung an das IBM-System).
Damit soll die Ausstellung aus jedem #PVS heraus möglich sein.
Angebotsfrist: 14.6.
Zuschlagskriterium: Nur d Preis
https://ted.europa.eu/udl?uri=TED:NOTICE:257123-2021:TEXT:DE:HTML&src=0…",13,28,78
anke domscheit-berg,@anked,2021-05-27T18:17:26.000Z,"Freut mich, bei 
@phoenix_de
 zitiert zu werden! #DigitalerImpfpass phoenix
@phoenix_de
 · May 27
Zum digitalen #Impfpass gebe es erhebliche Bedenken von Seiten der Opposition, berichtet phoenix-Korrespondent @ErhardScherfer. So gehe die netzpolitische Sprecherin der @Linksfraktion, Anke Domscheit-Berg @anked, davon aus, dass der digitale Pass nicht rechtzeitig fertig werde.",1,3,15
anke domscheit-berg,@anked,2021-05-27T18:14:22.000Z," Ich glaubs einfach nicht... die Dilettanten der #LucaApp haben die gravierende neueste Sicherheitslücke so ""gefixt"", dass man jetzt über die Eingabe von Luca Kontaktdaten die Software im Gesundheitsamt abstürzen kann!
Danke 
@mame82
 für das erneute Offenbaren des #LukaFail. /86Marcus Mengs
@mame82
 · May 27
#LucaApp ... no words

Gestern wurde in Eile versucht eine seit 3 Wochen bekannte Schwachstelle zu patchen, mit der App Nutzer Gesundheitsämter angreifen können

Jetzt kann man die Software in den Gesundheitsämtern über Nutzerdaten ganz absturzen lassen 
#DenialOfService
Show this thread",5,28,70
Ramoncito,@digipxls,2021-05-27T10:43:14.000Z,"Wieder informativ und sehenswert. Kurz und bündig.
""Cookies, Messenger-Überwachung, eBooks und das Scheitern des Onlinezugangsgesetzes (19.05.21)"" von 
@anked
 . Danke dafür!
#uploadfilter #DigitalausschussCookies, Messenger-Überwachung, eBooks und das Scheitern des Online...
Am 19. Mai beschäftigte sich der #Digitalausschuss im #Bundestag mit 3 Themenblöcken. Es ging um den frustrierenden und außerdem intransparenten Stand der Di...
youtube.com",,2,7
