User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Arno Klare,@arnoklare,2021-05-19T09:42:09.000Z,"Wer betreut nachmittags das Kind, wenn beispielsweise beide Elternteile berufstätig sind? Genau diese Betreuungslücke wollen wir schließen: mit einem Recht auf Ganztagsbetreuung für Grundschulkinder. In dieser Woche debattieren wir den Gesetzentwurf dazu im #Bundestag.",,,
Arno Klare,@arnoklare,2021-05-17T08:53:10.000Z,"Heute ist #IDAHOBIT2021! Der richtige Zeitpunkt für uns, deutlich zu machen: Wir als 
@spdbt
 wollen überall für gleiche Rechte, volle Akzeptanz und mehr Sichtbarkeit queerer Menschen sorgen. Denn es geht um Respekt - Respekt vor der sexuellen Identität eines jeden Menschen.",,10,7
Arno Klare,@arnoklare,2021-05-01T13:19:41.000Z,"Heute ist Tag der Arbeit! Gemeinsam kämpfen wir für bessere Arbeitsbedingungen, für mehr Tarifverträge, starke Betriebsräte und für einen Mindestlohn von 12 Euro. #1Mai #gema1nsam",,,
Arno Klare,@arnoklare,2021-04-29T09:50:56.000Z,"Der Beschluss vom #Bundesverfassungsgericht ist ein Push für eine ambitionierte #Klimapolitik! #Klimaschutz #ClimateAction 
Hier geht´s zur ganzen PM 
https://arnoklare.de/2021/04/29/bvg-beschluss-push-fuer-eine-ambitionierte-klimapolitik/…",,1,
Arno Klare,@arnoklare,2021-04-23T12:56:29.000Z,"Wir dürfen nicht zulassen, dass die pandemiebedingten Einschränkungen die Zukunftschancen von Kindern und Jugendlichen verbauen. Mit dem #AufholPaket geben wir 2 Mrd. Euro aus, um z.B. Nachhilfeangebote schaffen und mehr soziale Arbeit in den Bildungseinrichtungen zu fördern.",,,
Arno Klare,@arnoklare,2021-04-22T10:49:12.000Z,"Wie sich einige Unions-Abgeordnete mitten in der #Pandemie mit #Masken-#Deals bereicherten, hat gezeigt: Wir brauchen dringend deutlich schärfere Transparenzregeln. Dafür haben wir uns eingesetzt, und zwar mit Erfolg!",,1,1
Arno Klare,@arnoklare,2021-02-19T09:03:39.000Z,"#Hanau ist die Mahnung, niemals wegzusehen, sondern #Rechtsextremismus entschieden entgegenzutreten. Heute aktueller denn je: Wehret den Anfängen! #SayTheirNames",,,4
Arno Klare,@arnoklare,2021-02-12T10:35:08.000Z,"Mit dem #Lieferkettengesetz wollen wir die Rechte der Menschen stärken, die in anderen Teilen der Welt Waren für den deutschen Markt produzieren. Die Unternehmen sollen dafür einstehen, dass entlang ihrer Lieferkette #Menschenrechte eingehalten werden!",,,
Arno Klare,@arnoklare,2021-02-04T16:26:54.000Z,Für Menschen in Grundsicherung gibt es einen #Corona-Zuschuss als Einmalzahlung von 150 Euro. Und für jedes Kind gibt es erneut einen #Kinderbonus von 150 Euro. Denn wir sind überzeugt: Wir schaffen es durch die #Krise - aber nur gemeinsam!,,,
Arno Klare,@arnoklare,2021-01-27T10:14:07.000Z,"#Auschwitz steht nach wie vor sinnbildlich für die industrielle Massenvernichtung der NS-Ideologie.
Wir ""Spätgeborenen"" sind nicht verantwortlich für das, was damals passiert ist - wohl aber dafür, dass so etwas nie wieder passiert. Deshalb: #WeRemember",,,5
Arno Klare,@arnoklare,2021-01-07T09:43:32.000Z,"Wir stoppen Werkverträge und #Leiharbeit in der Fleischindustrie, machen Schluss mit Arbeitszeitbetrug und Gammel-Unterkünften. Wie? Mit dem #Arbeitsschutzkontrollgesetz von 
@hubertus_heil
.",,,3
Arno Klare,@arnoklare,2020-12-16T16:38:34.000Z,"Ausbeutung? #UnsNichtWurst! Deshalb stoppen wir Leiharbeit und Werkverträge in der #Fleischindustrie! Heute haben wir das Arbeitsschutzkontrollgesetz im Bundestag beschlossen, zum 1. Januar tritt es bereits in Kraft.",,,1
