User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Stefan Kaufmann,@StefanKaufmann,2021-05-11T17:49:08.000Z,"Danke 
@axel_knoerig
 für die Einladung in Deinen Wahlkreis! Ich freue mich, dass auch in der Region Diepholz-Nienburg viele Unternehmen an Lösungen für unsere  #Wasserstoff-Zukunft arbeiten. Im Fokus: Mobilität & regionale #H2-Erzeugung aus EE. #Deutschlandtour #GreenHydrogen",,2,14
Axel Knoerig,@axel_knoerig,2021-04-23T11:29:25.000Z,"Mit dem gestern beschlossenen #TKG können endlich die 850 Haushalte im Landkreis #Diepholz angeschlossen werden, die in unwirtschaftl. Gebieten liegen.    
https://bit.ly/3sLoKxe
@cducsubt",,,
CDU/CSU,@cducsubt,2021-01-12T09:43:48.000Z,"Ab 14:30 Uhr live  Das #Statement unseres Fraktionschefs 
@rbrinkhaus
 vor der #Fraktionssitzung. Außerdem mit dabei: unser stellvertretender Vorsitzender Carsten Linnemann.  #Livestream unter http://cducsu.de #JetztZukunft",3,3,10
CDA,@CDA_Bund,2020-11-17T09:52:09.000Z,Seit Jahrzehnten kämpfen wir mit Pfarrer Kossen gegen die Ausbeutung auf Schlachthöfen. Heute hat er vor dem KAH noch einmal Flagge bekannt. Wir unterstützen ihn und treten ein für eine zügige Umsetzung des Verbots von #Werkverträgen und #Leiharbeit in der #Fleischindustrie!,2,4,11
Paul Ziemiak,@PaulZiemiak,2020-11-09T11:56:42.000Z,"Die #Reichspogromnacht lehrt uns: Menschen sind zu unfassbaren Grausamkeiten fähig. Wir alle tragen Verantwortung, dass das nie wieder passiert. Wo Juden nicht in Freiheit leben können, fühle auch ich mich meiner Freiheit beraubt. Wir alle müssen immer wieder Gesicht zeigen!Zentralrat der Juden in Deutschland
@ZentralratJuden
 · Nov 9, 2020
Gemeinsam gedenken wir der all jener Menschen, die vor 82 Jahren in der #Pogromnacht beraubt, gequält und erniedrigt wurden. Gemeinsam gedenken wir der Toten!",32,21,87
Axel Knoerig,@axel_knoerig,2020-10-30T12:59:20.000Z,Seid live dabei über: http://Bundestag.de #rede #veranstaltungswirtschaft,,,
Taiwan in Deutschland,@TAIWANatGERMANY,2020-10-08T09:29:19.000Z,"“#Taiwan gehört zweifellos zu den Ländern, die mir besonders am Herz gewachsen sind.“ 
Grußwort von MdB 
@axel_knoerig
 zum Nationalfeiertag Taiwans.",,1,6
Axel Knoerig,@axel_knoerig,2020-10-09T10:37:54.000Z,"Wir brauchen gesetzliche Rahmenbedingungen, um #Glasfaserausbau auch überirdisch zu ermöglichen. Damit schaffen wir eine #lowcost Alternative zur Erdverkabelung. 100% Abdeckung - für #schnellesInternet an wirklich jeder #Milchkanne!",,,2
CDU Deutschlands,@CDU,2020-10-08T15:27:05.000Z,"Die #Corona-Zahlen steigen auch bei uns wieder massiv. Über 4000 neue Fälle! Zahlreiche Regionen & Städte sind gezwungen, neue Beschränkungen einzuführen. Aber was macht die #AfD? Sie klagt gegen eine #Maskenpflicht im Bundestag. Seid schlauer & helft mit, Corona zurückzudrängen.",399,138,455
Axel Knoerig,@axel_knoerig,2020-10-07T11:30:52.000Z,"Fazit zum Treffen der #AGWirtschaft mit 
@GuillaumeFaury
 und 
@ReinhardtSascha
 von 
@Airbus
: Um #Arbeitsplätze zu sichern, sollte  #Airbus die verlängerte #Kurzarbeit|erregelung nutzen und das geplante #Wasserstoffflugzeug asap abheben lassen. #flugbranche 
@IGMetall
 @CDA_Bund",,1,4
CDU/CSU,@cducsubt,2020-10-07T09:27:11.000Z,"Enteignungen seien der falsche Weg, um das Problem eines angespannten Wohnungsmarktes zu lösen, so 
@thorsten_frei
 im 
@DLF
. Mit ""sozialistischen Modellen"" funktioniere das nicht. Vielmehr bräuchten Kommunen wirksame Instrumente, um zielgerichtet Probleme vor Ort lösen zu können.",27,11,31
