User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Carina Konrad,@carina_konrad,2021-05-26T18:00:25.000Z,"Richtig so. #praesenzunterricht so schnell es geht. Natürlich mit Hygiene, Tests,Lüften und Pausen. Meine Kinder freuen sich auch darauf, nochmal normal zur Schule zu gehen. Das sie das mal sagen, hätte ich nie gedachtMarco Buschmann
@MarcoBuschmann
 · May 26
Knapp zwei Drittel der Befragten einer Studie sind unter Einhaltung von Test- und Hygienekonzepten für eine sofortige Rückkehr der Schulen zum #Präsenzunterricht. Richtig so! Schulen müssen wieder öffnen. Viel zu lange wurden Kinder und Jugendliche in der Pandemie vernachlässigt.
Show this thread",1,,4
Carina Konrad,@carina_konrad,2021-05-26T12:03:40.000Z,"Genscheren wie #CRISPR bieten riesige Potenziale für die Menschen.  Vitaminmangel, Unverträglichkeiten.., das könnte Vergangenheit sein. Fahrlässig wäre es, die Potentiale neuer Innovationen nicht zu nutzen. 3/3",1,,9
Carina Konrad,@carina_konrad,2021-05-26T12:03:39.000Z,"Pflanzen, die mit klassischer Mutationszüchtung erzeugt wurden, wurden vom EuGH 2018 als „gentechnisch veränderte Organismen“ eingestuft, die jedoch von den für GVO geltenden Vorschriften - etwa Zulassungspflicht, Kennzeichnung - ausgenommen sind. 1/3Aldi & Co. – Gemeinsam gegen Gentechnik
Discounter und Bioketten wollen gemeinsam verhindern, dass die EU-Kommission neue Gentechnik-Verfahren liberalisiert. Sie fürchten den Einfluss von Lobbygruppen.
spiegel.de",1,1,11
Christian Lindner,@c_lindner,2021-05-23T17:04:32.000Z,"Die #Entführung eines Flugzeugs aus der #EU heraus ist ein krimineller Akt des Regimes von #Lukaschenko. Die Antwort müssen verschärfte Sanktionen gegen #Belarus sein, die strafrechtlichen Verfolgung der Verantwortlichen und ein Flugverbot für die Linie #Belavia in der #EU. CL",369,430,3.9K
Marco Buschmann,@MarcoBuschmann,2021-05-20T22:09:07.000Z,"""Der Königsweg heißt Wirtschaftswachstum: Wächst die Wirtschaft, steigen die Staatseinnahmen, ohne dass die Steuern steigen müssen. Der IWF sagt: Mit einem moderaten Wachstumspfad nach Corona haben wir die Chance, die Verschuldung auf das Vorkrisenniveau zurückzuführen."" #Lanz",36,41,394
Bund Ökologische Lebensmittelwirtschaft (BÖLW),@boelwtermine,2021-05-19T15:42:50.000Z,"Jetzt wirds spannend beim #ökowahlomat mit unserem Panel mit A. Gerig, 
@rainerspiering
  @RenateKuenast
, 
@carina_konrad
  & 
@Amira_M_Ali
 

#bölw #landwirtschaft #agrarpolitik 
@cducsubt
 @spdbt
 @GrueneBundestag
 @fdpbt
 @Linksfraktion",,1,9
Bettina Stark-Watzinger,@starkwatzinger,2021-05-18T15:12:01.000Z,"Lieber Kollege 
@b_riexinger
, Sie zeigen, dass Sie keine Ahnung von Aktien haben. Erlauben Sie mir daher eine kurze Aufklärung. Denn die Folgen Ihrer Politik wären tragisch. Nur mit Aktien können wir breite Bevölkerungsschichten reich machen. 1/5Bernd Riexinger
@b_riexinger
 · May 18
Nur 15% der Deutschen haben überhaupt #Aktien. Für #FDPler wahrscheinlich unvorstellbar, aber die meisten Menschen haben nicht tausende von Euro über für ein Aktiendepot und einen Anlageberater. 2/4
Show this thread",31,27,426
Bettina Stark-Watzinger,@starkwatzinger,2021-05-18T09:09:22.000Z,"Faktencheck - Inlandsflüge sind nicht billiger als Bahn. Aber noch mehr als eine sachliche Diskussion wäre mir, wenn die Grünen nicht den Ausbau der Bahntrassen überall, wo es nur geht verhindern. Den Transrapid wollte man auch nicht. Zukunft geht anders.Flugreisen: Die Legende vom Billigticket
Dass vor allem Geschäftsreisende lieber in den Flieger als in den Zug steigen, hat einen einfachen Grund: Auf der Schiene dauert ihnen die Reise zu lange. Soll der Umstieg gelingen, muss die Bahn...
faz.net",21,34,199
Christian Lindner,@c_lindner,2021-05-17T16:41:15.000Z,"Wenn Armin Laschet und die CDU wenigstens wie wir im Höchststeuerland Deutschland neue Belastungen ausschließen würden, wären wir weiter. Dass nur die 
@fdp
 für Entlastungen arbeiten will, sieht allerdings nun jeder. CLLaschet weist FDP-Forderung nach Steuersenkung zurück
Die FDP spricht von Steuererleichterungen nach der Bundestagswahl – und stößt damit bei CDU-Chef Laschet auf Ablehnung. »Steuersenkungen sind nicht der erste Gedanke, der mir angesichts dieser...
spiegel.de",154,110,1.2K
Konstantin Kuhle,@KonstantinKuhle,2021-05-16T14:10:08.000Z,"Sehr gut  Mit 98,5% beschließt die 
@fdp
 nach zweitägigen Beratungen ihr Knaller-Programm zur Bundestagswahl 2021 #vielzutun #bpt21 ",18,20,482
