User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Markus Söder,@Markus_Soeder,2021-05-21T11:35:59.000Z,"Bayern und Sachsen-Anhalt bilden eine Forschungsallianz: Wir vernetzen unsere Universitäten zu Klimaschutz und Biotechnik mit 1 Mio. Euro. Das ist eine strategische Allianz für die Zukunft auf Augenhöhe. Nur Forschung gibt neue Antworten auf neue Fragen. Mit 
@reinerhaseloffDr. Reiner Haseloff and Markus Söder",70,40,215
Torsten Schweiger,@cdu_schweiger,2021-05-20T12:20:57.000Z,"Ich unterstütze diese Petition: Recht auf freie Rede – Kein Genderzwang an Hochschulen und in Behörden! - Ring Christlich-Demokratischer StudentenJetzt Unterstützen!
Petition: Recht auf freie Rede – Kein Genderzwang an Hochschulen und in Behörden!
rcds.de",,1,1
Thomas Bareiß,@Thomas_Bareiss,2021-05-19T11:56:03.000Z,"Man stelle sich mal kurz vor was im Land los wäre, wenn der Kanzlerkandidat der ⁦
@CDU
⁩ und 
@CSU
 in den Jahren 2018-2020 insgesamt 37.000 Euro „vergessen“ hätte anzugeben...   #baerbockGrünen-Chefin Annalena Baerbock meldet Nebeneinkünfte bis zu 37.000 Euro an
Grünen-Chefin und Kanzlerkandidatin Annalena Baerbock hat dem Bundestag Nebeneinkünfte aus den Jahren 2018 bis 2020 nachgemeldet. Dabei soll es sich um eine Summer bis zu 37.000 Euro handeln. Das...
focus.de",1K,834,3.2K
ZDF heute-show,@heuteshow,2021-05-18T06:18:34.000Z,Alice muss man dir erklären,250,1.3K,10.6K
Torsten Schweiger,@cdu_schweiger,2021-05-13T15:19:33.000Z,"Unvoreingenommene Presse?Linnéa Findeklee
@Dr_Konservativ
 · May 10
Eine ganz leichte Tendenz zu erkennen. Aber nur ganz leicht ;) #Baerbock #Laschet",3,5,41
Andreas Scheuer,@andreasscheuer,2020-07-08T16:28:04.000Z,"#Fahrverbote für #Motorradfahrer? Nein danke! Weil wir bereits geltende Regeln für #Lärmschutz haben.CSU
@CSU
 · Jul 7, 2020
 Mitmachen und eintragen: http://biker-fahrverbot-nein-danke.de

Wir sind klar gegen #Fahrverbote für #Motorradfahrer. #Bayern hat im Bundesrat gegen Fahrverbote gestimmt. Die CSU wird das in Berlin verhindern. Die Leidenschaft der ",138,29,125
Torsten Schweiger,@cdu_schweiger,2020-07-02T19:26:25.000Z,"Brandbrief von Abgeordnetem: Chaos in der AfD-Fraktion? | http://tagesschau.deBrandbrief von Abgeordnetem: Chaos in der AfD-Fraktion?
Lange galt die AfD-Bundestagsfraktion als Machtzentrum der Partei. Eine interne Mail stellt das infrage. Dem ARD-Hauptstadtstudio berichten mehrere Abgeordnete zudem von Problemen - vor allem von...
tagesschau.de",1,1,2
CDU/CSU,@cducsubt,2020-06-17T16:51:58.000Z,"Vor genau 67 Jahren, am 17. Juni 1953, gingen mehr als eine Million Menschen in der DDR auf die Straße, um gegen das Unrechtsregime zu protestieren. Heute hat der #Bundestag der Opfer des Volksaufstandes gedacht Die DDR war ein Unrechtsstaat
Vor genau 67 Jahren, am 17. Juni 1953, gingen mehr als eine Million Menschen in der DDR auf die Straße, um gegen das Unrechtsregime zu protestieren. Sie forderten freie Wahlen und die Wiederv...
cducsu.de",33,20,70
Deutschland Wählt,@Wahlen_DE,2020-06-13T09:58:26.000Z,"Welche Partei wird am besten mit den Problemen in Deutschland fertig?

Union: 48%
SPD: 7%
GRÜNE: 5% (+1)
Sonstige: 6% (-1)
Keine: 34%

+/- zum 30. Mai 2020

via 
@ntvde
 / Forsa, 2504 telefonisch Befragte (08.-12.06.2020), ±2,5%p",11,30,87
Kai Wegner,@kaiwegner,2020-06-02T08:09:24.000Z,"Die Äußerungen der Genossin #Borchardt zu den #Mauertoten zeugen von #Geschichtsvergessenheit und sind unerträglich.Die Linke grinst sich eins
Eine Verfassungsrichterin der Linken verhöhnt die Mauer-Toten und ist stolz darauf. Sie tut es, weil sie es kann: Am linken Rand der Politik darf man sich mitunter mächtig mehr erlauben als am...
spiegel.de",3,5,23
CDU/CSU,@cducsubt,2020-05-07T15:36:10.000Z,".
@MGrosseBroemer
 | Abgeordnete verzichten auf Erhöhung ihrer DiätenAbgeordnete verzichten auf Erhöhung ihrer Diäten
Angesichts der Corona-Pandemie haben die Abgeordneten des Deutschen Bundestags heute einstimmig dem Verzicht auf die Erhöhung ihrer Vergütung zugestimmt. Dazu können Sie den Ersten Parlamenta...
cducsu.de",9,9,30
CDU/CSU,@cducsubt,2020-04-28T10:39:15.000Z, An #Corona leiden Menschen auf der ganzen Welt. Unternehmen und Forschungsinstitute sind auf der Suche nach einer Schutzimpfungen dagegen +++ Fragen & Antworten zum aktuellen Stand der Impfstoff-Suche finden Sie hier:  https://cducsu.de/spezial/faktencheck-corona-impfstoff…,,8,9
Torsten Schweiger,@cdu_schweiger,2020-04-27T00:51:39.000Z,"Corona-App: Bundesregierung favorisiert dezentralen Ansatz - WELT
Eine App, die Kontakte von Corona-Infizierten nachverfolgen kann, wird als wichtige Waffe im Kampf gegen die Pandemie gehandelt. Doch welcher Ansatz der richtige ist, darüber wird erbittert gestrit...
welt.de",,,
CDU/CSU,@cducsubt,2020-04-25T12:17:58.000Z,"Heute ist #TagdesBaumes. Trockenheit, Waldbrände, Stürme und Schädlinge setzen unseren Bäumen zu. Die Schäden sind deutlich sichtbar. Deshalb haben wir bereits 2018 ein starkes Hilfspaket von 800 Mio € für die deutschen Wälder geschnürt.

Mehr dazu:  https://cducsu.cc/Tag_des_Baumes",5,11,29
CDU/CSU,@cducsubt,2020-04-23T15:41:07.000Z,"Unsere Abgeordneten verordnen sich eine Nullrunde bei ihren Bezügen und verzichten 2020 auf die Erhöhung ihrer Diäten. Ein entsprechendes Gesetz soll im Mai vom Bundestag verabschiedet werden. 
@MGrosseBroemer
  erklärt`s im Video: 

 Mehr Infos hier: https://cducsu.cc/Nullrunde_Abgeordnetenbez%C3%BCge…",18,16,30
Torsten Schweiger,@cdu_schweiger,2020-04-15T02:53:59.000Z,"Corona-Krise: Im Ländervergleich liegt Deutschland sehr weit vorn - DER SPIEGELSo sicher wie hier ist man fast nirgends: Deutschland führt weltweit im Covid19-Krisenmanagement
Wo sind die Menschen am besten vor Covid-19 geschützt? Laut einem Länderranking gehört Deutschland in der Coronakrise zu den sichersten Staaten der Welt - derzeit.
spiegel.de",,1,
Torsten Schweiger,@cdu_schweiger,2020-04-07T14:58:44.000Z,"Faktencheck | Corona-HilfeFaktencheck | Corona-Hilfen
Die Bewältigung der Pandemie bedeutet einen historischen Kraftakt für die Bevölkerung und Wirtschaft. Mehrere milliardenschwere Maßnahmenpakete wurden beschlossen, um den Corona-Folgen entgeg...
cducsu.de",,,
CDU/CSU,@cducsubt,2019-12-18T11:21:25.000Z,".
@thorsten_frei
 erklärt: Wir brauchen ein neues Verfahren zur Einstufung sicherer #HerkunftsstaatenWir brauchen ein neues Verfahren zur Einstufung sicherer Herkunftsstaaten
Das Bundeskabinett hat heute dem zweiten Bericht zur Überprüfung der Voraussetzungen zur Einstufung der sicheren Herkunftsstaaten zugestimmt. Dazu erklärt der stellvertretende Vorsitzende der...
cducsu.de",12,6,13
Sven Schulze,@schulzeeuropa,2019-12-09T13:22:32.000Z,"Wer wissen will warum #Bäcker, #Friseure & #Einzelhändler ab dem 01.01.2020 Belege (z.B. #Kassenzettel) an ihre #Kunden ausgegeben müssen der sollte mal bei der #SPD nachfragen. Interessant, wie die einstige #Volkspartei von der unsinnigen Regelung finanziell profitieren könnteThorsten Alsleben (Völkerrecht plus)
@BerlinReporter
 · Dec 8, 2019
Die @spdde wollte die #Bonpflicht unbedingt.Keiner hat verstanden warum,da auch elektronische Belege funktionieren. Und jetzt ratet mal,wer am Unternehmen @LocafoxDE für Kassensysteme mit Bondruckern beteiligt ist: http://ddvg.de/wirueberuns/unserebeteiligungen/… - bekanntlich eine 100%ige SPD-Tochter.",4,7,13
Torsten Schweiger,@cdu_schweiger,2019-11-29T14:04:41.000Z,Auch im neuen Haushalt für 2020 setzen wir die richtigen Schwerpunkte - u.a. in der Sicherheit.,,1,3
Das DU,@IchBinDasDu,2019-11-23T13:40:38.000Z,"Das C kann mir niemand nehmen. Du, liebes C, bist mehr als ein Buchstabe an einem Haus. Du bist die Orientierung beim Schutz der Schöpfung & der Würde. Du bist die Solidarität mit den Nächsten! Du bist mein Happy End. C&DU forever. #cdupt19 
@IchBinDasC",42,76,283
CDU/CSU,@cducsubt,2019-11-05T14:19:46.000Z,"Fraktionschef 
@rbrinkhaus
 zur #Grundrente: Wir als Unionsfraktion wollen die #Grundrente. Koalitionspartner will mehr als im Koa-Vertrag vereinbart. Union will die Grundrente so gerecht wie möglich machen - das geht mit Bedürftigkeitsprüfung. Deshalb: Sachfragen jetzt lösen.",13,12,33
