User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Cem Özdemir,@cem_oezdemir,2021-04-19T09:03:18.000Z,"Wir haben eine hammerstarke #Kanzlerkandidatin 
@ABaerbock
! Und direkt hinter ihr einen hammerstarken #Habeck. Das Beste: Im Gegensatz zur #Union wissen wir sowohl, wer unsere Kandidatin ist, als auch, wofür Annalena #Baerbock inhaltlich steht! Freue mich auf Wahlkampf mit euch!Annalena Baerbock and BÜNDNIS 90/DIE GRÜNEN",770,806,13.2K
Cem Özdemir,@cem_oezdemir,2021-05-29T07:52:05.000Z,"Gürsün İnce (27)
Hatice Genç (18)
Gülüstan Öztürk (12)
Hülya Genç (9) 
Saime Genç (4)

Vor 28 Jahren von Nazis in #Solingen ermordet. Zwei Töchter, zwei Enkeltöchter & eine Nichte von Mevlüde Genç. Sie hat den Rassisten in ihrer Trauer nie den Gefallen getan, zurückzuhassen.",24,133,927
Volker Beck,@Volker_Beck,2021-05-28T19:48:42.000Z,"In Hamburg ruft eine schwarzbekleidete Islamstaffel (IS) von #Musliminteraktiv 
@MInteraktiv
 die antisemitischen Parolen der 
@diyanet_de
, die in den 900 deutschen Moscheen der #DITIB Imame beschäftigt: 

""Kindermörder Israel"".Dutzende rufen antisemitische Sprechchöre
Schwarz gekleidete Personen sind im Hamburger Stadtteil St. Georg aufmarschiert und haben sich offen antisemitisch geäußert. Teilnehmer riefen unter anderem 'Israel Kindermörder'.
t-online.de",38,100,248
Laura Hofmann,@LauHofmann,2021-05-28T14:41:46.000Z,"„Zug um Zug weniger Flug“ - der ist gut, den merk ich mir  
@cem_oezdemirAlexander Waltschew
@alex_waltschew
 · May 28
„In Deutschland können wir den Flugverkehr Schritt für Schritt überflüssig machen. Wir brauchen und wollen ihn gar nicht verbieten, sondern Zug um Zug weniger Flug.”Lesenswertes Interview von @cem_oezdemir zur #Verkehrswende & #Klimaschutz. via @zeitonline https://zeit.de/mobilitaet/2021-05/cem-oezdemir-die-gruenen-verkehrswende-automobilindustrie-flugverkehr-andreas-scheuer…",17,16,126
DKMS Deutschland,@DKMS_de,2021-05-27T05:17:00.000Z,"Setz ein Zeichen zum #WorldBloodCancerDay am 28. Mai und registriere dich als Stammzellspender:in. Maxim braucht in diesem Moment deine Hilfe. Er leidet an #Blutkrebs und kann nur überleben, wenn sich der passende genetische Zwilling findet. http://dkms.de/wirbelwind
#wbcd #dkms",2,119,109
Alexander Waltschew,@alex_waltschew,2021-05-28T13:08:13.000Z,"„In Deutschland können wir den Flugverkehr Schritt für Schritt überflüssig machen. Wir brauchen und wollen ihn gar nicht verbieten, sondern Zug um Zug weniger Flug.”Lesenswertes Interview von 
@cem_oezdemir
 zur #Verkehrswende & #Klimaschutz. via 
@zeitonlineCem Özdemir: ""Die Leute werden gezwungen, ein Auto zu kaufen""
Cem Özdemir sieht sich fürs Verkehrsministerium vorbereitet. Hier erklärt der Grüne, wie viel man dann noch fliegen darf. Und warum ein Tempolimit ganz sicher kommt.
zeit.de",15,23,121
Cem Özdemir,@cem_oezdemir,2021-05-27T19:38:36.000Z,"Es ist kein Zeichen von Schwäche, sondern spricht für Größe, wenn man sich zu den Verbrechen der Vergangenheit bekennt und Verantwortung übernimmt. Die Menschen in #Ruanda mussten lange darauf warten. Danke an #Frankreich & 
@EmmanuelMacron
 #MacronKigali Genocide Memorial
@Kigali_Memorial
 · May 27
President @EmmanuelMacron laid a wreath on the burial place to honour more than a million victims of the Genocide against the Tutsis in #Rwanda.
Show this thread",14,16,184
Cem Özdemir,@cem_oezdemir,2021-05-27T18:34:51.000Z,"“There is no free lunch” sagt man in den USA. Die #Türkei unter #Erdoğan ordnet sich Moskau & Peking unter. Kein Wort zu den #Krimtataren, keines zu den #Uiguren & jetzt muss sie Putins U-Boot in der NATO gegen die Demokrat*innen in #Belarus spielen. Traurig.Hümeyra Pamuk
@humeyra_pamuk
 · May 27
#NEW -- #Turkey pressured NATO allies into watering down an official reaction to #Belarus' forced landing of a passenger plane and the detention of a dissident journalist on Sunday, diplomats familiar w/the matter  tell me & @rdfemmott. Ankara set conditions & softened the text.
Show this thread",28,35,153
WELT,@welt,2021-05-27T15:39:00.000Z,"Die 
@welt
 Wahldebatte 2021 geht in die nächste Runde. 
@cem_oezdemir
 wird sich den Fragen von 
Thomas Exner aus WELT Chefredaktion und den Teilnehmern stellen. 
Hier geht’s zur Anmeldung: https://event.welt.de/event/79d46556-8769-45c9-8944-83af93199779/summary…",6,3,18
ADFC Berlin e.V.,@ADFC_Berlin,2021-05-27T15:27:21.000Z,"Es ist furchtbar! Vor ca. 1 Woche haben wir der getöteten Radfahrenden auf dem #RideOfSilence2021 gedacht, morgen müssen wir ein weiteres Geisterrad in Xhain aufstellen. 

Fr, 28.5.
17:30 h
Frankfurter Allee 57-59 / U Samariterstr.
#stopkillingcyclistsRadfahrerin stirbt bei Verkehrsunfall in Berlin-Friedrichshain
Eine Fahrradfahrerin ist auf der Frankfurter Allee von einem Lkw erfasst worden. Sie wollte wohl einem Transporter ausweichen, der auf der Radspur stand.
tagesspiegel.de",15,52,178
