User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Christine Buchholz,@ch_buchholz,2021-05-28T16:31:33.000Z,"Mutiger Schritt eines Betroffenen, dem die Polizei drohte: „Ich hau Dir auf die Fresse“. Polizisten die Notrufe ignorieren und hilfesuchende beschimpfen, das geht gar nicht. Aufklärung & Konsequenzen. Institutionellen Rassismus beenden!Polizei in Hanau soll Hilfesuchende beschimpft und Bewaffneten ignoriert haben
Ein bewaffneter Unbekannter baut sich bedrohlich vor einem Pärchen in Hanau auf. Als die beiden den Vorfall der Polizei melden wollen, stehen sie plötzlich selbst als Beschuldigte da. Jetzt ermittelt...
hessenschau.de",1,2,7
Christine Buchholz,@ch_buchholz,2021-05-28T13:11:03.000Z,Am Wochenende bewerbe ich mich für den dritten Listenplatz der hessischen LINKEN zur Bundestagswahl. Ich möchte mich weiter einsetzen für Abrüstung & die Auflösung des KSK - gegen Auslandseinsätze & rechte Netzwerke in Bundeswehr & Gesellschaft. Auf der Straße & im Bundestag.,5,1,19
Christine Buchholz,@ch_buchholz,2021-05-27T15:55:38.000Z,Ich freue mich auf die Diskussion mit Schura Hamburg heute um 18 Uhr zum Gesetz der Bundesregierung zum Erscheinungsbild von Beamt:innen als #Kopftuchverbot durch die Hintertür?,,6,12
Linksfraktion Hessen,@LinkeLTGHessen,2021-05-26T15:41:21.000Z,"Unsere Fraktionsvorsitzende 
@Janine_Wissler
  befindet sich aktuell mit einer kleinen Delegation auf der griechischen Insel #Lesbos um sich über die unmenschliche Situation der Geflüchteten in den Lagern zu informieren.

#Moria #moria2 #KaraTepel #LeaveNoOneBehind #seebrücke #hlt",10,32,110
Christine Buchholz,@ch_buchholz,2021-05-26T15:34:12.000Z,"Keine Kampfdrohnen für die  #Bundeswehr. Aktionen in #Haiger, #Gießen und #Marburg. 
Kampfdrohnen schützen nicht, sondern töten. Sie befördern Eskalation und Entgrenzung von Kriegen. 
#Kampfdrohnen ächten! Nein zu #FCAS! Nein zu #Eurodrohne! 
@DieLinkeMarburg
 @LINKEGiessenKV",1,8,25
Yossi Bartal,@BartalYossi,2021-05-20T09:07:26.000Z,"Ramsis Kilani, 
@KeremSchamberg
 und ich sind fassungslos angesichts der Äußerungen von 
@DietmarBartsch
 zu Israel-Palästina und haben einen Brief dazu verfasst. Die LINKE muss eine Anti-Kriegs-Partei bleiben.",18,101,347
linksfraktion,@Linksfraktion,2021-05-19T19:30:57.000Z,"Sahel-Region: Bundeswehr-Ausbildung als Brandbeschleuniger, so 
@ch_buchholz
 »Schluss mit der militärischen Ausbildung, Ausstattung und Beratung - Bundeswehr raus aus #Mali.«Christine Buchholz, DIE LINKE: Sahel-Region: Bundeswehr-Ausbildung...
19.05.2021 - Der Bundestag hat beschlossen, den Bundeswehr-Einsatz in Rahmen der EU-Ausbildungsmission EUTM Mali aufzustocken, um künftig auch die Armeen in ...
youtube.com",1,5,10
linksfraktion,@Linksfraktion,2021-05-19T15:52:07.000Z,".
@ch_buchholz
: In ihrem ersten Jahresbericht hält es die #Wehrbeauftragte für realistisch, dass das #KSK einen ""Neustart"" macht. Das ist Wunschdenken. Das ""falsche Selbstverständnis"" kommt nicht von ungefähr. Das KSK muss aufgelöst werden.Christine Buchholz, DIE LINKE: ""Neustart"" kann nur heißen: KSK...
19.05.2021 - In ihrem ersten Jahresbericht hält es die Wehrbeauftragte für realistisch, dass das Kommando Spezialkräfte einen ""Neustart"" macht. Das ist Wunsc...
youtube.com",1,2,9
Christine Buchholz,@ch_buchholz,2021-05-18T13:31:07.000Z,"Morgen entscheidet Bundestag über Verlängerung der Bundeswehr-Einsätze in #Mali. Immer mehr Militär hat immer mehr Probleme und Unsicherheit geschaffen. Die Lehre muss sein: Bundeswehr aus Mali abziehen. 
@rosaluxstiftungBundeswehr in Mali - Rosa-Luxemburg-Stiftung
Neue Probleme geschaffen, keines gelöst
rosalux.de",1,9,22
Norbert Müller,@Norbert_MdB,2021-05-17T06:51:00.000Z,"Waffen töten. Jede Waffe findet ihre Opfer. Deswegen lehnt 
@dieLinke
 #Waffenexporte ab. Ganz einfach und verständlich. Da kann es für uns keine 2 Meinungen geben. Gilt auch und erst recht für atomwaffenfähige U-Boote.",17,48,384
